GeneID,AClike
A1BG,3.7070537
A1BG-AS1,5.9111247
A1CF,0.09970822
A2M,51.97047
A2M-AS1,2.4974732
A2ML1,2.6450064
A2MP1,0.051026188
A4GALT,0.13101482
A4GNT,0.0373331
AA06,0.0
AAAS,67.00492
AACS,17.670498
AACSP1,0.14613366
AADAC,0.006843676
AADACL2,0.056801908
AADACL3,0.02420047
AADACL4,0.02337709
AADAT,12.4618845
AAED1,8.832027
AAGAB,44.464764
AAK1,9.197536
AAMDC,59.347164
AAMP,176.78236
AANAT,0.44468978
AAR2,65.31603
AARD,2.8578155
AARS,88.28586
AARS2,17.183641
AARSD1,50.588013
AASDH,24.320024
AASDHPPT,122.68777
AASS,116.38852
AATF,73.57791
AATK,0.65326357
AATK-AS1,0.0062529836
ABAT,92.60338
ABCA1,37.829926
ABCA10,1.0621362
ABCA11P,23.833776
ABCA12,0.4849284
ABCA13,0.6611056
ABCA17P,0.17608568
ABCA2,12.467157
ABCA3,15.154609
ABCA4,0.13376406
ABCA5,8.893788
ABCA6,1.8750972
ABCA7,1.1936616
ABCA8,20.311111
ABCA9,4.620626
ABCB1,1.4804468
ABCB10,6.5242667
ABCB11,0.011682578
ABCB4,0.9807951
ABCB5,2.0384188
ABCB6,41.395092
ABCB7,41.557228
ABCB8,18.31414
ABCB9,6.2333484
ABCC1,2.8885028
ABCC10,14.291564
ABCC11,0.20910501
ABCC12,0.1315946
ABCC13,0.36051312
ABCC2,0.9491647
ABCC3,14.371664
ABCC4,8.500174
ABCC5,48.527718
ABCC5-AS1,0.19163443
ABCC6,3.2161386
ABCC6P1,2.4148378
ABCC6P2,10.920989
ABCC8,4.676836
ABCC9,72.1687
ABCD1,2.5635111
ABCD2,12.052629
ABCD3,138.91467
ABCD4,53.450314
ABCE1,66.85218
ABCF1,41.64355
ABCF2,74.38347
ABCF3,48.187134
ABCG1,2.8265
ABCG2,3.4260685
ABCG4,0.30154482
ABCG5,0.1260919
ABCG8,0.11554296
ABHD1,2.0322495
ABHD10,56.616158
ABHD11,36.840256
ABHD12,70.554565
ABHD12B,3.5658855
ABHD13,23.648376
ABHD14A,75.98088
ABHD14A-ACY1,2.909694
ABHD14B,26.7284
ABHD15,6.0460463
ABHD16A,80.503746
ABHD16B,2.4911625
ABHD2,101.217926
ABHD3,61.84815
ABHD4,72.141045
ABHD5,22.884064
ABHD6,12.729551
ABHD8,4.162229
ABI1,60.671917
ABI2,123.42689
ABI3,0.0045584724
ABI3BP,3.4626899
ABL1,17.749197
ABL2,8.894518
ABLIM1,32.36717
ABLIM2,5.937769
ABLIM3,0.4740826
ABO,0.11152115
ABP1,0.20806682
ABR,35.84273
ABRA,1.8813604
ABRACL,35.061058
ABT1,32.538483
ABTB1,11.381539
ABTB2,6.7396836
ACAA1,149.79283
ACAA2,76.8812
ACACA,25.810246
ACACB,5.3708577
ACAD10,24.17789
ACAD11,39.20614
ACAD8,89.10926
ACAD9,31.77498
ACADL,2.2647786
ACADM,108.23192
ACADS,11.07868
ACADSB,13.096082
ACADVL,163.1758
ACAN,0.38361737
ACAP1,0.42395583
ACAP2,18.002592
ACAP3,16.938637
ACAT1,108.54191
ACAT2,141.73248
ACBD3,15.510217
ACBD4,9.822398
ACBD5,48.948685
ACBD6,93.26411
ACBD7,14.197229
ACCS,7.48859
ACCSL,0.14635442
ACD,24.93422
ACE,0.063347265
ACE2,0.21311428
ACER1,0.17776851
ACER2,1.7818537
ACER3,30.586134
ACHE,32.152298
ACIN1,34.718052
ACLY,140.93173
ACMSD,0.10055488
ACN9,37.96611
ACO1,32.5671
ACO2,108.691864
ACOT1,13.63701
ACOT11,7.8222537
ACOT12,1.7148926
ACOT13,28.899315
ACOT2,53.677525
ACOT4,1.6069152
ACOT6,1.3526844
ACOT7,34.363148
ACOT8,54.369267
ACOT9,47.21327
ACOX1,31.832748
ACOX2,17.979702
ACOX3,20.838013
ACOXL,0.18099645
ACP1,226.34102
ACP2,66.719505
ACP5,0.42328805
ACP6,24.04262
ACPL2,48.58241
ACPP,0.19105627
ACPT,0.26526874
ACR,0.06167065
ACRBP,0.86478
ACRC,1.7044988
ACRV1,0.832333
ACSBG1,74.42847
ACSBG2,0.47973743
ACSF2,9.242938
ACSF3,17.441935
ACSL1,6.3160114
ACSL3,221.19658
ACSL4,11.11647
ACSL5,0.6414261
ACSL6,8.045827
ACSM1,0.019600239
ACSM2A,0.0130608585
ACSM2B,0.025644392
ACSM3,0.13942721
ACSM4,0.028383056
ACSM5,2.5865843
ACSS1,19.605703
ACSS2,28.327528
ACSS3,59.28819
ACTA1,0.270656
ACTA2,10.930056
ACTB,5188.614
ACTBL2,0.0060561
ACTC1,0.28065103
ACTG1,3178.423
ACTG1P4,0.9759066
ACTG2,0.2513067
ACTL10,0.1840334
ACTL6A,124.57864
ACTL6B,7.3803253
ACTL7A,0.30777445
ACTL7B,0.031646777
ACTL8,0.004063246
ACTL9,0.004081146
ACTN1,42.720333
ACTN1-AS1,0.020531027
ACTN2,27.433237
ACTN3,0.026163485
ACTN4,94.48151
ACTR10,122.319824
ACTR1A,72.46331
ACTR1B,30.481417
ACTR2,65.385826
ACTR3,209.09392
ACTR3B,16.48024
ACTR3BP2,0.22733891
ACTR3BP5,0.52252984
ACTR3C,2.943335
ACTR5,19.5855
ACTR6,80.74195
ACTR8,33.11807
ACTRT1,0.06640773
ACTRT2,0.003036993
ACTRT3,0.12469049
ACVR1,7.2529516
ACVR1B,4.4744325
ACVR1C,0.30820787
ACVR2A,20.094868
ACVR2B,4.269768
ACVR2B-AS1,1.0606201
ACVRL1,0.19442709
ACY1,20.85878
ACY3,4.773128
ACYP1,41.034588
ACYP2,90.499306
ADA,29.837063
ADAD1,0.023896184
ADAD2,0.0
ADAL,18.201897
ADAM10,62.946735
ADAM11,2.8023849
ADAM12,9.7543
ADAM15,37.243214
ADAM17,67.564285
ADAM18,0.015238684
ADAM19,30.925962
ADAM1A,6.697844
ADAM2,0.008687351
ADAM20,2.2291532
ADAM20P1,1.1447371
ADAM21,1.0449595
ADAM21P1,0.1369986
ADAM22,22.112703
ADAM23,8.39307
ADAM28,0.042696483
ADAM29,0.00477327
ADAM30,0.13016109
ADAM32,0.8322537
ADAM33,4.7360363
ADAM3A,0.06565701
ADAM5,0.04296474
ADAM6,0.04287647
ADAM7,0.39465398
ADAM8,0.26998296
ADAM9,189.8347
ADAMDEC1,0.029242244
ADAMTS1,46.065105
ADAMTS10,2.7936044
ADAMTS12,0.49459073
ADAMTS13,3.4216113
ADAMTS14,1.0181134
ADAMTS15,0.37398523
ADAMTS16,0.4867969
ADAMTS17,1.0069877
ADAMTS18,2.1641157
ADAMTS19,0.5583915
ADAMTS2,0.66540414
ADAMTS20,0.14359787
ADAMTS3,4.0545807
ADAMTS4,8.34076
ADAMTS5,2.207541
ADAMTS6,8.929389
ADAMTS7,1.0979757
ADAMTS8,0.37036392
ADAMTS9,27.589031
ADAMTS9-AS2,7.471838
ADAMTSL1,1.481135
ADAMTSL2,3.9840925
ADAMTSL3,0.3673091
ADAMTSL4,3.5989726
ADAMTSL5,0.09463007
ADAP1,0.41230282
ADAP2,0.54421175
ADAR,62.141888
ADARB1,1.5757235
ADARB2,0.12276285
ADARB2-AS1,0.0
ADAT1,26.970713
ADAT2,5.6917973
ADAT3,3.0244408
ADC,13.802575
ADCK1,17.866497
ADCK2,5.1758866
ADCK3,19.031515
ADCK4,41.981167
ADCK5,11.103127
ADCY1,5.5170546
ADCY10,0.14969574
ADCY10P1,2.9283628
ADCY2,3.9643009
ADCY3,3.4866283
ADCY4,0.007869924
ADCY5,1.1504596
ADCY6,14.464886
ADCY7,3.1162343
ADCY8,5.409625
ADCY9,1.6229545
ADCYAP1,0.27568665
ADCYAP1R1,44.769527
ADD1,100.75918
ADD2,21.96816
ADD3,44.0735
ADGB,0.007279237
ADH1A,0.057822198
ADH1B,0.016980907
ADH1C,0.008848441
ADH4,1.1102451
ADH5,177.23322
ADH6,0.31204593
ADH7,0.00082338904
ADHFE1,22.252945
ADI1,120.944565
ADIG,0.14393796
ADIPOQ,0.73024476
ADIPOQ-AS1,0.25628284
ADIPOR1,106.17506
ADIPOR2,10.285352
ADIRF,1.6792315
ADK,42.26965
ADM,57.52797
ADM2,0.8992244
ADM5,1.5177276
ADNP,34.25606
ADNP2,7.7129917
ADO,7.524335
ADORA1,16.477692
ADORA2A,2.077256
ADORA2A-AS1,0.61340094
ADORA2B,8.04599
ADORA3,0.6840931
ADPGK,45.746563
ADPGK-AS1,3.5758345
ADPRH,7.897217
ADPRHL1,1.0486691
ADPRHL2,83.75582
ADPRM,22.313618
ADRA1A,10.672563
ADRA1B,0.05031026
ADRA1D,0.79021543
ADRA2A,0.13084726
ADRA2B,0.29149342
ADRA2C,0.019123424
ADRB1,6.068307
ADRB2,1.5159827
ADRB3,0.020340767
ADRBK1,6.349299
ADRBK2,4.5398793
ADRM1,144.8963
ADSL,97.177864
ADSS,38.618324
ADSSL1,4.260221
ADTRP,0.02797136
AEBP1,22.0956
AEBP2,32.063732
AEN,41.17511
AES,51.035675
AFAP1,17.975584
