GeneID,G1S
A1BG,1.9474225
A1BG-AS1,4.1060987
A1CF,0.18893763
A2M,37.221256
A2M-AS1,1.3605691
A2ML1,0.86922455
A2MP1,0.21222275
A4GALT,0.678686
A4GNT,0.0
AA06,0.0
AAAS,107.9278
AACS,22.600704
AACSP1,0.24442509
AADAC,0.018477548
AADACL2,0.0
AADACL3,0.03129216
AADACL4,0.0
AADAT,31.212679
AAED1,4.460974
AAGAB,49.268475
AAK1,8.976879
AAMDC,40.528675
AAMP,167.90117
AANAT,0.34915662
AAR2,53.28316
AARD,3.0233574
AARS,88.39568
AARS2,24.322012
AARSD1,71.66469
AASDH,20.74564
AASDHPPT,128.03098
AASS,62.75368
AATF,121.26463
AATK,1.4452368
AATK-AS1,0.018970402
ABAT,69.35586
ABCA1,15.405743
ABCA10,0.7783683
ABCA11P,22.090237
ABCA12,0.7217349
ABCA13,5.2141395
ABCA17P,0.12696543
ABCA2,9.859535
ABCA3,17.818396
ABCA4,0.024884956
ABCA5,9.514792
ABCA6,0.25852132
ABCA7,1.641129
ABCA8,5.242017
ABCA9,4.443042
ABCB1,1.7594701
ABCB10,6.8739834
ABCB11,0.01708652
ABCB4,6.414471
ABCB5,2.1907208
ABCB6,45.19171
ABCB7,43.285316
ABCB8,18.034555
ABCB9,5.3932014
ABCC1,3.0239806
ABCC10,10.123435
ABCC11,0.002705367
ABCC12,0.3532499
ABCC13,0.30535626
ABCC2,0.19540173
ABCC3,1.7455852
ABCC4,9.129511
ABCC5,37.25001
ABCC5-AS1,0.09591444
ABCC6,3.0913088
ABCC6P1,0.41665056
ABCC6P2,4.4638677
ABCC8,3.9021065
ABCC9,65.89486
ABCD1,1.9210835
ABCD2,6.990642
ABCD3,97.4449
ABCD4,28.199043
ABCE1,88.19552
ABCF1,57.75412
ABCF2,74.75243
ABCF3,41.37628
ABCG1,11.767994
ABCG2,1.1485878
ABCG4,0.41174978
ABCG5,0.103352085
ABCG8,0.2508644
ABHD1,0.88161457
ABHD10,69.63013
ABHD11,45.87267
ABHD12,67.9925
ABHD12B,1.0661005
ABHD13,18.948524
ABHD14A,63.587555
ABHD14A-ACY1,2.4294012
ABHD14B,8.358165
ABHD15,5.7819443
ABHD16A,79.82512
ABHD16B,2.4330025
ABHD2,65.80371
ABHD3,126.56378
ABHD4,42.67299
ABHD5,26.47124
ABHD6,8.584473
ABHD8,3.129772
ABI1,41.724937
ABI2,110.69832
ABI3,0.21267807
ABI3BP,1.0033976
ABL1,18.709085
ABL2,8.772348
ABLIM1,17.708637
ABLIM2,6.457137
ABLIM3,0.7038621
ABO,0.09070018
ABP1,0.25009614
ABR,35.326122
ABRA,1.0943823
ABRACL,60.94246
ABT1,34.96174
ABTB1,5.154889
ABTB2,6.2559023
ACAA1,94.579056
ACAA2,108.83671
ACACA,27.649261
ACACB,3.864197
ACAD10,16.86103
ACAD11,19.80177
ACAD8,67.35544
ACAD9,40.18549
ACADL,3.4900782
ACADM,110.671486
ACADS,10.928506
ACADSB,9.693294
ACADVL,72.07059
ACAN,1.0092032
ACAP1,0.065980226
ACAP2,16.42973
ACAP3,19.321352
ACAT1,121.00363
ACAT2,242.2702
ACBD3,11.618666
ACBD4,4.3176255
ACBD5,44.84033
ACBD6,126.91804
ACBD7,12.6151085
ACCS,2.1771886
ACCSL,0.0021576933
ACD,48.6689
ACE,0.09039421
ACE2,0.010832426
ACER1,0.0
ACER2,2.3577068
ACER3,29.527723
ACHE,18.15576
ACIN1,28.890266
ACLY,115.59204
ACMSD,0.057547458
ACN9,37.95031
ACO1,31.794569
ACO2,97.32713
ACOT1,9.666201
ACOT11,4.936493
ACOT12,0.49615428
ACOT13,22.825756
ACOT2,40.05361
ACOT4,1.4956064
ACOT6,0.84458643
ACOT7,155.81865
ACOT8,45.36937
ACOT9,43.78935
ACOX1,22.875797
ACOX2,4.436037
ACOX3,18.507944
ACOXL,0.26497003
ACP1,285.1879
ACP2,58.81674
ACP5,0.01652793
ACP6,12.729488
ACPL2,38.21235
ACPP,0.37721798
ACPT,0.81657135
ACR,0.051611513
ACRBP,0.6220002
ACRC,1.770857
ACRV1,5.8926573
ACSBG1,15.984037
ACSBG2,1.0984324
ACSF2,3.0443068
ACSF3,18.679436
ACSL1,21.906794
ACSL3,104.3026
ACSL4,12.106057
ACSL5,0.36685714
ACSL6,5.1197796
ACSM1,0.009287995
ACSM2A,0.019222395
ACSM2B,0.020700986
ACSM3,0.21027389
ACSM4,0.059978087
ACSM5,0.68040556
ACSS1,9.245333
ACSS2,17.29528
ACSS3,21.210752
ACTA1,1.0096188
ACTA2,20.043896
ACTB,6155.501
ACTBL2,0.007075617
ACTC1,3.0012193
ACTG1,3174.6396
ACTG1P4,0.4025743
ACTG2,0.73265064
ACTL10,2.3599865
ACTL6A,209.04654
ACTL6B,27.208214
ACTL7A,0.45897046
ACTL7B,0.46642935
ACTL8,0.8131982
ACTL9,0.0
ACTN1,29.344223
ACTN1-AS1,0.020131985
ACTN2,11.236383
ACTN3,0.026559766
ACTN4,72.950935
ACTR10,102.30197
ACTR1A,122.98224
ACTR1B,31.482903
ACTR2,67.56985
ACTR3,246.52438
ACTR3B,23.434196
ACTR3BP2,0.067535624
ACTR3BP5,0.11884996
ACTR3C,2.011523
ACTR5,17.079456
ACTR6,86.78216
ACTR8,29.84322
ACTRT1,0.0
ACTRT2,0.0057502743
ACTRT3,0.29029286
ACVR1,3.5908885
ACVR1B,6.5359416
ACVR1C,0.24289341
ACVR2A,38.762955
ACVR2B,7.547545
ACVR2B-AS1,1.670241
ACVRL1,0.2785199
ACY1,18.686033
ACY3,0.8328902
ACYP1,97.32557
ACYP2,36.018024
ADA,20.570187
ADAD1,0.0072289566
ADAD2,0.0038773275
ADAL,22.901976
ADAM10,41.54868
ADAM11,2.0840313
ADAM12,5.7698016
ADAM15,41.398117
ADAM17,53.993847
ADAM18,0.16556141
ADAM19,10.278778
ADAM1A,9.990119
ADAM2,0.01812711
ADAM20,1.190987
ADAM20P1,0.84286964
ADAM21,0.23848478
ADAM21P1,0.035016447
ADAM22,29.05591
ADAM23,7.592108
ADAM28,0.75672007
ADAM29,0.0
ADAM30,0.0064622522
ADAM32,0.6525052
ADAM33,2.321661
ADAM3A,0.038576
ADAM5,0.021380067
ADAM6,0.34486306
ADAM7,0.052836776
ADAM8,0.2680945
ADAM9,100.57291
ADAMDEC1,0.015202629
ADAMTS1,28.86044
ADAMTS10,3.8250163
ADAMTS12,0.96369106
ADAMTS13,1.760108
ADAMTS14,0.3751562
ADAMTS15,0.06645232
ADAMTS16,0.7503512
ADAMTS17,2.0036817
ADAMTS18,0.5107777
ADAMTS19,0.44279122
ADAMTS2,1.2904086
ADAMTS20,0.5664143
ADAMTS3,5.366318
ADAMTS4,12.756951
ADAMTS5,1.6449802
ADAMTS6,4.152142
ADAMTS7,3.1356118
ADAMTS8,0.05664883
ADAMTS9,7.9689555
ADAMTS9-AS2,0.44047034
ADAMTSL1,2.7360878
ADAMTSL2,1.7684127
ADAMTSL3,0.15349482
ADAMTSL4,1.5818493
ADAMTSL5,0.12972617
ADAP1,1.0696645
ADAP2,0.17629789
ADAR,57.58157
ADARB1,2.171215
ADARB2,0.24252975
ADARB2-AS1,0.22381291
ADAT1,35.600166
ADAT2,4.16873
ADAT3,2.7709236
ADC,3.3664796
ADCK1,11.790604
ADCK2,5.8398027
ADCK3,17.344582
ADCK4,26.801504
ADCK5,14.522557
ADCY1,9.4385395
ADCY10,0.06556402
ADCY10P1,1.4678061
ADCY2,1.6078144
ADCY3,6.781303
ADCY4,0.20650578
ADCY5,1.0541786
ADCY6,15.331404
ADCY7,7.349613
ADCY8,4.3885803
ADCY9,1.5416782
ADCYAP1,1.0607374
ADCYAP1R1,17.350916
ADD1,63.550808
ADD2,46.619053
ADD3,31.64206
ADGB,0.011653917
ADH1A,0.03497208
ADH1B,0.010405197
ADH1C,0.0
ADH4,1.1761281
ADH5,210.77505
ADH6,0.17472008
ADH7,0.004720701
ADHFE1,4.947608
ADI1,122.18438
ADIG,0.019441403
ADIPOQ,0.7877759
ADIPOQ-AS1,0.25434852
ADIPOR1,141.76924
ADIPOR2,8.884658
ADIRF,1.0117306
ADK,48.6467
ADM,32.31985
ADM2,1.4664835
ADM5,3.0963795
ADNP,41.183167
ADNP2,14.39674
ADO,8.353137
ADORA1,6.7652626
ADORA2A,4.4338555
ADORA2A-AS1,0.56119394
ADORA2B,7.620053
ADORA3,0.045848854
ADPGK,56.60543
ADPGK-AS1,2.9515796
ADPRH,4.7751136
ADPRHL1,2.012271
ADPRHL2,88.74682
ADPRM,20.241243
ADRA1A,7.447534
ADRA1B,0.21049377
ADRA1D,0.4073934
ADRA2A,0.5876442
ADRA2B,0.20529026
ADRA2C,0.07632883
ADRB1,1.1967466
ADRB2,0.49844474
ADRB3,0.010525746
ADRBK1,7.614182
ADRBK2,4.1255956
ADRM1,146.916
ADSL,117.13749
ADSS,53.58325
ADSSL1,2.6699748
ADTRP,0.009759046
AEBP1,13.772996
AEBP2,26.044401
AEN,66.26258
AES,41.674988
AFAP1,17.933958
AFAP1-AS1,0.9168134
AFAP1L1,12.137257
AFAP1L2,26.634184
AFF1,11.302027
AFF2,0.62405616
AFF3,9.438038
AFF4,55.306953
AFG3L1P,36.734856
AFG3L2,34.933323
AFM,0.0
AFMID,24.800545
AFP,0.0070646224
AFTPH,14.645146
AGA,32.084606
AGAP1,15.308891
AGAP11,0.45963904
AGAP2,22.929457
AGAP3,23.546682
AGAP4,6.3355174
AGAP5,6.0478263
AGAP6,13.292304
AGAP7,2.8745
AGAP8,4.9252105
AGAP9,6.014897
AGBL1,0.90839684
AGBL2,0.44036263
AGBL3,4.449477
AGBL4,1.6755924
AGBL5,25.921312
AGER,2.3846996
AGFG1,8.719115
AGFG2,14.440856
AGGF1,34.32719
AGK,48.42598
AGL,9.272277
AGMAT,5.161072
AGMO,17.277317
AGO1,19.13913
AGO2,17.40291
AGO3,30.52994
AGO4,5.696599
AGPAT1,59.03082
AGPAT2,11.094116
AGPAT3,8.11495
AGPAT4,10.937045
AGPAT4-IT1,11.463519
AGPAT5,42.63273
AGPAT6,36.18306
AGPAT9,0.57663614
AGPHD1,0.92561966
AGPS,11.990572
AGR2,0.15393008
AGR3,0.0
AGRN,6.9485426
AGRP,0.2548523
AGSK1,2.9162457
AGT,214.31856
AGTPBP1,17.981894
AGTR1,0.13774374
AGTR2,0.054282792
AGTRAP,38.12506
AGXT,0.091653906
AGXT2,0.0
AGXT2L1,0.54041624
AGXT2L2,14.569884
AHCTF1,16.063896
AHCTF1P1,0.6294634
AHCY,211.97726
AHCYL1,59.94899
AHCYL2,13.910742
AHDC1,2.1599784
AHI1,41.4728
AHNAK,0.8681805
AHNAK2,0.083571166
AHR,8.512082
AHRR,0.7288488
AHSA1,125.62974
AHSA2,9.390211
AHSG,0.8012452
AHSP,0.12528095
AICDA,1.9858902
AIDA,29.294155
AIF1,0.5302066
AIF1L,124.114136
AIFM1,38.160175
AIFM2,5.996676
AIFM3,0.32955104
AIG1,72.9685
AIM1,0.68111646
AIM1L,0.0022891567
AIM2,4.36524
AIMP1,49.012
AIMP2,91.98179
AIP,94.821106
AIPL1,3.3761802
AIRE,0.30871934
AIRN,0.39236546
AJAP1,0.25436997
AJUBA,1.4872191
AK1,28.071693
AK2,84.19507
AK3,56.439945
AK4,32.449905
AK5,0.7488037
AK7,0.37260774
AK8,0.89394104
AKAP1,9.835656
AKAP10,26.236115
AKAP11,22.151035
AKAP12,24.230658
AKAP13,19.229385
AKAP14,0.36430448
AKAP17A,5.623936
AKAP2,4.988762
AKAP3,1.2741984
AKAP4,0.0068017025
AKAP5,8.33189
AKAP6,10.043201
AKAP7,61.281414
AKAP8,40.697556
AKAP8L,24.261753
AKAP9,24.855635
AKD1,8.862506
AKIP1,85.22715
AKIRIN1,124.841606
AKIRIN2,87.999565
AKNA,4.205363
AKNAD1,11.390528
AKR1A1,97.16624
AKR1B1,310.9806
AKR1B10,1.5720562
AKR1B15,0.111597836
AKR1C1,1.0204128
AKR1C2,0.21083736
AKR1C3,2.3726518
AKR1C4,0.2034998
AKR1C6P,0.110536724
AKR1CL1,0.09198578
AKR1D1,1.768217
AKR1E2,0.3366627
AKR7A2,74.63242
AKR7A2P1,1.573361
AKR7A3,3.4442494
AKR7L,4.9475403
AKT1,22.17743
AKT1S1,5.906626
AKT2,17.295614
AKT3,43.180565
AKTIP,36.161972
ALAD,16.868237
ALAS1,56.235916
ALAS2,0.09756848
ALB,0.1676769
ALCAM,104.381386
ALDH16A1,12.38539
ALDH18A1,65.36314
ALDH1A1,0.3725277
ALDH1A2,0.71361446
ALDH1A3,1.0114663
ALDH1B1,33.22663
ALDH1L1,7.3537445
ALDH1L1-AS1,1.0058489
ALDH1L1-AS2,1.0818287
ALDH1L2,5.022575
ALDH2,66.54732
ALDH3A1,0.9805479
ALDH3A2,76.22026
ALDH3B1,3.1644046
ALDH3B2,0.03783134
ALDH4A1,12.241314
ALDH5A1,17.401928
ALDH6A1,57.99365
ALDH7A1,79.9875
ALDH8A1,2.2141817
ALDH9A1,152.94344
ALDOA,918.7474
ALDOB,0.27505982
ALDOC,37.53658
ALG1,20.225857
ALG10,11.044854
ALG10B,10.507066
ALG11,35.2378
ALG12,26.658693
ALG13,27.739702
ALG14,32.498028
ALG1L,1.9398776
ALG1L2,0.5121454
