GeneID,G2M
A1BG,2.611785
A1BG-AS1,2.76423
A1CF,0.19287407
A2M,39.93099
A2M-AS1,1.4284552
A2ML1,0.4509072
A2MP1,0.060320776
A4GALT,0.915738
A4GNT,0.0669529
AA06,0.0
AAAS,109.15935
AACS,31.826244
AACSP1,0.063988484
AADAC,0.0
AADACL2,0.0
AADACL3,0.094985336
AADACL4,0.0067741745
AADAT,23.427456
AAED1,3.3603454
AAGAB,44.268288
AAK1,9.661732
AAMDC,81.24364
AAMP,158.58058
AANAT,0.015454473
AAR2,55.44492
AARD,2.4744623
AARS,74.00981
AARS2,22.075071
AARSD1,64.258156
AASDH,15.104672
AASDHPPT,135.38295
AASS,56.84435
AATF,102.8491
AATK,1.1051936
AATK-AS1,0.013870949
ABAT,103.48782
ABCA1,19.87964
ABCA10,1.1117032
ABCA11P,30.047104
ABCA12,0.57328737
ABCA13,3.4435189
ABCA17P,0.4614053
ABCA2,4.9284754
ABCA3,15.753127
ABCA4,0.25654262
ABCA5,5.381617
ABCA6,0.3751876
ABCA7,0.17686209
ABCA8,5.076918
ABCA9,4.1301436
ABCB1,1.0544904
ABCB10,2.8961143
ABCB11,0.002170088
ABCB4,2.163516
ABCB5,2.2010503
ABCB6,28.270763
ABCB7,49.960148
ABCB8,19.184921
ABCB9,9.075872
ABCC1,2.7417686
ABCC10,8.065615
ABCC11,0.00876829
ABCC12,0.34404907
ABCC13,0.46489853
ABCC2,0.91322947
ABCC3,1.0623754
ABCC4,4.1479774
ABCC5,34.46286
ABCC5-AS1,0.18830267
ABCC6,0.2176543
ABCC6P1,0.0
ABCC6P2,1.6105254
ABCC8,0.8962789
ABCC9,57.828014
ABCD1,2.8706148
ABCD2,4.9138246
ABCD3,97.06415
ABCD4,30.783743
ABCE1,75.84194
ABCF1,55.10156
ABCF2,73.52831
ABCF3,32.20409
ABCG1,4.971405
ABCG2,1.3016714
ABCG4,0.16823848
ABCG5,0.31413668
ABCG8,0.29800767
ABHD1,0.70961714
ABHD10,74.5662
ABHD11,27.64158
ABHD12,50.636936
ABHD12B,2.4207592
ABHD13,22.15665
ABHD14A,27.377953
ABHD14A-ACY1,0.97017324
ABHD14B,11.556336
ABHD15,5.8001456
ABHD16A,74.76078
ABHD16B,3.41812
ABHD2,67.61708
ABHD3,55.54226
ABHD4,31.442842
ABHD5,22.188374
ABHD6,6.7858934
ABHD8,1.964908
ABI1,47.363514
ABI2,105.16343
ABI3,0.07416422
ABI3BP,0.93620914
ABL1,15.812251
ABL2,9.609227
ABLIM1,15.4664955
ABLIM2,6.1650248
ABLIM3,0.8167785
ABO,0.015601174
ABP1,0.35769242
ABR,23.024597
ABRA,0.40498537
ABRACL,61.079334
ABT1,39.107597
ABTB1,4.0394588
ABTB2,6.9272757
ACAA1,82.22003
ACAA2,73.817825
ACACA,23.62356
ACACB,2.5346868
ACAD10,15.471024
ACAD11,18.400558
ACAD8,39.022736
ACAD9,32.425537
ACADL,1.1283283
ACADM,84.49457
ACADS,7.6642866
ACADSB,6.4972935
ACADVL,99.91758
ACAN,1.1584113
ACAP1,0.0718182
ACAP2,16.462439
ACAP3,10.049334
ACAT1,109.08025
ACAT2,153.20717
ACBD3,19.375767
ACBD4,3.6187189
ACBD5,35.578857
ACBD6,110.8899
ACBD7,24.603874
ACCS,2.1046345
ACCSL,0.0
ACD,29.84284
ACE,0.017624523
ACE2,0.09255128
ACER1,0.0
ACER2,1.4543886
ACER3,24.851995
ACHE,10.331041
ACIN1,27.73898
ACLY,126.591255
ACMSD,0.051173024
ACN9,30.709307
ACO1,25.164793
ACO2,77.82864
ACOT1,5.185034
ACOT11,1.2245454
ACOT12,1.0926075
ACOT13,28.68491
ACOT2,31.437387
ACOT4,0.02313783
ACOT6,0.12348865
ACOT7,113.73481
ACOT8,41.661114
ACOT9,39.389915
ACOX1,24.513489
ACOX2,3.154653
ACOX3,16.100487
ACOXL,0.16932583
ACP1,233.80994
ACP2,49.333885
ACP5,0.014252075
ACP6,13.221099
ACPL2,25.400091
ACPP,0.38079184
ACPT,0.51439965
ACR,0.06683285
ACRBP,0.9615541
ACRC,2.0433888
ACRV1,3.2459972
ACSBG1,11.600353
ACSBG2,1.0479467
ACSF2,4.366425
ACSF3,16.862858
ACSL1,24.340605
ACSL3,159.89078
ACSL4,17.743906
ACSL5,0.63225794
ACSL6,2.0597622
ACSM1,0.0
ACSM2A,0.009853372
ACSM2B,0.0
ACSM3,0.057507463
ACSM4,0.0
ACSM5,0.5390078
ACSS1,6.7688155
ACSS2,12.893829
ACSS3,31.904661
ACTA1,1.2917876
ACTA2,20.367205
ACTB,6475.108
ACTBL2,0.0
ACTC1,0.99355
ACTG1,3691.717
ACTG1P4,0.6161018
ACTG2,1.2531939
ACTL10,0.88433766
ACTL6A,197.66682
ACTL6B,10.261673
ACTL7A,0.18260998
ACTL7B,0.24313767
ACTL8,0.29460812
ACTL9,0.0
ACTN1,45.20846
ACTN1-AS1,0.0
ACTN2,7.800409
ACTN3,0.15926687
ACTN4,61.21455
ACTR10,104.71721
ACTR1A,138.41397
ACTR1B,23.645876
ACTR2,84.52694
ACTR3,279.41998
ACTR3B,15.200511
ACTR3BP2,0.10428027
ACTR3BP5,0.12850708
ACTR3C,1.0789785
ACTR5,14.882751
ACTR6,89.082596
ACTR8,28.049377
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,1.3914944
ACVR1,6.3242955
ACVR1B,5.3012657
ACVR1C,0.112729296
ACVR2A,39.240044
ACVR2B,4.5980425
ACVR2B-AS1,1.2453666
ACVRL1,0.52418715
ACY1,15.252397
ACY3,1.237038
ACYP1,57.010258
ACYP2,37.76741
ADA,20.431908
ADAD1,0.0
ADAD2,0.0062756604
ADAL,14.456874
ADAM10,48.98242
ADAM11,2.214834
ADAM12,9.620163
ADAM15,20.487602
ADAM17,50.512203
ADAM18,0.0
ADAM19,10.363195
ADAM1A,6.1779156
ADAM2,0.0
ADAM20,0.97261244
ADAM20P1,1.1004063
ADAM21,1.1338955
ADAM21P1,0.09354626
ADAM22,16.218718
ADAM23,3.5408764
ADAM28,0.0
ADAM29,0.0
ADAM30,0.014692083
ADAM32,1.0948153
ADAM33,0.50862026
ADAM3A,0.06612877
ADAM5,0.017507192
ADAM6,0.0
ADAM7,0.025307918
ADAM8,0.567537
ADAM9,113.47074
ADAMDEC1,0.02516129
ADAMTS1,27.800632
ADAMTS10,1.7923263
ADAMTS12,2.0200324
ADAMTS13,0.97072905
ADAMTS14,0.3345492
ADAMTS15,0.28116786
ADAMTS16,0.18671554
ADAMTS17,1.5832788
ADAMTS18,0.40354848
ADAMTS19,0.117126174
ADAMTS2,0.44536263
ADAMTS20,1.2920185
ADAMTS3,3.5296152
ADAMTS4,14.233104
ADAMTS5,0.9386196
ADAMTS6,3.2697165
ADAMTS7,1.3984519
ADAMTS8,0.09331409
ADAMTS9,10.495221
ADAMTS9-AS2,1.0880059
ADAMTSL1,3.2797818
ADAMTSL2,2.3819544
ADAMTSL3,0.033548415
ADAMTSL4,3.0877645
ADAMTSL5,0.08642236
ADAP1,0.93386495
ADAP2,0.23049998
ADAR,58.18131
ADARB1,2.0033865
ADARB2,0.6765376
ADARB2-AS1,0.88354933
ADAT1,24.985407
ADAT2,3.6924365
ADAT3,1.964423
ADC,1.9881469
ADCK1,10.11146
ADCK2,3.4858353
ADCK3,11.006336
ADCK4,22.913385
ADCK5,11.792612
ADCY1,4.4133053
ADCY10,0.5341035
ADCY10P1,1.6954635
ADCY2,1.9313502
ADCY3,3.7224214
ADCY4,0.0
ADCY5,1.044012
ADCY6,11.001838
ADCY7,6.552397
ADCY8,2.5581884
ADCY9,0.9712315
ADCYAP1,0.5279805
ADCYAP1R1,11.88058
ADD1,75.51307
ADD2,46.188026
ADD3,60.775036
ADGB,0.0
ADH1A,0.05818186
ADH1B,0.029237587
ADH1C,0.0
ADH4,1.29941
ADH5,188.80449
ADH6,0.49269822
ADH7,0.005806503
ADHFE1,7.01133
ADI1,115.931404
ADIG,0.17958944
ADIPOQ,0.67348874
ADIPOQ-AS1,0.35903606
ADIPOR1,125.40047
ADIPOR2,10.592565
ADIRF,0.41131786
ADK,39.296276
ADM,61.087036
ADM2,1.704571
ADM5,2.160771
ADNP,42.98878
ADNP2,10.714209
ADO,7.581543
ADORA1,6.409229
ADORA2A,1.6306139
ADORA2A-AS1,0.64979076
ADORA2B,3.6669865
ADORA3,0.270909
ADPGK,40.221912
ADPGK-AS1,3.4660916
ADPRH,2.8744829
ADPRHL1,1.6476835
ADPRHL2,71.00863
ADPRM,24.16124
ADRA1A,7.1369658
ADRA1B,0.046627566
ADRA1D,0.0863625
ADRA2A,0.40621725
ADRA2B,0.12331136
ADRA2C,0.0
ADRB1,0.7789728
ADRB2,0.6395894
ADRB3,0.008181818
ADRBK1,7.626822
ADRBK2,4.38408
ADRM1,147.1896
ADSL,108.94715
ADSS,58.607826
ADSSL1,2.3049564
ADTRP,0.0
AEBP1,9.020679
AEBP2,29.044165
AEN,51.88273
AES,53.092262
AFAP1,24.238022
AFAP1-AS1,1.2076526
AFAP1L1,7.26168
AFAP1L2,19.781466
AFF1,12.824441
AFF2,0.431409
AFF3,6.4386463
AFF4,59.776443
AFG3L1P,26.028034
AFG3L2,38.022255
AFM,0.0
AFMID,20.93831
AFP,0.0
AFTPH,17.912233
AGA,24.697142
AGAP1,11.4658
AGAP11,0.91976523
AGAP2,7.5254874
AGAP3,22.61457
AGAP4,7.0958085
AGAP5,7.4285803
AGAP6,18.449566
AGAP7,1.7149658
AGAP8,5.453459
AGAP9,4.545136
AGBL1,0.21580736
AGBL2,0.087917745
AGBL3,4.1854877
AGBL4,0.37510252
AGBL5,24.260061
AGER,6.7643642
AGFG1,8.77831
AGFG2,6.823537
AGGF1,24.145391
AGK,36.8413
AGL,16.422878
AGMAT,4.642755
AGMO,10.445514
AGO1,16.161072
AGO2,17.417685
AGO3,31.074955
AGO4,6.6446757
AGPAT1,62.237328
AGPAT2,6.1930447
AGPAT3,9.263933
AGPAT4,15.928111
AGPAT4-IT1,14.05992
AGPAT5,37.38304
AGPAT6,30.071913
AGPAT9,1.1515256
AGPHD1,4.7596045
AGPS,8.1621475
AGR2,0.09257881
AGR3,0.014046859
AGRN,4.1392016
AGRP,0.05387097
AGSK1,5.354661
AGT,94.81544
AGTPBP1,13.863621
AGTR1,0.35632804
AGTR2,0.0
AGTRAP,33.50885
AGXT,0.0
AGXT2,0.004956012
AGXT2L1,0.0
AGXT2L2,22.499208
AHCTF1,14.747478
AHCTF1P1,1.0088587
AHCY,141.6198
AHCYL1,49.520523
AHCYL2,15.303153
AHDC1,2.340148
AHI1,30.0472
AHNAK,4.106366
AHNAK2,0.10085034
AHR,11.359262
AHRR,0.9433537
AHSA1,144.77672
AHSA2,7.0781164
AHSG,1.5053959
AHSP,0.0
AICDA,1.7408818
AIDA,34.28098
AIF1,0.045219813
AIF1L,94.9785
AIFM1,34.366146
AIFM2,5.2592587
AIFM3,0.36606875
AIG1,46.66032
AIM1,1.0175674
AIM1L,0.008475075
AIM2,4.9030776
AIMP1,44.695347
AIMP2,104.33239
AIP,73.55273
AIPL1,3.1998518
AIRE,0.32841825
AIRN,0.19404675
AJAP1,0.5087976
AJUBA,4.8499403
AK1,24.399115
AK2,56.195866
AK3,39.55339
AK4,33.738014
AK5,1.1590903
AK7,0.8120425
AK8,0.9024067
AKAP1,6.5236373
AKAP10,20.388893
AKAP11,21.055845
AKAP12,26.237387
AKAP13,26.747725
AKAP14,0.052199412
AKAP17A,5.225023
AKAP2,5.849431
AKAP3,0.6110734
AKAP4,0.0
AKAP5,4.14599
AKAP6,8.569138
AKAP7,60.667587
AKAP8,47.56019
AKAP8L,27.180092
AKAP9,22.105804
AKD1,32.37271
AKIP1,95.822784
AKIRIN1,170.73389
AKIRIN2,164.0575
AKNA,4.670699
AKNAD1,7.571113
AKR1A1,96.52403
AKR1B1,262.3449
AKR1B10,1.1889443
AKR1B15,0.2686217
AKR1C1,1.155471
AKR1C2,0.24084875
AKR1C3,3.5861883
AKR1C4,0.056510266
AKR1C6P,0.019648094
AKR1CL1,0.0
AKR1D1,1.5143144
AKR1E2,0.06994439
AKR7A2,38.723038
AKR7A2P1,1.0572711
