GeneID,MESlike2
A1BG,5.73128
A1BG-AS1,7.6568055
A1CF,0.09079324
A2M,58.43831
A2M-AS1,0.54116666
A2ML1,0.6923977
A2MP1,0.23665537
A4GALT,0.5124099
A4GNT,0.20105365
AA06,0.0
AAAS,73.54074
AACS,34.26007
AACSP1,0.19108863
AADAC,0.0
AADACL2,0.027564522
AADACL3,0.010774908
AADACL4,0.008025831
AADAT,9.987117
AAED1,9.745662
AAGAB,38.20419
AAK1,11.854306
AAMDC,40.20565
AAMP,199.91069
AANAT,1.0618081
AAR2,82.390526
AARD,3.6854756
AARS,193.21347
AARS2,19.886482
AARSD1,56.954006
AASDH,23.95586
AASDHPPT,125.82008
AASS,94.24315
AATF,92.92832
AATK,0.82805544
AATK-AS1,0.023357987
ABAT,28.991375
ABCA1,129.56598
ABCA10,0.91302484
ABCA11P,17.682907
ABCA12,0.3939414
ABCA13,0.839152
ABCA17P,0.5045022
ABCA2,11.4331875
ABCA3,9.774485
ABCA4,0.0249631
ABCA5,11.744357
ABCA6,2.4969733
ABCA7,1.0861459
ABCA8,8.398111
ABCA9,5.051912
ABCB1,2.1160553
ABCB10,8.307154
ABCB11,0.032380074
ABCB4,1.8200574
ABCB5,2.704832
ABCB6,57.397346
ABCB7,45.359287
ABCB8,14.04711
ABCB9,7.2913923
ABCC1,9.641368
ABCC10,10.367828
ABCC11,0.42431295
ABCC12,0.006918819
ABCC13,0.43658698
ABCC2,1.1537468
ABCC3,16.335154
ABCC4,5.312768
ABCC5,36.651226
ABCC5-AS1,0.124485
ABCC6,5.045036
ABCC6P1,1.4242092
ABCC6P2,2.4200788
ABCC8,2.1008992
ABCC9,80.47126
ABCD1,3.2649252
ABCD2,3.2157178
ABCD3,83.524445
ABCD4,41.175484
ABCE1,89.288216
ABCF1,46.564163
ABCF2,65.63832
ABCF3,60.948654
ABCG1,6.7639728
ABCG2,1.0895698
ABCG4,0.06605205
ABCG5,0.2270282
ABCG8,0.021273062
ABHD1,1.6035855
ABHD10,44.207848
ABHD11,32.509464
ABHD12,48.541718
ABHD12B,13.61656
ABHD13,34.580544
ABHD14A,33.223984
ABHD14A-ACY1,0.84237885
ABHD14B,17.191328
ABHD15,5.8610954
ABHD16A,77.43993
ABHD16B,3.3798137
ABHD2,53.08888
ABHD3,35.19431
ABHD4,76.06814
ABHD5,40.03299
ABHD6,10.821086
ABHD8,6.9799604
ABI1,51.710434
ABI2,86.64698
ABI3,0.0
ABI3BP,16.157341
ABL1,20.355124
ABL2,14.907871
ABLIM1,22.360727
ABLIM2,2.0290356
ABLIM3,4.1467495
ABO,0.0017158672
ABP1,0.0378413
ABR,43.509857
ABRA,3.345611
ABRACL,14.4061365
ABT1,44.75129
ABTB1,18.856064
ABTB2,9.961647
ACAA1,102.71886
ACAA2,71.300644
ACACA,19.057482
ACACB,3.7579546
ACAD10,23.73298
ACAD11,64.39357
ACAD8,52.159252
ACAD9,26.438679
ACADL,0.83274215
ACADM,70.99094
ACADS,16.891882
ACADSB,19.405285
ACADVL,187.40686
ACAN,6.7288733
ACAP1,2.4854481
ACAP2,24.2609
ACAP3,7.5518656
ACAT1,97.88514
ACAT2,55.045197
ACBD3,22.60397
ACBD4,9.2143955
ACBD5,41.60714
ACBD6,93.55432
ACBD7,10.683109
ACCS,1.2953117
ACCSL,0.057564575
ACD,42.676754
ACE,0.4213493
ACE2,0.47615445
ACER1,0.13454226
ACER2,3.895565
ACER3,19.940517
ACHE,48.329784
ACIN1,37.85426
ACLY,207.10883
ACMSD,0.064096786
ACN9,32.409046
ACO1,33.94061
ACO2,91.91919
ACOT1,5.9813275
ACOT11,4.3648467
ACOT12,0.8582447
ACOT13,47.574036
ACOT2,28.061949
ACOT4,1.185577
ACOT6,0.9457034
ACOT7,36.33431
ACOT8,46.516518
ACOT9,39.140125
ACOX1,26.254662
ACOX2,3.3950114
ACOX3,22.160791
ACOXL,0.26950246
ACP1,255.73082
ACP2,34.724815
ACP5,3.5549357
ACP6,20.456202
ACPL2,55.332928
ACPP,0.20168427
ACPT,0.976921
ACR,0.07348708
ACRBP,6.748564
ACRC,5.5996
ACRV1,1.2328062
ACSBG1,12.964343
ACSBG2,1.0608488
ACSF2,4.345398
ACSF3,20.321293
ACSL1,15.96205
ACSL3,79.78536
ACSL4,13.330079
ACSL5,0.5771185
ACSL6,4.4602823
ACSM1,0.083210334
ACSM2A,0.27595943
ACSM2B,0.0497786
ACSM3,0.07828307
