GeneID,Macrophage
A1BG,1.9464833
A1BG-AS1,5.107762
A1CF,0.047983985
A2M,1307.5126
A2M-AS1,4.424882
A2ML1,0.27039862
A2MP1,0.47196057
A4GALT,0.009244036
A4GNT,1.6202173
AA06,0.0
AAAS,29.135853
AACS,6.141279
AACSP1,0.12543766
AADAC,0.0034217506
AADACL2,0.0
AADACL3,0.0214589
AADACL4,0.0
AADAT,0.099270545
AAED1,17.486235
AAGAB,25.47991
AAK1,8.894983
AAMDC,24.096317
AAMP,102.12888
AANAT,2.8557131
AAR2,35.46911
AARD,2.2360752
AARS,35.036964
AARS2,10.463111
AARSD1,27.569742
AASDH,9.338258
AASDHPPT,30.790653
AASS,6.809229
AATF,46.27013
AATK,1.0976738
AATK-AS1,0.0059814327
ABAT,8.808834
ABCA1,105.933014
ABCA10,0.16385987
ABCA11P,5.9771795
ABCA12,0.056752004
ABCA13,0.14450923
ABCA17P,0.23391272
ABCA2,2.2933342
ABCA3,0.8547233
ABCA4,0.0032360873
ABCA5,1.675493
ABCA6,0.9096817
ABCA7,4.7832527
ABCA8,0.27761272
ABCA9,2.7101998
ABCB1,0.14559682
ABCB10,5.668489
ABCB11,0.0
ABCB4,6.4956155
ABCB5,1.7406487
ABCB6,2.701837
ABCB7,36.651196
ABCB8,7.4594803
ABCB9,0.9090781
ABCC1,4.272131
ABCC10,11.4507885
ABCC11,0.046657823
ABCC12,0.005198939
ABCC13,0.27184343
ABCC2,0.23348737
ABCC3,25.772118
ABCC4,41.98519
ABCC5,40.19953
ABCC5-AS1,0.14063548
ABCC6,6.807775
ABCC6P1,0.03202936
ABCC6P2,0.03785018
ABCC8,0.039310344
ABCC9,49.302505
ABCD1,9.9344015
ABCD2,0.5293517
ABCD3,25.6463
ABCD4,29.390924
ABCE1,30.257727
ABCF1,24.482363
ABCF2,25.33672
ABCF3,24.36474
ABCG1,66.62375
ABCG2,1.8643779
ABCG4,0.0046021394
ABCG5,0.032095492
ABCG8,0.039389342
ABHD1,0.9057251
ABHD10,26.482958
ABHD11,36.959698
ABHD12,91.03801
ABHD12B,2.888699
ABHD13,19.093855
ABHD14A,24.463964
ABHD14A-ACY1,0.6825862
ABHD14B,45.49101
ABHD15,19.615309
ABHD16A,85.131004
ABHD16B,2.9101086
ABHD2,34.666214
ABHD3,103.64731
ABHD4,24.600397
ABHD5,23.489891
ABHD6,5.034394
ABHD8,4.341063
ABI1,127.496864
ABI2,14.242979
ABI3,163.8996
ABI3BP,0.19318417
ABL1,6.009697
ABL2,47.995213
ABLIM1,0.20643242
ABLIM2,0.36885944
ABLIM3,4.7268143
ABO,0.121511966
ABP1,0.43624857
ABR,53.84654
ABRA,6.5007997
ABRACL,90.04942
ABT1,27.425306
ABTB1,34.051186
ABTB2,0.4616843
ACAA1,114.26054
ACAA2,92.77796
ACACA,3.5919342
ACACB,2.8983836
ACAD10,10.508495
ACAD11,18.858452
ACAD8,23.135084
ACAD9,15.439366
ACADL,0.08538461
ACADM,55.811787
ACADS,14.171482
ACADSB,9.229695
ACADVL,104.64961
ACAN,0.030783463
ACAP1,6.010377
ACAP2,26.155067
ACAP3,1.1572762
ACAT1,69.91785
ACAT2,29.153044
ACBD3,8.730979
ACBD4,7.8773913
ACBD5,39.476055
ACBD6,41.2038
ACBD7,7.3942394
ACCS,14.504085
ACCSL,0.019761335
ACD,12.487563
ACE,0.7953434
ACE2,0.00074270554
ACER1,0.0
ACER2,3.2074072
ACER3,58.542274
ACHE,0.1937533
ACIN1,27.160435
ACLY,46.95786
ACMSD,0.005954939
ACN9,13.521982
ACO1,10.183428
ACO2,58.342686
ACOT1,3.2059226
ACOT11,5.9099636
ACOT12,0.0048806365
ACOT13,30.041044
ACOT2,28.080185
ACOT4,1.5997347
ACOT6,0.21535808
ACOT7,3.7011533
ACOT8,22.448109
ACOT9,80.352974
ACOX1,14.124522
ACOX2,0.94147545
ACOX3,15.247948
ACOXL,0.006432361
ACP1,102.64281
ACP2,64.49799
ACP5,46.298225
ACP6,8.402357
ACPL2,2.4399981
ACPP,28.551634
ACPT,0.13399275
ACR,0.0
ACRBP,18.09261
ACRC,2.6717212
ACRV1,0.002771883
ACSBG1,0.245778
ACSBG2,0.105914906
ACSF2,27.409237
ACSF3,19.238733
ACSL1,417.85895
ACSL3,59.11533
ACSL4,51.038048
ACSL5,35.038574
ACSL6,1.1328255
ACSM1,0.09469351
ACSM2A,0.0040981434
ACSM2B,0.0
ACSM3,2.6255581
ACSM4,0.059682712
ACSM5,28.251558
ACSS1,8.755114
ACSS2,17.946712
ACSS3,0.107811645
ACTA1,0.25745383
ACTA2,12.794986
ACTB,7992.7334
ACTBL2,0.00046419096
ACTC1,0.022984024
ACTG1,1327.2374
ACTG1P4,0.22328804
ACTG2,0.15526612
ACTL10,0.34720427
ACTL6A,60.73586
ACTL6B,0.0
ACTL7A,0.0
ACTL7B,0.0
ACTL8,0.010543766
ACTL9,0.008899204
ACTN1,26.289555
ACTN1-AS1,0.0058753313
ACTN2,0.36127326
ACTN3,0.0
ACTN4,20.026714
ACTR10,68.51681
ACTR1A,69.20482
ACTR1B,25.5043
ACTR2,152.44069
ACTR3,346.6072
ACTR3B,1.5821236
ACTR3BP2,0.34116495
ACTR3BP5,0.93247664
ACTR3C,1.6188221
ACTR5,10.195437
ACTR6,28.11836
ACTR8,19.003698
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,1.913236
ACVR1,6.4936996
ACVR1B,2.9095478
ACVR1C,0.042413794
ACVR2A,8.657106
ACVR2B,0.93939793
ACVR2B-AS1,0.43915102
ACVRL1,1.3840915
ACY1,31.449574
ACY3,43.39718
ACYP1,9.263446
ACYP2,19.141453
ADA,8.015135
ADAD1,0.0018832891
ADAD2,0.22234747
ADAL,6.3841863
ADAM10,81.3074
ADAM11,0.28188115
ADAM12,0.5905821
ADAM15,26.168173
ADAM17,84.48025
ADAM18,0.0030106101
ADAM19,2.9616733
ADAM1A,2.2537587
ADAM2,0.0
ADAM20,0.31492043
ADAM20P1,0.2194684
ADAM21,0.3242175
ADAM21P1,0.008222755
ADAM22,1.1909558
ADAM23,0.0
ADAM28,480.56015
ADAM29,0.0
ADAM30,0.025543766
ADAM32,0.29908487
ADAM33,0.35195962
ADAM3A,0.00899207
ADAM5,0.0
ADAM6,0.28917915
ADAM7,0.020782495
ADAM8,27.521116
ADAM9,172.37581
ADAMDEC1,76.672226
ADAMTS1,0.12233421
ADAMTS10,5.815088
ADAMTS12,0.006737446
ADAMTS13,0.40273154
ADAMTS14,0.61845165
ADAMTS15,0.44108754
ADAMTS16,0.004217482
ADAMTS17,1.1675897
ADAMTS18,0.011472146
ADAMTS19,0.09964187
ADAMTS2,1.9440454
ADAMTS20,0.00096816977
ADAMTS3,0.0
ADAMTS4,6.280187
ADAMTS5,0.018355437
ADAMTS6,0.3060341
ADAMTS7,0.050782472
ADAMTS8,0.12185645
ADAMTS9,0.02592838
ADAMTS9-AS2,0.038302384
ADAMTSL1,0.001763948
ADAMTSL2,9.725359
ADAMTSL3,0.009403183
ADAMTSL4,9.731978
ADAMTSL5,0.12124667
ADAP1,4.42274
ADAP2,163.4178
ADAR,30.440805
ADARB1,1.0094103
ADARB2,0.11293101
ADARB2-AS1,0.0
ADAT1,16.279139
ADAT2,4.5490427
ADAT3,1.4482423
ADC,22.156546
ADCK1,14.522453
ADCK2,11.699921
ADCK3,18.81885
ADCK4,12.390667
ADCK5,11.266098
ADCY1,0.36686993
ADCY10,0.23476134
ADCY10P1,1.8847545
ADCY2,0.17732072
ADCY3,13.404116
ADCY4,1.7389901
ADCY5,0.050848894
ADCY6,2.952727
ADCY7,72.6493
ADCY8,0.12859416
ADCY9,0.35893896
ADCYAP1,0.0
ADCYAP1R1,0.055212155
ADD1,25.48143
ADD2,0.24587551
ADD3,12.225273
ADGB,0.022121921
ADH1A,0.0
ADH1B,0.004668495
ADH1C,0.0
ADH4,0.7246808
ADH5,58.78813
ADH6,0.05435003
ADH7,0.0061405837
ADHFE1,12.401375
ADI1,103.09461
ADIG,0.054734748
ADIPOQ,0.56985396
ADIPOQ-AS1,0.20248026
ADIPOR1,178.14746
ADIPOR2,7.0842133
ADIRF,0.177374
ADK,27.182644
