GeneID,NPClike2
A1BG,3.9716463
A1BG-AS1,6.4169154
A1CF,0.20118344
A2M,35.15424
A2M-AS1,1.0204643
A2ML1,0.668657
A2MP1,0.62981343
A4GALT,0.0457571
A4GNT,0.12385638
AA06,0.0
AAAS,76.34644
AACS,29.166279
AACSP1,1.5545211
AADAC,0.0
AADACL2,0.0
AADACL3,0.011662234
AADACL4,0.19634339
AADAT,35.43573
AAED1,2.946903
AAGAB,45.282223
AAK1,21.950922
AAMDC,39.72136
AAMP,175.03941
AANAT,0.63821155
AAR2,77.92773
AARD,4.74393
AARS,74.29975
AARS2,23.51851
AARSD1,84.367294
AASDH,36.80666
AASDHPPT,172.38753
AASS,55.172062
AATF,92.573074
AATK,2.4894805
AATK-AS1,0.05753989
ABAT,88.67899
ABCA1,81.62256
ABCA10,1.022688
ABCA11P,19.829443
ABCA12,1.8316681
ABCA13,2.407553
ABCA17P,0.23063825
ABCA2,10.296454
ABCA3,16.559088
ABCA4,0.44588763
ABCA5,10.097472
ABCA6,0.24869676
ABCA7,3.4788294
ABCA8,0.877168
ABCA9,8.001557
ABCB1,1.0467974
ABCB10,6.384977
ABCB11,0.11602336
ABCB4,2.4140425
ABCB5,4.410368
ABCB6,31.079496
ABCB7,46.48418
ABCB8,24.928204
ABCB9,8.282824
ABCC1,9.4919195
ABCC10,19.218893
ABCC11,0.23480053
ABCC12,0.47728568
ABCC13,0.7157524
ABCC2,1.106753
ABCC3,1.0937469
ABCC4,3.80558
ABCC5,102.92659
ABCC5-AS1,1.4835072
ABCC6,1.3983831
ABCC6P1,1.0116397
ABCC6P2,0.7400224
ABCC8,10.6613865
ABCC9,108.13321
ABCD1,3.79842
ABCD2,6.90082
ABCD3,77.76329
ABCD4,42.648487
ABCE1,59.508934
ABCF1,53.712036
ABCF2,65.84313
ABCF3,41.573643
ABCG1,37.704212
ABCG2,0.25723404
ABCG4,1.4878966
ABCG5,0.08398928
ABCG8,0.20603801
ABHD1,1.0622209
ABHD10,80.05633
ABHD11,34.39474
ABHD12,38.51889
ABHD12B,0.36156914
ABHD13,28.141088
ABHD14A,45.19649
ABHD14A-ACY1,3.4030845
ABHD14B,5.1117907
ABHD15,6.2761564
ABHD16A,122.7506
ABHD16B,1.5334151
ABHD2,33.702488
ABHD3,21.110981
ABHD4,26.055626
ABHD5,21.453583
ABHD6,20.259514
ABHD8,3.787102
ABI1,49.434944
ABI2,95.67384
ABI3,0.020332446
ABI3BP,1.0000923
ABL1,20.553564
ABL2,15.51618
ABLIM1,13.590387
ABLIM2,10.154729
ABLIM3,3.1547725
ABO,0.099345885
ABP1,0.27638102
ABR,47.85942
ABRA,1.6167935
ABRACL,107.94246
ABT1,52.75906
ABTB1,9.337365
ABTB2,11.423768
ACAA1,100.97429
ACAA2,61.46193
ACACA,35.599686
ACACB,1.9257839
ACAD10,29.106203
ACAD11,16.999853
ACAD8,63.251854
ACAD9,34.749355
ACADL,0.8807978
ACADM,120.41748
ACADS,5.704708
ACADSB,12.195209
ACADVL,89.01542
ACAN,0.3415286
ACAP1,0.14248669
ACAP2,29.713379
ACAP3,16.250372
ACAT1,123.80935
ACAT2,144.0203
ACBD3,19.333237
ACBD4,6.961409
ACBD5,27.247402
ACBD6,141.96016
ACBD7,17.791105
ACCS,3.3565564
ACCSL,0.0
ACD,42.693718
ACE,0.43285906
ACE2,0.6480593
ACER1,0.0
ACER2,6.4975696
ACER3,19.441412
ACHE,25.216541
ACIN1,44.000416
ACLY,136.69405
ACMSD,0.29850778
ACN9,35.728573
ACO1,26.680222
ACO2,102.93944
ACOT1,8.928606
ACOT11,2.0348473
ACOT12,0.4634308
ACOT13,28.466354
ACOT2,38.390213
ACOT4,1.221565
ACOT6,0.4439096
ACOT7,219.40567
ACOT8,63.388855
ACOT9,25.569014
ACOX1,30.309402
ACOX2,2.802337
ACOX3,24.939434
ACOXL,0.19368309
ACP1,253.53166
ACP2,58.159786
ACP5,0.30814865
ACP6,12.378692
ACPL2,49.87556
ACPP,0.14857718
ACPT,0.3490545
ACR,0.22121003
ACRBP,3.7394407
ACRC,1.8023431
ACRV1,13.5988455
ACSBG1,1.3702375
ACSBG2,0.9927389
ACSF2,1.3763858
ACSF3,19.195555
ACSL1,34.64018
ACSL3,81.71996
ACSL4,29.083555
ACSL5,0.21625844
ACSL6,8.696599
ACSM1,0.048643157
ACSM2A,0.033045325
ACSM2B,0.0
ACSM3,0.011755319
ACSM4,0.1775266
ACSM5,0.40261966
ACSS1,7.7328506
ACSS2,16.411905
ACSS3,6.629796
ACTA1,1.1933595
ACTA2,7.9178743
ACTB,7818.271
ACTBL2,1.1066887
ACTC1,5.0457983
ACTG1,4354.691
ACTG1P4,2.165302
ACTG2,5.6472073
ACTL10,0.8278958
ACTL6A,147.66998
ACTL6B,115.56894
ACTL7A,0.2136037
ACTL7B,0.068004385
ACTL8,0.12688829
ACTL9,0.0
ACTN1,28.254894
ACTN1-AS1,0.0
ACTN2,5.550604
ACTN3,0.25787497
ACTN4,35.50515
ACTR10,168.65039
ACTR1A,164.05717
ACTR1B,42.503212
ACTR2,84.55388
ACTR3,240.23555
ACTR3B,22.05312
ACTR3BP2,0.9675665
ACTR3BP5,0.68785906
ACTR3C,1.9470804
ACTR5,24.98022
