MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
A1BG,10.08426,0.44410002,2.7973974,0.5447042,3.2359304,8.562049,1.1920054,7.500192,4.3206058,4.5368686,5.2142124,5.275973,3.6822057,2.5786955,1.4422916,0,4.435803,5.3714724,5.441834,0.46002293,1.687452,1.3181627,1.1619232,5.5455174,0.13721398,6.17611,6.5152574
A1BG-AS1,14.816793,0.038599998,3.340818,2.125352,6.3405514,11.8445,1.2583566,7.708193,7.984606,9.165522,8.306631,7.5468106,5.0129323,1.4652717,2.2291145,3.7794375,7.7532115,6.9919014,10.699869,1.5618347,2.2243695,6.4840975,2.5611951,7.929215,0.18995112,8.162261,10.201114
A1CF,0.08416267,0.039100002,0.14394052,0.10070422,0.07317035,0.061350003,0.22256267,0.015153846,0.047878787,0.0603367,0.1391209,0.18018918,1.2219551,0.53244567,0.116093755,0.2626407,0.019014599,0.13539876,0.07528384,0.0462844,0.09101502,0.03767096,0.16637303,0.19826038,0.13462262,0.102227375,0.05225889
A2M,75.20685,455.41293,677.6673,89.73031,695.96826,107.001144,14.090946,142.13077,58.621696,0.12828283,287.54556,142.79605,207.99823,35.72772,43.945053,43.872948,94.980835,0.4084049,288.9396,11.238671,4.047587,1062.305,0.8739021,482.01797,2.1706755,51.86507,517.7465
A2M-AS1,0.42220095,0.01225,0.5669888,0.77977455,3.5561194,1.7447499,7.401142,0.7779615,0.8503636,0.90666664,1.379304,3.6263516,3.6134334,0.07652174,1.4179165,1.2098701,1.0823723,0.051595088,9.631397,0.270711,1.1065402,4.029314,0.97111404,3.6549897,0.3423081,2.4369295,1.5602646
A2ML1,0.5166986,2.435,0.4920818,0.3549296,2.1951103,0.5973,0.22089136,0.41926923,3.1640604,0.45821548,0.40992674,1.0489188,0.71914786,2.4022827,0.72739583,0.607922,0.2367883,0.36214724,5.414498,1.070665,0.4534029,0.48676148,0.27940112,0.75056636,0.40136543,6.4789944,0.36946803
A2MP1,0.09889952,0,0,0.30236617,1.2239591,0.03025,0.3404457,0,0,0,3.5188644,1.5008378,0,0,0.055833336,0.17510822,0.4968613,3.0863802,0.33668125,0.014954127,0.86566937,0.418341,0.047191452,0.5313448,0.024670014,1.2931912,0.018870592
A4GALT,0,0,0,0.07907042,0.330347,0.93165,0.037158776,0,0,0,0.5143224,0,0.06864662,2.0442936,0,0,0.31675184,0,3.6803062,0,0.1737918,0.028538827,0.47592884,2.1568062,0.050469615,1.5512141,1.4794414
A4GNT,0.045885168,0,1.0748327,0,0,0.1871,0,0,0,0.0049494947,0.0592674,0,0.31165412,0,0,0,0,0,0,0.024220183,0,4.0416613,0.096028104,0.772139,0,0,0
AA06,0,0,0,0,0.024384858,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AAAS,77.11468,72.3154,63.69717,84.10904,54.286972,43.1035,66.24527,56.249535,88.70023,68.61457,63.44875,70.08395,74.5616,105.762726,94.0023,67.278885,74.896675,88.5135,117.24795,68.886116,67.59283,33.482594,62.50307,94.680565,36.764984,68.45618,48.338306
AACS,23.27244,7.5782995,22.408215,20.875942,18.515017,20.41555,22.349998,25.19727,27.978786,31.040539,14.969633,27.595108,16.00133,32.98446,19.561459,21.773247,14.325729,15.861595,48.887688,10.21688,33.04708,10.260791,18.553757,23.850513,23.386877,17.44665,16.833754
AACSP1,0.34947369,0.07025,1.9017472,0.06408451,0.1259306,0.05245,0.09116991,0.19503844,0.1309697,0.10959596,0.19216116,0.21648648,0.30426064,0.93809783,0.12317709,2.3105628,0.034343064,0.22006135,0.02213974,0.17876145,0.11447746,0.224886,0.075867504,0.17233062,0.10386766,0.21359262,0.06920263
AADAC,0.022918658,0,0,0,0.018091483,0,0,0,0,0,0,0.045675676,0,0,0,0.052294374,0,0,0,0,0,0,0.024227196,0,0,0.08063561,0
AADACL2,0.10464115,0,0,0,0,0,0.07300835,0,0,0,0.30043954,0.23791893,0,0,0,0,0,0,0,0.010665137,0,0,0,0,0.01905647,0.4095832,0
AADACL3,0.109473675,0.00875,0.014312267,0.007070422,0.014006308,0.049949996,0.013593314,0.0071923076,0.011393938,0.012457913,0.0025641026,0.029594596,0.028070174,0.005978261,0.010572917,0.02004329,0.02229927,0,0.06615721,0.015802752,0.086954325,0.02027402,0,0.009114893,0,0.14704023,0.014817091
AADACL4,0,0,0,0.07814084,0.0027444796,0,0,0.019384615,0.05260606,0,0.011758242,0.22608109,0.0076691727,0,0,0,0,0,0,0.010688073,0.17232907,0,0.007287046,0,0.08070532,0,0
