MGH100,MGH101,MGH102,MGH104,MGH105,MGH106,MGH110,MGH113,MGH115,MGH121,MGH122,MGH124,MGH125,MGH128,MGH129,MGH136,MGH143,MGH151,MGH152,MGH66,BT1160,BT1187,BT749,BT771,BT786,BT830,BT920
Macrophage,0,0.235,0.356877323420074,0,0.317034700315457,0.045,0.0112044817927171,0.161538461538462,0.0303030303030303,0,0.179487179487179,0.113513513513514,0.100250626566416,0,0,0,0,0,0,0.00229357798165138,0,0.899543378995434,0,0.0206489675516224,0.00476190476190476,0,0.0433333333333333
Oligodendrocyte,0,0,0.0371747211895911,0,0.0488958990536278,0,0.137254901960784,0,0,0.0168350168350168,0.0805860805860806,0.0027027027027027,0.0476190476190476,0.135869565217391,0.0104166666666667,0.00865800865800866,0.00366300366300366,0.257668711656442,0.00440528634361234,0,0,0,0.00630914826498423,0.0117994100294985,0.00952380952380952,0,0
T_cell,0,0,0,0,0.00946372239747634,0.275,0.0140056022408964,0.0153846153846154,0,0,0.00732600732600733,0,0.0200501253132832,0,0,0,0,0,0,0,0,0.0639269406392694,0,0,0,0,0
MESlike2,0.200956937799043,0.085,0.00743494423791822,0.0932203389830508,0.083596214511041,0.095,0.0532212885154062,0.123076923076923,0.357575757575758,0.131313131313131,0.0659340659340659,0.0297297297297297,0.0025062656641604,0.0869565217391304,0.046875,0.0476190476190476,0.0366300366300366,0,0.0440528634361234,0.0275229357798165,0.0119402985074627,0.0045662100456621,0.0157728706624606,0.274336283185841,0.0285714285714286,0.0730593607305936,0.0133333333333333
MESlike1,0.0191387559808612,0.145,0.00371747211895911,0.129943502824859,0.184542586750789,0.295,0.0112044817927171,0.00384615384615385,0.0787878787878788,0.0336700336700337,0.0183150183150183,0.0243243243243243,0,0.0706521739130435,0.0989583333333333,0.00432900432900433,0.032967032967033,0,0.193832599118943,0.155963302752294,0,0.0182648401826484,0,0.294985250737463,0,0.579908675799087,0.543333333333333
AClike,0.267942583732057,0.47,0.0223048327137546,0.488700564971751,0.277602523659306,0.215,0.0224089635854342,0.388461538461538,0.490909090909091,0.451178451178451,0.00732600732600733,0.0351351351351351,0.0350877192982456,0.0706521739130435,0.59375,0.0606060606060606,0.655677655677656,0.288343558282209,0.185022026431718,0.55045871559633,0.00298507462686567,0.0045662100456621,0,0.0855457227138643,0.00952380952380952,0.292237442922374,0.0966666666666667
OPClike,0.0526315789473684,0.005,0.104089219330855,0.00282485875706215,0.0141955835962145,0,0.218487394957983,0.119230769230769,0.0121212121212121,0.0606060606060606,0.256410256410256,0.164864864864865,0.050125313283208,0,0.0104166666666667,0.346320346320346,0.00732600732600733,0.0858895705521472,0.013215859030837,0.0275229357798165,0.152238805970149,0,0.416403785488959,0.056047197640118,0.480952380952381,0,0.02
NPClike1,0.157894736842105,0.005,0.107806691449814,0.00282485875706215,0.0441640378548896,0.03,0.277310924369748,0.0192307692307692,0.0181818181818182,0.144781144781145,0.0256410256410256,0.0405405405405405,0.358395989974937,0.0706521739130435,0.0989583333333333,0.0606060606060606,0.0183150183150183,0.226993865030675,0.185022026431718,0.0619266055045872,0.304477611940298,0,0.116719242902208,0.0943952802359882,0.00476190476190476,0,0.00666666666666667
NPClike2,0.0191387559808612,0,0.297397769516729,0,0,0.02,0.0168067226890756,0.0692307692307692,0,0.0101010101010101,0.285714285714286,0.443243243243243,0.225563909774436,0.146739130434783,0.0729166666666667,0.207792207792208,0.0805860805860806,0.0122699386503067,0.0440528634361234,0.00229357798165138,0.202985074626866,0.0045662100456621,0.0946372239747634,0.0383480825958702,0.0619047619047619,0,0.186666666666667
G1S,0.191387559808612,0.045,0.0557620817843866,0.228813559322034,0.0110410094637224,0.01,0.173669467787115,0.0807692307692308,0.00606060606060606,0.111111111111111,0.0402930402930403,0.108108108108108,0.12531328320802,0.364130434782609,0.0520833333333333,0.207792207792208,0.0952380952380952,0.110429447852761,0.26431718061674,0.100917431192661,0.235820895522388,0.0045662100456621,0.233438485804416,0.079646017699115,0.3,0.0319634703196347,0.0566666666666667
G2M,0.0909090909090909,0.01,0.00743494423791822,0.0536723163841808,0.00946372239747634,0.015,0.0644257703081232,0.0192307692307692,0.00606060606060606,0.0404040404040404,0.032967032967033,0.0378378378378378,0.0350877192982456,0.0543478260869565,0.015625,0.0562770562770563,0.0695970695970696,0.0184049079754601,0.066079295154185,0.0711009174311927,0.0895522388059701,0,0.116719242902208,0.0442477876106195,0.1,0.0228310502283105,0.0333333333333333
Purity,1,0.765,0.605947955390335,1,0.624605678233438,0.68,0.837535014005602,0.823076923076923,0.96969696969697,0.983164983164983,0.732600732600733,0.883783783783784,0.832080200501253,0.864130434782609,0.989583333333333,0.991341991341991,0.996336996336996,0.742331288343558,0.995594713656388,0.997706422018349,1,0.0365296803652968,0.993690851735016,0.967551622418879,0.985714285714286,1,0.956666666666667
