GeneID,OPClike
A1BG,2.2766128
A1BG-AS1,4.359401
A1CF,0.13381654
A2M,12.05974
A2M-AS1,2.9150717
A2ML1,0.6379385
A2MP1,0.36542517
A4GALT,0.17352407
A4GNT,0.01207443
AA06,0.0
AAAS,55.34028
AACS,20.236368
AACSP1,0.14328443
AADAC,0.0
AADACL2,0.10906914
AADACL3,0.0063164895
AADACL4,0.02275203
AADAT,27.381933
AAED1,3.854943
AAGAB,38.018036
AAK1,10.350433
AAMDC,30.946918
AAMP,166.34296
AANAT,0.6933244
AAR2,60.565056
AARD,3.1962066
AARS,80.60425
AARS2,17.725212
AARSD1,64.57167
AASDH,28.459503
AASDHPPT,182.67992
AASS,75.94379
AATF,80.92929
AATK,4.4144783
AATK-AS1,0.024973392
ABAT,132.47403
ABCA1,28.579178
ABCA10,0.89110386
ABCA11P,20.523897
ABCA12,0.93190753
ABCA13,0.38578445
ABCA17P,0.08481398
ABCA2,13.818165
ABCA3,18.462664
ABCA4,0.050372325
ABCA5,5.0818424
ABCA6,0.18292564
ABCA7,1.4638535
ABCA8,8.779242
ABCA9,7.167968
ABCB1,0.6777626
ABCB10,7.4844
ABCB11,0.02998725
ABCB4,2.7593195
ABCB5,2.4936166
ABCB6,38.266716
ABCB7,44.734688
ABCB8,14.750724
ABCB9,3.9495575
ABCC1,4.4211574
ABCC10,11.9264765
ABCC11,0.2328444
ABCC12,0.25314048
ABCC13,0.47727814
ABCC2,0.080785826
ABCC3,0.27845913
ABCC4,10.820936
ABCC5,80.025154
ABCC5-AS1,0.4670484
ABCC6,1.1712679
ABCC6P1,0.7255323
ABCC6P2,2.0326216
ABCC8,7.3952284
ABCC9,95.44069
ABCD1,2.4332871
ABCD2,3.4225788
ABCD3,79.15539
ABCD4,38.06964
ABCE1,90.22005
ABCF1,44.754807
ABCF2,70.46903
ABCF3,45.58619
ABCG1,29.643211
ABCG2,0.11783245
ABCG4,2.7602136
ABCG5,0.18279253
ABCG8,0.10365616
ABHD1,2.3736963
ABHD10,71.35112
ABHD11,25.069164
ABHD12,49.07741
ABHD12B,2.257073
ABHD13,25.726856
ABHD14A,74.2944
ABHD14A-ACY1,4.4537344
ABHD14B,10.080162
ABHD15,4.2759476
ABHD16A,104.37234
ABHD16B,2.4957716
ABHD2,101.90422
ABHD3,26.737696
ABHD4,47.864746
ABHD5,26.848433
ABHD6,15.3611765
ABHD8,1.4651972
ABI1,63.38636
ABI2,89.945145
ABI3,0.0
ABI3BP,0.92884415
ABL1,18.232264
ABL2,12.076163
ABLIM1,19.665558
ABLIM2,7.9316697
ABLIM3,2.4761248
ABO,0.1154249
ABP1,0.5782553
ABR,38.95515
ABRA,0.8463969
ABRACL,46.781315
ABT1,28.438087
ABTB1,8.677583
ABTB2,10.204033
ACAA1,130.86528
ACAA2,71.87032
ACACA,29.024992
ACACB,1.3081126
ACAD10,23.40682
ACAD11,19.611406
ACAD8,72.92886
ACAD9,27.727613
ACADL,2.9660773
ACADM,79.75535
ACADS,12.375629
ACADSB,14.814928
ACADVL,76.76806
ACAN,5.4910617
ACAP1,0.13489307
ACAP2,19.783634
ACAP3,26.777386
ACAT1,126.91979
ACAT2,159.87737
ACBD3,16.344587
ACBD4,5.275473
ACBD5,52.77517
ACBD6,111.21212
ACBD7,12.893012
ACCS,2.7853599
ACCSL,0.0067819348
ACD,24.587
ACE,0.12788565
ACE2,0.019547885
ACER1,0.38288522
ACER2,1.5354009
ACER3,33.6205
ACHE,35.30162
ACIN1,34.337997
ACLY,140.64545
ACMSD,0.12353727
ACN9,32.78397
ACO1,37.525578
ACO2,93.27504
ACOT1,6.729556
ACOT11,2.5045977
ACOT12,0.14848396
ACOT13,20.603912
ACOT2,38.12534
ACOT4,0.52614444
ACOT6,0.6650611
ACOT7,76.56079
ACOT8,53.69217
ACOT9,39.061993
ACOX1,29.432888
ACOX2,0.32996
ACOX3,22.334295
ACOXL,0.32508296
ACP1,239.6068
ACP2,63.551525
ACP5,0.009454787
ACP6,16.856535
ACPL2,37.87306
ACPP,0.06589094
ACPT,0.44382688
ACR,0.09530542
ACRBP,1.2691516
ACRC,2.6004074
ACRV1,8.918778
ACSBG1,2.0324776
ACSBG2,0.7705453
ACSF2,3.1071014
ACSF3,17.860128
ACSL1,17.822174
ACSL3,72.05372
ACSL4,17.07315
ACSL5,0.40617007
ACSL6,8.744478
ACSM1,0.006329756
ACSM2A,0.03019947
ACSM2B,0.0
ACSM3,0.1572475
ACSM4,0.06619678
ACSM5,0.62982696
ACSS1,10.593335
ACSS2,17.424541
ACSS3,11.678028
ACTA1,1.0865456
ACTA2,11.841002
ACTB,6199.772
ACTBL2,0.011874983
ACTC1,4.2903433
ACTG1,4276.984
ACTG1P4,0.7016605
ACTG2,0.35696888
ACTL10,0.54475474
ACTL6A,126.19821
ACTL6B,11.497442
ACTL7A,0.49183577
ACTL7B,0.0740027
ACTL8,0.17006923
ACTL9,0.0
ACTN1,9.82857
ACTN1-AS1,0.0
ACTN2,18.620113
ACTN3,0.021077659
ACTN4,53.476627
ACTR10,117.964905
ACTR1A,152.3882
ACTR1B,37.712074
ACTR2,70.33296
ACTR3,257.25015
ACTR3B,17.534386
ACTR3BP2,1.0459719
ACTR3BP5,3.962529
ACTR3C,2.6649787
ACTR5,17.382648
ACTR6,99.05006
ACTR8,39.45898
ACTRT1,0.03054521
ACTRT2,0.0
ACTRT3,0.5171065
ACVR1,9.034831
ACVR1B,7.7781153
ACVR1C,0.86315143
ACVR2A,36.203285
