GeneID,Oligodendrocyte
A1BG,6.1474404
A1BG-AS1,5.9149323
A1CF,0.060456604
A2M,2.0047488
A2M-AS1,0.46570775
A2ML1,0.27511397
A2MP1,10.237762
A4GALT,0.027305935
A4GNT,0.0
AA06,0.0
AAAS,64.82449
AACS,8.63392
AACSP1,0.034292147
AADAC,0.0
AADACL2,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,11.363252
AAED1,5.8201056
AAGAB,25.688288
AAK1,10.494705
AAMDC,105.16378
AAMP,158.53584
AANAT,0.0
AAR2,57.734905
AARD,1.7576258
AARS,136.02673
AARS2,8.884566
AARSD1,41.904522
AASDH,14.180387
AASDHPPT,107.503876
AASS,80.22833
AATF,86.30891
AATK,113.67135
AATK-AS1,0.0
ABAT,15.226347
ABCA1,38.59087
ABCA10,0.9118265
ABCA11P,10.886302
ABCA12,0.0
ABCA13,0.41625565
ABCA17P,0.0022374429
ABCA2,584.1327
ABCA3,15.21247
ABCA4,0.0
ABCA5,13.171685
ABCA6,12.389872
ABCA7,1.5495433
ABCA8,176.85869
ABCA9,5.6797266
ABCB1,0.053561643
ABCB10,5.176255
ABCB11,0.0
ABCB4,0.0
ABCB5,1.8601826
ABCB6,18.247946
ABCB7,29.208286
ABCB8,16.64854
ABCB9,9.354748
ABCC1,2.8817918
ABCC10,9.381623
ABCC11,0.0
ABCC12,0.0
ABCC13,0.28401828
ABCC2,0.0066666664
ABCC3,0.101095885
ABCC4,2.3874884
ABCC5,49.496845
ABCC5-AS1,0.21200913
ABCC6,0.0
ABCC6P1,0.0
ABCC6P2,0.0
ABCC8,0.539726
ABCC9,59.029217
ABCD1,2.616895
ABCD2,1.349041
ABCD3,89.721344
ABCD4,49.67561
ABCE1,60.08907
ABCF1,25.4618
ABCF2,24.453485
ABCF3,44.423615
ABCG1,118.53557
ABCG2,0.0
ABCG4,0.0
ABCG5,0.07310502
ABCG8,0.0
ABHD1,0.41269404
ABHD10,61.678093
ABHD11,15.296482
ABHD12,144.27037
ABHD12B,37.78776
ABHD13,11.628307
ABHD14A,52.308624
ABHD14A-ACY1,5.434676
ABHD14B,10.270742
ABHD15,2.546895
ABHD16A,100.19812
ABHD16B,0.72799087
ABHD2,19.436049
ABHD3,36.150433
ABHD4,63.736298
ABHD5,28.97666
ABHD6,90.71636
ABHD8,0.0
ABI1,29.227716
ABI2,41.895836
ABI3,0.012511415
ABI3BP,0.024748858
ABL1,23.63526
ABL2,7.7505093
ABLIM1,0.9673972
ABLIM2,4.8848963
ABLIM3,6.704023
ABO,0.0
ABP1,0.0
ABR,0.68799084
ABRA,0.26196346
ABRACL,0.053105023
ABT1,19.21195
ABTB1,36.176434
ABTB2,33.458748
ACAA1,187.72781
ACAA2,63.937237
ACACA,20.089283
ACACB,3.157032
ACAD10,9.574678
ACAD11,37.941917
ACAD8,39.10348
ACAD9,34.93964
ACADL,0.8850228
ACADM,62.08219
ACADS,20.916664
ACADSB,21.125162
ACADVL,92.57386
ACAN,5.9205246
ACAP1,0.089497715
ACAP2,17.534527
ACAP3,11.76475
ACAT1,136.38875
ACAT2,111.58719
ACBD3,19.768404
ACBD4,1.9819634
ACBD5,71.65818
ACBD6,66.31661
ACBD7,8.855982
ACCS,2.8886814
ACCSL,0.0
ACD,21.38141
ACE,0.0
ACE2,0.004657387
ACER1,0.0
ACER2,0.8759362
ACER3,117.63567
ACHE,0.273105
ACIN1,23.273672
ACLY,56.031494
ACMSD,0.3270776
ACN9,15.323009
ACO1,17.865942
ACO2,120.73726
ACOT1,2.7835152
ACOT11,3.3507757
ACOT12,0.008082191
ACOT13,20.318117
ACOT2,10.748363
ACOT4,1.7928766
ACOT6,0.0
ACOT7,137.36977
ACOT8,61.33675
ACOT9,6.348986
ACOX1,13.949969
ACOX2,0.20954338
ACOX3,21.224192
ACOXL,0.0
ACP1,182.7821
ACP2,48.544136
ACP5,0.13908675
ACP6,4.4273467
ACPL2,9.577534
ACPP,0.101095885
ACPT,0.16328767
ACR,0.0
ACRBP,0.017214611
ACRC,0.7940638
ACRV1,0.0
ACSBG1,1.3848858
ACSBG2,0.2250685
ACSF2,0.8803196
ACSF3,10.777028
ACSL1,129.31114
ACSL3,100.89388
ACSL4,18.585197
ACSL5,0.02351598
ACSL6,1.6809129
ACSM1,0.23452052
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.015799087
ACSM4,0.06474885
ACSM5,0.8268493
ACSS1,6.9321775
ACSS2,49.837765
ACSS3,0.036894973
ACTA1,0.022602739
ACTA2,1.1780365
ACTB,6794.755
ACTBL2,0.0
ACTC1,0.013515899
ACTG1,3270.6956
ACTG1P4,0.17438382
ACTG2,0.048036527
ACTL10,0.8458904
ACTL6A,93.34779
ACTL6B,0.0
ACTL7A,0.0
ACTL7B,0.0
ACTL8,0.0
ACTL9,0.0
ACTN1,1.7595892
ACTN1-AS1,0.0
ACTN2,43.4022
ACTN3,0.118310496
ACTN4,135.23833
ACTR10,150.3888
ACTR1A,170.58696
ACTR1B,89.77307
ACTR2,79.17482
ACTR3,182.13834
ACTR3B,6.779726
ACTR3BP2,0.0
ACTR3BP5,0.0
ACTR3C,0.0
ACTR5,10.437122
ACTR6,70.592384
ACTR8,20.744825
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,2.1634243
ACVR1,2.8761067
ACVR1B,2.3660276
ACVR1C,5.8778534
ACVR2A,14.727297
ACVR2B,3.9610045
ACVR2B-AS1,0.5091324
ACVRL1,0.047169052
ACY1,21.28442
ACY3,0.20278537
ACYP1,36.810444
ACYP2,206.15851
ADA,103.462166
ADAD1,0.0
ADAD2,0.016438356
ADAL,12.489406
ADAM10,92.67011
ADAM11,0.1827397
ADAM12,1.6410959
ADAM15,82.3582
ADAM17,36.93682
ADAM18,0.0
ADAM19,13.7565775
ADAM1A,2.5412784
ADAM2,0.0
ADAM20,0.7413242
ADAM20P1,0.0
ADAM21,0.0
ADAM21P1,0.0
ADAM22,13.876764
ADAM23,0.4926941
ADAM28,0.0
ADAM29,0.0
ADAM30,0.0
ADAM32,0.11132429
ADAM33,0.13904093
ADAM3A,0.029086756
ADAM5,0.0
ADAM6,0.0
ADAM7,0.028173516
ADAM8,0.99168944
ADAM9,46.386383
ADAMDEC1,0.063789956
ADAMTS1,57.691105
ADAMTS10,0.0
ADAMTS12,0.14876482
ADAMTS13,2.5048857
ADAMTS14,9.558583
ADAMTS15,0.0
ADAMTS16,0.050456617
ADAMTS17,0.53821933
ADAMTS18,25.106552
ADAMTS19,1.0798174
ADAMTS2,1.2495433
ADAMTS20,0.005388127
ADAMTS3,0.017899578
ADAMTS4,305.08304
ADAMTS5,1.0290867
ADAMTS6,0.8555251
ADAMTS7,0.3114155
ADAMTS8,7.735708
ADAMTS9,0.0059817345
ADAMTS9-AS2,0.0
ADAMTSL1,0.0
ADAMTSL2,3.7215068
ADAMTSL3,1.8372202
ADAMTSL4,0.96122354
ADAMTSL5,0.06543393
ADAP1,48.445885
ADAP2,0.005068493
ADAR,50.183586
