GeneID,T_cell
A1BG,3.004787
A1BG-AS1,7.5922804
A1CF,0.03223404
A2M,65.68725
A2M-AS1,6.744562
A2ML1,0.3426557
A2MP1,0.4334939
A4GALT,1.982234
A4GNT,0.0
AA06,0.0
AAAS,28.505009
AACS,22.239872
AACSP1,0.0
AADAC,0.0
AADACL2,0.0
AADACL3,0.09478723
AADACL4,0.0
AADAT,0.09531915
AAED1,1.705
AAGAB,52.843925
AAK1,24.694675
AAMDC,31.585472
AAMP,61.347195
AANAT,0.2692553
AAR2,33.94819
AARD,2.8507266
AARS,10.665104
AARS2,4.600008
AARSD1,11.103898
AASDH,11.729466
AASDHPPT,36.849037
AASS,3.304041
AATF,61.115677
AATK,0.27148953
AATK-AS1,0.0
ABAT,3.2477672
ABCA1,0.037446804
ABCA10,0.0
ABCA11P,4.2717037
ABCA12,0.0
ABCA13,0.19106375
ABCA17P,0.008404255
ABCA2,12.781182
ABCA3,0.73860973
ABCA4,0.0
ABCA5,15.924786
ABCA6,0.014999999
ABCA7,13.214447
ABCA8,0.0
ABCA9,3.6752145
ABCB1,23.802135
ABCB10,5.9404197
ABCB11,0.0
ABCB4,0.0
ABCB5,2.5257375
ABCB6,2.273936
ABCB7,47.336018
ABCB8,10.190537
ABCB9,0.0
ABCC1,19.09925
ABCC10,13.850694
ABCC11,0.31404254
ABCC12,0.0
ABCC13,0.3481871
ABCC2,0.03510638
ABCC3,0.0
ABCC4,12.9800415
ABCC5,23.5958
ABCC5-AS1,0.0
ABCC6,0.17765957
ABCC6P1,0.0
ABCC6P2,0.0
ABCC8,0.0
ABCC9,60.303314
ABCD1,0.188617
ABCD2,25.407513
ABCD3,22.01411
ABCD4,31.6619
ABCE1,53.563225
ABCF1,45.55349
ABCF2,9.159797
ABCF3,46.743053
ABCG1,11.737763
ABCG2,0.0
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,2.5535107
ABHD10,35.287872
ABHD11,17.0965
ABHD12,26.289257
ABHD12B,0.0
ABHD13,19.088089
ABHD14A,32.232445
ABHD14A-ACY1,0.0
ABHD14B,96.12724
ABHD15,9.706503
ABHD16A,50.051785
ABHD16B,3.508617
ABHD2,25.338058
ABHD3,91.14166
ABHD4,14.181441
ABHD5,20.364578
ABHD6,6.834468
ABHD8,0.42382976
ABI1,142.73059
ABI2,15.0045595
ABI3,67.02988
ABI3BP,0.085213006
ABL1,8.343722
ABL2,4.748193
ABLIM1,47.940384
ABLIM2,0.014574468
ABLIM3,0.0
ABO,0.05042553
ABP1,0.0
ABR,22.226318
ABRA,9.576383
ABRACL,187.76108
ABT1,70.411095
ABTB1,25.269178
ABTB2,2.9487233
ACAA1,160.56158
ACAA2,98.01709
ACACA,6.228128
ACACB,4.5851126
ACAD10,14.176496
ACAD11,14.437324
ACAD8,38.82936
ACAD9,10.669592
ACADL,0.0
ACADM,61.486275
ACADS,14.048778
ACADSB,12.458728
ACADVL,49.205044
ACAN,0.00893617
ACAP1,178.64674
ACAP2,52.874416
ACAP3,2.8345962
ACAT1,60.385696
ACAT2,60.332844
ACBD3,8.783785
ACBD4,15.587877
ACBD5,32.638615
ACBD6,89.58649
ACBD7,8.84734
ACCS,11.942613
ACCSL,0.0
ACD,17.98359
ACE,0.09361702
ACE2,0.0
ACER1,0.2643617
ACER2,7.1900015
ACER3,9.333007
ACHE,0.9756383
ACIN1,30.007761
ACLY,59.95419
ACMSD,0.0
ACN9,15.855957
ACO1,1.5579785
ACO2,43.825287
ACOT1,3.331596
ACOT11,3.6450431
ACOT12,0.0
ACOT13,21.557096
ACOT2,27.169708
ACOT4,17.378086
ACOT6,0.0
ACOT7,12.414513
ACOT8,34.70422
ACOT9,29.886309
ACOX1,6.889143
ACOX2,0.0
ACOX3,16.91117
ACOXL,0.0
ACP1,152.41006
ACP2,23.94172
ACP5,42.989594
ACP6,7.2454004
ACPL2,11.807173
ACPP,0.039255317
ACPT,0.089468084
ACR,0.0
ACRBP,1.5357935
ACRC,18.412584
ACRV1,0.0
ACSBG1,0.0
ACSBG2,0.0
ACSF2,12.224787
ACSF3,10.270346
ACSL1,12.290851
ACSL3,36.80765
ACSL4,70.67448
ACSL5,60.326347
ACSL6,8.061371
ACSM1,0.0
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.0
ACSM4,0.09393617
ACSM5,0.0
ACSS1,3.06234
ACSS2,4.5493617
ACSS3,0.069680944
ACTA1,0.08329786
ACTA2,56.152546
ACTB,6940.043
ACTBL2,0.0
ACTC1,0.01787234
ACTG1,1983.496
ACTG1P4,0.8004255
ACTG2,0.02680851
ACTL10,0.0
ACTL6A,59.109226
ACTL6B,0.0
ACTL7A,6.6904254
ACTL7B,0.0
ACTL8,0.0
ACTL9,0.0
ACTN1,0.8002249
ACTN1-AS1,0.0
ACTN2,0.0
ACTN3,0.0
ACTN4,84.54919
ACTR10,89.20929
ACTR1A,67.09103
ACTR1B,43.86837
ACTR2,144.46107
ACTR3,421.46826
ACTR3B,5.640726
ACTR3BP2,0.0
ACTR3BP5,0.0
ACTR3C,7.2125535
ACTR5,19.69021
ACTR6,66.69801
ACTR8,26.770977
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.0
ACVR1,10.369259
ACVR1B,3.0710635
ACVR1C,0.0
ACVR2A,8.599255
ACVR2B,0.84978724
ACVR2B-AS1,0.49457446
ACVRL1,0.13925532
ACY1,7.3068085
ACY3,0.0
ACYP1,36.02766
ACYP2,12.669804
ADA,74.752045
ADAD1,0.0
ADAD2,0.0
ADAL,8.977158
ADAM10,72.41378
ADAM11,0.0
ADAM12,4.86568
ADAM15,5.0963826
ADAM17,50.131702
ADAM18,0.0
ADAM19,48.325325
ADAM1A,2.078404
ADAM2,0.0
ADAM20,0.0
ADAM20P1,0.058829788
ADAM21,0.0
ADAM21P1,0.0
ADAM22,2.5748935
ADAM23,0.0
ADAM28,16.74701
ADAM29,0.0
ADAM30,0.0
ADAM32,0.0
ADAM33,0.22063829
ADAM3A,0.0
ADAM5,0.0
ADAM6,0.0
ADAM7,0.0
ADAM8,71.2055
ADAM9,14.182979
ADAMDEC1,12.145743
ADAMTS1,0.016914893
ADAMTS10,0.0
ADAMTS12,0.0
ADAMTS13,0.5030851
ADAMTS14,0.0
ADAMTS15,0.02723404
ADAMTS16,0.027340423
ADAMTS17,1.5586175
ADAMTS18,0.048723403
ADAMTS19,0.17999999
ADAMTS2,0.25542536
ADAMTS20,0.0
ADAMTS3,0.0
ADAMTS4,7.5572352
ADAMTS5,0.93606377
ADAMTS6,0.0
ADAMTS7,0.13085106
ADAMTS8,0.017021276
ADAMTS9,0.0
ADAMTS9-AS2,0.0
ADAMTSL1,0.0
ADAMTSL2,0.90563846
ADAMTSL3,0.0
ADAMTSL4,5.0388403
ADAMTSL5,4.181277
ADAP1,1.2016877
ADAP2,0.14851063
ADAR,41.07435
