GeneID,B_cell
A1BG,0.40144283
A1BG-AS1,0.033751316
A1CF,0.0
A2M,0.15484306
A2M-AS1,0.0043748063
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.058147307
A4GNT,0.0
AAAS,0.08458305
AACS,0.020044034
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0
PRXL2C,0.318202
AAGAB,0.06714035
AAK1,0.090690635
AAMDC,0.07667811
AAMP,0.25329497
AANAT,0.0015945572
AAR2,0.06537336
AARD,0.0
AARS1,0.11328674
AARS2,0.014267591
AARSD1,0.12454511
AASDH,0.07471813
AASDHPPT,0.1307702
AASS,0.009239637
AATBC,0.0
AATF,0.24674405
AATK,0.00081923977
PVALEF,0.0
ABALON,0.000391078
ABAT,0.01816643
ABCA1,0.051161896
ABCA10,0.0040054293
ABCA12,0.0
ABCA13,0.0
ABCA2,0.008832326
ABCA3,0.01516078
ABCA4,0.0005669369
ABCA5,0.07146513
ABCA6,0.019315857
ABCA7,0.045449086
ABCA8,0.004581974
ABCA9,0.0012589039
ABCA9-AS1,0.0
ABCB1,0.020162879
ABCB10,0.023131361
ABCB11,7.410866e-05
ABCB4,0.032353055
ABCB5,0.0
ABCB6,0.00026624225
ABCB7,0.11523569
ABCB8,0.08109995
ABCB9,0.08145451
ABCC1,0.03448556
ABCC10,0.020759013
ABCC11,0.0
ABCC12,0.0
ABCC2,0.0035864203
ABCC3,0.014003946
ABCC4,0.02718188
ABCC5,0.03480383
ABCC5-AS1,0.000568359
ABCC6,0.003673673
ABCC8,0.0
ABCC9,0.0004897854
ABCD1,0.02587651
ABCD2,0.0060247285
ABCD3,0.028411968
ABCD4,0.12975787
ABCE1,0.20099603
ABCF1,0.28835854
ABCF2,0.08360453
ABCF3,0.07572804
ABCG1,0.17740814
ABCG2,0.0034580014
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,0.004387065
ABHD10,0.044514645
