GeneID,Dendritic
A1BG,0.59120053
A1BG-AS1,0.03268586
A1CF,0.0
A2M,0.24842386
A2M-AS1,0.0
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.012447069
A4GNT,0.0
AAAS,0.08721873
AACS,0.031015327
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0
PRXL2C,0.4698869
AAGAB,0.13096336
AAK1,0.3565164
AAMDC,0.16729754
AAMP,0.3021615
AANAT,0.0
AAR2,0.054093044
AARD,0.04173296
AARS1,0.04291667
AARS2,0.017386088
AARSD1,0.025040802
AASDH,0.05549766
AASDHPPT,0.11541544
AASS,0.0
AATBC,0.013729759
AATF,0.41453162
AATK,0.011608456
PVALEF,0.0
ABALON,0.0
ABAT,0.035472065
ABCA1,0.20004582
ABCA10,0.008657522
ABCA12,0.0
ABCA13,0.0
ABCA2,0.043057796
ABCA3,0.03563717
ABCA4,0.0
ABCA5,0.1745933
ABCA6,0.04886005
ABCA7,0.123782426
ABCA8,0.0
ABCA9,0.013729759
ABCA9-AS1,0.0
ABCB1,0.0
ABCB10,0.2477319
ABCB11,0.0
ABCB4,0.0
ABCB5,0.0
ABCB6,0.0
ABCB7,0.15754445
ABCB8,0.006403722
ABCB9,0.0
ABCC1,0.11727393
ABCC10,0.02358281
ABCC11,0.018816799
ABCC12,0.0
ABCC2,0.0
ABCC3,0.079723164
ABCC4,0.27004206
ABCC5,0.045449883
ABCC5-AS1,0.0
ABCC6,0.0
ABCC8,0.0
ABCC9,0.0
ABCD1,0.06565259
ABCD2,0.033241354
ABCD3,0.010379667
ABCD4,0.1268863
ABCE1,0.27843133
ABCF1,0.23282626
ABCF2,0.069851525
ABCF3,0.116346546
ABCG1,0.49667588
ABCG2,0.0
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,0.0
ABHD10,0.043601964
ABHD11,0.08189894
ABHD11-AS1,0.0044705705
ABHD12,0.51777345
ABHD12B,0.0
ABHD13,0.26123625
ABHD14A,0.040864613
ABHD14A-ACY1,0.0
ABHD14B,0.39658138
ABHD15,0.04998324
ABHD15-AS1,0.0
ABHD16A,0.007872441
ABHD16B,0.0
ABHD17A,0.13861461
ABHD17B,0.10924097
ABHD17C,0.08014395
ABHD18,0.06419786
ABHD2,0.060460947
ABHD3,0.116963804
ABHD4,0.02128461
ABHD5,0.094261356
ABHD6,0.017572897
ABHD8,0.11637159
ABI1,0.45992637
ABI2,0.2839553
ABI3,0.014694417
ABI3BP,0.0
ABL1,0.015075476
ABL2,0.18595189
ABLIM1,0.074338354
ABLIM2,0.0
ABLIM3,0.0
ABO,0.0046821763
ABR,0.18072999
ABRA,0.0
ABRACL,0.34874028
ABT1,0.24630818
ABTB1,0.18332213
ABTB2,0.09469302
ACAA1,0.3749235
ACAA2,0.17578991
ACACA,0.0
ACACB,0.0
ACAD10,0.019686788
ACAD11,0.0074734394
ACAD8,0.024258332
ACAD9,0.027953397
ACADL,0.0
ACADM,0.07479451
ACADS,0.080972105
ACADSB,0.03599914
ACADVL,0.9888621
ACAN,0.0
ACAP1,0.38472053
ACAP2,0.24279031
ACAP3,0.053024977
ACAT1,0.07680707
ACAT2,0.100913286
ACBD3,0.12864801
ACBD4,0.004703994
ACBD5,0.030608047
ACBD6,0.17529577
ACBD7,0.0
ACCS,0.033161454
ACD,0.14900373
ACE,0.005867811
ACE2,0.0
ACER1,0.0
ACER2,0.0
ACER3,0.15529835
ACHE,0.93649006
ACIN1,0.29264426
ACKR1,0.06060826
ACKR2,0.0
ACKR3,0.008327005
ACKR4,0.0
ACLY,0.13886689
ACMSD,0.0
ACO1,0.018417489
ACO2,0.6277987
ACOT1,0.0
ACOT11,0.006403722
ACOT12,0.0
ACOT13,1.0034828
ACOT2,0.02762543
ACOT4,0.01445002
ACOT6,0.0
ACOT7,0.39917687
ACOT8,0.11180455
ACOT9,0.5879859
ACOX1,0.048617363
ACOX2,0.0
ACOX3,0.039217893
ACOXL,0.018961791
ACP1,0.6807239
ACP2,0.06446782
ACP5,0.16818768
ACP6,0.023867946
ACP7,0.0
ACPP,0.00516566
ACP4,0.0
ACR,0.0
ACRBP,0.018240463
GCNA,0.010475886
ACRV1,0.0
ACSBG1,0.0
ACSBG2,0.0
ACSF2,0.084591605
ACSF3,0.12746
ACSL1,0.22707129
ACSL3,0.1886371
ACSL4,0.25427064
ACSL5,0.11746278
ACSL6,0.004423356
ACSM1,0.037171192
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.10914454
ACSM4,0.0
ACSM5,0.0
ACSM6,0.0
ACSS1,0.01797309
ACSS2,0.0867037
ACSS3,0.0
ACTA1,0.0
ACTA2,0.075321734
ACTA2-AS1,0.0
ACTB,102.10652
ACTBL2,0.0
ACTC1,0.0
ACTG1,31.031893
ACTG2,0.0
ACTL10,0.006403722
ACTL6A,0.057679158
ACTL6B,0.0
ACTL7B,0.0
ACTL8,0.0
ACTN1,0.7510621
ACTN1-AS1,0.0
ACTN2,0.007392054
ACTN3,0.0
ACTN4,0.5550583
ACTR10,0.18088433
ACTR1A,0.4097349
ACTR1B,0.39097038
ACTR2,1.5818236
ACTR3,1.7706273
ACTR3B,0.0
ACTR3C,0.03530941
ACTR5,0.027615823
ACTR6,0.07536529
ACTR8,0.0
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.0
ACVR1,0.01612589
ACVR1B,0.0
ACVR1C,0.071264975
ACVR2A,0.08708638
ACVR2B,0.031280953
ACVR2B-AS1,0.0
ACVRL1,0.04541163
ACY1,0.0
ACY3,0.00867469
ACYP1,0.09998678
ACYP2,0.15152958
ADA,0.111719996
ADAD2,0.0
ADAL,0.043457374
ADAM10,0.13106069
ADAM11,0.0
ADAM12,0.5015494
ADAM15,0.078933276
ADAM17,0.2823669
ADAM18,0.0
ADAM19,0.78697824
