GeneID,Endothelial
A1BG,0.15345497
A1BG-AS1,0.024452977
A1CF,0.0
A2M,9.926952
A2M-AS1,0.009106061
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.51288897
A4GNT,0.0
AAAS,0.14172174
AACS,0.04637162
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0072128684
PRXL2C,0.35361287
AAGAB,0.15116097
AAK1,0.5023435
AAMDC,1.048562
AAMP,0.63823354
AANAT,0.0
AAR2,0.14388503
AARD,0.0054200543
AARS1,0.24499935
AARS2,0.030093187
AARSD1,0.08746797
AASDH,0.12261597
AASDHPPT,0.20483787
AASS,0.12870982
AATBC,0.0077488376
AATF,0.30361196
AATK,0.0536183
PVALEF,0.0
ABALON,0.0
ABAT,0.035695747
ABCA1,0.09437653
ABCA10,0.0005672044
ABCA12,0.0
ABCA13,0.0
ABCA2,0.0724103
ABCA3,0.09239712
ABCA4,0.0064634653
ABCA5,0.10880377
ABCA6,0.0066589117
ABCA7,0.02872932
ABCA8,0.0023020955
ABCA9,0.0
ABCA9-AS1,0.0
ABCB1,0.16613698
ABCB10,0.106164694
ABCB11,0.0
ABCB4,0.009905625
ABCB5,0.0
ABCB6,0.0
ABCB7,0.14399779
ABCB8,0.10701609
ABCB9,0.0062317336
ABCC1,0.08935875
ABCC10,0.049485695
ABCC11,0.0
ABCC12,0.0
ABCC2,0.0
ABCC3,0.041524556
ABCC4,0.1489664
ABCC5,0.0685859
ABCC5-AS1,0.0
ABCC6,0.01750207
ABCC8,0.017099582
ABCC9,0.0
ABCD1,0.042572036
ABCD2,0.0
ABCD3,0.11813596
ABCD4,0.72217304
ABCE1,0.42096645
ABCF1,0.60764354
ABCF2,0.18690228
ABCF3,0.16478084
ABCG1,0.50844836
ABCG2,0.32477954
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,0.012176428
ABHD10,0.067927234
ABHD11,0.08177858
ABHD11-AS1,0.009711645
ABHD12,0.24616334
ABHD12B,0.0
ABHD13,0.18609303
ABHD14A,0.18486339
ABHD14A-ACY1,0.0
ABHD14B,0.5127703
ABHD15,0.04389034
ABHD15-AS1,0.0
ABHD16A,0.010300194
ABHD16B,0.0
ABHD17A,0.8411289
ABHD17B,0.2588619
ABHD17C,0.20917894
ABHD18,0.0931354
ABHD2,0.21048224
ABHD3,0.14774497
ABHD4,0.090604216
ABHD5,0.35272846
ABHD6,0.26106405
ABHD8,0.08090566
ABI1,0.4244304
ABI2,0.50909567
ABI3,0.7221267
ABI3BP,0.43554667
ABL1,0.21364044
ABL2,0.8710342
ABLIM1,0.6381813
ABLIM2,0.07111051
ABLIM3,0.22182289
ABO,0.07446194
ABR,0.18798207
ABRA,0.0
ABRACL,0.6070181
ABT1,0.33255103
ABTB1,0.34070462
ABTB2,0.0012038858
ACAA1,0.4840716
ACAA2,0.33906713
ACACA,0.07769332
ACACB,0.18865253
ACAD10,0.028364936
ACAD11,0.012312073
ACAD8,0.13782653
ACAD9,0.1498888
ACADL,0.0
ACADM,0.4346253
ACADS,0.21947771
ACADSB,0.052198265
ACADVL,0.9468988
ACAN,0.0
ACAP1,0.05661435
ACAP2,0.6339715
ACAP3,0.10202427
ACAT1,0.6006302
ACAT2,0.16194177
ACBD3,0.2731598
ACBD4,0.060803033
ACBD5,0.17177998
ACBD6,0.4445957
ACBD7,0.0
ACCS,0.094119556
ACD,0.25246042
ACE,1.8827562
ACE2,0.0
ACER1,0.0
ACER2,0.0050347294
ACER3,0.2964493
ACHE,0.010484323
ACIN1,0.41420877
ACKR1,11.906875
ACKR2,0.049167056
ACKR3,0.27737594
ACKR4,0.14103071
ACLY,0.42379138
ACMSD,0.0
ACO1,0.16266419
ACO2,0.3648311
ACOT1,0.0032878036
ACOT11,0.00788824
ACOT12,0.0
ACOT13,0.29640925
ACOT2,0.034963407
ACOT4,0.0077142697
ACOT6,0.0
ACOT7,0.19983363
ACOT8,0.12375964
ACOT9,0.38449493
ACOX1,0.16504756
ACOX2,0.00097138225
ACOX3,0.06439133
ACOXL,0.0
ACP1,0.8886037
ACP2,0.21786885
ACP5,0.23808691
ACP6,0.020794995
ACP7,0.0
ACPP,0.0
ACP4,0.0
ACR,0.05448394
ACRBP,0.003620829
GCNA,0.022772232
ACRV1,0.0
ACSBG1,0.0005672044
ACSBG2,0.0
ACSF2,0.052183934
ACSF3,0.15637232
ACSL1,0.02097949
ACSL3,0.4539439
ACSL4,0.17607214
ACSL5,0.27129063
ACSL6,0.006653446
ACSM1,0.0069054975
ACSM2A,0.0032878036
ACSM2B,0.026464911
ACSM3,0.015288269
ACSM4,0.0
ACSM5,0.0026144192
ACSM6,0.0
ACSS1,0.14622651
ACSS2,0.08644092
ACSS3,0.0
ACTA1,0.0025092843
ACTA2,0.14451894
ACTA2-AS1,0.0
ACTB,39.20863
ACTBL2,0.0
ACTC1,0.0
ACTG1,22.960089
ACTG2,0.0014567949
ACTL10,0.014822599
ACTL6A,0.2411166
ACTL6B,0.0
ACTL7B,0.0
ACTL8,0.0
ACTN1,2.0855772
ACTN1-AS1,0.0
ACTN2,0.0
ACTN3,0.0
ACTN4,2.7012694
ACTR10,0.55496633
ACTR1A,0.6419237
ACTR1B,0.49052802
ACTR2,1.1705846
ACTR3,1.2931699
ACTR3B,0.07134652
ACTR3C,0.010485202
ACTR5,0.060945082
ACTR6,0.1612082
ACTR8,0.082612194
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.0
ACVR1,0.09783134
ACVR1B,0.07264241
ACVR1C,0.0
ACVR2A,0.07789913
ACVR2B,0.09484831
ACVR2B-AS1,0.0
ACVRL1,2.1883976
ACY1,0.0054844045
ACY3,0.0
ACYP1,0.15437894
ACYP2,0.3206076
ADA,0.18819429
ADAD2,0.016110893
ADAL,0.058678493
ADAM10,0.64821655
ADAM11,0.0050347294
ADAM12,0.011600838
ADAM15,1.5005534
ADAM17,0.45215657
ADAM18,0.0
ADAM19,0.19198872
ADAM2,0.0
ADAM20,0.0
ADAM20P1,0.0
ADAM21,0.0
ADAM22,0.0076528173
ADAM23,0.06929441
ADAM28,0.011458218
ADAM29,0.0
ADAM30,0.0
ADAM32,0.0030949912
ADAM33,0.0077194083
ADAM8,0.012543298
ADAM9,0.22331889
ADAMDEC1,0.0
ADAMTS1,1.1857337
ADAMTS10,0.046995014
ADAMTS12,0.018670423
ADAMTS13,0.016383551
ADAMTS14,0.0028546634
ADAMTS15,0.013467712
ADAMTS16,0.0
ADAMTS17,0.0
ADAMTS18,0.1159851
ADAMTS19,0.0
ADAMTS2,0.008547184
ADAMTS20,0.0
ADAMTS3,0.02209153
ADAMTS4,0.43790412
ADAMTS5,0.05745849
ADAMTS6,0.13971932
ADAMTS7,0.16152638
ADAMTS8,0.0
ADAMTS9,1.0738801
ADAMTS9-AS1,0.008371171
ADAMTS9-AS2,0.06243108
ADAMTSL1,0.05525166
ADAMTSL2,0.07367162
ADAMTSL3,0.01710735
ADAMTSL4,0.025003377
ADAMTSL5,0.0
ADAP1,0.0055472977
ADAP2,0.031322416
ADAR,0.9654512
ADARB1,0.14920832
ADARB2,0.0
ADARB2-AS1,0.0
ADAT1,0.10289616
ADAT2,0.061585
ADAT3,0.013576289
