GeneID,Epithelial
A1BG,0.17276296
A1BG-AS1,0.015727682
A1CF,0.0
A2M,0.09206673
A2M-AS1,0.0063882205
A2ML1,0.0007997298
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.12262436
A4GNT,0.0
AAAS,0.11492309
AACS,0.12769227
AADAC,0.10264823
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.05254473
PRXL2C,0.27535978
AAGAB,0.12225261
AAK1,0.21094923
AAMDC,0.43916196
AAMP,0.53602326
AANAT,0.0013375279
AAR2,0.12445181
AARD,0.26566055
AARS1,0.12874402
AARS2,0.039369196
AARSD1,0.05953252
AASDH,0.12422797
AASDHPPT,0.21231915
AASS,0.1816755
AATBC,0.004812709
AATF,0.22463349
AATK,0.13627917
PVALEF,0.0
ABALON,0.0
ABAT,0.06049359
ABCA1,0.18639314
ABCA10,0.021362076
ABCA12,0.002914342
ABCA13,0.17407933
ABCA2,0.090923466
ABCA3,2.824727
ABCA4,0.012684066
ABCA5,0.49056593
ABCA6,0.0170522
ABCA7,0.23541927
ABCA8,0.034528673
ABCA9,0.00874425
ABCA9-AS1,0.0
ABCB1,0.0017587946
ABCB10,0.07411505
ABCB11,0.0
ABCB4,0.0
ABCB5,0.0
ABCB6,0.0
ABCB7,0.1123436
ABCB8,0.10156057
ABCB9,0.038861573
ABCC1,0.07402647
ABCC10,0.08562539
ABCC11,0.0
ABCC12,0.0
ABCC2,0.013439626
ABCC3,0.2946012
ABCC4,0.1423449
ABCC5,0.13774623
ABCC5-AS1,0.0
ABCC6,0.3325546
ABCC8,0.0015259609
ABCC9,0.06704657
ABCD1,0.022707244
ABCD2,0.021664092
ABCD3,0.44521433
ABCD4,0.20567636
ABCE1,0.23077846
ABCF1,0.38700184
ABCF2,0.1470398
ABCF3,0.12111073
ABCG1,0.12106178
ABCG2,0.00023470599
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,0.004912356
ABHD10,0.081954814
ABHD11,0.327923
ABHD11-AS1,0.19008051
ABHD12,0.2974235
ABHD12B,0.060840182
ABHD13,0.15709835
ABHD14A,0.43098122
ABHD14A-ACY1,0.0
ABHD14B,0.5035726
ABHD15,0.04782744
ABHD15-AS1,0.0
ABHD16A,0.012244538
ABHD16B,0.0
ABHD17A,0.2724531
ABHD17B,0.13973361
ABHD17C,0.26810318
ABHD18,0.079440325
ABHD2,1.2214291
ABHD3,0.14202568
ABHD4,0.0780703
ABHD5,0.35063833
ABHD6,0.036739778
ABHD8,0.13141184
ABI1,0.3724789
ABI2,0.46555516
ABI3,0.017595066
ABI3BP,0.04244612
ABL1,0.14027345
ABL2,0.21203677
ABLIM1,0.4938575
ABLIM2,0.0021694219
ABLIM3,0.052894466
ABO,0.3285491
ABR,0.17310217
ABRA,0.0
ABRACL,0.49688056
ABT1,0.27026075
ABTB1,0.20647807
ABTB2,0.011331195
ACAA1,0.6545713
ACAA2,0.33593208
ACACA,0.23744571
ACACB,0.039909285
ACAD10,0.088029146
ACAD11,0.006885299
ACAD8,0.22019938
ACAD9,0.12413969
ACADL,0.18406275
ACADM,0.37435475
ACADS,0.24604172
ACADSB,0.33065432
ACADVL,0.91123056
ACAN,0.0
ACAP1,0.15756255
ACAP2,0.2528113
ACAP3,0.10342016
ACAT1,0.69078916
ACAT2,0.317128
ACBD3,0.37945202
ACBD4,0.07183993
ACBD5,0.1272522
ACBD6,0.23303123
ACBD7,0.0
ACCS,0.06787645
ACD,0.099904895
ACE,0.016044008
ACE2,0.0129663795
ACER1,0.0
ACER2,0.0
ACER3,0.120640665
ACHE,0.02176287
ACIN1,0.43142906
ACKR1,0.028862778
ACKR2,0.011382872
ACKR3,0.023533575
ACKR4,0.057311334
ACLY,0.25359592
ACMSD,0.0009879892
ACO1,0.15086628
ACO2,0.34773523
ACOT1,0.0
ACOT11,0.08608522
ACOT12,0.0
ACOT13,0.43091884
ACOT2,0.03134011
ACOT4,0.03996166
ACOT6,0.0
ACOT7,0.089439906
ACOT8,0.26254323
ACOT9,0.16005631
ACOX1,0.2224604
ACOX2,0.057638805
ACOX3,0.067155585
ACOXL,0.104206726
ACP1,0.9604002
ACP2,0.19746105
ACP5,0.4920604
ACP6,0.10720498
ACP7,0.0
ACPP,0.047450095
ACP4,0.0
ACR,0.0
ACRBP,0.0029433789
GCNA,0.015798207
ACRV1,0.0
ACSBG1,0.042621136
ACSBG2,0.0
ACSF2,0.17972456
ACSF3,0.123995304
ACSL1,0.5484381
ACSL3,0.46250093
ACSL4,0.50290793
ACSL5,0.39824125
ACSL6,0.007070312
ACSM1,0.032032594
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.22394814
ACSM4,0.00063178985
ACSM5,0.0
ACSM6,0.0
ACSS1,0.21371381
ACSS2,0.3100711
ACSS3,0.14366233
ACTA1,0.0
ACTA2,0.12701298
ACTA2-AS1,0.0
ACTB,19.519426
ACTBL2,0.0017606072
ACTC1,0.0
ACTG1,11.653845
ACTG2,0.0024570636
ACTL10,0.014717391
ACTL6A,0.2099176
ACTL6B,0.0
ACTL7B,0.0
ACTL8,0.0
ACTN1,0.3021485
ACTN1-AS1,0.0044505405
ACTN2,0.0
ACTN3,0.0
ACTN4,1.2740235
ACTR10,0.49746794
ACTR1A,0.29455942
ACTR1B,0.26385617
ACTR2,0.76642966
ACTR3,0.7266469
ACTR3B,0.06137449
ACTR3C,0.07629707
ACTR5,0.029702919
ACTR6,0.15248679
ACTR8,0.07863705
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.011108104
ACVR1,0.1482928
ACVR1B,0.18912531
ACVR1C,0.015541372
ACVR2A,0.09780637
ACVR2B,0.08725637
ACVR2B-AS1,0.0
ACVRL1,0.0073273424
ACY1,0.00825407
ACY3,0.012290959
ACYP1,0.30873585
ACYP2,0.29535577
ADA,0.031886827
ADAD2,0.0
ADAL,0.07121885
ADAM10,0.27984962
ADAM11,0.0
ADAM12,0.058552776
ADAM15,0.3365579
ADAM17,0.26655096
ADAM18,0.0
ADAM19,0.01748664
ADAM2,0.0
ADAM20,0.00037561948
ADAM20P1,0.0
ADAM21,0.0
ADAM22,0.015099255
ADAM23,0.0031776254
ADAM28,0.046001773
ADAM29,0.0
ADAM30,0.0
ADAM32,0.009581754
ADAM33,0.0
ADAM8,0.061196007
ADAM9,0.26647902
ADAMDEC1,0.0
ADAMTS1,0.09307378
ADAMTS10,0.0029407567
ADAMTS12,0.006256832
ADAMTS13,0.007215919
ADAMTS14,0.0029214618
ADAMTS15,0.004048839
ADAMTS16,0.0
ADAMTS17,0.007090501
ADAMTS18,0.0
ADAMTS19,0.0
ADAMTS2,0.0
ADAMTS20,0.0
ADAMTS3,0.003197897
ADAMTS4,0.0016380424
ADAMTS5,0.0
ADAMTS6,0.006294543
ADAMTS7,0.004636444
ADAMTS8,0.0031625219
ADAMTS9,0.055294923
ADAMTS9-AS1,0.0
ADAMTS9-AS2,0.02049108
ADAMTSL1,0.0013306394
