GeneID,Fibroblast
A1BG,0.33820295
A1BG-AS1,0.05247152
A1CF,0.0
A2M,25.684122
A2M-AS1,0.013472847
A2ML1,0.00074679265
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.44461438
A4GNT,0.000460465
AAAS,0.18443722
AACS,0.05957897
AADAC,0.00758662
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.03347907
PRXL2C,0.5243213
AAGAB,0.1372646
AAK1,0.38091254
AAMDC,0.76692414
AAMP,0.60345757
AANAT,0.0014528793
AAR2,0.13523294
AARD,0.0065617086
AARS1,0.20745356
AARS2,0.040987156
AARSD1,0.08659238
AASDH,0.19257623
AASDHPPT,0.21661873
AASS,0.16314588
AATBC,0.0008295626
AATF,0.30545607
AATK,0.0017554164
PVALEF,0.0
ABALON,0.0035546818
ABAT,0.021879617
ABCA1,0.4967585
ABCA10,0.13317448
ABCA12,0.0
ABCA13,0.0
ABCA2,0.087872796
ABCA3,0.017027464
ABCA4,0.005254299
ABCA5,0.14242238
ABCA6,0.5366269
ABCA7,0.011701995
ABCA8,1.2749579
ABCA9,0.18272749
ABCA9-AS1,0.0
ABCB1,0.01967889
ABCB10,0.03994237
ABCB11,0.0
ABCB4,0.012114294
ABCB5,0.006707634
ABCB6,0.002696821
ABCB7,0.137292
ABCB8,0.14613667
ABCB9,0.017851032
ABCC1,0.05673093
ABCC10,0.036403336
ABCC11,0.0
ABCC12,0.0011502402
ABCC2,0.0
ABCC3,0.077794544
ABCC4,0.04661128
ABCC5,0.09457075
ABCC5-AS1,0.0
ABCC6,0.023309952
ABCC8,0.0
ABCC9,0.2659252
ABCD1,0.04539431
ABCD2,0.003850781
ABCD3,0.10184795
ABCD4,0.27258062
ABCE1,0.26194268
ABCF1,0.42384988
ABCF2,0.2086352
ABCF3,0.123634204
ABCG1,0.0737784
ABCG2,0.016362375
ABCG4,0.0003507562
ABCG5,0.0004960829
ABCG8,0.0
ABHD1,0.005372796
ABHD10,0.07262979
ABHD11,0.106067136
ABHD11-AS1,0.004585173
ABHD12,0.25988993
ABHD12B,0.0012396509
ABHD13,0.2152989
ABHD14A,0.46839988
ABHD14A-ACY1,0.0
ABHD14B,0.6766994
ABHD15,0.035593823
ABHD15-AS1,0.0
ABHD16A,0.013654979
ABHD16B,0.0
ABHD17A,0.39842087
ABHD17B,0.08292035
ABHD17C,0.062293567
ABHD18,0.042263478
ABHD2,0.4329521
ABHD3,0.13394013
ABHD4,0.10231809
ABHD5,0.37523836
ABHD6,0.036476504
ABHD8,0.17806022
ABI1,0.2765268
ABI2,0.55268747
ABI3,0.041283004
ABI3BP,0.9430568
ABL1,0.16929145
ABL2,0.5778271
ABLIM1,0.1559854
ABLIM2,0.012260183
ABLIM3,0.116353646
ABO,0.0038628983
ABR,0.15718256
ABRA,0.0018422627
ABRACL,0.36533004
ABT1,0.2367784
ABTB1,0.2940425
ABTB2,0.04076611
ACAA1,0.44986978
ACAA2,0.4065934
ACACA,0.053194165
ACACB,0.115275055
ACAD10,0.058978047
ACAD11,0.011619497
ACAD8,0.12017261
ACAD9,0.1560027
ACADL,0.028606772
ACADM,0.29420796
ACADS,0.13790461
ACADSB,0.08771389
ACADVL,1.2361894
ACAN,0.031925455
ACAP1,0.10308304
ACAP2,0.3818609
ACAP3,0.16621472
ACAT1,0.45950288
ACAT2,0.18075925
ACBD3,0.32043695
ACBD4,0.118473366
ACBD5,0.118028805
ACBD6,0.45735833
ACBD7,0.0
ACCS,0.06552616
ACD,0.18907572
ACE,0.029415952
ACE2,0.00046154152
ACER1,0.0011967199
ACER2,0.0
ACER3,0.12653464
ACHE,0.08692967
ACIN1,0.3417399
ACKR1,0.035093546
ACKR2,0.0047566765
ACKR3,0.037176628
ACKR4,0.038665622
ACLY,0.20527624
ACMSD,0.0
ACO1,0.23317035
ACO2,0.33772182
ACOT1,0.0009926334
ACOT11,0.04001807
ACOT12,0.0
ACOT13,0.30505443
ACOT2,0.050207745
ACOT4,0.032294605
ACOT6,0.0
ACOT7,0.15204214
ACOT8,0.15253887
ACOT9,0.25511435
ACOX1,0.15832159
ACOX2,0.09191127
ACOX3,0.052302238
ACOXL,0.000977909
ACP1,0.76404804
ACP2,0.2580158
ACP5,0.6498813
ACP6,0.046179652
ACP7,0.0018029751
ACPP,0.0021158014
ACP4,0.0
ACR,0.0
ACRBP,0.007919898
GCNA,0.0035682055
ACRV1,0.0
ACSBG1,0.0
ACSBG2,0.0
ACSF2,0.07488134
ACSF3,0.14873394
ACSL1,0.070997834
ACSL3,0.4825787
ACSL4,0.1368249
ACSL5,0.047213208
ACSL6,0.0030284543
ACSM1,0.0009776818
ACSM2A,0.00050797034
ACSM2B,0.0
