P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
A1BG,0.37726808,0.3897671,0.38079175,0.35602582,0.23118106,0.4210435,0.40851495,0.17161682,0.42125103,0.028607562,0.6857092,0.07062752,0.23482257,0.17659444
A1BG-AS1,0.038873907,0.04450848,0.0351632,0.04580449,0.030855788,0.033051193,0.0342193,0.031861354,0.039375097,0.0052380045,0.0627305,0.0063462406,0.024514442,0.026847126
A1CF,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2M,7.917532,4.164722,1.1157885,2.1211643,0.4941673,1.3845575,0.34783742,1.100665,5.713139,0.15955767,0.3857565,0.014125504,0.0761238,0.6640189
A2M-AS1,0.033138413,0.054681845,0.00900521,0.012492133,0.00427234,0.00502953,0.0045860917,0.009413581,0.011250027,0.0036263107,0.037494086,0.0036849137,0.059350755,0.006562631
A2ML1,0,0,0,0,0.014715837,0,0.0031749867,0,0.0075000185,0.0028204639,0.0007210401,0.074926585,0.041287486,0.0023864112
A2ML1-AS1,0,0,0,0,0,0,0,0,0,0,0.0007210401,0,0,0
A2ML1-AS2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4GALT,0.09750341,0.06549105,0.17238547,0.043306064,0.014241133,0.053887814,0.036688734,0.053585004,0.19000046,0.03545726,0.20189126,0.10072098,0.028385146,0.048921432
A4GNT,0.0019118317,0,0,0.0045804493,0.0037976354,0.0021555126,0.0021166578,0.029688988,0.0031250075,0,0,0,0.0012902339,0.008949042
AAAS,0.10132707,0.10173367,0.0964844,0.10160269,0.07452859,0.093405545,0.07725801,0.091239326,0.101250246,0.09791039,0.21126476,0.099492684,0.11096011,0.11514435
AACS,0.051619455,0.029884266,0.06689585,0.057463817,0.08022504,0.054606322,0.11818006,0.07168805,0.063125156,0.12007118,0.07138298,0.13040501,0.038707018,0.06801272
AADAC,0.010833712,0.005722519,0,0.05829663,0.00427234,0.00502953,0.0042333156,0.010861824,0.006250015,0.0032233873,0.010815602,0.012487764,0.0012902339,0
AADACL2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL2-AS1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AADACL3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0005966028
AADACL4,0,0,0,0,0,0,0,0,0,0.0004029234,0,0,0,0
AADAT,0.010833712,0.005722519,0.0102916695,0.0083280895,0.0052217483,0.005748034,0.025047116,0.012310069,0.017500043,0.02820464,0.023794325,0.018015135,0,0.017301481
PRXL2C,0.44864315,0.34144363,0.29717195,0.47636673,0.3759659,0.41960645,0.29562655,0.5105058,0.3606259,0.28486687,0.27904254,0.14248334,0.23869327,0.24341395
AAGAB,0.112798065,0.075028576,0.16209379,0.10909797,0.10918202,0.10705713,0.14992993,0.116583586,0.14687535,0.1257121,0.27183214,0.23972413,0.16902064,0.1479575
AAK1,0.77875274,0.62439036,0.434823,0.5813006,0.6451233,0.342008,0.32208475,0.29399338,0.36250088,0.19017985,0.36196217,0.25610152,0.8063961,0.38421223
AAMDC,0.3881018,0.20410319,0.51286817,0.3002276,0.31662786,0.14154533,0.53763103,0.43302476,0.38875097,0.3025955,0.65830964,0.15271921,0.17418157,0.3382738
