P0006_tLung,P0008_tLung,P0018_tLung,P0019_tLung,P0020_tLung,P0025_tLung,P0028_tLung,P0030_tLung,P0031_tLung,P0034_tLung,P1006_tL.B,P1028_tL.B,P1049_tL.B,P1058_tL.B
B_cell,0.078819903126376,0.296347665279704,0.0181347150259067,0.0615994236311239,0.005859375,0.285367334547662,0.0965811965811966,0.0243506493506494,0.102696500286862,0.00640146319158665,0.0156709108716944,0.000271665308340125,0.0955506929248724,0.0390015600624025
Epithelial,0.0264200792602378,0.0013869625520111,0.00431778929188256,0.0428674351585014,0.0390625,0.0170006071645416,0.0944444444444444,0.066017316017316,0.057372346528973,0.0283493369913123,0.00685602350636631,0.028253192067373,0.00364697301239971,0.0179407176287051
Macrophage,0.225011008366358,0.0915395284327323,0.330310880829016,0.360230547550432,0.38525390625,0.292046144505161,0.29017094017094,0.416125541125541,0.176706827309237,0.111568358481939,0.181194906953967,0.0141265960336865,0.146608315098468,0.237909516380655
T_cell,0.402025539409952,0.497457235321313,0.165371329879102,0.328530259365994,0.380859375,0.279295689131755,0.108974358974359,0.112554112554113,0.282271944922547,0.00823045267489712,0.0832517140058766,0.0054333061668025,0.486506199854121,0.352574102964119
NK_cell,0.0136503742844562,0.00693481276005548,0.0107944732297064,0.0500720461095101,0.00341796875,0.0261080752884032,0.00512820512820513,0.0108225108225108,0.00745840504876649,0,0.00881488736532811,0,0.216630196936543,0.0218408736349454
Fibroblast,0.196829590488771,0.0832177531206657,0.0738341968911917,0.0363832853025937,0.00732421875,0.0115361262902247,0.0247863247863248,0.0335497835497836,0.243832472748135,0.0100594421582076,0.0019588638589618,0.00162999185004075,0,0.0585023400936037
Endothelial,0.0202553940995156,0.00462320850670365,0.00690846286701209,0.0482708933717579,0.0009765625,0.0139647844565877,0.0102564102564103,0.0503246753246753,0.0654044750430293,0.00731595793324188,0.000979431929480901,0.00054333061668025,0.000729394602479942,0.0078003120124805
Dendritic,0.00440334654337296,0.00647249190938511,0.00259067357512953,0.0115273775216138,0.0087890625,0.0103217972070431,0.000427350427350427,0.00811688311688312,0.00458978772231784,0.00137174211248285,0,0,0,0.00234009360374415
ts1,0.019374724790841,0.0110957004160888,0.0487910189982729,0.0363832853025937,0.03466796875,0.0570734669095325,0.0102564102564103,0.265692640692641,0.00172117039586919,0.538180155464106,0.16356513222331,0.458027709861451,0,0.155226209048362
ts2,0.0132100396301189,0.000462320850670365,0.300949913644214,0.00648414985590778,0.13232421875,0.00546448087431694,0.35,0.0124458874458874,0.057372346528973,0.229995427526292,0.417238001958864,0.41238793806031,0.050328227571116,0.106084243369735
ts3,0,0.000462320850670365,0.0379965457685665,0.0176512968299712,0.00146484375,0.00182149362477231,0.00897435897435897,0,0.00057372346528973,0.0585276634659351,0.120470127326151,0.0793262700353165,0,0.00078003120124805
Purity,0.0325847644209599,0.0120203421174295,0.387737478411054,0.0605187319884726,0.16845703125,0.0643594414086217,0.369230769230769,0.278138528138528,0.059667240390132,0.826703246456333,0.701273261508325,0.949741917957077,0.050328227571116,0.262090483619345
