GeneID,Macrophage
A1BG,0.26636317
A1BG-AS1,0.044231847
A1CF,0.0
A2M,1.2227638
A2M-AS1,0.010236507
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.0080723995
A4GNT,0.011055579
AAAS,0.08443586
AACS,0.047218222
AADAC,0.00029494372
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0010446915
PRXL2C,0.5946438
AAGAB,0.09133086
AAK1,0.4363629
AAMDC,0.25951833
AAMP,0.3545862
AANAT,8.060363e-05
AAR2,0.0823344
AARD,0.001861551
AARS1,0.10450026
AARS2,0.018624093
AARSD1,0.026197754
AASDH,0.09399634
AASDHPPT,0.16852234
AASS,0.003567974
AATBC,0.02520233
AATF,0.28916654
AATK,0.019264778
PVALEF,0.0
ABALON,0.0020709732
ABAT,0.049161725
ABCA1,0.82625294
ABCA10,0.0009996113
ABCA12,0.0
ABCA13,0.00026577394
ABCA2,0.025555987
ABCA3,0.017759137
ABCA4,0.0032020584
ABCA5,0.05650203
ABCA6,0.037819292
ABCA7,0.09615156
ABCA8,0.0011926225
ABCA9,0.0029037653
ABCA9-AS1,0.0
ABCB1,0.004581028
ABCB10,0.0701046
ABCB11,0.0
ABCB4,0.008509698
ABCB5,0.0048570433
ABCB6,0.00019298255
ABCB7,0.12518659
ABCB8,0.09022423
ABCB9,0.00772163
ABCC1,0.07503111
ABCC10,0.038576905
ABCC11,0.00031648914
ABCC12,0.0
ABCC2,0.0005897653
ABCC3,0.26733
ABCC4,0.03784985
ABCC5,0.13611574
ABCC5-AS1,0.00014150847
ABCC6,0.008126745
ABCC8,0.0
ABCC9,0.00043225195
ABCD1,0.11138064
ABCD2,0.00055477244
ABCD3,0.06676118
ABCD4,0.14576595
ABCE1,0.21253058
ABCF1,0.35908812
ABCF2,0.11096663
ABCF3,0.077657714
ABCG1,0.7391433
ABCG2,0.054228216
ABCG4,0.00057673955
ABCG5,0.0
ABCG8,0.0
ABHD1,0.0061311144
ABHD10,0.068829454
ABHD11,0.09847055
