GeneID,NK_cell
A1BG,0.14435007
A1BG-AS1,0.027455756
A1CF,0.0
A2M,0.082440324
A2M-AS1,0.100420006
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.021093937
A4GNT,0.0
AAAS,0.14503086
AACS,0.05799027
AADAC,0.005028744
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0
PRXL2C,0.3388108
AAGAB,0.19122756
AAK1,1.3148774
AAMDC,0.10460904
AAMP,0.4945876
AANAT,0.0078372285
AAR2,0.13772056
AARD,0.0
AARS1,0.089322284
AARS2,0.028720025
AARSD1,0.10621851
AASDH,0.14877306
AASDHPPT,0.28583643
AASS,0.023081066
AATBC,0.005006223
AATF,0.5080283
AATK,0.010180084
PVALEF,0.0
ABALON,0.010398088
ABAT,0.03210951
ABCA1,0.019105222
ABCA10,0.0
ABCA12,0.0
ABCA13,0.0
ABCA2,0.14202654
ABCA3,0.01793625
ABCA4,0.0
ABCA5,0.14473711
ABCA6,0.0
ABCA7,0.058105953
ABCA8,0.0
ABCA9,0.0
ABCA9-AS1,0.0
ABCB1,0.19973418
ABCB10,0.048131287
ABCB11,0.0
ABCB4,0.0
ABCB5,0.0
ABCB6,0.0
ABCB7,0.11582916
ABCB8,0.1646648
ABCB9,0.0038803504
ABCC1,0.07347536
ABCC10,0.042901136
ABCC11,0.0
ABCC12,0.0
ABCC2,0.0
ABCC3,0.006628315
ABCC4,0.036640793
ABCC5,0.093310125
ABCC5-AS1,0.0
ABCC6,0.0
ABCC8,0.0
ABCC9,0.005262089
ABCD1,0.028235788
ABCD2,0.017639372
ABCD3,0.12838489
ABCD4,0.21692821
ABCE1,0.25238022
ABCF1,0.5841845
ABCF2,0.17445458
ABCF3,0.16894066
ABCG1,0.06602279
ABCG2,0.005394646
ABCG4,0.0
ABCG5,0.0
ABCG8,0.0
ABHD1,0.021691144
ABHD10,0.0608403
ABHD11,0.08140999
ABHD11-AS1,0.010376392
ABHD12,0.19581343
ABHD12B,0.0
ABHD13,0.24758893
ABHD14A,0.4571675
ABHD14A-ACY1,0.0
ABHD14B,0.79126513
ABHD15,0.16473575
ABHD15-AS1,0.0027776808
ABHD16A,0.048477523
ABHD16B,0.0
ABHD17A,1.5370224
ABHD17B,0.3247206
ABHD17C,0.010020072
ABHD18,0.07211632
ABHD2,0.362433
ABHD3,0.5095039
ABHD4,0.049999088
ABHD5,0.159999
ABHD6,0.052892797
ABHD8,0.040371
ABI1,0.8528454
ABI2,0.13561243
ABI3,2.484189
ABI3BP,0.0
ABL1,0.06744829
ABL2,0.05605279
ABLIM1,0.16677743
ABLIM2,0.0047051874
ABLIM3,0.0
ABO,0.0055103702
ABR,0.1830034
ABRA,0.0
ABRACL,1.9766515
ABT1,0.6153774
ABTB1,0.39712405
ABTB2,0.0221158
ACAA1,0.7189009
ACAA2,0.9924087
ACACA,0.026552953
ACACB,0.0074699055
ACAD10,0.025337234
ACAD11,0.009459037
ACAD8,0.15952358
ACAD9,0.09786044
ACADL,0.0
ACADM,0.3476768
ACADS,0.14984417
ACADSB,0.08651523
ACADVL,0.90694493
ACAN,0.0
ACAP1,2.480236
ACAP2,0.4114123
ACAP3,0.08080329
ACAT1,0.21651904
ACAT2,0.36039302
ACBD3,0.13252085
ACBD4,0.058009233
ACBD5,0.25649843
ACBD6,0.19373254
ACBD7,0.0
ACCS,0.017530646
ACD,0.33425695
ACE,0.005028744
ACE2,0.0
ACER1,0.0
ACER2,0.0
ACER3,0.06445194
ACHE,0.0
ACIN1,0.4014792
ACKR1,0.006507049
ACKR2,0.0041150283
ACKR3,0.0036242362
ACKR4,0.0
ACLY,0.3088162
ACMSD,0.0
ACO1,0.0428374
ACO2,0.43083024
ACOT1,0.0
ACOT11,0.007899774
ACOT12,0.0
ACOT13,0.24421613
ACOT2,0.09075477
ACOT4,0.14492972
ACOT6,0.0
ACOT7,0.2493686
ACOT8,0.28477737
ACOT9,0.11996383
ACOX1,0.092815325
ACOX2,0.0
ACOX3,0.038995042
ACOXL,0.003470715
ACP1,1.4269705
ACP2,0.110019036
ACP5,0.46784246
ACP6,0.03659403
ACP7,0.0047051874
ACPP,0.0
ACP4,0.0
ACR,0.0
ACRBP,0.005124247
GCNA,0.009258967
ACRV1,0.0
ACSBG1,0.0
ACSBG2,0.0
ACSF2,0.04233612
ACSF3,0.20865671
ACSL1,0.0642683
ACSL3,0.20210299
ACSL4,0.121691324
ACSL5,0.31735936
ACSL6,0.01456596
ACSM1,0.0
ACSM2A,0.0
ACSM2B,0.0
ACSM3,0.02195887
ACSM4,0.0
ACSM5,0.0
ACSM6,0.0
ACSS1,0.3719261
ACSS2,0.018105185
ACSS3,0.0
ACTA1,0.0
ACTA2,0.15529458
ACTA2-AS1,0.0
ACTB,87.40317
ACTBL2,0.0
ACTC1,0.0
ACTG1,23.19435
ACTG2,0.0
ACTL10,0.018533222
ACTL6A,0.14635426
ACTL6B,0.0
ACTL7B,0.0
ACTL8,0.0
ACTN1,0.076642804
ACTN1-AS1,0.0
ACTN2,0.0
ACTN3,0.0040521626
ACTN4,1.3213842
ACTR10,0.5601482
ACTR1A,0.46496105
ACTR1B,0.41900295
ACTR2,2.015376
ACTR3,4.0084143
ACTR3B,0.03241561
ACTR3C,0.0151577275
ACTR5,0.06530031
ACTR6,0.2955634
ACTR8,0.075037934
ACTRT1,0.0
ACTRT2,0.0
ACTRT3,0.0
ACVR1,0.035198465
ACVR1B,0.0056171757
ACVR1C,0.0
ACVR2A,0.03188095
ACVR2B,0.04257911
ACVR2B-AS1,0.0
ACVRL1,0.0
ACY1,0.0057513607
ACY3,0.0
ACYP1,0.2607224
ACYP2,0.21890043
ADA,0.7578235
ADAD2,0.0
ADAL,0.08176824
ADAM10,0.5890812
ADAM11,0.0
ADAM12,0.012069164
ADAM15,0.12223567
ADAM17,0.24668045
ADAM18,0.0
ADAM19,0.022389898
ADAM2,0.0
ADAM20,0.0044572637
ADAM20P1,0.0065754
ADAM21,0.0
ADAM22,0.0076612625
ADAM23,0.0
ADAM28,0.037478726
ADAM29,0.0
ADAM30,0.0
ADAM32,0.0
ADAM33,0.0
ADAM8,1.4140072
ADAM9,0.0364784
ADAMDEC1,0.005861218
ADAMTS1,0.07935166
ADAMTS10,0.041380037
ADAMTS12,0.0061733536
ADAMTS13,0.009532295
ADAMTS14,0.0
ADAMTS15,0.0098921945
ADAMTS16,0.0
ADAMTS17,0.016998246
ADAMTS18,0.0
ADAMTS19,0.0
ADAMTS2,0.0
ADAMTS20,0.0
ADAMTS3,0.0
ADAMTS4,0.0
ADAMTS5,0.0
ADAMTS6,0.05254679
ADAMTS7,0.0
ADAMTS8,0.0
ADAMTS9,0.0
ADAMTS9-AS1,0.0
ADAMTS9-AS2,0.0
ADAMTSL1,0.0
ADAMTSL2,0.013321523
ADAMTSL3,0.0
ADAMTSL4,0.0051905313
ADAMTSL5,0.009169968
ADAP1,0.22645059
ADAP2,0.011574026
ADAR,1.0097864
ADARB1,0.04048364
ADARB2,0.0
ADARB2-AS1,0.0
ADAT1,0.03912506
ADAT2,0.071034096
ADAT3,0.029213564
ADCK1,0.01875772
ADCK2,0.12080973
COQ8A,0.1548463
COQ8B,0.15247852
ADCK5,0.058527272
ADCY1,0.004631385
ADCY10,0.0
ADCY2,0.0
ADCY3,0.0055711824
ADCY4,0.0098455185
ADCY5,0.0
ADCY6,0.0
ADCY7,0.46931222
ADCY8,0.0
ADCY9,0.07661075
ADCYAP1,0.0
ADCYAP1R1,0.0
ADD1,0.56629616
ADD2,0.0
ADD3,1.3156643
ADGB,0.0
ADGRA1,0.0
ADGRA1-AS1,0.0
ADGRA2,0.009655286
ADGRA3,0.0105862925
ADGRB1,0.0
ADGRB2,0.016551258
ADGRB3,0.0
ADGRD1,0.0
ADGRD2,0.0
ADGRE1,0.0
ADGRE2,0.00254504
ADGRE3,0.0033822025
ADGRE5,1.9795403
ADGRF1,0.010127097
ADGRF2,0.0
ADGRF3,0.0
ADGRF4,0.0
ADGRF5,0.011942288
ADGRG1,2.6288378
ADGRG2,0.010786897
ADGRG3,0.11564471
ADGRG4,0.0
ADGRG5,0.36889237
ADGRG6,0.0
ADGRG7,0.0
ADGRL1,0.08683122
ADGRL2,0.0061733536
ADGRL3,0.0
ADGRL4,0.011279567
ADGRV1,0.0
ADH1A,0.0
ADH1B,0.027020728
ADH1C,0.0
ADH4,0.0
ADH5,0.5978518
ADH6,0.0
ADH7,0.0
ADHFE1,0.095468335
ADI1,0.40148285
ADIG,0.0
ADIPOQ,0.0
ADIPOQ-AS1,0.0
ADIPOR1,0.46307155
ADIPOR2,0.20315573
ADIRF,0.02224702
ADK,0.12771763
ADM,0.03670413
ADM2,0.010232662
ADM5,0.0
ADNP,0.23674281
ADNP-AS1,0.028078232
ADNP2,0.07784364
ADO,0.08169713
ADORA1,0.0
ADORA2A,0.0
ADORA2A-AS1,0.019673096
ADORA2B,0.0
ADORA3,0.0048935125
ADPGK,0.46060702
ADPGK-AS1,0.0
ADPRH,0.010939397
ADPRHL1,0.0075264685
ADPRHL2,0.24445206
ADPRM,0.047030568
ADRA1A,0.0
ADRA1B,0.0
ADRA1D,0.0
ADRA2A,0.004241044
ADRA2B,0.0
ADRA2C,0.0
ADRB1,0.0047989734
ADRB2,0.91042393
ADRB3,0.0
GRK2,0.31709787
GRK3,0.0048211496
ADRM1,1.2612078
ADSL,0.2852042
ADSS2,0.54290557
ADSS1,0.014776807
ADTRP,0.00894862
AEBP1,0.0037873795
AEBP2,0.21795519
AEN,0.1581301
TLE5,3.785986
AFAP1,0.019697119
AFAP1-AS1,0.0061733536
AFAP1L1,0.0
AFAP1L2,0.027682066
AFF1,0.094297364
AFF2,0.0
AFF3,0.0
AFF4,0.56787705
AFG3L2,0.20902753
AFM,0.0
AFMID,0.013731822
AFP,0.0
AFTPH,0.17185628
AGA,0.25287834
AGAP1,0.036361415
AGAP14P,0.0
AGAP2,0.1562194
AGAP2-AS1,0.0
AGAP3,0.03620408
AGAP4,0.038704697
AGAP5,0.009497646
AGAP6,0.045756485
AGAP9,0.017118637
AGBL1,0.0
AGBL1-AS1,0.0
AGBL2,0.0048226356
AGBL3,0.0096843345
AGBL4,0.0
AGBL5,0.03047979
AGBL5-AS1,0.002121097
AGER,0.044029985
AGFG1,0.09525659
AGFG2,0.08886483
AGGF1,0.21188514
AGK,0.25416952
AGL,0.07336558
AGMAT,0.008304035
AGMO,0.0
AGO1,0.10532327
AGO2,0.3072454
AGO3,0.25257638
AGO4,0.09766536
AGPAT1,0.12565227
AGPAT2,0.2906143
AGPAT3,0.053900223
AGPAT4,0.16569
AGPAT5,0.07509194
AGPS,0.14601779
AGR2,0.15094729
AGR3,0.05826561
AGRN,0.022116322
AGRP,0.0
AGT,0.005500686
AGTPBP1,0.19474098
AGTR1,0.0
AGTR2,0.0
AGTRAP,1.348031
AGXT,0.0
AGXT2,0.0
AHCTF1,0.07621154
AHCY,0.1226341
AHCYL1,0.14333075
AHCYL2,0.027415002
AHDC1,0.0686301
AHI1,0.18362562
AHNAK,1.175522
AHNAK2,0.0
AHR,0.045131117
AHRR,0.0
AHSA1,0.7686826
AHSA2P,0.20031515
AHSG,0.0
AHSP,0.0
AICDA,0.005736603
AIDA,0.34994343
AIF1,0.15917797
AIF1L,0.004165412
AIFM1,0.15957184
AIFM2,0.040441386
AIFM3,0.0027776808
AIG1,0.11707967
CRYBG1,0.14379857
CRYBG2,0.0099373115
AIM2,0.003334637
AIMP1,0.6144437
AIMP2,0.14134765
AIP,1.0459744
AIPL1,0.0
AIRE,0.0
AIRN,0.0
AJAP1,0.0
AJUBA,0.0
AK1,0.07080035
AK2,0.4198467
AK3,0.3553945
AK4,0.011463988
AK5,0.075944625
AK6,0.34470177
AK7,0.0
AK8,0.0
AK9,0.11282782
AKAP1,0.05459874
AKAP10,0.23212102
AKAP11,0.1631838
AKAP12,0.01716361
AKAP13,1.3931501
AKAP14,0.0
AKAP17A,0.38910952
AKAP3,0.00431352
AKAP4,0.0
AKAP5,0.15093343
AKAP6,0.0
AKAP7,0.28775218
AKAP8,0.24713118
AKAP8L,0.19347638
AKAP9,0.89666533
AKIP1,0.14117916
AKIRIN1,0.7298429
AKIRIN2,0.4917372
AKNA,1.6898953
AKNAD1,0.0
AKR1A1,0.5075122
AKR1B1,0.81983435
AKR1B10,0.005581117
AKR1B15,0.0
AKR1C1,0.0048420336
AKR1C2,0.006507049
AKR1C3,1.2399645
AKR1C4,0.0
AKR1D1,0.0053778184
AKR1E2,0.0
AKR7A2,0.67933464
AKR7A3,0.0
AKT1,0.20051152
AKT1S1,0.1113103
AKT2,0.28983557
AKT3,0.14969343
AKTIP,0.13851537
ALAD,0.09989731
ALAS1,0.19646579
ALAS2,0.009756402
ALB,0.0
ALCAM,0.021101106
ALDH16A1,0.29197896
ALDH18A1,0.106785685
ALDH1A1,0.02375501
ALDH1A2,0.0066735405
ALDH1A3,0.0
ALDH1B1,0.041740984
ALDH1L1,0.0
ALDH1L1-AS1,0.0
ALDH1L1-AS2,0.0
ALDH1L2,0.0
ALDH2,0.075659595
ALDH3A1,0.004348278
ALDH3A2,0.17008685
ALDH3B1,0.005621211
ALDH3B2,0.0
ALDH4A1,0.008992406
ALDH5A1,0.050663054
ALDH6A1,0.06091881
ALDH7A1,0.0
ALDH8A1,0.0
ALDH9A1,0.54603183
ALDOA,4.4918747
ALDOB,0.0
ALDOC,0.19141486
ALG1,0.12767097
ALG10,0.018137505
ALG10B,0.037155483
ALG11,0.03522092
