GeneID,T_cell
A1BG,0.39518824
A1BG-AS1,0.054325853
A1CF,0.0
A2M,0.14022689
A2M-AS1,0.07568134
A2ML1,0.0
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.010415143
A4GNT,0.00031010294
AAAS,0.09635172
AACS,0.041492015
AADAC,0.0
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.0010259326
PRXL2C,0.3528998
AAGAB,0.14575662
AAK1,1.3529545
AAMDC,0.15825179
AAMP,0.38405672
AANAT,0.0011224865
AAR2,0.1172923
AARD,0.0031421217
AARS1,0.09182158
AARS2,0.01752754
AARSD1,0.13335611
AASDH,0.13493307
AASDHPPT,0.21752968
AASS,0.011772716
AATBC,0.0011581751
AATF,0.49178013
AATK,0.0026501983
PVALEF,0.0
ABALON,0.002369655
ABAT,0.06611799
ABCA1,0.022957154
ABCA10,0.001544066
ABCA12,0.00040774836
ABCA13,0.00046788488
ABCA2,0.0942716
ABCA3,0.02006076
ABCA4,0.0016109938
ABCA5,0.10139344
ABCA6,0.0018032492
ABCA7,0.07128464
ABCA8,0.003383393
ABCA9,0.0013101699
ABCA9-AS1,0.0
ABCB1,0.07008868
ABCB10,0.05371299
ABCB11,0.0
ABCB4,0.00082662323
ABCB5,0.0005137685
ABCB6,0.0
ABCB7,0.13855009
ABCB8,0.10017884
ABCB9,0.0072622835
ABCC1,0.07489044
ABCC10,0.05321328
ABCC11,0.00031238166
ABCC12,0.0
ABCC2,0.0011590533
ABCC3,0.014597332
ABCC4,0.021861702
ABCC5,0.049836263
ABCC5-AS1,0.0
ABCC6,0.0031483232
ABCC8,0.0
ABCC9,0.000999581
ABCD1,0.03206119
ABCD2,0.03747855
ABCD3,0.08625897
ABCD4,0.21540646
ABCE1,0.30337706
ABCF1,0.6191605
ABCF2,0.17432758
ABCF3,0.11385595
ABCG1,0.29461756
ABCG2,0.0075471806
ABCG4,0.00028014948
ABCG5,0.0
ABCG8,0.0
ABHD1,0.0099720955
ABHD10,0.08335653
ABHD11,0.059399843
ABHD11-AS1,0.010731329
ABHD12,0.19308682
ABHD12B,0.00045570405
ABHD13,0.23876262
ABHD14A,0.45552856
ABHD14A-ACY1,0.0
ABHD14B,0.8651118
ABHD15,0.08990444
ABHD15-AS1,0.00042865853
ABHD16A,0.014025271
ABHD16B,0.0
ABHD17A,0.60070246
ABHD17B,0.16207121
ABHD17C,0.015527015
ABHD18,0.08664369
ABHD2,0.13197093
ABHD3,0.34005424
ABHD4,0.024366364
ABHD5,0.15933175
ABHD6,0.03445741
ABHD8,0.06490024
ABI1,0.5705515
ABI2,0.1726755
ABI3,0.5120755
ABI3BP,0.005777471
ABL1,0.06779936
ABL2,0.09064029
ABLIM1,0.26100513
ABLIM2,0.011026372
ABLIM3,0.0024805095
ABO,0.03523869
ABR,0.12160398
ABRA,0.0
ABRACL,2.2989495
ABT1,0.65836257
ABTB1,0.32940295
ABTB2,0.015250286
ACAA1,0.4601087
ACAA2,0.47954926
ACACA,0.03513571
ACACB,0.020910107
ACAD10,0.026341176
ACAD11,0.007557466
