GeneID,ts2
A1BG,0.2911588
A1BG-AS1,0.020626837
A1CF,0.0
A2M,0.03154287
A2M-AS1,0.0027569998
A2ML1,0.062115863
A2ML1-AS1,0.0
A2ML1-AS2,0.0
A4GALT,0.1172405
A4GNT,0.0
AAAS,0.0868502
AACS,0.12157409
AADAC,0.005198854
AADACL2,0.0
AADACL2-AS1,0.0
AADACL3,0.0
AADACL4,0.0
AADAT,0.017401392
PRXL2C,0.17927518
AAGAB,0.22496873
AAK1,0.4022491
AAMDC,0.4692847
AAMP,0.5720283
AANAT,0.0027005936
AAR2,0.12023219
AARD,0.025735108
AARS1,0.1862334
AARS2,0.026059758
AARSD1,0.08814037
AASDH,0.112020284
AASDHPPT,0.22948821
AASS,0.017159732
AATBC,0.03051861
AATF,0.3502772
AATK,0.031868573
PVALEF,0.0
ABALON,0.001481395
ABAT,0.018698487
ABCA1,0.18725613
ABCA10,0.0007178483
ABCA12,0.023175837
ABCA13,0.017947644
ABCA2,0.07309072
ABCA3,0.10212593
ABCA4,0.08215352
ABCA5,0.041539762
ABCA6,0.00015090698
ABCA7,0.50042784
ABCA8,0.0030582047
ABCA9,0.0001127775
ABCA9-AS1,0.00039511634
ABCB1,0.0005056821
ABCB10,0.06876317
ABCB11,0.0
ABCB4,0.0014368028
ABCB5,0.00043166435
ABCB6,0.0006760303
ABCB7,0.08193429
ABCB8,0.21326263
ABCB9,0.055869542
ABCC1,0.104844995
ABCC10,0.068158835
ABCC11,5.7941746e-05
ABCC12,0.0
ABCC2,0.0020788712
ABCC3,1.2427869
ABCC4,0.08125646
ABCC5,0.12946409
ABCC5-AS1,0.0
ABCC6,0.08112534
ABCC8,3.2074524e-05
ABCC9,0.004652541
ABCD1,0.07706144
ABCD2,0.00049092574
ABCD3,0.22662394
ABCD4,0.1801355
ABCE1,0.24534112
ABCF1,0.5266756
ABCF2,0.24729219
ABCF3,0.10004697
ABCG1,0.049112722
ABCG2,0.0015451899
ABCG4,0.00044985156
ABCG5,0.0
ABCG8,0.0
ABHD1,0.0028159001
ABHD10,0.06698216
ABHD11,0.8414972
ABHD11-AS1,0.68300915
ABHD12,0.7157634
ABHD12B,0.0023923488
ABHD13,0.16688186
ABHD14A,0.21030682
ABHD14A-ACY1,0.0
ABHD14B,0.5045964
ABHD15,0.07005919
ABHD15-AS1,0.0
ABHD16A,0.008131261
ABHD16B,5.6164474e-05
ABHD17A,0.39213705
ABHD17B,0.06777788
ABHD17C,0.30448934
ABHD18,0.07699891
ABHD2,0.77229893
ABHD3,0.18173632
ABHD4,0.061829127
ABHD5,0.35141346
ABHD6,0.033745155
ABHD8,0.11869327
ABI1,0.3894489
ABI2,0.3642994
ABI3,0.009667746
ABI3BP,0.026036058
ABL1,0.1536754
ABL2,0.39746755
ABLIM1,0.33922085
ABLIM2,0.014158821
ABLIM3,0.10082822
ABO,0.1132166
ABR,0.1653403
ABRA,0.0
ABRACL,0.86733025
ABT1,0.30966142
ABTB1,0.14005587
ABTB2,0.06263089
ACAA1,0.54338545
ACAA2,0.33074418
ACACA,0.2105336
ACACB,0.015820457
ACAD10,0.06730471
ACAD11,0.0047799526
ACAD8,0.22914305
ACAD9,0.11262973
ACADL,0.000798269
ACADM,0.16664915
ACADS,0.109516844
ACADSB,0.06951582
