,Cancer.cell.3
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.0039207092
AL627309.3,0.00039703373
AL627309.4,0.0
AL732372.1,0.00014888766
OR4F29,0.0
AC114498.1,9.925843e-05
AL669831.2,0.0
AL669831.5,0.093849994
FAM87B,0.001141472
LINC00115,0.017022839
FAM41C,0.0161295
AL645608.7,0.00034740454
AL645608.3,0.008436957
AL645608.5,0.0006451799
AL645608.1,0.012754689
SAMD11,0.13548917
NOC2L,0.6283306
KLHL17,0.01836284
PLEKHN1,0.0741464
PERM1,0.0066999393
AL645608.8,0.04650252
HES4,0.7135035
ISG15,24.690544
AL645608.2,0.0009429553
AGRN,0.89813805
AL645608.9,0.00014888766
RNF223,0.008486588
C1orf159,0.0713175
LINC01342,0.0031266424
AL390719.2,0.09791968
TTLL10-AS1,0.00029777532
TTLL10,0.019107295
TNFRSF18,0.030224264
TNFRSF4,0.025410186
SDF4,0.75491494
B3GALT6,0.24750763
C1QTNF12,0.035236783
AL162741.1,0.0013896179
UBE2J2,0.6138907
LINC01786,0.004119226
SCNN1D,0.051366042
ACAP3,0.08784473
PUSL1,0.19946468
INTS11,0.5346006
CPTP,0.17440106
TAS1R3,0.0043177423
DVL1,0.24100591
MXRA8,0.06441887
AURKAIP1,3.154196
CCNL2,0.56456745
MRPL20,2.565367
AL391244.3,0.020199142
ANKRD65,0.50651675
AL391244.2,0.0004962922
TMEM88B,0.0006451799
LINC01770,0.0071962294
VWA1,0.8404355
ATAD3C,0.114496216
ATAD3B,0.1910772
ATAD3A,0.23976487
TMEM240,0.0047644037
SSU72,2.2855546
AL645728.1,0.026452506
FNDC10,0.13017933
AL691432.2,0.054790393
MIB2,0.20978813
MMP23B,0.17385292
CDK11B,0.27356377
FO704657.1,0.006749568
SLC35E2B,0.1347955
CDK11A,0.1762378
SLC35E2A,0.08501561
NADK,0.29862761
GNB1,1.2130717
AL109917.1,0.0057569854
CALML6,0.0024814617
TMEM52,0.031067977
CFAP74,0.0059555015
AL391845.2,0.00054592144
GABRD,0.0014392473
AL391845.1,0.0008436969
PRKCZ,0.14283606
AL590822.2,0.008238439
PRKCZ-AS1,0.0051614363
FAAP20,0.99513656
AL590822.1,0.0004962922
SKI,0.15330799
MORN1,0.123280935
RER1,1.3978388
PEX10,0.28249773
PLCH2,0.0030770125
AL139246.1,4.9629216e-05
AL139246.4,0.0
PANK4,0.047941655
HES5,0.0013399889
AL139246.5,0.07201214
TNFRSF14-AS1,0.02109249
TNFRSF14,0.50046134
AL139246.3,0.0058066137
FAM213B,0.24294125
MMEL1,0.2680528
AL831784.1,0.0032258998
TTC34,0.035534546
AC242022.1,9.925843e-05
AL589702.1,0.0
ACTRT2,9.925843e-05
LINC00982,0.0015881347
PRDM16,0.0050621796
AL008733.1,9.925843e-05
AL590438.1,0.0004962922
ARHGEF16,0.07846435
AL512413.1,0.0029281252
MEGF6,0.065113574
AL513320.1,0.004119226
TPRG1L,0.2390708
WRAP73,0.19241759
TP73,0.007444375
AL136528.1,0.00014888766
AL136528.2,4.9629216e-05
CCDC27,0.00019851686
SMIM1,0.17082708
LRRC47,0.31187928
AL365330.1,0.0017866516
CEP104,0.28085965
DFFB,0.05538592
C1orf174,0.26477954
LINC01134,0.008883619
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.0008436969
LINC01777,4.9629216e-05
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.028288718
Z98259.3,0.00019851686
Z98259.1,0.0
AL365255.1,4.9629216e-05
NPHP4,0.047395755
KCNAB2,0.017370243
CHD5,0.0008436969
RPL22,16.784
AL031847.1,0.0017866516
RNF207,0.38329858
ICMT,0.24706095
LINC00337,0.0024814608
GPR153,0.029579118
ACOT7,0.117474176
AL031848.2,0.017022839
HES2,0.04034862
ESPN,0.20244123
AL031848.1,9.925843e-05
TNFRSF25,0.10129465
PLEKHG5,0.07216127
NOL9,0.25971654
TAS1R1,0.002531091
ZBTB48,0.116680264
KLHL21,0.125415
PHF13,0.10164196
THAP3,0.13310815
DNAJC11,0.26636738
LINC01672,9.925843e-05
AL591163.1,0.00054592144
CAMTA1-DT,0.0022333153
CAMTA1,1.2129507
AL512330.1,4.9629216e-05
Z97987.1,0.00029777532
AL365194.1,0.0
AL359881.3,0.0023325738
AL359881.2,0.0015385055
AL359881.1,0.002034798
VAMP3,0.412432
PER3,0.13211514
Z98884.1,4.9629216e-05
UTS2,0.0018362809
TNFRSF9,0.030075392
PARK7,4.119232
AL034417.4,0.0068984544
AL034417.3,0.013151721
ERRFI1,0.39659572
AL034417.2,0.05831414
LINC01714,0.00034740454
AL358876.2,0.0
SLC45A1,0.009826571
RERE,0.80608135
AL096855.1,0.0017370223
AL357552.2,0.0004962922
ENO1,7.0278172
ENO1-AS1,0.015782086
CA6,0.00014888766
SLC2A7,9.925843e-05
SLC2A5,0.0066999393
GPR157,0.12730087
MIR34AHG,0.02466582
LINC01759,0.011712478
H6PD,0.49758387
SPSB1,0.21331128
BX323043.1,0.0005955507
AL928921.2,0.003523676
AL928921.1,0.0
SLC25A33,0.2801647
TMEM201,0.07092047
PIK3CD,0.021836935
PIK3CD-AS1,4.9629216e-05
PIK3CD-AS2,0.042532157
CLSTN1,0.7004902
