,Cycling.cancer.cell.1
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.003120267
AL627309.3,0.0003033595
AL627309.4,4.3337066e-05
AL732372.1,8.667413e-05
OR4F29,0.0
AC114498.1,4.3337066e-05
AL669831.2,0.0
AL669831.5,0.14058773
FAM87B,0.0014734606
LINC00115,0.030812608
FAM41C,0.01880832
AL645608.7,0.00047670782
AL645608.3,0.014344571
AL645608.5,0.0010400899
AL645608.1,0.018764973
SAMD11,0.21690619
NOC2L,0.7950057
KLHL17,0.021235224
PLEKHN1,0.030509233
PERM1,0.00398701
AL645608.8,0.040606637
HES4,0.42124885
ISG15,4.9186025
AL645608.2,0.0003466966
AGRN,0.79696095
AL645608.9,4.3337066e-05
RNF223,0.008060689
C1orf159,0.08580632
LINC01342,0.004550393
AL390719.2,0.117270686
TTLL10-AS1,0.0008234044
TTLL10,0.027562357
TNFRSF18,0.030595891
TNFRSF4,0.0074539734
SDF4,0.83868617
B3GALT6,0.20910716
C1QTNF12,0.0396966
AL162741.1,0.0016034715
UBE2J2,0.66517335
LINC01786,0.0026868964
SCNN1D,0.05100738
ACAP3,0.094083704
PUSL1,0.22405913
INTS11,0.53953135
CPTP,0.21365845
TAS1R3,0.0045070555
DVL1,0.23212087
MXRA8,0.09135416
AURKAIP1,3.7555797
CCNL2,0.46845365
MRPL20,2.373932
AL391244.3,0.035146244
ANKRD65,0.40725183
AL391244.2,0.0003466966
TMEM88B,0.00052004494
LINC01770,0.003163604
VWA1,0.56075865
ATAD3C,0.06682514
ATAD3B,0.23177473
ATAD3A,0.4035727
TMEM240,0.008494056
SSU72,2.2869155
AL645728.1,0.04034659
FNDC10,0.0759258
AL691432.2,0.074452296
MIB2,0.21019202
MMP23B,0.09928471
CDK11B,0.3526925
FO704657.1,0.0074106334
SLC35E2B,0.1241184
CDK11A,0.20460084
SLC35E2A,0.08953324
NADK,0.28213465
GNB1,1.5614387
AL109917.1,0.0041603595
CALML6,0.0007367303
TMEM52,0.041950073
CFAP74,0.004507056
AL391845.2,0.0
GABRD,0.0014734606
AL391845.1,0.0016034715
PRKCZ,0.1470453
AL590822.2,0.0078006657
PRKCZ-AS1,0.0068039177
FAAP20,0.928227
AL590822.1,0.0003466966
SKI,0.21677917
MORN1,0.10595895
RER1,1.3668797
PEX10,0.2711276
PLCH2,0.0027302338
AL139246.1,4.3337066e-05
AL139246.4,0.0
PANK4,0.04862379
HES5,0.0015601345
AL139246.5,0.03414952
TNFRSF14-AS1,0.009490802
TNFRSF14,0.149688
AL139246.3,0.0031636036
FAM213B,0.16152029
MMEL1,0.0972044
AL831784.1,0.002990256
TTC34,0.03107263
AC242022.1,4.3337066e-05
AL589702.1,0.0
ACTRT2,4.3337066e-05
LINC00982,0.0013001123
PRDM16,0.0022968636
AL008733.1,0.0
AL590438.1,0.0003466966
ARHGEF16,0.0647449
AL512413.1,0.0026868964
MEGF6,0.09473387
AL513320.1,0.01061756
TPRG1L,0.217473
WRAP73,0.19307218
TP73,0.0030335926
AL136528.1,4.3337066e-05
AL136528.2,4.3337066e-05
CCDC27,8.667413e-05
SMIM1,0.09902442
LRRC47,0.389056
AL365330.1,0.0010400899
CEP104,0.31273383
DFFB,0.06613164
C1orf174,0.34389523
LINC01134,0.019935101
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0001300112
AL805961.2,0.00060671906
LINC01777,0.0003033595
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.08103985
Z98259.3,0.0001300112
Z98259.1,0.0
AL365255.1,0.0
NPHP4,0.041993354
KCNAB2,0.015124649
CHD5,0.0012567751
RPL22,17.501595
AL031847.1,0.0019501674
RNF207,0.18236591
ICMT,0.2835657
LINC00337,0.004117022
GPR153,0.02708568
ACOT7,0.18358015
AL031848.2,0.01399787
HES2,0.06097489
ESPN,0.24369055
AL031848.1,0.0001300112
TNFRSF25,0.057767738
PLEKHG5,0.03306607
NOL9,0.28456312
TAS1R1,0.0020801784
ZBTB48,0.120304555
KLHL21,0.10686895
PHF13,0.14695872
THAP3,0.15402265
DNAJC11,0.26406306
LINC01672,8.667413e-05
AL591163.1,0.0002600224
CAMTA1-DT,0.004767078
CAMTA1,1.3883405
AL512330.1,0.0
Z97987.1,0.0002600224
AL365194.1,0.0
AL359881.3,0.00095341564
AL359881.2,0.001126764
AL359881.1,0.0009967528
VAMP3,0.4139331
PER3,0.1859202
Z98884.1,4.3337066e-05
UTS2,0.0010400899
TNFRSF9,0.008840754
PARK7,4.2775702
AL034417.4,0.007497309
AL034417.3,0.013174459
ERRFI1,0.23909752
AL034417.2,0.04576371
LINC01714,0.0002600224
AL358876.2,4.3337066e-05
SLC45A1,0.0046804054
RERE,0.93979007
AL096855.1,0.0009967528
AL357552.2,0.00069339323
ENO1,7.357084
ENO1-AS1,0.022838691
CA6,0.0
SLC2A7,0.0
SLC2A5,0.006413886
GPR157,0.10439866
MIR34AHG,0.013391147
LINC01759,0.0070639397
H6PD,0.27650023
SPSB1,0.14648154
BX323043.1,0.00039003367
AL928921.2,0.0032936158
AL928921.1,0.00017334826
SLC25A33,0.37769905
TMEM201,0.08753975
PIK3CD,0.018634971
PIK3CD-AS1,0.0
PIK3CD-AS2,0.03991323
CLSTN1,0.6191465
