,Dendritic.cell
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.0063486015
AL627309.3,0.0
AL627309.4,0.0005290501
AL732372.1,0.0
OR4F29,0.0
AC114498.1,0.0
AL669831.2,0.00026452506
AL669831.5,0.14152125
FAM87B,0.0013226253
LINC00115,0.028304204
FAM41C,0.028833259
AL645608.7,0.00026452506
AL645608.3,0.0005290501
AL645608.5,0.0
AL645608.1,0.0
SAMD11,0.0015871504
NOC2L,0.33197618
KLHL17,0.014813408
PLEKHN1,0.003174301
PERM1,0.0
AL645608.8,0.022484642
HES4,0.13517243
ISG15,4.033239
AL645608.2,0.00079357525
AGRN,0.014548881
AL645608.9,0.0
RNF223,0.00026452506
C1orf159,0.034652818
LINC01342,0.00026452506
AL390719.2,0.00026452506
TTLL10-AS1,0.0
TTLL10,0.0018516754
TNFRSF18,0.05766644
TNFRSF4,0.0727443
SDF4,0.52296007
B3GALT6,0.22722623
C1QTNF12,0.005025977
AL162741.1,0.0010581003
UBE2J2,0.3698025
LINC01786,0.0018516753
SCNN1D,0.0039678765
ACAP3,0.086764075
PUSL1,0.058724485
INTS11,0.3311824
CPTP,0.072479695
TAS1R3,0.0013226253
DVL1,0.04893712
MXRA8,0.0023807257
AURKAIP1,1.3109714
CCNL2,0.38673213
MRPL20,1.584502
AL391244.3,0.017194135
ANKRD65,0.0431176
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.0
VWA1,0.0023807255
ATAD3C,0.0039678765
ATAD3B,0.07962185
ATAD3A,0.09337728
TMEM240,0.0013226253
SSU72,1.0567623
AL645728.1,0.04946615
FNDC10,0.003174301
AL691432.2,0.031213988
MIB2,0.45445013
MMP23B,0.39942992
CDK11B,0.36557043
FO704657.1,0.0063486015
SLC35E2B,0.28171742
CDK11A,0.44175223
SLC35E2A,0.22087738
NADK,1.1096675
GNB1,1.8553996
AL109917.1,0.0039678765
CALML6,0.0037033514
TMEM52,0.0029097756
CFAP74,0.0039678765
AL391845.2,0.0
GABRD,0.0034388262
AL391845.1,0.0
PRKCZ,0.028568732
AL590822.2,0.011374577
PRKCZ-AS1,0.0015871504
FAAP20,0.9543931
AL590822.1,0.00026452506
SKI,0.09602253
MORN1,0.04814356
RER1,1.4347773
PEX10,0.07644756
PLCH2,0.0015871504
AL139246.1,0.00079357525
AL139246.4,0.0
PANK4,0.045233786
HES5,0.00026452506
AL139246.5,0.051846888
TNFRSF14-AS1,0.012697206
TNFRSF14,0.6049621
AL139246.3,0.0013226253
FAM213B,0.019045815
MMEL1,0.00026452506
AL831784.1,0.0
TTC34,0.014019832
AC242022.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.0044969264
PRDM16,0.011903628
AL008733.1,0.0
AL590438.1,0.00026452506
ARHGEF16,0.0
AL512413.1,0.0
MEGF6,0.0018516753
AL513320.1,0.0074067013
TPRG1L,0.25685245
WRAP73,0.17776087
TP73,0.0005290501
AL136528.1,0.0
AL136528.2,0.0
CCDC27,0.0
SMIM1,0.0063486015
LRRC47,0.1989224
AL365330.1,0.0
CEP104,0.2589688
DFFB,0.011374577
C1orf174,0.1372888
LINC01134,0.0026452506
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.00079357525
LINC01777,0.0
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.12115254
Z98259.3,0.0
Z98259.1,0.0
AL365255.1,0.0
NPHP4,0.037298072
KCNAB2,0.45921108
CHD5,0.0013226253
RPL22,17.059797
AL031847.1,0.00026452506
RNF207,0.010051952
ICMT,0.16744457
LINC00337,0.0015871504
GPR153,0.08411884
ACOT7,0.2790725
AL031848.2,0.01243268
HES2,0.0042324015
ESPN,0.00079357525
AL031848.1,0.0
TNFRSF25,0.021162018
PLEKHG5,0.0018516753
NOL9,0.18622564
TAS1R1,0.0
ZBTB48,0.10316473
KLHL21,0.087293155
PHF13,0.020632967
THAP3,0.12062359
DNAJC11,0.09813875
LINC01672,0.0
AL591163.1,0.0039678765
CAMTA1-DT,0.0015871504
CAMTA1,0.5139663
AL512330.1,0.0
Z97987.1,0.0
AL365194.1,0.0
AL359881.3,0.00026452506
AL359881.2,0.00026452506
AL359881.1,0.00026452506
VAMP3,0.25764605
PER3,0.02856873
Z98884.1,0.0023807255
UTS2,0.016665086
TNFRSF9,0.02618799
PARK7,7.8215113
AL034417.4,0.03438829
AL034417.3,0.02036844
ERRFI1,0.0060840766
AL034417.2,0.0005290501
LINC01714,0.0
AL358876.2,0.0
SLC45A1,0.00026452506
RERE,0.7724031
AL096855.1,0.0066131265
AL357552.2,0.0010581003
ENO1,2.5646129
ENO1-AS1,0.013755307
CA6,0.0
SLC2A7,0.0
SLC2A5,0.007935751
GPR157,0.1439017
MIR34AHG,0.005819551
LINC01759,0.0010581003
H6PD,0.21267773
SPSB1,0.027510628
BX323043.1,0.0
AL928921.2,0.0039678765
AL928921.1,0.0
SLC25A33,0.15633471
TMEM201,0.065602064
PIK3CD,0.61316204
PIK3CD-AS1,0.056608293
PIK3CD-AS2,0.0068776514
CLSTN1,0.26029134
CTNNBIP1,0.19759987
AL357140.1,0.0
LZIC,0.4208553
NMNAT1,0.07777017
RBP7,0.005025977
UBE4B,0.17458671
KIF1B,0.33038935
AL139424.3,0.010316475
