,Endothelial.cell
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.003561598
AL627309.3,0.0005935997
AL627309.4,0.0
AL732372.1,0.0
OR4F29,0.0
AC114498.1,0.0
AL669831.2,0.0
AL669831.5,0.06311999
FAM87B,0.0024733322
LINC00115,0.025425855
FAM41C,0.012168794
AL645608.7,9.893328e-05
AL645608.3,0.0012861326
AL645608.5,0.0
AL645608.1,0.0029679984
SAMD11,0.020380257
NOC2L,0.46655455
KLHL17,0.028888524
PLEKHN1,0.009101862
PERM1,0.0004946664
AL645608.8,0.034824602
HES4,1.1029041
ISG15,4.8066583
AL645608.2,9.893328e-05
AGRN,1.1899476
AL645608.9,0.0
RNF223,0.00029679984
C1orf159,0.052731834
LINC01342,0.0
AL390719.2,0.002770132
TTLL10-AS1,0.0028690654
TTLL10,0.021270655
TNFRSF18,0.027008787
TNFRSF4,1.416611
SDF4,1.3108317
B3GALT6,0.3009528
C1QTNF12,0.09349292
AL162741.1,0.0010882661
UBE2J2,0.44953904
LINC01786,0.001385066
SCNN1D,0.008607196
ACAP3,0.13850838
PUSL1,0.104276925
INTS11,0.41590282
CPTP,0.19915551
TAS1R3,0.0007914662
DVL1,0.1758069
MXRA8,0.030867206
AURKAIP1,1.7258182
CCNL2,0.8394537
MRPL20,1.540939
AL391244.3,0.017115459
ANKRD65,0.26266867
AL391244.2,9.893328e-05
TMEM88B,0.00019786655
LINC01770,0.0074199964
VWA1,6.21337
ATAD3C,0.1370242
ATAD3B,0.15621774
ATAD3A,0.18312807
TMEM240,0.009695461
SSU72,1.2051767
AL645728.1,0.025227986
FNDC10,0.036011808
AL691432.2,0.034231007
MIB2,0.23219948
MMP23B,0.030768273
CDK11B,0.3773239
FO704657.1,0.002770132
SLC35E2B,0.1745207
CDK11A,0.2684055
SLC35E2A,0.10031953
NADK,0.2581181
GNB1,2.1250334
AL109917.1,0.0009893328
CALML6,0.0009893328
TMEM52,0.003759465
CFAP74,0.043234047
AL391845.2,0.038683075
GABRD,0.31757453
AL391845.1,0.0
PRKCZ,0.049466953
AL590822.2,0.0038583982
PRKCZ-AS1,0.0036605317
FAAP20,0.7678241
AL590822.1,0.0005935997
SKI,0.5029661
MORN1,0.02077599
RER1,1.1410767
PEX10,0.1511721
PLCH2,0.00019786655
AL139246.1,9.893328e-05
AL139246.4,0.0
PANK4,0.06569229
HES5,0.01296026
AL139246.5,0.05530405
TNFRSF14-AS1,0.02799812
TNFRSF14,0.52809787
AL139246.3,0.005935997
FAM213B,0.2068724
MMEL1,0.0141474595
AL831784.1,9.893328e-05
TTC34,0.009002929
AC242022.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.02107279
PRDM16,0.026909852
AL008733.1,0.0
AL590438.1,0.00019786655
ARHGEF16,0.0028690654
AL512413.1,0.0
MEGF6,0.047191426
AL513320.1,0.0029679984
TPRG1L,0.26702073
WRAP73,0.18609615
TP73,0.002770132
AL136528.1,0.00019786655
AL136528.2,0.0
CCDC27,0.0003957331
SMIM1,0.012069861
LRRC47,0.24545519
AL365330.1,0.00029679984
CEP104,0.27631998
DFFB,0.06351573
C1orf174,0.19688003
LINC01134,0.0032647983
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.00029679984
LINC01777,0.0
AL355602.1,0.0
Z98747.1,0.0
LINC01646,9.893328e-05
AJAP1,0.034329925
Z98259.3,0.0
Z98259.1,0.0
AL365255.1,0.0
NPHP4,0.054116927
KCNAB2,0.041848987
CHD5,0.00029679984
RPL22,10.901643
AL031847.1,0.0010882661
RNF207,0.048873354
ICMT,0.48149654
LINC00337,0.0016818658
GPR153,0.017610125
ACOT7,0.3970121
AL031848.2,0.010684795
HES2,0.019193057
ESPN,0.008112529
AL031848.1,0.0
TNFRSF25,0.2829482
PLEKHG5,0.29531413
NOL9,0.3057994
TAS1R1,0.0049466644
ZBTB48,0.089337744
KLHL21,0.084094174
PHF13,0.07865278
THAP3,0.14147645
DNAJC11,0.16996972
LINC01672,0.00019786655
AL591163.1,0.0007914662
CAMTA1-DT,0.0008903995
CAMTA1,1.0827175
AL512330.1,0.0
Z97987.1,0.0003957331
AL365194.1,0.0034626648
AL359881.3,0.0004946664
AL359881.2,0.0007914662
AL359881.1,0.0004946664
VAMP3,0.96192455
PER3,0.21547961
Z98884.1,0.001385066
UTS2,0.0025722652
TNFRSF9,0.0141474595
PARK7,3.4291391
AL034417.4,0.0060349307
AL034417.3,0.0047487975
ERRFI1,0.19242722
AL034417.2,0.0040562646
LINC01714,0.0
AL358876.2,0.0
SLC45A1,0.050159495
RERE,0.82382256
AL096855.1,0.0015829324
AL357552.2,9.893328e-05
ENO1,3.33197
ENO1-AS1,0.004550931
CA6,0.0
SLC2A7,0.0
SLC2A5,0.003561598
GPR157,0.041453246
MIR34AHG,0.06856137
LINC01759,0.023150388
H6PD,0.40531895
SPSB1,0.16630904
BX323043.1,0.001780799
AL928921.2,0.009299729
AL928921.1,0.0
SLC25A33,0.11792991
TMEM201,0.09843976
PIK3CD,0.012069861
PIK3CD-AS1,9.893328e-05
PIK3CD-AS2,0.0051445304
CLSTN1,0.86092204
CTNNBIP1,0.5014848
AL357140.1,0.0003957331
LZIC,0.28532168
NMNAT1,0.15364543
RBP7,2.7918916
