,Fibroblast
MIR1302-2HG,1.631449e-05
OR4F5,3.262898e-05
AL627309.1,0.0024716528
AL627309.3,0.0003262897
AL627309.4,2.4471736e-05
AL732372.1,8.157245e-06
OR4F29,0.0
AC114498.1,0.0
AL669831.2,5.7100715e-05
AL669831.5,0.046689253
FAM87B,0.001688554
LINC00115,0.01931665
FAM41C,0.009348267
AL645608.7,0.00030997524
AL645608.3,0.004608823
AL645608.5,0.0001876166
AL645608.1,0.007031558
SAMD11,0.08590601
NOC2L,0.32268023
KLHL17,0.023590717
PLEKHN1,0.020042658
PERM1,0.0028468827
AL645608.8,0.030295437
HES4,0.71317166
ISG15,5.2909293
AL645608.2,0.0002447173
AGRN,0.38439155
AL645608.9,0.00013051591
RNF223,0.0003997049
C1orf159,0.037847932
LINC01342,0.00031813246
AL390719.2,0.0034994532
TTLL10-AS1,2.4471736e-05
TTLL10,0.0008483541
TNFRSF18,0.011893359
TNFRSF4,0.008279624
SDF4,1.0888698
B3GALT6,0.2505545
C1QTNF12,0.01615155
AL162741.1,0.00036707593
UBE2J2,0.36882865
LINC01786,0.0027734686
SCNN1D,0.014985047
ACAP3,0.16235296
PUSL1,0.15300636
INTS11,0.34288344
CPTP,0.110226475
TAS1R3,0.00045680557
DVL1,0.13194668
MXRA8,1.7299329
AURKAIP1,1.5975811
CCNL2,0.49373296
MRPL20,1.3700052
AL391244.3,0.009136174
ANKRD65,0.1044602
AL391244.2,0.00017130212
TMEM88B,4.894347e-05
LINC01770,0.00079125323
VWA1,0.15642652
ATAD3C,0.026739057
ATAD3B,0.08197352
ATAD3A,0.1536425
TMEM240,0.017065197
SSU72,1.0931077
AL645728.1,0.01863957
FNDC10,0.14870806
AL691432.2,0.039316047
MIB2,0.22719541
MMP23B,1.2262094
CDK11B,0.23239885
FO704657.1,0.0027653119
SLC35E2B,0.11841531
CDK11A,0.14239481
SLC35E2A,0.07924912
NADK,0.15241107
GNB1,1.1316645
AL109917.1,0.0024879675
CALML6,0.0010604433
TMEM52,0.005587694
CFAP74,0.003646282
AL391845.2,0.00028550354
GABRD,0.007219162
AL391845.1,6.525796e-05
PRKCZ,0.03242407
AL590822.2,0.0032792112
PRKCZ-AS1,0.0059710913
FAAP20,1.0254322
AL590822.1,0.0005791642
SKI,0.27685055
MORN1,0.03596379
RER1,1.645154
PEX10,0.15372391
PLCH2,0.0010359716
AL139246.1,5.7100715e-05
AL139246.4,0.0
PANK4,0.04447084
HES5,0.003165011
AL139246.5,0.017211987
TNFRSF14-AS1,0.005122722
TNFRSF14,0.21863104
AL139246.3,0.00064442214
FAM213B,0.069453545
MMEL1,0.07101221
AL831784.1,2.4471736e-05
TTC34,0.010017178
AC242022.1,1.631449e-05
AL589702.1,0.0
ACTRT2,0.0
