,Mast.cell
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.0016393913
AL627309.3,0.0016393913
AL627309.4,0.0
AL732372.1,0.0
OR4F29,0.0
AC114498.1,0.0
AL669831.2,0.0
AL669831.5,0.10983914
FAM87B,0.0
LINC00115,0.034427222
FAM41C,0.049181744
AL645608.7,0.0
AL645608.3,0.0
AL645608.5,0.0
AL645608.1,0.006557565
SAMD11,0.004918174
NOC2L,0.21967816
KLHL17,0.013115132
PLEKHN1,0.009836349
PERM1,0.0
AL645608.8,0.027869655
HES4,0.20164494
ISG15,5.95594
AL645608.2,0.0016393913
AGRN,0.024590872
AL645608.9,0.0032787826
RNF223,0.0
C1orf159,0.02131209
LINC01342,0.0
AL390719.2,0.0
TTLL10-AS1,0.0
TTLL10,0.018033307
TNFRSF18,0.3754202
TNFRSF4,0.71313405
SDF4,0.5869011
B3GALT6,0.23771141
C1QTNF12,0.0032787826
AL162741.1,0.0032787826
UBE2J2,0.3705019
LINC01786,0.0016393913
SCNN1D,0.004918174
ACAP3,0.09344526
PUSL1,0.096724026
INTS11,0.24754776
CPTP,0.07049382
TAS1R3,0.0016393913
DVL1,0.06557566
MXRA8,0.0
AURKAIP1,1.3492169
CCNL2,0.30000818
MRPL20,1.5688949
AL391244.3,0.004918174
ANKRD65,0.0016393913
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.0
VWA1,0.026230264
ATAD3C,0.026230264
ATAD3B,0.100002825
ATAD3A,0.13115121
TMEM240,0.0016393913
SSU72,1.1459324
AL645728.1,0.0885271
FNDC10,0.06721505
AL691432.2,0.02131209
MIB2,0.16557834
MMP23B,0.016393915
CDK11B,0.27377796
FO704657.1,0.0032787826
SLC35E2B,0.09836344
CDK11A,0.25410533
SLC35E2A,0.04262418
NADK,0.15246326
GNB1,1.075439
AL109917.1,0.0032787826
CALML6,0.0
TMEM52,0.0016393913
CFAP74,0.0016393913
AL391845.2,0.0
GABRD,0.0032787826
AL391845.1,0.0
PRKCZ,0.06721505
AL590822.2,0.01147574
PRKCZ-AS1,0.0016393913
FAAP20,0.65411615
AL590822.1,0.0016393913
SKI,0.21476
MORN1,0.016393915
RER1,1.2344595
PEX10,0.13115121
PLCH2,0.0032787826
AL139246.1,0.0
AL139246.4,0.0
PANK4,0.049181744
HES5,0.0
AL139246.5,0.027869655
TNFRSF14-AS1,0.09180586
TNFRSF14,0.6590342
AL139246.3,0.0032787826
FAM213B,0.06557566
MMEL1,0.02295148
AL831784.1,0.0
TTC34,0.02131209
AC242022.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,0.0016393913
PRDM16,0.004918174
AL008733.1,0.0
AL590438.1,0.0
ARHGEF16,0.0
AL512413.1,0.0
MEGF6,0.02131209
AL513320.1,0.0
TPRG1L,0.21967813
WRAP73,0.17049651
TP73,0.0016393913
AL136528.1,0.0
AL136528.2,0.0
CCDC27,0.0
SMIM1,0.7737915
LRRC47,0.17377526
AL365330.1,0.008196957
CEP104,0.1573814
DFFB,0.047542352
C1orf174,0.27869612
LINC01134,0.0032787826
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.0
LINC01777,0.0
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.0
Z98259.3,0.0
Z98259.1,0.0
AL365255.1,0.0
NPHP4,0.02295148
KCNAB2,0.17541467
CHD5,0.0
RPL22,13.497141
AL031847.1,0.0
RNF207,0.02131209
ICMT,0.13115123
LINC00337,0.0
GPR153,0.068854444
ACOT7,0.83772755
AL031848.2,0.013115132
HES2,0.0016393913
ESPN,0.009836349
AL031848.1,0.0
TNFRSF25,0.12951188
PLEKHG5,0.0
NOL9,0.13606936
TAS1R1,0.0
ZBTB48,0.27541736
KLHL21,0.057378702
PHF13,0.050821137
THAP3,0.09344525
DNAJC11,0.095084645
LINC01672,0.0
AL591163.1,0.0
CAMTA1-DT,0.0032787826
CAMTA1,0.6032951
AL512330.1,0.0
Z97987.1,0.0
AL365194.1,0.0
AL359881.3,0.0
AL359881.2,0.0016393913
AL359881.1,0.0
VAMP3,0.3885351
PER3,0.09016649
Z98884.1,0.006557565
UTS2,0.89838594
TNFRSF9,0.74592215
PARK7,3.3591354
AL034417.4,0.0032787826
AL034417.3,0.0016393913
ERRFI1,0.05573931
AL034417.2,0.0
LINC01714,0.0
AL358876.2,0.0
SLC45A1,0.0
RERE,0.51312864
AL096855.1,0.0032787826
AL357552.2,0.0
ENO1,3.8788233
ENO1-AS1,0.0016393913
CA6,0.0
SLC2A7,0.0
SLC2A5,0.037706003
GPR157,0.08196954
MIR34AHG,0.013115132
LINC01759,0.008196957
H6PD,0.26066288
SPSB1,0.09180586
BX323043.1,0.0
AL928921.2,0.006557565
AL928921.1,0.0
SLC25A33,0.16885713
TMEM201,0.037706003
PIK3CD,0.1885298
PIK3CD-AS1,0.0
PIK3CD-AS2,0.062296882
CLSTN1,0.30328697
CTNNBIP1,0.31804153
AL357140.1,0.0
LZIC,0.34755045
NMNAT1,0.08360893
RBP7,0.0032787826
UBE4B,0.14754508
KIF1B,0.17377532
AL139424.3,0.0016393913
AL139424.2,0.0032787826
PGD,0.3114839
AL139424.1,0.0
CENPS-CORT,0.009836349
CENPS,0.07213321
CORT,0.0032787826
