,Myeloid.cell
MIR1302-2HG,4.6607884e-06
OR4F5,1.3982365e-05
AL627309.1,0.0037705805
AL627309.3,0.0002843081
AL627309.4,0.00034955927
AL732372.1,9.321575e-05
OR4F29,4.6607884e-06
AC114498.1,4.6607884e-06
AL669831.2,0.00016312752
AL669831.5,0.07711422
FAM87B,0.003994288
LINC00115,0.027847152
FAM41C,0.02047411
AL645608.7,6.991182e-05
AL645608.3,0.0010906262
AL645608.5,6.525103e-05
AL645608.1,0.00021905695
SAMD11,0.0019528739
NOC2L,0.27482146
KLHL17,0.018479379
PLEKHN1,0.013804833
PERM1,0.0002843081
AL645608.8,0.032708228
HES4,0.20805764
ISG15,11.721017
AL645608.2,0.00036354165
AGRN,0.12510383
AL645608.9,0.00018177065
RNF223,0.00010253733
C1orf159,0.035015132
LINC01342,2.796473e-05
AL390719.2,0.000517348
TTLL10-AS1,5.1268675e-05
TTLL10,0.00059658155
TNFRSF18,0.09079448
TNFRSF4,0.14606181
SDF4,0.7880854
B3GALT6,0.20259857
C1QTNF12,0.0040362338
AL162741.1,0.00065251114
UBE2J2,0.34666842
LINC01786,0.0011931638
SCNN1D,0.0051361313
ACAP3,0.09180437
PUSL1,0.089478716
INTS11,0.2731329
CPTP,0.077319235
TAS1R3,0.0008529254
DVL1,0.070785135
MXRA8,0.0018270322
AURKAIP1,1.4908732
CCNL2,0.2761493
MRPL20,1.4074837
AL391244.3,0.0057839537
ANKRD65,0.01631226
AL391244.2,1.3982365e-05
TMEM88B,0.0
LINC01770,0.0002703257
VWA1,0.025694143
ATAD3C,0.0071961153
ATAD3B,0.08909663
ATAD3A,0.1219964
TMEM240,0.0006897975
SSU72,1.1370735
AL645728.1,0.03794666
FNDC10,0.0791136
AL691432.2,0.02279042
MIB2,0.10877351
MMP23B,0.007941819
CDK11B,0.2662067
FO704657.1,0.004758626
SLC35E2B,0.07716078
CDK11A,0.20461047
SLC35E2A,0.03897197
NADK,0.49352965
GNB1,1.8763105
AL109917.1,0.0018969441
CALML6,0.0003076121
TMEM52,0.0014168822
CFAP74,0.0010673222
AL391845.2,6.525103e-05
GABRD,0.0016359397
AL391845.1,1.3982365e-05
PRKCZ,0.01222489
AL590822.2,0.003994289
PRKCZ-AS1,0.00091817667
FAAP20,0.648941
AL590822.1,5.592946e-05
SKI,0.32685992
MORN1,0.011544437
