,Plasma.cell
MIR1302-2HG,0.0
OR4F5,0.0
AL627309.1,0.0015005684
AL627309.3,0.000115428375
AL627309.4,2.8857094e-05
AL732372.1,0.00017314257
OR4F29,0.0
AC114498.1,0.0
AL669831.2,8.657129e-05
AL669831.5,0.042564288
FAM87B,0.00057714176
LINC00115,0.007531696
FAM41C,0.0056271376
AL645608.7,0.0
AL645608.3,0.00014428547
AL645608.5,0.0
AL645608.1,2.8857094e-05
SAMD11,0.010186551
NOC2L,0.15599635
KLHL17,0.012437431
PLEKHN1,0.03751457
PERM1,0.0008079984
AL645608.8,0.0006925701
HES4,0.009493978
ISG15,2.7588153
AL645608.2,5.7714187e-05
AGRN,0.009320834
AL645608.9,2.8857094e-05
RNF223,2.8857094e-05
C1orf159,0.012639438
LINC01342,0.0004039993
AL390719.2,0.00025971385
TTLL10-AS1,2.8857094e-05
TTLL10,0.00066371297
TNFRSF18,0.13023005
TNFRSF4,0.10137352
SDF4,0.43780112
B3GALT6,0.056617
C1QTNF12,0.0019622815
AL162741.1,0.0004039993
UBE2J2,0.18643863
LINC01786,0.001009998
SCNN1D,0.0028279962
ACAP3,0.09306171
PUSL1,0.05618415
INTS11,0.12667884
CPTP,0.07292039
TAS1R3,0.045190167
DVL1,0.044122513
MXRA8,0.0034051389
AURKAIP1,1.030567
CCNL2,0.19157495
MRPL20,0.708963
AL391244.3,0.0019334246
ANKRD65,0.002625995
AL391244.2,0.0
TMEM88B,0.0
LINC01770,0.0
VWA1,0.0052808537
ATAD3C,0.030011619
ATAD3B,0.04663307
ATAD3A,0.061695818
TMEM240,0.00031742803
SSU72,0.45612386
AL645728.1,0.01705462
FNDC10,0.0026548528
AL691432.2,0.0067237024
MIB2,0.09323471
MMP23B,0.0083108395
CDK11B,0.12165771
FO704657.1,0.0016159967
SLC35E2B,0.084780134
CDK11A,0.10434424
SLC35E2A,0.037024003
NADK,0.08374151
GNB1,0.32497588
AL109917.1,0.0026548528
CALML6,0.0004039993
TMEM52,0.013505154
CFAP74,0.00031742803
AL391845.2,0.0
GABRD,0.0007214272
AL391845.1,0.0004039993
PRKCZ,0.023836128
AL590822.2,0.0036359983
PRKCZ-AS1,0.00028857094
FAAP20,0.23996545
AL590822.1,0.0
SKI,0.036735408
MORN1,0.00796455
RER1,0.75000256
PEX10,0.03884194
PLCH2,0.0050788554
AL139246.1,2.8857094e-05
AL139246.4,0.0
PANK4,0.027472168
HES5,0.00066371297
AL139246.5,0.019969193
TNFRSF14-AS1,0.03350339
TNFRSF14,0.29629254
AL139246.3,0.0065505593
FAM213B,0.020921525
MMEL1,0.0009811409
AL831784.1,0.0
TTC34,0.0036648556
AC242022.1,0.0
AL589702.1,0.0
ACTRT2,0.0
LINC00982,5.7714187e-05
PRDM16,8.657129e-05
AL008733.1,0.0
AL590438.1,2.8857094e-05
ARHGEF16,0.00066371297
AL512413.1,5.7714187e-05
MEGF6,0.0023085666
AL513320.1,0.0015582824
TPRG1L,0.06296516
WRAP73,0.07092934
TP73,0.01197571
AL136528.1,0.00028857094
AL136528.2,0.0
CCDC27,0.000115428375
SMIM1,0.061609082
LRRC47,0.0703523
AL365330.1,0.00031742803
CEP104,0.08434742
DFFB,0.023460982
C1orf174,0.065331414
LINC01134,0.0016737109
LINC01346,0.0
LINC01345,0.0
AL805961.1,0.0
AL805961.2,0.0003751422
LINC01777,0.0
AL355602.1,0.0
Z98747.1,0.0
LINC01646,0.0
AJAP1,0.0018757103
Z98259.3,0.0
Z98259.1,0.0
AL365255.1,5.7714187e-05
NPHP4,0.0102731185
KCNAB2,0.07072764
CHD5,0.00028857094
RPL22,3.7433014
AL031847.1,0.0011254263
RNF207,0.027818443
ICMT,0.054741424
LINC00337,0.0015582824
GPR153,0.0017602821
ACOT7,0.018670605
AL031848.2,0.002539424
HES2,0.0007214272
ESPN,0.00095228385
AL031848.1,0.0
TNFRSF25,0.025798392
PLEKHG5,0.0025682813
NOL9,0.061868884
TAS1R1,0.0009811409
ZBTB48,0.0351194
KLHL21,0.035552263
PHF13,0.012783722
THAP3,0.0512787
DNAJC11,0.038062833
LINC01672,0.000115428375
AL591163.1,0.00017314257
CAMTA1-DT,0.0005194276
CAMTA1,0.21792047
AL512330.1,0.0
Z97987.1,0.0
AL365194.1,0.0
AL359881.3,2.8857094e-05
AL359881.2,2.8857094e-05
AL359881.1,5.7714187e-05
VAMP3,0.069775105
PER3,0.0061177057
Z98884.1,0.0007791413
UTS2,0.0043285703
TNFRSF9,0.0393323
PARK7,1.2352175
AL034417.4,0.0017602821
AL034417.3,0.0012985689
ERRFI1,0.008281979
AL034417.2,0.0004905705
LINC01714,0.0
AL358876.2,8.657129e-05
SLC45A1,0.00043285635
RERE,0.18176398
AL096855.1,0.0014717113
AL357552.2,0.00014428547
ENO1,0.9477869
ENO1-AS1,0.005251997
CA6,5.7714187e-05
SLC2A7,5.7714187e-05
SLC2A5,0.12053305
GPR157,0.009263119
MIR34AHG,0.010907987
LINC01759,0.003376283
H6PD,0.04265087
SPSB1,0.05494345
BX323043.1,0.00023085675
AL928921.2,0.0016159967
AL928921.1,0.0
SLC25A33,0.047383234
TMEM201,0.006435132
PIK3CD,0.032753043
PIK3CD-AS1,0.00046171347
PIK3CD-AS2,0.05067273
CLSTN1,0.1432419
