,T.cell
MIR1302-2HG,0.0
OR4F5,3.3847737e-05
AL627309.1,0.003915072
AL627309.3,0.00036104248
AL627309.4,0.00019180382
AL732372.1,0.0
OR4F29,0.0
AC114498.1,1.1282579e-05
AL669831.2,6.7695466e-05
AL669831.5,0.095544785
FAM87B,0.00042873793
LINC00115,0.033147175
FAM41C,0.020759529
AL645608.7,2.2565158e-05
AL645608.3,0.00051899854
AL645608.5,4.5130317e-05
AL645608.1,0.0003384773
SAMD11,0.002944763
NOC2L,0.43344873
KLHL17,0.035505105
PLEKHN1,0.078586966
PERM1,0.0020195858
AL645608.8,0.003035023
HES4,0.037784744
ISG15,8.850747
AL645608.2,0.0009815842
AGRN,0.025780046
AL645608.9,0.00051899854
RNF223,6.7695466e-05
C1orf159,0.048649672
LINC01342,0.00016923864
AL390719.2,0.0009928668
TTLL10-AS1,0.0019293245
TTLL10,0.02700991
TNFRSF18,2.2851238
TNFRSF4,1.5144677
SDF4,0.70770067
B3GALT6,0.22662579
C1QTNF12,0.00590082
AL162741.1,0.001714954
UBE2J2,0.4870822
LINC01786,0.0027078278
SCNN1D,0.0060587768
ACAP3,0.120868064
PUSL1,0.10371127
INTS11,0.40043518
CPTP,0.11902955
TAS1R3,0.0026514144
DVL1,0.076206446
MXRA8,0.0011056926
AURKAIP1,1.4929816
CCNL2,0.5082877
MRPL20,1.58291
AL391244.3,0.009770772
ANKRD65,0.0012974964
AL391244.2,0.0
TMEM88B,0.0
LINC01770,3.3847737e-05
VWA1,0.0018729108
ATAD3C,0.01727339
ATAD3B,0.11158521
ATAD3A,0.10499762
TMEM240,0.002865785
SSU72,1.424711
AL645728.1,0.087433845
FNDC10,0.03375643
AL691432.2,0.034128714
MIB2,0.36643773
MMP23B,0.054867342
CDK11B,0.47814903
FO704657.1,0.005663884
SLC35E2B,0.20464249
CDK11A,0.4825588
SLC35E2A,0.10807653
NADK,0.15307195
GNB1,1.0764828
AL109917.1,0.002143695
CALML6,0.00041745536
TMEM52,0.0010605623
CFAP74,0.001884194
AL391845.2,1.1282579e-05
GABRD,0.0035314618
AL391845.1,0.00011282577
PRKCZ,0.12045059
AL590822.2,0.019507222
PRKCZ-AS1,0.0034524833
FAAP20,0.7458012
AL590822.1,0.00011282577
SKI,0.3364569
MORN1,0.01906723
RER1,1.2718091
PEX10,0.06566664
PLCH2,0.089723974
AL139246.1,0.000880041
AL139246.4,1.1282579e-05
PANK4,0.08975831
HES5,0.00014667351
