GeneID,B_cell
RP11-34P13.7,0.013164625
AL627309.1,0.0
AP006222.2,0.11189931
RP4-669L17.10,0.0
RP11-206L10.3,0.0065823123
RP11-206L10.2,0.0065823123
RP11-206L10.9,0.019746935
FAM87B,0.0
LINC00115,0.02632925
FAM41C,0.06582312
RP11-54O7.1,0.0065823123
SAMD11,0.013164625
NOC2L,0.39493874
KLHL17,0.0065823123
PLEKHN1,0.08557005
RP11-54O7.17,0.0
HES4,0.03291156
ISG15,3.3306499
AGRN,0.02632925
RNF223,0.0
C1orf159,0.03291156
RP11-465B22.8,0.013164625
TTLL10,0.0
TNFRSF18,0.30936867
TNFRSF4,0.17772242
SDF4,0.96101755
B3GALT6,0.03949387
FAM132A,0.06582312
RP5-902P8.12,0.0
UBE2J2,0.40152103
SCNN1D,0.0
ACAP3,0.25671017
PUSL1,0.25671017
CPSF3L,0.44759724
GLTPD1,0.2172163
DVL1,0.046076182
MXRA8,0.0065823123
AURKAIP1,2.172163
CCNL2,0.3422802
RP4-758J18.2,0.105317
MRPL20,1.3098801
RP4-758J18.13,0.0
ANKRD65,0.013164625
VWA1,0.02632925
ATAD3C,0.072405435
ATAD3B,0.08557005
ATAD3A,0.13164625
SSU72,1.05317
AL645728.1,0.0065823123
C1orf233,0.019746935
RP11-345P4.9,0.046076182
MIB2,0.2632925
MMP23B,0.03949387
CDK11B,0.30936867
RP11-345P4.10,0.0065823123
SLC35E2B,0.1711401
CDK11A,0.39493874
SLC35E2,0.03949387
NADK,0.210634
GNB1,0.42785028
TMEM52,0.0065823123
C1orf222,0.0
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.06582312
RP5-892K4.1,0.0065823123
RP11-181G12.2,0.0
C1orf86,0.81620675
AL590822.2,0.019746935
AL590822.1,0.0065823123
RP11-181G12.4,0.0
SKI,0.06582312
MORN1,0.03291156
RER1,1.2901332
PEX10,0.13822855
PLCH2,0.013164625
PANK4,0.072405435
HES5,0.0
RP3-395M20.12,0.05924081
TNFRSF14,0.6582312
FAM213B,0.03291156
MMEL1,0.0
TTC34,0.0
ARHGEF16,0.02632925
RP11-168F9.2,0.0
MEGF6,0.0065823123
