GeneID,Dendritic
RP11-34P13.7,0.0020132915
AL627309.1,0.009730908
AP006222.2,0.12247523
RP4-669L17.10,0.0036910342
RP11-206L10.3,0.01610633
RP11-206L10.2,0.024159497
RP11-206L10.9,0.0234884
FAM87B,0.009395359
LINC00115,0.04412464
FAM41C,0.027347209
RP11-54O7.1,0.0001677743
SAMD11,0.0031877116
NOC2L,0.26256675
KLHL17,0.010569778
PLEKHN1,0.019629594
RP11-54O7.17,0.012918619
HES4,0.16156664
ISG15,2.7608938
AGRN,0.06476087
RNF223,0.0010066457
C1orf159,0.036071472
RP11-465B22.8,0.00083887146
TTLL10,0.0001677743
TNFRSF18,0.19830923
TNFRSF4,0.20669791
SDF4,0.6143895
B3GALT6,0.08724263
FAM132A,0.0048654554
RP5-902P8.12,0.0015099685
UBE2J2,0.393934
SCNN1D,0.0011744201
ACAP3,0.07147185
PUSL1,0.12012639
CPSF3L,0.31306684
GLTPD1,0.08556489
DVL1,0.022146204
MXRA8,0.0010066457
AURKAIP1,1.364676
CCNL2,0.20300691
RP4-758J18.2,0.07734395
MRPL20,1.3000828
RP4-758J18.13,0.0026843888
ANKRD65,0.06778081
VWA1,0.023488408
ATAD3C,0.006878746
ATAD3B,0.06207649
ATAD3A,0.11559647
SSU72,0.9611789
AL645728.1,0.014931912
C1orf233,0.016945202
RP11-345P4.9,0.034225952
MIB2,0.10049679
MMP23B,0.009059812
CDK11B,0.17398195
RP11-345P4.10,0.004697681
SLC35E2B,0.08707486
CDK11A,0.29410836
SLC35E2,0.0077176183
NADK,0.20451686
GNB1,0.880144
TMEM52,0.0028521628
C1orf222,0.0020132915
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.03321931
RP5-892K4.1,0.0057043266
RP11-181G12.2,0.00083887146
C1orf86,0.90581334
AL590822.2,0.0010066457
AL590822.1,0.0028521628
RP11-181G12.4,0.0001677743
SKI,0.07382068
MORN1,0.0070465207
RER1,1.0214099
PEX10,0.09898683
PLCH2,0.006375423
PANK4,0.0476479
HES5,0.0006710972
RP3-395M20.12,0.122139685
TNFRSF14,0.71790624
FAM213B,0.07465956
MMEL1,0.0045299064
TTC34,0.0018455171
ARHGEF16,0.0031877116
RP11-168F9.2,0.0
MEGF6,0.00822094
TPRG1L,0.062076483
WRAP73,0.12046193
TP73,0.01862295
TP73-AS1,0.025501693
SMIM1,0.012247521
LRRC47,0.15368125
CEP104,0.10116789
DFFB,0.016609654
C1orf174,0.15770784
LINC01134,0.00083887146
AJAP1,0.00083887146
NPHP4,0.015099685
KCNAB2,0.1756597
RPL22,10.428683
RNF207,0.01409304
ICMT,0.103516735
LINC00337,0.0031877116
GPR153,0.06039874
ACOT7,0.6840158
RP1-202O8.3,0.007717618
HES2,0.008556488
ESPN,0.0033554859
TNFRSF25,0.032212667
PLEKHG5,0.004697681
NOL9,0.07398846
ZBTB48,0.106872216
KLHL21,0.043621313
PHF13,0.029192725
THAP3,0.08707486
DNAJC11,0.082544945
RP11-312B8.1,0.0018455171
CAMTA1,1.0183899
VAMP3,0.70213544
PER3,0.04781567
PARK7,3.4212534
ERRFI1,0.032715987
RERE,0.1318706
ENO1,8.822915
ENO1-AS1,0.0048654554
SLC2A5,0.0036910342
GPR157,0.73250264
RP3-510D11.1,0.0036910342
RP3-510D11.2,0.008724262
H6PD,0.20653015
SPSB1,0.03154157
SLC25A33,0.22079097
TMEM201,0.020971788
PIK3CD,0.06375423
RP11-558F24.4,0.0057043275
CLSTN1,0.20552352
CTNNBIP1,0.7689096
LZIC,0.21458332
NMNAT1,0.051003385
RBP7,0.0033554859
UBE4B,0.07063298
KIF1B,0.10133566
PGD,0.3816865
APITD1,0.055197738
APITD1-CORT,0.0006710972
CORT,0.00083887146
DFFA,0.1677743
PEX14,0.08975924
CASZ1,0.0365748
TARDBP,0.4659092
RP4-635E18.8,0.016106332
SRM,0.5392266
EXOSC10,0.16576101
RP4-635E18.7,0.0010066457
RP4-635E18.6,0.008388717
MTOR,0.04345354
ANGPTL7,0.0001677743
UBIAD1,0.083048284
FBXO2,0.031709343
FBXO44,0.079021685
FBXO6,0.5675804
MAD2L2,0.6397234
DRAXIN,0.006543198
AGTRAP,0.16089556
C1orf167,0.0031877116
MTHFR,0.3028326
CLCN6,0.04328577
NPPA-AS1,0.006039875
KIAA2013,0.12968953
PLOD1,0.08673931
MFN2,0.07197517
MIIP,0.3105502
TNFRSF1B,0.69139785
VPS13D,0.064089775
DHRS3,0.04412464
RP11-474O21.5,0.00050332287
HNRNPCL1,0.0023488402
LRRC38,0.0
PDPN,0.008053167
PRDM2,0.2159255
KAZN,0.0052010035
TMEM51,0.23404513
FHAD1,0.0129186185
EFHD2,1.8037413
CASP9,0.112576544
DNAJC16,0.0580499
AGMAT,0.003019937
RP4-680D5.2,0.0
DDI2,0.095128015
PLEKHM2,0.11391875
SLC25A34,0.0021810657
FBLIM1,0.031206015
RP11-169K16.9,0.0763373
SPEN,0.359037
ZBTB17,0.09596689
FAM131C,0.0011744201
EPHA2,0.06761304
RP11-276H7.2,0.0011744201
RP11-276H7.3,0.00050332287
ARHGEF19,0.027011659
C1orf134,0.0015099685
RSG1,0.0068787476
FBXO42,0.10049679
SZRD1,0.40953702
SPATA21,0.0006710972
NECAP2,0.81907403
RP4-798A10.2,0.00905981
RP4-798A10.7,0.0036910342
NBPF1,0.10603334
CROCCP2,0.07851837
CROCC,0.017448528
RP11-108M9.4,0.14999022
RP11-108M9.6,0.00352326
MFAP2,0.003019937
ATP13A2,0.09311473
SDHB,0.7744462
PADI2,0.14478922
RP11-380J14.1,0.0
PADI1,0.0001677743
PADI3,0.00083887146
RCC2,0.32783094
ARHGEF10L,0.021978436
IGSF21,0.023488402
ALDH4A1,0.028353855
IFFO2,0.03640702
UBR4,0.14697029
RP1-43E13.2,0.010066458
EMC1,0.08103498
MRTO4,0.24310495
AKR7A3,0.0011744201
AKR7A2,0.5350322
PQLC2,0.09613466
CAPZB,4.1941895
MINOS1-NBL1,0.0020132915
MINOS1,1.8945072
NBL1,0.036407024
TMCO4,0.05637216
RP11-91K11.2,0.0
OTUD3,0.028353855
PLA2G2A,0.003019937
PLA2G2F,0.0003355486
CAMK2N1,0.0023488402
MUL1,0.07516289
CDA,0.009227584
PINK1,0.065264195
PINK1-AS,0.008388714
DDOST,1.0264431
KIF17,0.073485136
SH2D5,0.00083887146
HP1BP3,0.6335157
RP5-930J4.4,0.0003355486
EIF4G3,0.13338056
ECE1,0.10838218
NBPF3,0.00352326
ALPL,0.0003355486
RAP1GAP,0.0013421944
USP48,0.3046781
HSPG2,0.01375749
LINC00339,0.059224322
CDC42,5.328511
