GeneID,Endothelial
RP11-34P13.7,0.0
AL627309.1,0.0061309934
AP006222.2,0.20538828
RP4-669L17.10,0.0
RP11-206L10.3,0.012261987
RP11-206L10.2,0.015327483
RP11-206L10.9,0.030654969
FAM87B,0.0
LINC00115,0.042916965
FAM41C,0.033720467
RP11-54O7.1,0.00919649
SAMD11,0.0919649
NOC2L,0.42610404
KLHL17,0.021458477
PLEKHN1,0.033720467
RP11-54O7.17,0.024523973
HES4,0.61003387
ISG15,3.804282
AGRN,0.45982456
RNF223,0.0
C1orf159,0.061309937
RP11-465B22.8,0.012261987
TTLL10,0.0
TNFRSF18,0.122619875
TNFRSF4,0.5855097
SDF4,1.1526268
B3GALT6,0.113423385
FAM132A,0.015327483
RP5-902P8.12,0.0
UBE2J2,0.475152
SCNN1D,0.0
ACAP3,0.17473333
PUSL1,0.09809591
CPSF3L,0.49047947
GLTPD1,0.24523975
DVL1,0.101161405
MXRA8,0.012261987
AURKAIP1,1.8515599
CCNL2,0.54872394
RP4-758J18.2,0.12568538
MRPL20,1.4407835
RP4-758J18.13,0.0061309934
ANKRD65,0.07970292
VWA1,1.5817963
ATAD3C,0.067440934
ATAD3B,0.098095894
ATAD3A,0.19619179
SSU72,1.0667928
AL645728.1,0.021458477
C1orf233,0.024523973
RP11-345P4.9,0.036785968
MIB2,0.25750175
MMP23B,0.0
CDK11B,0.30348423
RP11-345P4.10,0.0
SLC35E2B,0.21151929
CDK11A,0.4598244
SLC35E2,0.0
NADK,0.18086432
GNB1,1.2078058
TMEM52,0.024523973
C1orf222,0.0
GABRD,0.01839298
RP11-547D24.3,0.0
PRKCZ,0.22378129
RP5-892K4.1,0.027589472
RP11-181G12.2,0.0
C1orf86,0.8276842
AL590822.2,0.012261987
AL590822.1,0.061309937
RP11-181G12.4,0.0
SKI,0.37092504
MORN1,0.015327483
RER1,1.1464958
PEX10,0.13181636
PLCH2,0.027589472
PANK4,0.067440934
HES5,0.0
RP3-395M20.12,0.07970293
TNFRSF14,0.74798113
FAM213B,0.3341392
MMEL1,0.030654969
TTC34,0.0061309934
ARHGEF16,0.00919649
RP11-168F9.2,0.0
MEGF6,0.22071578
TPRG1L,0.19619179
WRAP73,0.11035789
TP73,0.021458477
TP73-AS1,0.07970292
SMIM1,0.0
LRRC47,0.19006082
CEP104,0.15634035
DFFB,0.00919649
C1orf174,0.25750175
LINC01134,0.0
AJAP1,0.0
NPHP4,0.030654969
KCNAB2,0.055178948
RPL22,12.574667
RNF207,0.012261987
ICMT,0.3372047
LINC00337,0.0
GPR153,0.01839298
ACOT7,0.35559765
RP1-202O8.3,0.0061309934
HES2,0.05824444
ESPN,0.012261987
TNFRSF25,0.11035789
PLEKHG5,0.15020934
NOL9,0.17473333
ZBTB48,0.05824444
KLHL21,0.10729239
PHF13,0.055178944
THAP3,0.085833915
DNAJC11,0.11955438
RP11-312B8.1,0.0
CAMTA1,1.3242946
VAMP3,1.1005135
PER3,0.17779882
PARK7,3.4302917
ERRFI1,0.25443622
RERE,0.50580686
ENO1,5.490305
ENO1-AS1,0.00919649
SLC2A5,0.00919649
GPR157,0.055178944
RP3-510D11.1,0.0061309934
RP3-510D11.2,0.024523973
H6PD,0.40158
SPSB1,0.47208646
SLC25A33,0.09809591
TMEM201,0.039851464
PIK3CD,0.024523973
RP11-558F24.4,0.030654969
CLSTN1,0.33413914
CTNNBIP1,0.43836597
LZIC,0.16860233
NMNAT1,0.101161405
RBP7,0.56405145
UBE4B,0.13794735
KIF1B,0.25750175
PGD,0.17166781
APITD1,0.08889941
APITD1-CORT,0.0
CORT,0.0030654967
DFFA,0.438366
PEX14,0.12875085
CASZ1,0.10729239
TARDBP,0.5977719
RP4-635E18.8,0.049047958
SRM,0.96563154
EXOSC10,0.26669824
RP4-635E18.7,0.0
RP4-635E18.6,0.0030654967
MTOR,0.104226895
ANGPTL7,0.0
UBIAD1,0.122619875
FBXO2,0.042916957
FBXO44,0.091964915
FBXO6,0.08276842
MAD2L2,0.52113444
DRAXIN,0.030654969
AGTRAP,0.5885754
C1orf167,0.039851464
MTHFR,0.17473333
CLCN6,0.07663742
NPPA-AS1,0.0
KIAA2013,0.26056725
PLOD1,0.22991228
MFN2,0.19312629
MIIP,0.22071578
TNFRSF1B,0.39851454
VPS13D,0.17166783
DHRS3,0.16553684
RP11-474O21.5,0.0
HNRNPCL1,0.00919649
LRRC38,0.015327483
PDPN,2.553559
PRDM2,0.3157462
KAZN,0.052113447
TMEM51,0.17779882
FHAD1,0.00919649
EFHD2,0.6682783
CASP9,0.04598246
DNAJC16,0.1072924
AGMAT,0.0030654967
RP4-680D5.2,0.0
DDI2,0.16553684
PLEKHM2,0.22991228
SLC25A34,0.0030654967
FBLIM1,0.3893181
RP11-169K16.9,0.15327483
SPEN,0.33413914
ZBTB17,0.14714384
FAM131C,0.0
EPHA2,0.3157462
RP11-276H7.2,0.0
RP11-276H7.3,0.0
ARHGEF19,0.12568538
C1orf134,0.0
RSG1,0.0030654967
FBXO42,0.073571935
SZRD1,0.5517894
SPATA21,0.0
NECAP2,0.6468199
RP4-798A10.2,0.012261987
RP4-798A10.7,0.0030654967
NBPF1,0.27896023
CROCCP2,0.15940584
CROCC,0.08889941
RP11-108M9.4,0.20845379
RP11-108M9.6,0.0061309934
MFAP2,0.6406889
ATP13A2,0.26056725
SDHB,0.6836057
PADI2,0.00919649
RP11-380J14.1,0.0
PADI1,0.0030654967
PADI3,0.0
RCC2,0.35866317
ARHGEF10L,0.036785968
IGSF21,0.0030654967
ALDH4A1,0.05211345
IFFO2,0.11035789
UBR4,0.3402702
RP1-43E13.2,0.012261987
EMC1,0.12875088
MRTO4,0.44756246
AKR7A3,0.0061309934
AKR7A2,0.5272655
PQLC2,0.09503041
CAPZB,2.9030254
MINOS1-NBL1,0.0
MINOS1,2.2623367
NBL1,1.1219718
TMCO4,0.08276842
RP11-91K11.2,0.0
OTUD3,0.07050644
PLA2G2A,0.03985146
PLA2G2F,0.0
CAMK2N1,0.049047958
MUL1,0.15634035
CDA,0.20538831
PINK1,0.44449702
PINK1-AS,0.027589472
DDOST,0.89512515
KIF17,0.20538828
SH2D5,0.0030654967
HP1BP3,1.4622421
RP5-930J4.4,0.0
EIF4G3,0.34640118
ECE1,1.3457531
NBPF3,0.012261987
ALPL,0.19312629
RAP1GAP,0.0061309934
USP48,0.54565847
HSPG2,4.211993
LINC00339,0.055178944
