GeneID,Epithelial
RP11-34P13.7,0.002322974
AL627309.1,0.019442284
AP006222.2,0.095191434
RP4-669L17.10,0.004342952
RP11-206L10.3,0.009948389
RP11-206L10.2,0.02065427
RP11-206L10.9,0.012776356
FAM87B,0.0008584903
LINC00115,0.021916756
FAM41C,0.036814082
RP11-54O7.1,0.0015654824
SAMD11,0.006009433
NOC2L,0.58367246
KLHL17,0.018078798
PLEKHN1,0.2134611
RP11-54O7.17,0.009544394
HES4,0.48136058
ISG15,0.34991056
AGRN,0.17270806
RNF223,0.01424084
C1orf159,0.064083785
RP11-465B22.8,0.020149276
TTLL10,0.0037874582
TNFRSF18,0.5887729
TNFRSF4,0.010907878
SDF4,0.6944682
B3GALT6,0.13089454
FAM132A,0.27178794
RP5-902P8.12,0.0013634848
UBE2J2,0.51499325
SCNN1D,0.015351828
ACAP3,0.46186778
PUSL1,0.18023248
CPSF3L,0.45666635
GLTPD1,0.15361929
DVL1,0.15715425
MXRA8,0.0026764697
AURKAIP1,1.7910129
CCNL2,0.43116415
RP4-758J18.2,0.08014261
MRPL20,1.5226591
RP4-758J18.13,0.004948945
ANKRD65,0.072668694
VWA1,0.21997552
ATAD3C,0.018583791
ATAD3B,0.15659875
ATAD3A,0.28416032
SSU72,1.1074525
AL645728.1,0.024542723
C1orf233,0.110492766
RP11-345P4.9,0.107765794
MIB2,1.2921795
MMP23B,0.009594893
CDK11B,0.20977466
RP11-345P4.10,0.006968922
SLC35E2B,0.12119865
CDK11A,0.2739594
SLC35E2,0.010200887
NADK,0.15301327
GNB1,0.5679671
TMEM52,0.052216414
C1orf222,0.0027774689
GABRD,0.0005554938
RP11-547D24.3,0.00040399545
PRKCZ,0.15851772
RP5-892K4.1,0.0070194216
RP11-181G12.2,0.0022724746
C1orf86,0.763097
AL590822.2,0.0042924527
AL590822.1,0.00631243
RP11-181G12.4,0.0008079909
SKI,0.23643833
MORN1,0.028582681
RER1,1.1194209
PEX10,0.13740897
PLCH2,0.18795888
PANK4,0.063578784
HES5,0.0074739153
RP3-395M20.12,0.012220863
TNFRSF14,0.14841785
FAM213B,0.07751662
MMEL1,0.00045449493
TTC34,0.0012119864
ARHGEF16,0.080445595
RP11-168F9.2,0.0003029966
MEGF6,0.12079464
TPRG1L,0.1874539
WRAP73,0.1248346
TP73,0.115643695
TP73-AS1,0.034440614
SMIM1,0.017321307
LRRC47,0.359758
CEP104,0.15669975
DFFB,0.011412873
C1orf174,0.19245334
LINC01134,0.001161487
AJAP1,0.0058074356
NPHP4,0.044439502
KCNAB2,0.023431737
RPL22,14.630596
RNF207,0.015806327
ICMT,0.2631525
LINC00337,0.0007574915
GPR153,0.0891315
ACOT7,0.3085515
RP1-202O8.3,0.016664816
HES2,0.3472846
ESPN,0.20512868
TNFRSF25,0.16291118
PLEKHG5,0.18275745
NOL9,0.15154882
ZBTB48,0.074335165
KLHL21,0.5070648
PHF13,0.07817313
THAP3,0.08281908
DNAJC11,0.15543726
RP11-312B8.1,0.0036864588
CAMTA1,1.0471057
VAMP3,0.5834199
PER3,0.2491137
PARK7,2.0920398
ERRFI1,0.74774516
RERE,0.21628909
ENO1,9.41769
ENO1-AS1,0.008685904
SLC2A5,0.0156043265
GPR157,0.14437789
RP3-510D11.1,0.00035349603
RP3-510D11.2,0.016058821
H6PD,0.24335676
SPSB1,0.19836177
SLC25A33,0.15013482
TMEM201,0.05090343
PIK3CD,0.013533847
RP11-558F24.4,0.013230852
CLSTN1,0.77839833
CTNNBIP1,2.084566
LZIC,0.26143557
NMNAT1,0.05226691
RBP7,0.09463594
UBE4B,0.16801164
KIF1B,0.21275413
PGD,0.36410087
APITD1,0.08150609
APITD1-CORT,0.0011109876
CORT,0.0008079909
DFFA,0.3291553
PEX14,0.13796444
CASZ1,0.40601543
TARDBP,0.73921067
RP4-635E18.8,0.028178686
SRM,1.2257726
EXOSC10,0.25083068
RP4-635E18.7,0.001060488
RP4-635E18.6,0.0074739167
MTOR,0.09185848
ANGPTL7,0.0177253
UBIAD1,0.12872307
FBXO2,0.19215034
FBXO44,0.1599822
FBXO6,0.16073969
MAD2L2,0.29925963
DRAXIN,0.003484461
AGTRAP,0.40136948
C1orf167,0.06686126
MTHFR,0.19709928
CLCN6,0.04014705
NPPA-AS1,0.0040904544
KIAA2013,0.2243185
PLOD1,0.09206047
MFN2,0.35107204
MIIP,0.15937622
TNFRSF1B,0.016462816
VPS13D,0.31728792
