GeneID,Fibroblast
RP11-34P13.7,0.005495114
AL627309.1,0.0068688923
AP006222.2,0.2156832
RP4-669L17.10,0.009616449
RP11-206L10.3,0.00824267
RP11-206L10.2,0.00824267
RP11-206L10.9,0.013737784
FAM87B,0.019232895
LINC00115,0.039839573
FAM41C,0.019232895
RP11-54O7.1,0.004121335
SAMD11,0.089295596
NOC2L,0.42174995
KLHL17,0.013737784
PLEKHN1,0.017859118
RP11-54O7.17,0.05220358
HES4,1.6086944
ISG15,3.680353
AGRN,0.22529964
RNF223,0.0
C1orf159,0.043960914
RP11-465B22.8,0.002747557
TTLL10,0.0013737784
TNFRSF18,0.05632493
TNFRSF4,0.017859118
SDF4,1.4369723
B3GALT6,0.12364004
FAM132A,0.028849345
RP5-902P8.12,0.0
UBE2J2,0.43960902
SCNN1D,0.004121335
ACAP3,0.15248941
PUSL1,0.14699426
CPSF3L,0.44373038
GLTPD1,0.11814494
DVL1,0.08105293
MXRA8,2.1595795
AURKAIP1,1.9919786
CCNL2,0.4753273
RP4-758J18.2,0.0824267
MRPL20,1.4232345
RP4-758J18.13,0.0068688923
ANKRD65,0.035718236
VWA1,0.123640046
ATAD3C,0.002747557
ATAD3B,0.09204315
ATAD3A,0.19782405
SSU72,1.202056
AL645728.1,0.010990228
C1orf233,0.034344457
RP11-345P4.9,0.05632492
MIB2,0.20469299
MMP23B,0.4066384
CDK11B,0.1950765
RP11-345P4.10,0.005495114
SLC35E2B,0.18546005
CDK11A,0.31871656
SLC35E2,0.013737784
NADK,0.19919781
GNB1,0.93142176
TMEM52,0.009616449
C1orf222,0.0068688923
GABRD,0.020606676
RP11-547D24.3,0.0
PRKCZ,0.02335423
RP5-892K4.1,0.002747557
RP11-181G12.2,0.0013737784
C1orf86,1.0921538
AL590822.2,0.004121335
AL590822.1,0.020606674
RP11-181G12.4,0.0
SKI,0.30635256
MORN1,0.019232895
RER1,1.5839664
PEX10,0.109902255
PLCH2,0.0068688923
PANK4,0.07418404
HES5,0.0
RP3-395M20.12,0.031596903
TNFRSF14,0.29124102
FAM213B,0.074184045
MMEL1,0.002747557
TTC34,0.0013737784
ARHGEF16,0.009616449
RP11-168F9.2,0.0
MEGF6,0.2843721
TPRG1L,0.11539738
WRAP73,0.14424671
TP73,0.021980451
TP73-AS1,0.06319381
SMIM1,0.017859118
LRRC47,0.20469294
CEP104,0.13600406
DFFB,0.021980451
C1orf174,0.22255208
LINC01134,0.0
AJAP1,0.01648534
NPHP4,0.07143648
KCNAB2,0.031596903
RPL22,7.590126
RNF207,0.016485339
ICMT,0.30910015
LINC00337,0.004121335
GPR153,0.14836806
ACOT7,0.12776138
RP1-202O8.3,0.002747557
HES2,0.019232895
ESPN,0.0068688923
TNFRSF25,0.00824267
PLEKHG5,0.012364006
NOL9,0.10715472
ZBTB48,0.056324933
KLHL21,0.14974184
PHF13,0.10578094
THAP3,0.14287293
DNAJC11,0.087921806
RP11-312B8.1,0.0
CAMTA1,1.0687995
VAMP3,0.6044624
PER3,0.10990227
PARK7,3.6872213
ERRFI1,1.2254103
RERE,0.2871197
ENO1,8.610844
ENO1-AS1,0.002747557
SLC2A5,0.03709202
GPR157,0.052203596
RP3-510D11.1,0.0
RP3-510D11.2,0.0068688923
H6PD,0.2939886
SPSB1,0.46983224
SLC25A33,0.13875158
TMEM201,0.032970678
PIK3CD,0.061820038
RP11-558F24.4,0.020606674
CLSTN1,0.43411395
CTNNBIP1,0.2733819
LZIC,0.1882076
NMNAT1,0.04533469
RBP7,0.0013737784
UBE4B,0.13188271
KIF1B,0.28849342
PGD,0.35992992
APITD1,0.06319381
APITD1-CORT,0.005495114
CORT,0.0
DFFA,0.24315877
PEX14,0.087921806
CASZ1,0.015111562
TARDBP,0.5069242
RP4-635E18.8,0.026101789
SRM,1.5702288
EXOSC10,0.22117832
RP4-635E18.7,0.0013737784
RP4-635E18.6,0.009616449
MTOR,0.07418404
ANGPTL7,0.0
UBIAD1,0.101659596
FBXO2,0.037092015
FBXO44,0.12089248
FBXO6,0.12913516
MAD2L2,0.55225885
DRAXIN,0.00824267
AGTRAP,0.6127052
C1orf167,0.074184045
MTHFR,0.10990225
CLCN6,0.043960914
NPPA-AS1,0.0068688923
KIAA2013,0.20469299
PLOD1,0.7926702
MFN2,0.11539738
MIIP,0.2211783
TNFRSF1B,0.079679154
VPS13D,0.14699428
DHRS3,0.20194542
RP11-474O21.5,0.0013737784
HNRNPCL1,0.0013737784
LRRC38,0.0
PDPN,1.6746359
PRDM2,0.30085745
KAZN,0.17584361
TMEM51,0.087921806
FHAD1,0.030223126
EFHD2,0.24728009
CASP9,0.043960914
DNAJC16,0.08380049
AGMAT,0.010990228
RP4-680D5.2,0.0
DDI2,0.15386316
PLEKHM2,0.23079476
SLC25A34,0.002747557
FBLIM1,0.47395352
RP11-169K16.9,0.07555782
SPEN,0.44510415
ZBTB17,0.14699426
FAM131C,0.002747557
EPHA2,0.057698708
RP11-276H7.2,0.0
RP11-276H7.3,0.002747557
ARHGEF19,0.1140236
C1orf134,0.004121335
RSG1,0.004121335
FBXO42,0.11951871
SZRD1,0.5289047
SPATA21,0.0013737784
NECAP2,0.3489397
RP4-798A10.2,0.009616449
RP4-798A10.7,0.004121335
NBPF1,0.26376545
CROCCP2,0.089295596
CROCC,0.104407154
RP11-108M9.4,0.08517426
RP11-108M9.6,0.0013737784
MFAP2,1.6622719
ATP13A2,0.090669364
SDHB,0.71711224
PADI2,0.0013737784
RP11-380J14.1,0.0
PADI1,0.0
PADI3,0.0
RCC2,0.18133873
ARHGEF10L,0.08380049
IGSF21,0.002747557
ALDH4A1,0.02747557
IFFO2,0.061820034
UBR4,0.2926148
RP1-43E13.2,0.020606674
EMC1,0.20194541
MRTO4,0.36267748
AKR7A3,0.004121335
AKR7A2,0.68139404
PQLC2,0.11402359
CAPZB,3.9784627
MINOS1-NBL1,0.004121335
MINOS1,2.6500187
NBL1,3.3753738
TMCO4,0.052203592
RP11-91K11.2,0.0
OTUD3,0.05495115
PLA2G2A,7.3840585
PLA2G2F,0.0
CAMK2N1,0.30223122
MUL1,0.1634796
CDA,0.027475568
PINK1,0.2898672
PINK1-AS,0.009616449
DDOST,1.0495666
KIF17,0.004121335
SH2D5,0.0013737784
HP1BP3,1.0990227
RP5-930J4.4,0.002747557
EIF4G3,0.2994837
ECE1,0.47257975
NBPF3,0.015111563
ALPL,0.12089248
RAP1GAP,0.0
USP48,0.3242117
HSPG2,0.79679143
LINC00339,0.03434446
CDC42,3.0580306
WNT4,0.013737785
ZBTB40,0.04808225
C1QB,0.06044627
EPHB2,0.024728011
RP1-74M1.3,0.0
C1orf234,0.0
KDM1A,0.25002766
LUZP1,0.5811083
RP5-1057J7.6,0.04945603
HNRNPR,1.4397198
ZNF436,0.057698704
C1orf213,0.030223124
RP5-1057J7.7,0.002747557
TCEA3,0.16210583
ASAP3,0.07693159
E2F2,0.005495114
RP1-150O5.3,0.0
ID3,5.7451415
MDS2,0.0013737784
RPL11,23.135803
TCEB3,0.2857459
RP5-886K2.3,0.031596903
PITHD1,0.39015305
LYPLA2,0.29261482
GALE,0.06319381
HMGCL,0.1882076
FUCA1,0.33794945
CNR2,0.0013737784
PNRC2,0.034344457
SRSF10,0.3269592
MYOM3,0.0
IL22RA1,0.012364004
IFNLR1,0.012364006
RP11-10N16.2,0.0
GRHL3,0.00824267
STPG1,0.02335423
NIPAL3,0.037092015
RCAN3,0.053577363
RP4-594I10.3,0.0068688923
NCMAP,0.0
SRRM1,1.3792734
CLIC4,1.2817352
RUNX3,0.20057163
RP11-84D1.2,0.0
SYF2,1.2913517
C1orf63,1.035829
RP3-465N24.6,0.0013737784
TMEM50A,3.404223
RHCE,0.004121335
TMEM57,0.30497876
LDLRAP1,0.103033364
RP11-70P17.1,0.010990228
MAN1C1,0.096164465
RP1-187B23.1,0.005495114
SEPN1,0.29948366
RP1-317E23.3,0.0013737784
MTFR1L,0.24178499
AL020996.1,0.0013737784
AUNIP,0.009616449
PAQR7,0.107154705
STMN1,0.47532728
PAFAH2,0.027475568
EXTL1,0.0
SLC30A2,0.004121335
TRIM63,0.0
PDIK1L,0.043960914
FAM110D,0.002747557
ZNF593,0.6346856
RP11-96L14.7,0.0013737784
CNKSR1,0.005495114
CEP85,0.009616449
SH3BGRL3,5.848175
UBXN11,0.06319381
CD52,0.078305386
AIM1L,0.002747557
DHDDS,0.10165959
HMGN2,2.4151022
RPS6KA1,0.03846579
RP5-968P14.2,0.002747557
ARID1A,0.24865389
PIGV,0.072810255
ZDHHC18,0.06594138
SFN,1.685626
GPN2,0.14424671
GPATCH3,0.08654804
NUDC,1.3888898
C1orf172,0.010990226
TRNP1,0.012364006
FAM46B,0.043960914
SLC9A1,0.10578094
WDTC1,0.082426704
