P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
RP11-34P13.7,0.0049526426,0.0023083477,0.00351301,0.0033350033,0.004319901,0.0038584715,0,0.00914775,0.008736737,0.0039603887,0.0041628527,0.0021383243,0.0020397743,0.0009824435,0.0008447362,0.0014605434,0.0060518575,0.002789227,0.0006105135,0.0021964295
AL627309.1,0.042097457,0.014427174,0.023810402,0.00967151,0.025919406,0.013229046,0.0395495,0.0548865,0.021841845,0.0074807345,0.023936402,0.015681045,0.014023448,0.0068771043,0.008869731,0.003547034,0.030259287,0.008367681,0.01037873,0.0047589308
AP006222.2,0.13372134,0.1148403,0.12373602,0.15641166,0.1607003,0.10280071,0.14362714,0.219546,0.1266827,0.15445516,0.126967,0.10050125,0.09484951,0.1303375,0.114039384,0.20823176,0.12305443,0.1822295,0.08893147,0.16290186
RP4-669L17.10,0.0049526426,0.00750213,0.0027323412,0.0040020044,0.0028799337,0.0016536308,0.0020815528,0,0.017473474,0.007040691,0.0041628527,0.003563874,0.0040795486,0.004912217,0.0008447362,0.0004172981,0.012103715,0.00092974235,0.0056981263,0.0065892893
RP11-206L10.3,0.014032487,0.009521934,0.019516721,0.00933801,0.012095722,0.008819364,0.029141739,0.00914775,0.017473474,0.022882245,0.014569984,0.024234343,0.006119323,0.010479397,0.006335522,0.00667677,0.0060518575,0.007437939,0.0071226577,0.008419647
RP11-206L10.2,0.01815969,0.009521934,0.026933076,0.00900451,0.039743084,0.02039478,0.024978634,0.08232975,0.07426227,0.0193619,0.026017828,0.026372667,0.003824577,0.0081870295,0.01562762,0.02670708,0.022190142,0.016735362,0.023810027,0.02745537
RP11-206L10.9,0.014857927,0.008656304,0.025762074,0.012339513,0.016415624,0.01240223,0.012489317,0,0.056788795,0.025082462,0.01665141,0.028510991,0.008924013,0.010151916,0.0097144665,0.0135621885,0.02420743,0.0046487115,0.01709438,0.023428584
FAM87B,0.0008254404,0.0014427174,0.0023420067,0.003001503,0.0071998346,0.0055121025,0.008326211,0.00914775,0,0.011001079,0.0020814263,0.0021383243,0.00076491537,0.0006549623,0.0029565769,0.007928664,0.014121,0.002789227,0.0018315406,0.008053576
LINC00115,0.01981057,0.028854348,0.04801114,0.025679527,0.0391671,0.030867772,0.024978634,0.036591,0.0043683685,0.030803023,0.022895688,0.04490481,0.0198878,0.0451924,0.019851303,0.054457404,0.026224714,0.04369789,0.015873352,0.04246431
FAM41C,0.053653624,0.03433667,0.09953528,0.03635154,0.03571118,0.012677835,0.049957268,0.0548865,0.07863063,0.04268419,0.037465673,0.033500414,0.035696052,0.0225962,0.029988136,0.026289782,0.050432146,0.018594846,0.031746704,0.032946445
