P1_Normal,P1_Tumor,P10_Normal,P10_Tumor,P2_Normal,P2_Tumor,P3_Normal,P3_Tumor,P4_Normal,P4_Tumor,P5_Normal,P5_Tumor,P6_Normal,P6_Tumor,P7_Normal,P7_Tumor,P8_Normal,P8_Tumor,P9_Normal,P9_Tumor
Epithelial,0.930856553147575,0.140525195173882,0.783363802559415,0.0756780402449694,0.759970274956651,0.222098214285714,0.14230471771075,0.0286396181384248,0.956331877729258,0.119852695011717,0.892821031344793,0.118666666666667,0.843955545475164,0.186393289841566,0.783524027459954,0.0184615384615385,0.418088737201365,0.000693962526023595,0.754971135343169,0.0456456456456456
Endothelial,0.0196078431372549,0.0404542228530873,0.00639853747714808,0.0135608048993876,0.0178350260094129,0.0271577380952381,0.0464037122969838,0.00238663484486874,0,0.00636089722129227,0.0111223458038423,0.000666666666666667,0.00521660240417328,0,0.00183066361556064,0,0.00511945392491468,0.00277585010409438,0.0111182381868719,0.0048048048048048
Fibroblast,0.00206398348813209,0.0085166784953868,0.00548446069469835,0.224846894138233,0.00297250433490215,0.00818452380952381,0.0433101314771848,0.0167064439140811,0,0.0016739203213927,0.019211324570273,0.004,0.0208664096166931,0.0102516309412861,0.00274599542334096,0.000923076923076923,0.0204778156996587,0.0312283136710618,0.00513149454778704,0.00660660660660661
Melanocyte,0.0464396284829721,0.0539389638041164,0.0127970749542962,0.00874890638670166,0.0329452563784989,0.00744047619047619,0.00232018561484919,0,0.00436681222707424,0.133913625711416,0.00404448938321537,0,0.00204127920163302,0,0.00823798627002288,0.00246153846153846,0.0119453924914676,0.000693962526023595,0.00384862091084028,0.003003003003003
Langerhans,0.00103199174406605,0.0007097232079489,0.101005484460695,0.0450568678915136,0.142184790686153,0.123511904761905,0.116782675947409,0.0214797136038186,0.0349344978165939,0.190492132574489,0.0283114256825076,0.0373333333333333,0.0317532320254026,0.0969245107176142,0.0773455377574371,0.266153846153846,0.129692832764505,0.0888272033310201,0.0198845413726748,0.042042042042042
Dendritic,0,0.0007097232079489,0.0731261425959781,0.0721784776902887,0.019321278176864,0.240327380952381,0.434648105181748,0.0787589498806683,0.00436681222707424,0.436893203883495,0.0161779575328615,0.356666666666667,0.0662281696529825,0.218080149114632,0.0750572082379863,0.276307692307692,0.199658703071672,0.17765440666204,0.0183878554629036,0.356756756756757
Macrophage,0,0,0.010054844606947,0.0411198600174978,0.00520188258607877,0.0948660714285714,0.0556844547563805,0.00954653937947494,0,0.0964178105122196,0.00808897876643074,0.153333333333333,0.00952596960762078,0.102516309412861,0.020137299771167,0.102461538461538,0.0187713310580205,0.343511450381679,0.127218302330554,0.270870870870871
T_cell,0,0,0.00548446069469835,0.00699912510936133,0.016596482536537,0.0305059523809524,0.127610208816705,0.677804295942721,0,0.00937395379979913,0.0070778564206269,0.182,0.0170106600136085,0.0246971109040075,0.0151029748283753,0.008,0.162116040955631,0.181124219292158,0.00149668590977122,0.0840840840840841
Myeloid,0,0,0.00182815356489945,0.0026246719160105,0.000495417389150359,0.00483630952380952,0.0278422273781903,0.0143198090692124,0,0.00200870438567124,0.0101112234580384,0.0173333333333333,0.00204127920163302,0.00419384902143523,0.0155606407322654,0.0113846153846154,0.0341296928327645,0.147120055517002,0.056232627752833,0.0192192192192192
B_cell,0,0,0.000457038391224863,0.0148731408573928,0,0.00186011904761905,0.000773395204949729,0.0883054892601432,0,0.00267827251422832,0.00101112234580384,0.0673333333333333,0.000680426400544341,0.016309412861137,0,0,0,0.0159611380985427,0,0.0042042042042042
NK_cell,0,0,0,0,0.0024770869457518,0.00111607142857143,0.00232018561484919,0.0620525059665871,0,0.00033478406427854,0.00202224469160768,0.036,0.000680426400544341,0.000931966449207828,0.00045766590389016,0.00246153846153846,0,0.0104094378903539,0.00171049818259568,0.0018018018018018
Tumor_KC_Basal,0,0.326472675656494,0,0.153543307086614,0,0.0554315476190476,0,0,0,0,0,0.00133333333333333,0,0.0540540540540541,0,0.0836923076923077,0,0,0,0.027027027027027
Tumor_KC_Cyc,0,0.0745209368346345,0,0.0804899387576553,0,0.0520833333333333,0,0,0,0,0,0.006,0,0.0479962721342032,0,0.0633846153846154,0,0,0,0.0282282282282282
Tumor_KC_Diff,0,0.333569907735983,0,0.192038495188101,0,0.118675595238095,0,0,0,0,0,0.0166666666666667,0,0.221808014911463,0,0.153538461538462,0,0,0,0.0852852852852853
TSK,0,0.0205819730305181,0,0.068241469816273,0,0.0119047619047619,0,0,0,0,0,0.00266666666666667,0,0.0158434296365331,0,0.0107692307692308,0,0,0,0.0204204204204204
Purity,0,0.755145493257629,0,0.494313210848644,0,0.238095238095238,0,0,0,0,0,0.0266666666666667,0,0.339701770736254,0,0.311384615384615,0,0,0,0.160960960960961
