GeneID,Langerhans
RP11-34P13.7,0.0026871732
AL627309.1,0.009405106
AP006222.2,0.281347
RP4-669L17.10,0.0026871732
RP11-206L10.3,0.00994254
RP11-206L10.2,0.03385839
RP11-206L10.9,0.03627684
FAM87B,0.021228671
LINC00115,0.06717933
FAM41C,0.076047
RP11-54O7.1,0.00053743465
SAMD11,0.00080615195
NOC2L,0.28510907
KLHL17,0.00698665
PLEKHN1,0.0123609975
RP11-54O7.17,0.0064492156
HES4,0.08357109
ISG15,1.515297
AGRN,0.11205512
RNF223,0.00053743465
C1orf159,0.048100404
RP11-465B22.8,0.0013435866
TTLL10,0.00080615195
TNFRSF18,0.27301678
TNFRSF4,0.14618222
SDF4,0.61106324
B3GALT6,0.081958786
FAM132A,0.00994254
RP5-902P8.12,0.0010748693
UBE2J2,0.4501015
SCNN1D,0.0010748693
ACAP3,0.07470342
PUSL1,0.1518253
CPSF3L,0.33428434
GLTPD1,0.10775565
DVL1,0.026871733
MXRA8,0.00080615195
AURKAIP1,1.4027045
CCNL2,0.21443644
RP4-758J18.2,0.099694125
MRPL20,1.4018984
RP4-758J18.13,0.0016123039
ANKRD65,0.06153627
VWA1,0.18729597
ATAD3C,0.013435867
ATAD3B,0.07604701
ATAD3A,0.16526115
SSU72,1.167308
AL645728.1,0.017197913
C1orf233,0.031977363
RP11-345P4.9,0.055355772
MIB2,0.10990539
MMP23B,0.003493325
CDK11B,0.20449388
RP11-345P4.10,0.005911781
SLC35E2B,0.08383981
CDK11A,0.32998487
SLC35E2,0.00698665
NADK,0.13597098
GNB1,0.89724725
TMEM52,0.0026871732
C1orf222,0.00403076
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.07255368
RP5-892K4.1,0.00994254
RP11-181G12.2,0.0010748693
C1orf86,1.0332181
AL590822.2,0.0010748693
AL590822.1,0.004299477
RP11-181G12.4,0.0
SKI,0.050250143
MORN1,0.007255368
RER1,1.1028157
PEX10,0.14833197
PLCH2,0.00698665
PANK4,0.05723679
HES5,0.0
RP3-395M20.12,0.10587461
TNFRSF14,0.49040908
FAM213B,0.11259257
MMEL1,0.004299477
TTC34,0.00080615195
ARHGEF16,0.0026871732
RP11-168F9.2,0.0
MEGF6,0.017197913
TPRG1L,0.05347475
WRAP73,0.13005918
TP73,0.02230354
TP73-AS1,0.020691238
SMIM1,0.021766111
LRRC47,0.1598868
CEP104,0.11447359
DFFB,0.015585605
C1orf174,0.17600985
LINC01134,0.00080615195
AJAP1,0.00053743465
NPHP4,0.015585605
KCNAB2,0.06798549
RPL22,11.624173
RNF207,0.0037620424
ICMT,0.14000173
LINC00337,0.0013435866
GPR153,0.040845033
ACOT7,1.3288071
RP1-202O8.3,0.009673824
HES2,0.009405106
ESPN,0.004836912
TNFRSF25,0.018004067
PLEKHG5,0.004299477
NOL9,0.07954032
ZBTB48,0.10990539
KLHL21,0.047562968
PHF13,0.029290188
THAP3,0.087333135
DNAJC11,0.08491467
RP11-312B8.1,0.0029558905
CAMTA1,1.2385181
VAMP3,0.9200881
PER3,0.13677712
PARK7,4.159744
ERRFI1,0.034395818
RERE,0.13435866
ENO1,7.55445
ENO1-AS1,0.0029558905
SLC2A5,0.0056430637
GPR157,0.4904091
RP3-510D11.1,0.00080615195
RP3-510D11.2,0.0032246078
H6PD,0.10668078
SPSB1,0.06073012
SLC25A33,0.21228668
TMEM201,0.01746663
PIK3CD,0.08625826
RP11-558F24.4,0.00403076
CLSTN1,0.15263146
CTNNBIP1,1.6990998
LZIC,0.2665676
NMNAT1,0.06502959
RBP7,0.00403076
UBE4B,0.07067265
KIF1B,0.08276494
PGD,0.3227295
APITD1,0.09808183
APITD1-CORT,0.0016123039
CORT,0.00026871733
DFFA,0.18568368
PEX14,0.08625826
CASZ1,0.021228671
TARDBP,0.48691577
RP4-635E18.8,0.019885084
SRM,0.6035391
EXOSC10,0.19267032
RP4-635E18.7,0.0
RP4-635E18.6,0.01209228
MTOR,0.043532204
ANGPTL7,0.0
UBIAD1,0.10211259
FBXO2,0.081958786
FBXO44,0.10345617
FBXO6,0.4175867
MAD2L2,0.5796233
DRAXIN,0.0037620424
AGTRAP,0.20100054
C1orf167,0.003493325
MTHFR,0.2542066
CLCN6,0.044607073
NPPA-AS1,0.004836912
KIAA2013,0.12844689
PLOD1,0.10157515
MFN2,0.08088392
MIIP,0.38453448
TNFRSF1B,0.37996626
VPS13D,0.07765931
DHRS3,0.026871735
RP11-474O21.5,0.00053743465
HNRNPCL1,0.002418456
LRRC38,0.0
PDPN,0.008867672
PRDM2,0.16821705
KAZN,0.00403076
TMEM51,0.23566508
FHAD1,0.0064492156
EFHD2,1.0240817
CASP9,0.0854521
DNAJC16,0.059117816
AGMAT,0.005105629
RP4-680D5.2,0.00026871733
DDI2,0.106143355
PLEKHM2,0.13408995
SLC25A34,0.0021497386
FBLIM1,0.043800928
RP11-169K16.9,0.09431978
SPEN,0.29800752
ZBTB17,0.09082646
FAM131C,0.0
EPHA2,0.108024366
RP11-276H7.2,0.0016123039
RP11-276H7.3,0.0032246078
