GeneID,Macrophage
RP11-34P13.7,0.003203367
AL627309.1,0.0072075757
AP006222.2,0.17858769
RP4-669L17.10,0.0028029461
RP11-206L10.3,0.012413048
RP11-206L10.2,0.02762904
RP11-206L10.9,0.016417261
FAM87B,0.0068071545
LINC00115,0.044847135
FAM41C,0.023224412
RP11-54O7.1,0.0004004209
SAMD11,0.0028029461
NOC2L,0.22703859
KLHL17,0.010010522
PLEKHN1,0.019620625
RP11-54O7.17,0.026027353
HES4,0.28950426
ISG15,7.4526334
AGRN,0.08569006
RNF223,0.0
C1orf159,0.036438294
RP11-465B22.8,0.0008008418
TTLL10,0.0012012626
TNFRSF18,0.18379316
TNFRSF4,0.18859823
SDF4,0.73717487
B3GALT6,0.07487869
FAM132A,0.004404629
RP5-902P8.12,0.0004004209
UBE2J2,0.3271438
SCNN1D,0.0028029461
ACAP3,0.09009469
PUSL1,0.09690185
CPSF3L,0.26387733
GLTPD1,0.07848248
DVL1,0.030431984
MXRA8,0.0008008418
AURKAIP1,1.5664465
CCNL2,0.15976791
RP4-758J18.2,0.049652178
MRPL20,1.2048663
RP4-758J18.13,0.0024025252
ANKRD65,0.07167532
VWA1,0.012413047
ATAD3C,0.010811365
ATAD3B,0.066469856
ATAD3A,0.12132752
SSU72,0.9397877
AL645728.1,0.008008417
C1orf233,0.04564797
RP11-345P4.9,0.034836613
MIB2,0.0788829
MMP23B,0.0024025252
CDK11B,0.1749839
RP11-345P4.10,0.00480505
SLC35E2B,0.080484584
CDK11A,0.28590047
SLC35E2,0.0040042084
NADK,0.29751268
GNB1,0.99985087
TMEM52,0.0036037879
C1orf222,0.0012012626
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.0148155745
RP5-892K4.1,0.0052054715
RP11-181G12.2,0.0008008418
C1orf86,0.7928333
AL590822.2,0.0008008418
AL590822.1,0.0052054715
RP11-181G12.4,0.0
SKI,0.17017885
MORN1,0.006406733
RER1,1.2132752
PEX10,0.07487869
PLCH2,0.0020021044
PANK4,0.04925176
HES5,0.0016016836
RP3-395M20.12,0.1942041
TNFRSF14,0.8721166
FAM213B,0.102908164
MMEL1,0.02362483
TTC34,0.0036037879
ARHGEF16,0.0024025252
RP11-168F9.2,0.0
MEGF6,0.017218098
TPRG1L,0.07928333
WRAP73,0.10010521
TP73,0.016817678
TP73-AS1,0.023624832
SMIM1,0.01641726
LRRC47,0.14335066
CEP104,0.08569007
DFFB,0.020421464
C1orf174,0.15536329
LINC01134,0.0008008418
AJAP1,0.0008008418
NPHP4,0.0148155745
KCNAB2,0.35477287
RPL22,8.700745
RNF207,0.0028029461
ICMT,0.114520356
LINC00337,0.0028029461
GPR153,0.015215996
ACOT7,0.18939905
RP1-202O8.3,0.0060063126
HES2,0.0068071545
ESPN,0.0052054715
TNFRSF25,0.014415153
PLEKHG5,0.003203367
NOL9,0.06006313
ZBTB48,0.094098896
KLHL21,0.050052598
PHF13,0.027228618
