GeneID,Melanocyte
RP11-34P13.7,0.013369433
AL627309.1,0.001215403
AP006222.2,0.44605288
RP4-669L17.10,0.004861612
RP11-206L10.3,0.0060770144
RP11-206L10.2,0.004861612
RP11-206L10.9,0.007292418
FAM87B,0.0
LINC00115,0.031600475
FAM41C,0.07900118
RP11-54O7.1,0.004861612
SAMD11,0.0036462087
NOC2L,0.48008415
KLHL17,0.015800238
PLEKHN1,0.0060770144
RP11-54O7.17,0.017015642
HES4,1.9847529
ISG15,2.3189883
AGRN,0.39622137
RNF223,0.001215403
C1orf159,0.08021658
RP11-465B22.8,0.001215403
TTLL10,0.0
TNFRSF18,0.035246678
TNFRSF4,0.009723224
SDF4,1.3223583
B3GALT6,0.14341757
FAM132A,0.027954265
RP5-902P8.12,0.001215403
UBE2J2,0.5493621
SCNN1D,0.008507821
ACAP3,0.156787
PUSL1,0.13126351
CPSF3L,0.48737663
GLTPD1,0.1239711
DVL1,0.11303247
MXRA8,0.006077014
AURKAIP1,3.2232482
CCNL2,0.31357396
RP4-758J18.2,0.1264019
MRPL20,1.888736
RP4-758J18.13,0.0036462087
ANKRD65,0.015800238
VWA1,0.10209384
ATAD3C,0.03767748
ATAD3B,0.0862936
ATAD3A,0.29777372
SSU72,2.024861
AL645728.1,0.034031276
C1orf233,0.22606495
RP11-345P4.9,0.10938626
MIB2,0.16772561
MMP23B,0.004861612
CDK11B,0.20661847
RP11-345P4.10,0.010938626
SLC35E2B,0.17137183
CDK11A,0.244296
SLC35E2,0.010938626
NADK,0.23943439
GNB1,1.5581466
TMEM52,0.004861612
C1orf222,0.0036462087
GABRD,0.001215403
RP11-547D24.3,0.0
PRKCZ,0.11910948
RP5-892K4.1,0.0060770144
RP11-181G12.2,0.0036462087
C1orf86,2.1111548
AL590822.2,0.001215403
AL590822.1,0.020661851
RP11-181G12.4,0.0
SKI,0.19689527
MORN1,0.019446447
RER1,1.9300598
PEX10,0.3646209
PLCH2,0.0036462087
PANK4,0.09601683
HES5,0.002430806
RP3-395M20.12,0.5530084
TNFRSF14,0.87265927
FAM213B,0.31965098
MMEL1,0.010938626
TTC34,0.0
ARHGEF16,0.008507821
RP11-168F9.2,0.0
MEGF6,0.053477723
TPRG1L,0.24794222
WRAP73,0.13734053
TP73,0.015800238
TP73-AS1,0.05712393
SMIM1,0.08021658
LRRC47,0.3099278
CEP104,0.24794222
DFFB,0.03646208
C1orf174,0.19203366
LINC01134,0.001215403
AJAP1,0.017015642
NPHP4,0.14949457
KCNAB2,1.7550417
RPL22,9.015859
RNF207,0.035246678
ICMT,0.41202158
LINC00337,0.001215403
GPR153,0.2856197
ACOT7,1.3855593
RP1-202O8.3,0.025523461
HES2,0.024308058
ESPN,0.009723224
TNFRSF25,0.008507821
PLEKHG5,0.007292418
NOL9,0.11546328
ZBTB48,0.06441635
KLHL21,0.15314078
PHF13,0.047400706
THAP3,0.13734053
DNAJC11,0.12518652
RP11-312B8.1,0.0036462087
CAMTA1,1.7380261
VAMP3,1.502238
PER3,0.14098676
PARK7,4.894428
ERRFI1,0.03281587
RERE,0.23821898
ENO1,4.7400713
ENO1-AS1,0.008507821
SLC2A5,0.001215403
GPR157,0.043754503
RP3-510D11.1,0.009723224
RP3-510D11.2,0.041323684
H6PD,0.14949459
SPSB1,0.2005415
SLC25A33,0.21634172
TMEM201,0.06927796
PIK3CD,0.1227557
RP11-558F24.4,0.52019244
CLSTN1,0.657533
CTNNBIP1,0.41080624
LZIC,0.30871236
NMNAT1,0.0862936
RBP7,0.021877252
UBE4B,0.13247892
KIF1B,0.34517446
PGD,0.29777372
APITD1,0.08143198
APITD1-CORT,0.001215403
CORT,0.001215403
DFFA,0.38771355
PEX14,0.13247895
CASZ1,0.03160047
TARDBP,0.54693127
RP4-635E18.8,0.041323688
SRM,2.2290487
EXOSC10,0.45212987
RP4-635E18.7,0.0
RP4-635E18.6,0.026738865
MTOR,0.16407941
ANGPTL7,0.029169671
UBIAD1,0.15192536
FBXO2,0.15192536
FBXO44,0.23092654
FBXO6,0.29898912
MAD2L2,0.7839349
DRAXIN,0.010938626
AGTRAP,0.531131
C1orf167,0.001215403
MTHFR,0.094801426
CLCN6,0.08386279
NPPA-AS1,0.012154029
KIAA2013,0.37434414
PLOD1,0.42539102
MFN2,0.1555716
MIIP,0.20418769
TNFRSF1B,0.007292418
VPS13D,0.08629359
DHRS3,0.009723224
RP11-474O21.5,0.0
HNRNPCL1,0.007292418
LRRC38,0.0
PDPN,0.017015642
PRDM2,0.28318894
KAZN,0.7426112
TMEM51,0.4302526
FHAD1,0.010938626
EFHD2,0.28926593
CASP9,0.05469313
DNAJC16,0.12032487
AGMAT,0.0060770144
RP4-680D5.2,0.001215403
DDI2,0.18231043
PLEKHM2,0.33666664
SLC25A34,0.0060770144
FBLIM1,0.03646208
RP11-169K16.9,0.15800236
SPEN,0.2746811
ZBTB17,0.08021658
FAM131C,0.0
EPHA2,0.037677485
RP11-276H7.2,0.0
RP11-276H7.3,0.0
ARHGEF19,0.035246678
C1orf134,0.002430806
RSG1,0.010938626
FBXO42,0.100878425
SZRD1,0.5347773
SPATA21,0.001215403
NECAP2,0.64294815
RP4-798A10.2,0.008507821
RP4-798A10.7,0.027954267
NBPF1,0.2868351
CROCCP2,0.16894102
CROCC,0.055908527
RP11-108M9.4,0.21634172
RP11-108M9.6,0.002430806
MFAP2,0.51411545
ATP13A2,0.23943439
SDHB,1.4037904
PADI2,0.001215403
RP11-380J14.1,0.001215403
PADI1,0.0
PADI3,0.0
RCC2,0.32086635
ARHGEF10L,0.11060165
IGSF21,0.001215403
ALDH4A1,0.081432
IFFO2,0.082647406
UBR4,0.51776165
RP1-43E13.2,0.012154029
EMC1,0.2054031
MRTO4,0.5675931
AKR7A3,0.0060770144
AKR7A2,0.9419373
PQLC2,0.09358601
CAPZB,2.5183148
MINOS1-NBL1,0.0
MINOS1,3.2536337
NBL1,0.35125142
TMCO4,0.1239711
RP11-91K11.2,0.007292418
OTUD3,0.08143198
PLA2G2A,0.001215403
PLA2G2F,0.002430806
CAMK2N1,0.09844762
MUL1,0.20297228
CDA,0.008507821
PINK1,0.33423582
PINK1-AS,0.012154029
DDOST,1.2008181
KIF17,0.006077014
SH2D5,0.004861612
HP1BP3,1.3503125
RP5-930J4.4,0.001215403
EIF4G3,0.2929121
ECE1,0.05104692
NBPF3,0.018231044
ALPL,0.0
RAP1GAP,0.1580024
USP48,1.0197229
HSPG2,0.7462574
LINC00339,0.10452465
CDC42,3.2621412
WNT4,0.038892884
ZBTB40,0.06684715
C1QB,0.5153308
EPHB2,0.0
RP1-74M1.3,0.0
C1orf234,0.001215403
KDM1A,0.19811067
LUZP1,0.39135972
RP5-1057J7.6,0.07049336
HNRNPR,1.9434291
ZNF436,0.023092655
C1orf213,0.021877252
RP5-1057J7.7,0.0
TCEA3,0.043754503
ASAP3,0.008507821
E2F2,0.008507821
RP1-150O5.3,0.0
ID3,0.23214197
MDS2,0.0
RPL11,24.44783
TCEB3,0.36948252
RP5-886K2.3,0.05712393
PITHD1,0.84713584
LYPLA2,0.6222863
GALE,0.3609747
HMGCL,0.36826706
FUCA1,0.23943438
CNR2,0.001215403
PNRC2,0.035246678
SRSF10,0.35125148
MYOM3,0.001215403
IL22RA1,0.001215403
IFNLR1,0.053477723
RP11-10N16.2,0.0
GRHL3,0.031600475
STPG1,0.10695545
NIPAL3,0.25888085
RCAN3,0.45577613
RP4-594I10.3,0.048616108
NCMAP,0.0036462087
SRRM1,1.7671958
CLIC4,1.2688806
RUNX3,0.8544283
RP11-84D1.2,0.059554737
SYF2,1.294404
C1orf63,0.9698914
RP3-465N24.6,0.008507821
TMEM50A,2.721287
RHCE,0.0036462087
TMEM57,0.30871236
LDLRAP1,0.17987965
RP11-70P17.1,0.014584836
MAN1C1,0.010938626
RP1-187B23.1,0.001215403
SEPN1,0.38649815
RP1-317E23.3,0.001215403
MTFR1L,0.50196147
AL020996.1,0.0036462087
AUNIP,0.020661851
PAQR7,0.08143199
STMN1,3.3569427
PAFAH2,0.054693133
EXTL1,0.03646208
SLC30A2,0.03038507
TRIM63,0.61620927
PDIK1L,0.048616108
FAM110D,0.004861612
ZNF593,1.143694
RP11-96L14.7,0.001215403
CNKSR1,0.012154028
CEP85,0.024308056
SH3BGRL3,5.954259
UBXN11,0.12518652
CD52,0.087509006
AIM1L,0.002430806
DHDDS,0.18352585
HMGN2,2.0759082
RPS6KA1,0.030385075
RP5-968P14.2,0.001215403
ARID1A,0.3184356
PIGV,0.0899398
ZDHHC18,0.04253909
SFN,1.5569311
GPN2,0.1555716
GPATCH3,0.10695545
NUDC,2.054031
C1orf172,0.007292418
TRNP1,0.06806255
FAM46B,0.052262314
SLC9A1,0.09966302
WDTC1,0.19081827
TMEM222,0.50682306
SYTL1,0.034031276
MAP3K6,0.17501803
FCN3,0.0
CD164L2,0.007292418
WASF2,1.2786038
RP4-752I6.1,0.0
AHDC1,0.09601683
FGR,0.0036462087
RP11-288L9.1,0.0060770144
IFI6,12.144305
FAM76A,0.18838745
STX12,0.37434414
PPP1R8,0.3609747
THEMIS2,0.19567986
RPA2,0.4873766
SMPDL3B,0.002430806
XKR8,0.05833933
EYA3,0.14706378
PTAFR,0.009723224
