GeneID,Myeloid
RP11-34P13.7,0.0
AL627309.1,0.017794382
AP006222.2,0.1016822
RP4-669L17.10,0.0025420547
RP11-206L10.3,0.020336438
RP11-206L10.2,0.03304671
RP11-206L10.9,0.0076261647
FAM87B,0.0
LINC00115,0.035588767
FAM41C,0.025420547
RP11-54O7.1,0.0
SAMD11,0.0
NOC2L,0.325383
KLHL17,0.010168219
PLEKHN1,0.022878494
RP11-54O7.17,0.025420547
HES4,0.39147645
ISG15,3.7596996
AGRN,0.063551374
RNF223,0.0025420547
C1orf159,0.025420547
RP11-465B22.8,0.0025420547
TTLL10,0.0
TNFRSF18,0.122018635
TNFRSF4,0.053383157
SDF4,0.61263525
B3GALT6,0.030504659
FAM132A,0.0152523285
RP5-902P8.12,0.0
UBE2J2,0.29487833
SCNN1D,0.0
ACAP3,0.10676631
PUSL1,0.09405604
CPSF3L,0.26945782
GLTPD1,0.050841104
DVL1,0.050841104
MXRA8,0.0
AURKAIP1,1.4006722
CCNL2,0.11439247
RP4-758J18.2,0.027962603
MRPL20,1.1464669
RP4-758J18.13,0.0025420547
ANKRD65,0.06100933
VWA1,0.020336438
ATAD3C,0.0076261647
ATAD3B,0.10930838
ATAD3A,0.10676631
SSU72,0.9507286
AL645728.1,0.0076261647
C1orf233,0.012710273
RP11-345P4.9,0.04067288
MIB2,0.18557
MMP23B,0.0
CDK11B,0.19319616
RP11-345P4.10,0.010168219
SLC35E2B,0.09405603
CDK11A,0.28725216
SLC35E2,0.010168219
NADK,0.31775686
GNB1,0.7753268
TMEM52,0.0
C1orf222,0.0025420547
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.020336438
RP5-892K4.1,0.0025420547
RP11-181G12.2,0.0025420547
C1orf86,0.5795885
AL590822.2,0.0025420547
AL590822.1,0.0
RP11-181G12.4,0.0
SKI,0.18302795
MORN1,0.0050841095
RER1,0.95581263
PEX10,0.068635486
PLCH2,0.0076261647
PANK4,0.04321494
HES5,0.0
RP3-395M20.12,0.14998125
TNFRSF14,0.5745043
FAM213B,0.03304671
MMEL1,0.038130824
