GeneID,NK_cell
RP11-34P13.7,0.0
AL627309.1,0.0
AP006222.2,0.19107738
RP4-669L17.10,0.034741342
RP11-206L10.3,0.017370671
RP11-206L10.2,0.017370671
RP11-206L10.9,0.034741342
FAM87B,0.0
LINC00115,0.15633604
FAM41C,0.069482684
RP11-54O7.1,0.0
SAMD11,0.0
NOC2L,0.41689613
KLHL17,0.0
PLEKHN1,0.086853355
RP11-54O7.17,0.0
HES4,0.9553869
ISG15,2.6750832
AGRN,0.034741342
RNF223,0.0
C1orf159,0.069482684
RP11-465B22.8,0.0
TTLL10,0.31267205
TNFRSF18,9.953395
TNFRSF4,1.268059
SDF4,0.9901282
B3GALT6,0.15633604
FAM132A,0.017370671
RP5-902P8.12,0.0
UBE2J2,0.6948269
SCNN1D,0.0
ACAP3,0.069482684
PUSL1,0.15633604
CPSF3L,0.48637888
GLTPD1,0.24318936
DVL1,0.0
MXRA8,0.017370671
AURKAIP1,1.7196963
CCNL2,0.2779307
RP4-758J18.2,0.17370671
MRPL20,1.2680587
RP4-758J18.13,0.0
ANKRD65,0.0
VWA1,0.0
ATAD3C,0.0
ATAD3B,0.069482684
ATAD3A,0.22581871
SSU72,1.2506882
AL645728.1,0.034741342
C1orf233,0.017370671
RP11-345P4.9,0.017370671
MIB2,0.6948269
MMP23B,0.017370671
CDK11B,0.41689613
RP11-345P4.10,0.0
SLC35E2B,0.13896535
CDK11A,0.5906028
SLC35E2,0.017370671
NADK,0.26056004
GNB1,0.6079735
TMEM52,0.0
C1orf222,0.0
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.15633604
RP5-892K4.1,0.034741342
RP11-181G12.2,0.0
C1orf86,0.9206457
AL590822.2,0.0
AL590822.1,0.017370671
RP11-181G12.4,0.0
SKI,0.069482684
MORN1,0.034741342
RER1,1.1117231
PEX10,0.05211201
PLCH2,0.20844804
PANK4,0.086853355
HES5,0.0
RP3-395M20.12,0.05211201
TNFRSF14,0.2779307
FAM213B,0.19107738
MMEL1,0.0
TTC34,0.0
ARHGEF16,0.017370671
RP11-168F9.2,0.0
MEGF6,0.0
TPRG1L,0.069482684
WRAP73,0.29530138
TP73,0.069482684
TP73-AS1,0.034741342
SMIM1,0.034741342
LRRC47,0.2953014
CEP104,0.26056007
DFFB,0.017370671
C1orf174,0.29530138
LINC01134,0.0
AJAP1,0.0
NPHP4,0.0
KCNAB2,0.4168961
RPL22,11.759944
RNF207,0.017370671
ICMT,0.15633604
LINC00337,0.0
GPR153,0.0
ACOT7,0.59060276
RP1-202O8.3,0.0
HES2,0.017370671
ESPN,0.0
TNFRSF25,0.19107738
PLEKHG5,0.0
NOL9,0.10422402
ZBTB48,0.17370671
KLHL21,0.017370671
PHF13,0.05211201
THAP3,0.086853355
DNAJC11,0.10422402
RP11-312B8.1,0.0
CAMTA1,0.6948269
VAMP3,0.24318936
PER3,0.0
PARK7,3.2483158
ERRFI1,0.017370671
RERE,0.15633604
ENO1,7.7299495
ENO1-AS1,0.0
SLC2A5,0.0
GPR157,0.034741342
RP3-510D11.1,0.0
RP3-510D11.2,0.0
H6PD,0.086853355
SPSB1,0.12159468
SLC25A33,0.069482684
TMEM201,0.05211201
PIK3CD,0.48637885
RP11-558F24.4,0.034741342
CLSTN1,0.24318936
CTNNBIP1,0.3821548
LZIC,0.13896535
NMNAT1,0.086853355
RBP7,0.0
UBE4B,0.15633604
KIF1B,0.10422402
PGD,0.24318936
APITD1,0.069482684
APITD1-CORT,0.0
CORT,0.0
DFFA,0.29530138
PEX14,0.19107738
CASZ1,0.017370671
TARDBP,0.6948269
RP4-635E18.8,0.034741342
SRM,1.007499
EXOSC10,0.33004275
RP4-635E18.7,0.0
