GeneID,TSK
RP11-34P13.7,0.005000204
AL627309.1,0.01125046
AP006222.2,0.2662609
RP4-669L17.10,0.002500102
RP11-206L10.3,0.005000204
RP11-206L10.2,0.0062502553
RP11-206L10.9,0.0037501534
FAM87B,0.0
LINC00115,0.033751376
FAM41C,0.04500183
RP11-54O7.1,0.0
SAMD11,0.010000408
NOC2L,0.7662813
KLHL17,0.030001221
PLEKHN1,0.15750642
RP11-54O7.17,0.001250051
HES4,0.098754026
ISG15,2.223841
AGRN,0.5125209
RNF223,0.012500511
C1orf159,0.060002454
RP11-465B22.8,0.022500917
TTLL10,0.0
TNFRSF18,0.14750603
TNFRSF4,0.03750153
SDF4,1.0412924
B3GALT6,0.10500428
FAM132A,0.058752395
RP5-902P8.12,0.0
UBE2J2,0.6600271
SCNN1D,0.0037501534
ACAP3,0.30626252
PUSL1,0.293762
CPSF3L,0.5362719
GLTPD1,0.2562605
DVL1,0.20250826
MXRA8,0.0037501534
AURKAIP1,2.6101067
CCNL2,0.36626494
RP4-758J18.2,0.15000612
MRPL20,1.9150783
RP4-758J18.13,0.0062502553
ANKRD65,0.036251478
VWA1,0.17000693
ATAD3C,0.012500511
ATAD3B,0.31876302
ATAD3A,0.4187671
SSU72,1.3838065
AL645728.1,0.0075003067
C1orf233,0.050002035
RP11-345P4.9,0.043751784
MIB2,1.4125577
MMP23B,0.0062502553
CDK11B,0.21625888
RP11-345P4.10,0.0075003067
SLC35E2B,0.086253524
CDK11A,0.27376118
SLC35E2,0.005000204
NADK,0.20000814
GNB1,1.1137955
TMEM52,0.008750358
C1orf222,0.001250051
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.15875646
RP5-892K4.1,0.008750358
RP11-181G12.2,0.001250051
C1orf86,1.0325421
AL590822.2,0.005000204
AL590822.1,0.0062502553
RP11-181G12.4,0.0
SKI,0.10500428
MORN1,0.013750562
RER1,1.5413129
PEX10,0.1787573
PLCH2,0.10750438
PANK4,0.050002042
HES5,0.001250051
RP3-395M20.12,0.010000408
TNFRSF14,0.075003065
FAM213B,0.10375424
MMEL1,0.001250051
TTC34,0.0
ARHGEF16,0.18625759
RP11-168F9.2,0.005000204
MEGF6,0.013750562
TPRG1L,0.20500836
WRAP73,0.15000612
TP73,0.085003465
TP73-AS1,0.016250663
SMIM1,0.02750112
LRRC47,0.36626494
CEP104,0.21250872
DFFB,0.018750764
C1orf174,0.21875896
LINC01134,0.0
AJAP1,0.07500306
NPHP4,0.013750562
KCNAB2,0.010000408
RPL22,10.127914
RNF207,0.01125046
ICMT,0.29501206
LINC00337,0.005000204
GPR153,0.1150047
ACOT7,0.73503006
RP1-202O8.3,0.005000204
HES2,0.13375546
ESPN,0.0037501534
TNFRSF25,0.20875853
PLEKHG5,0.14500593
NOL9,0.17375709
ZBTB48,0.060002442
KLHL21,0.19500794
PHF13,0.043751784
THAP3,0.09875403
DNAJC11,0.117504805
RP11-312B8.1,0.002500102
CAMTA1,1.1175457
VAMP3,1.0550432
PER3,0.12875526
PARK7,3.8264062
ERRFI1,0.5275216
RERE,0.14125577
ENO1,23.703468
ENO1-AS1,0.008750358
SLC2A5,0.0075003067
GPR157,0.0612525
RP3-510D11.1,0.0
RP3-510D11.2,0.0062502553
H6PD,0.07500306
SPSB1,0.19750805
SLC25A33,0.09500388
TMEM201,0.031251274
PIK3CD,0.1300053
RP11-558F24.4,0.008750358
CLSTN1,1.6138158
CTNNBIP1,1.3038033
LZIC,0.38251564
NMNAT1,0.071252905
RBP7,0.0075003067
UBE4B,0.14000572
KIF1B,0.20250826
PGD,0.2887618
APITD1,0.10375424
APITD1-CORT,0.0
CORT,0.002500102
DFFA,0.48876995
PEX14,0.16375667
CASZ1,0.06750275
TARDBP,0.9125372
RP4-635E18.8,0.023750968
SRM,2.2863433
EXOSC10,0.30251235
RP4-635E18.7,0.001250051
RP4-635E18.6,0.0062502553
MTOR,0.09625393
ANGPTL7,0.0
UBIAD1,0.13375546
FBXO2,0.32376328
FBXO44,0.088753626
FBXO6,0.16125658
MAD2L2,0.43126762
DRAXIN,0.0037501534
AGTRAP,0.6062748
C1orf167,0.010000408
MTHFR,0.073753014
CLCN6,0.043751784
NPPA-AS1,0.001250051
KIAA2013,0.20500836
PLOD1,0.40501654
MFN2,0.31626293
MIIP,0.24876024
TNFRSF1B,0.010000408
VPS13D,0.171257
DHRS3,0.1662568
RP11-474O21.5,0.002500102
HNRNPCL1,0.0037501534
LRRC38,0.002500102
PDPN,1.9188284
PRDM2,0.23125944
KAZN,0.09500387
TMEM51,0.14375585
FHAD1,0.0037501534
EFHD2,0.660027
CASP9,0.027501121
DNAJC16,0.100004084
AGMAT,0.023750968
RP4-680D5.2,0.001250051
DDI2,0.14000571
PLEKHM2,0.1787573
SLC25A34,0.002500102
FBLIM1,1.542563
RP11-169K16.9,0.060002454
SPEN,0.33126354
ZBTB17,0.110004485
FAM131C,0.0075003067
EPHA2,0.20750846
RP11-276H7.2,0.001250051
RP11-276H7.3,0.001250051
ARHGEF19,0.08375342
C1orf134,0.002500102
RSG1,0.0062502553
FBXO42,0.08375342
SZRD1,0.5537726
SPATA21,0.001250051
NECAP2,0.60002446
RP4-798A10.2,0.0037501534
RP4-798A10.7,0.0062502553
NBPF1,0.22375917
CROCCP2,0.073753014
CROCC,0.053752188
RP11-108M9.4,0.04000163
RP11-108M9.6,0.0037501534
MFAP2,0.3600147
ATP13A2,0.27126107
SDHB,1.2050492
PADI2,0.0037501534
RP11-380J14.1,0.0062502553
PADI1,0.0062502553
PADI3,0.027501121
RCC2,0.34001386
ARHGEF10L,0.013750562
IGSF21,0.001250051
ALDH4A1,0.20250826
IFFO2,0.45376858
UBR4,0.24000981
RP1-43E13.2,0.012500511
EMC1,0.33376363
MRTO4,0.75628084
AKR7A3,0.010000408
AKR7A2,0.4062666
PQLC2,0.088753626
CAPZB,3.277634
MINOS1-NBL1,0.002500102
MINOS1,3.9989135
NBL1,1.1725478
TMCO4,0.03750153
RP11-91K11.2,0.0
OTUD3,0.058752403
PLA2G2A,0.0
PLA2G2F,0.005000204
CAMK2N1,0.27251118
MUL1,0.14625596
CDA,0.36751503
PINK1,0.34001386
PINK1-AS,0.01125046
DDOST,1.1525471
KIF17,0.0037501534
SH2D5,0.14000571
HP1BP3,1.0112913
RP5-930J4.4,0.0
EIF4G3,0.24000977
ECE1,0.1325054
NBPF3,0.0062502553
ALPL,0.0
RAP1GAP,0.012500511
USP48,0.28626168
HSPG2,0.25126025
LINC00339,0.030001221
CDC42,4.8589487
WNT4,0.2375097
ZBTB40,0.04500183
C1QB,0.10500428
EPHB2,0.030001221
RP1-74M1.3,0.0
C1orf234,0.002500102
KDM1A,0.3750153
LUZP1,0.7312798
RP5-1057J7.6,0.03625148
HNRNPR,1.8813269
ZNF436,0.052502137
C1orf213,0.021250864
RP5-1057J7.7,0.0
TCEA3,0.02625107
ASAP3,0.012500511
E2F2,0.0062502553
RP1-150O5.3,0.0
ID3,1.1550472
MDS2,0.0
RPL11,25.633545
TCEB3,0.4250174
RP5-886K2.3,0.038751576
PITHD1,0.41501695
LYPLA2,0.7137792
GALE,0.43376774
HMGCL,0.2087585
FUCA1,0.071252905
CNR2,0.0
PNRC2,0.045001835
SRSF10,0.22000897
MYOM3,0.02250092
IL22RA1,0.028751172
IFNLR1,0.022500921
RP11-10N16.2,0.0
GRHL3,0.1150047
STPG1,0.15250622
NIPAL3,0.11500469
RCAN3,0.3525144
RP4-594I10.3,0.025001017
NCMAP,0.001250051
SRRM1,1.46756
CLIC4,0.78378206
RUNX3,0.022500917
RP11-84D1.2,0.0
SYF2,0.9500388
C1orf63,0.4350178
RP3-465N24.6,0.005000204
TMEM50A,2.4113486
RHCE,0.002500102
TMEM57,0.22750928
LDLRAP1,0.18000734
RP11-70P17.1,0.0075003067
MAN1C1,0.0062502553
RP1-187B23.1,0.0
SEPN1,0.14750603
RP1-317E23.3,0.002500102
MTFR1L,0.16375668
AL020996.1,0.0
AUNIP,0.020000815
PAQR7,0.073753014
STMN1,2.325095
PAFAH2,0.02750112
EXTL1,0.0
SLC30A2,0.0
TRIM63,0.0
PDIK1L,0.02750112
FAM110D,0.001250051
ZNF593,1.0737939
RP11-96L14.7,0.002500102
CNKSR1,0.23250952
CEP85,0.045001835
SH3BGRL3,16.555676
UBXN11,0.06500265
CD52,0.09125372
AIM1L,0.071252905
DHDDS,0.12875526
HMGN2,5.415221
RPS6KA1,0.32626334
RP5-968P14.2,0.0
ARID1A,0.2325095
PIGV,0.06250255
ZDHHC18,0.0637526
SFN,58.006123
GPN2,0.22625929
GPATCH3,0.08750357
NUDC,1.7738224
C1orf172,0.21625887
TRNP1,0.010000408
FAM46B,0.20500836
SLC9A1,0.15375626
WDTC1,0.08750357
TMEM222,0.342514
SYTL1,0.39126596
MAP3K6,0.12125495
FCN3,0.002500102
CD164L2,0.030001221
WASF2,1.4038074
RP4-752I6.1,0.0
AHDC1,0.10250418
FGR,0.0075003067
RP11-288L9.1,0.0037501534
IFI6,2.2813432
FAM76A,0.15000612
STX12,0.3112627
PPP1R8,0.3737653
THEMIS2,0.016250663
RPA2,0.3600147
SMPDL3B,0.002500102
XKR8,0.040001627
EYA3,0.1325054
PTAFR,0.13875566
DNAJC8,1.5288125
AL353354.2,0.0037501534
ATPIF1,3.101377
RP5-1092A3.4,0.015000613
SESN2,0.061252493
MED18,0.0662527
PHACTR4,0.17000693
RCC1,0.35876468
TRNAU1AP,0.41376686
SNHG12,0.09000367
TAF12,0.6075248
RAB42,0.005000204
RP11-442N24__B.1,0.001250051
RNU11,0.002500102
GMEB1,0.100004084
YTHDF2,0.86503524
EPB41,0.057502344
TMEM200B,0.03625148
SRSF4,0.90128684
RP11-242O24.5,0.0
MECR,0.16125655
PTPRU,0.0062502553
MATN1-AS1,0.018750764
LAPTM5,0.070002854
RP1-65J11.1,0.0
SDC3,0.07250296
PUM1,0.33751377
NKAIN1,0.001250051
SNRNP40,0.73753005
ZCCHC17,0.5062707
FABP3,0.002500102
SERINC2,2.9926224
TINAGL1,0.15875648
PEF1,0.7312798
RP11-73M7.9,0.0
COL16A1,0.33876386
BAI2,0.008750358
SPOCD1,0.09375382
RP11-84A19.2,0.0
RP11-84A19.4,0.001250051
PTP4A2,1.1362964
KHDRBS1,1.8250744
RP11-277A4.4,0.002500102
TMEM39B,0.14250581
KPNA6,0.31251276
TXLNA,0.17250705
CCDC28B,0.025001017
IQCC,0.01125046
TMEM234,0.13750562
EIF3I,3.0413742
FAM167B,0.0
LCK,0.030001227
HDAC1,1.1312963
MARCKSL1,1.0837942
TSSK3,0.001250051
FAM229A,0.020000814
BSDC1,0.2550104
ZBTB8B,0.0
ZBTB8A,0.04750194
ZBTB8OS,0.67627764
RBBP4,0.63127583
SYNC,0.1300053
RP11-114B7.6,0.002500102
KIAA1522,0.31376278
YARS,0.5537727
S100PBP,0.1125046
HPCA,0.001250051
TMEM54,1.6138158
RNF19B,0.15375626
AK2,1.1025451
ADC,0.013750562
TRIM62,0.016250663
ZNF362,0.055002242
PHC2,0.18500754
ZSCAN20,0.012500511
CSMD2,0.016250663
SMIM12,0.6350259
GJB5,1.1212958
GJB4,0.0562523
GJB3,1.7013196
GJA4,0.015000613
DLGAP3,0.008750358
RP11-244H3.4,0.008750358
ZMYM6,0.10625434
ZMYM1,0.096253924
SFPQ,2.3138447
ZMYM4,0.18000734
KIAA0319L,0.1250051
NCDN,0.0687528
RP4-728D4.2,0.0037501534
TFAP2E,0.013750562
PSMB2,2.7501123
C1orf216,0.0562523
CLSPN,0.10625434
AGO4,0.070002854
AGO1,0.1050043
RP4-789D17.5,0.001250051
AGO3,0.17750722
TEKT2,0.002500102
ADPRHL2,0.38251558
COL8A2,0.012500511
TRAPPC3,1.3663058
MAP7D1,1.887577
THRAP3,1.1250459
SH3D21,0.021250864
EVA1B,0.07500306
RP11-268J15.5,0.045001835
STK40,0.07500306
LSM10,0.5337718
OSCP1,0.045001835
MRPS15,1.3400548
LINC01137,0.07875322
ZC3H12A,0.43126762
MEAF6,0.856285
SNIP1,0.07250296
DNALI1,0.0
GNL2,0.5925242
RSPO1,0.0
C1orf109,0.12375505
CDCA8,0.06250255
MANEAL,0.001250051
YRDC,0.35626453
C1orf122,1.0737939
MTF1,0.11125455
RP11-109P14.10,0.0
INPP5B,0.022500917
SF3A3,0.5150211
FHL3,0.33126354
UTP11L,0.71627927
POU3F1,0.5125209
RP5-884C9.2,0.010000408
RRAGC,0.50002044
RP5-864K19.4,0.0075003067
MYCBP,0.2987622
RHBDL2,0.24501
AKIRIN1,0.40251645
NDUFS5,5.213963
MACF1,1.0825442
KIAA0754,0.025001021
RP11-69E11.4,0.023750968
PABPC4,0.5675232
HEYL,0.0
PPIE,0.53627187
BMP8B,0.001250051
OXCT2,0.0037501534
TRIT1,0.15500633
MYCL,0.10875444
MFSD2A,0.56377304
CAP1,5.14646
PPT1,0.73628
RLF,0.21000862
RP1-39G22.7,0.050002042
ZMPSTE24,0.7975326
COL9A2,0.025001016
SMAP2,0.06500265
ZFP69B,0.023750968
ZFP69,0.017500713
RP11-656D10.3,0.008750358
EXO5,0.035001427
ZNF684,0.027501125
RIMS3,0.0612525
NFYC-AS1,0.005000204
NFYC,0.32126313
KCNQ4,0.0
CITED4,1.22505
CTPS1,0.39001593
SCMH1,0.07375301
FOXO6,0.001250051
RP11-399E6.4,0.0
EDN2,0.03750153
HIVEP3,0.035001427
FOXJ3,0.10875445
ZMYND12,0.001250051
PPCS,0.73628
CCDC30,0.012500511
PPIH,0.49502024
RP5-994D16.3,0.001250051
YBX1,16.19691
CLDN19,0.0
LEPRE1,0.22125903
C1orf50,0.14375587
CCDC23,0.43626788
ERMAP,0.043751784
RP11-342M1.3,0.0037501534
ZNF691,0.04000163
SLC2A1,8.887862
SLC2A1-AS1,0.033751376
FAM183A,0.03625148
EBNA1BP2,1.9250786
WDR65,0.0062502553
TMEM125,0.0
C1orf210,0.03750153
TIE1,0.0
RP1-92O14.3,0.016250663
CDC20,1.2313001
ELOVL1,0.67252743
MED8,0.5025205
SZT2,0.038751576
HYI,0.37001508
HYI-AS1,0.001250051
PTPRF,0.73503006
KDM4A,0.11625475
KDM4A-AS1,0.016250663
ST3GAL3,0.045001835
ARTN,0.07750317
IPO13,0.09375384
DPH2,0.19750805
ATP6V0B,2.3600965
B4GALT2,0.29751217
CCDC24,0.040001627
SLC6A9,0.071252905
DMAP1,0.25876057
ERI3,0.5950243
RNF220,0.171257
TMEM53,0.08000326
C1orf228,0.0037501534
KIF2C,0.08250336
RP11-269F19.2,0.001250051
RPS8,20.943356
BEST4,0.002500102
PLK3,0.2212591
TCTEX1D4,0.0037501534
BTBD19,0.0062502553
PTCH2,0.0037501534
EIF2B3,0.3087626
HECTD3,0.09000368
UROD,0.6762777
ZSWIM5,0.0037501534
HPDL,0.016250663
MUTYH,0.04750194
TOE1,0.046251886
TESK2,0.022500917
CCDC163P,0.0062502553
MMACHC,0.012500511
PRDX1,8.82161
AKR1A1,1.101295
NASP,0.86003506
CCDC17,0.002500102
GPBP1L1,0.4362678
TMEM69,0.4062666
IPP,0.072502956
MAST2,0.045001835
PIK3R3,0.0662527
RP4-533D7.5,0.0
TSPAN1,0.1150047
POMGNT1,0.34626412
LURAP1,0.01125046
RAD54L,0.017500713
LRRC41,0.40126637
UQCRH,4.7651944
NSUN4,0.10250418
FAAH,0.057502344
MKNK1,0.35376444
MOB3C,0.09750398
ATPAF1,0.27751142
EFCAB14,0.39876628
CYP4B1,0.0
CYP4X1,0.002500102
CYP4Z1,0.0
CYP4A22-AS1,0.0
LINC00853,0.005000204
PDZK1IP1,0.4450182
TAL1,0.0
STIL,0.028751176
CMPK1,1.0412925
RP11-511I2.2,0.0
FOXD2-AS1,0.001250051
TRABD2B,0.008750358
SLC5A9,0.0
SPATA6,0.002500102
BEND5,0.0
RP5-850O15.4,0.0037501534
FAF1,0.22125907
CDKN2C,0.032501325
RP11-296A18.3,0.0
RNF11,0.6712775
RP11-296A18.6,0.0
TTC39A,0.015000613
RP11-275F13.1,0.001250051
EPS15,0.23250948
RP11-253A20.1,0.0
OSBPL9,0.18500756
NRD1,0.73628014
RP4-657D16.3,0.001250051
RAB3B,0.025001017
TXNDC12,1.077544
KTI12,0.13125536
BTF3L4,0.883786
ZFYVE9,0.14125577
CC2D1B,0.075003065
RP11-155O18.6,0.002500102
ORC1,0.018750764
PRPF38A,0.42001712
ZCCHC11,0.20500836
GPX7,0.050002035
COA7,0.1125046
ZYG11B,0.09500388
ZYG11A,0.0
ECHDC2,0.18250744
SCP2,2.081335
CPT2,0.085003465
C1orf123,0.3225132
RP5-1024G6.7,0.0
MAGOH,1.5013113
RP5-1024G6.5,0.0075003067
RP5-1024G6.8,0.012500511
LRP8,0.033751376
GLIS1,0.0037501534
NDC1,0.11375464
YIPF1,0.19250785
HSPB11,1.0037909
LRRC42,0.4075166
RP4-758J24.5,0.012500511
TMEM59,3.131378
TCEANC2,0.031251274
AL161915.1,0.001250051
AL357673.1,0.0075003067
CYB5RL,0.016250663
MRPL37,0.93503803
SSBP3,0.22875936
RP5-866L20.1,0.001250051
ACOT11,0.046251886
MROH7,0.001250051
TTC4,0.045001835
PARS2,0.025001021
TTC22,0.0637526
DHCR24,0.35001433
RP11-67L3.4,0.0075003067
TMEM61,0.0062502553
PCSK9,0.1662568
USP24,0.14500593
RP11-504A18.1,0.0
PPAP2B,0.03125127
PRKAA2,0.0
DAB1,0.001250051
OMA1,0.085003465
TACSTD2,3.867658
MYSM1,0.1562564
JUN,4.215172
LINC01135,0.0
RP11-63G10.3,0.001250051
RP4-794H19.1,0.017500713
FGGY,0.06750275
RP4-782L23.1,0.002500102
HOOK1,0.15250622
CYP2J2,0.021250866
RP11-776H12.1,0.0
NFIA,0.31876305
TM2D1,0.52752155
RP11-430G17.3,0.001250051
INADL,0.30501246
L1TD1,0.021250866
KANK4,0.06625271
USP1,0.47126922
DOCK7,0.15000612
RP11-230B22.1,0.0
ATG4C,0.085003465
RP4-792G4.2,0.0
FOXD3,0.0
ALG6,0.15375626
ITGB3BP,0.32876343
EFCAB7,0.035001427
DLEU2L,0.020000815
PGM1,0.47626945
ROR1,0.0037501534
CACHD1,0.020000814
RAVER2,0.012500511
JAK1,0.68127775
RP11-182I10.3,0.0
AK4,0.293762
DNAJC6,0.002500102
LEPR,0.0662527
LEPROT,0.86378527
PDE4B,0.031251274
SGIP1,0.001250051
TCTEX1D1,0.0
WDR78,0.026251068
MIER1,0.41376686
SLC35D1,0.10500428
IL12RB2,0.03250132
SERBP1,5.6614814
RP4-763G1.2,0.0
GADD45A,0.5437722
GNG12,0.7000286
GNG12-AS1,0.001250051
DIRAS3,0.01125046
WLS,0.43876788
DEPDC1,0.13125536
RP4-694A7.4,0.002500102
LRRC7,0.01125046
LRRC40,0.16875689
SRSF11,1.6188161
ANKRD13C,0.17500713
HHLA3,0.0687528
CTH,0.017500715
PTGER3,0.002500102
ZRANB2,0.686278
RP4-660H19.1,0.0075003067
LRRIQ3,0.015000613
FPGT,0.10750438
FPGT-TNNI3K,0.002500102
TNNI3K,0.005000204
RP11-17E13.2,0.001250051
CRYZ,0.17625718
TYW3,0.3300135
SLC44A5,0.060002454
ACADM,0.42251733
RABGGTB,0.51752114
ST6GALNAC3,0.0
PIGK,0.25876057
AK5,0.001250051
ZZZ3,0.18500754
USP33,0.26251072
FAM73A,0.09125372
NEXN-AS1,0.001250051
NEXN,0.02625107
FUBP1,0.7200294
DNAJB4,0.15500633
GIPC2,0.021250866
RP11-386I14.4,0.07250296
PTGFR,0.0
IFI44L,0.11750479
IFI44,0.28251156
ELTD1,0.002500102
LPHN2,0.0062502553
RP11-170N11.1,0.0062502553
RP11-475O6.1,0.01125046
TTLL7,0.056252293
RP11-486G15.2,0.0075003067
PRKACB,0.1350055
SAMD13,0.002500102
RPF1,0.6300258
GNG5,3.1538792
CTBS,0.3012623
SSX2IP,0.23625964
LPAR3,0.14750603
MCOLN2,0.040001627
WDR63,0.008750358
MCOLN3,0.09875403
SYDE2,0.010000408
C1orf52,0.43876794
BCL10,0.6287757
RP11-131L23.1,0.005000204
DDAH1,0.001250051
CYR61,0.2575105
ZNHIT6,0.15125617
COL24A1,0.001250051
ODF2L,0.5612729
CLCA2,7.1077905
CLCA4,0.017500713
RP4-651E10.4,0.0
RP4-612B15.3,0.021250864
SH3GLB1,1.3663058
SEP15,2.0975857
HS2ST1,0.122505
RP4-604K5.2,0.0
LMO4,0.58752406
RP11-76N22.2,0.0
PKN2,0.38876587
GTF2B,0.28501165
CCBL2,0.33376363
RBMXL1,0.18375747
GBP3,0.18750764
GBP1,1.5075616
GBP2,0.28126147
GBP4,0.1125046
GBP5,0.038751584
GBP6,0.14000571
LRRC8B,0.027501121
RP5-1007M22.2,0.010000408
LRRC8C,0.24000983
RP5-943J3.2,0.001250051
LRRC8D,0.1525062
ZNF326,0.52502143
RP4-665J23.1,0.0
ZNF644,0.3525144
HFM1,0.0
CDC7,0.04625189
TGFBR3,0.022500917
EPHX4,0.001250051
BTBD8,0.0062502553
KIAA1107,0.010000408
GLMN,0.16000652
RPAP2,0.26126066
EVI5,0.35251436
RPL5,13.859318
FAM69A,0.08125332
MTF2,0.20500834
TMED5,0.42751747
CCDC18,0.0562523
DR1,0.6175252
FNBP1L,0.1050043
BCAR3,0.21750891
RP4-561L24.3,0.001250051
DNTTIP2,0.58002377
GCLM,0.6800279
ARHGAP29,0.085003465
ABCD3,0.1787573
F3,1.3325543
LINC01057,0.025001021
SLC44A3,0.015000613
CNN3,0.4500184
RP4-639F20.1,0.002500102
ALG14,0.2787614
