GeneID,T_cell
RP11-34P13.7,0.003969285
AL627309.1,0.015877139
AP006222.2,0.14686354
RP4-669L17.10,0.0052923798
RP11-206L10.3,0.0105847595
RP11-206L10.2,0.0264619
RP11-206L10.9,0.017200233
FAM87B,0.0
LINC00115,0.058216177
FAM41C,0.04101595
RP11-54O7.1,0.0
SAMD11,0.0026461899
NOC2L,0.4935144
KLHL17,0.011907854
PLEKHN1,0.044985246
RP11-54O7.17,0.0013230949
HES4,0.30563492
ISG15,3.6094036
AGRN,0.01852333
RNF223,0.0
C1orf159,0.05689308
RP11-465B22.8,0.0013230949
TTLL10,0.0
TNFRSF18,8.318298
TNFRSF4,8.06691
SDF4,1.2053396
B3GALT6,0.120401636
FAM132A,0.0105847595
RP5-902P8.12,0.003969285
UBE2J2,0.64170104
SCNN1D,0.0026461899
ACAP3,0.14024805
PUSL1,0.18258706
CPSF3L,0.5451152
GLTPD1,0.15877138
DVL1,0.019846424
MXRA8,0.006615475
AURKAIP1,1.796763
CCNL2,0.40619016
RP4-758J18.2,0.15215592
MRPL20,1.5440518
RP4-758J18.13,0.006615475
ANKRD65,0.003969285
VWA1,0.006615475
ATAD3C,0.029108087
ATAD3B,0.1336326
ATAD3A,0.24741873
SSU72,1.3297104
AL645728.1,0.023815708
C1orf233,0.011907854
RP11-345P4.9,0.039692853
MIB2,0.33606607
MMP23B,0.03175428
CDK11B,0.362528
RP11-345P4.10,0.007938569
SLC35E2B,0.16803303
CDK11A,0.5464382
SLC35E2,0.019846424
NADK,0.17067923
GNB1,0.7845953
TMEM52,0.0052923798
C1orf222,0.0026461899
GABRD,0.0
RP11-547D24.3,0.0
PRKCZ,0.09526285
RP5-892K4.1,0.021169519
RP11-181G12.2,0.003969285
C1orf86,0.8997045
AL590822.2,0.0013230949
AL590822.1,0.006615475
RP11-181G12.4,0.0
SKI,0.14818664
MORN1,0.0105847595
RER1,1.311187
PEX10,0.11643235
PLCH2,0.0264619
PANK4,0.10320142
HES5,0.0
