GeneID,Tumor_KC_Basal
RP11-34P13.7,0.0015914682
AL627309.1,0.01233388
AP006222.2,0.12851107
RP4-669L17.10,0.0039786706
RP11-206L10.3,0.013129613
RP11-206L10.2,0.013129613
RP11-206L10.9,0.007161607
FAM87B,0.00039786706
LINC00115,0.027850697
FAM41C,0.035012305
RP11-54O7.1,0.001193601
SAMD11,0.0039786706
NOC2L,0.6899014
KLHL17,0.017108284
PLEKHN1,0.10185396
RP11-54O7.17,0.0007957341
HES4,0.056099243
ISG15,1.3937283
AGRN,0.34654218
RNF223,0.0027850694
C1orf159,0.0640566
RP11-465B22.8,0.02307629
TTLL10,0.004774404
TNFRSF18,0.36762914
TNFRSF4,0.017904019
SDF4,0.8211976
B3GALT6,0.12691958
FAM132A,0.19216977
RP5-902P8.12,0.0007957341
UBE2J2,0.53791624
SCNN1D,0.0023872026
ACAP3,0.2773133
PUSL1,0.24906476
CPSF3L,0.5227973
GLTPD1,0.14999588
DVL1,0.07758407
MXRA8,0.0019893353
AURKAIP1,1.9610866
CCNL2,0.35211235
RP4-758J18.2,0.10304756
MRPL20,1.6622885
RP4-758J18.13,0.0035808035
ANKRD65,0.07042248
VWA1,0.26975384
ATAD3C,0.011936013
ATAD3B,0.15516816
ATAD3A,0.33858484
SSU72,1.1947948
AL645728.1,0.01631255
C1orf233,0.08593928
RP11-345P4.9,0.042969637
MIB2,1.2966489
MMP23B,0.005968005
CDK11B,0.20728873
RP11-345P4.10,0.00676374
SLC35E2B,0.111004904
CDK11A,0.28168988
SLC35E2,0.011538145
NADK,0.1591468
GNB1,0.5605946
TMEM52,0.020291222
C1orf222,0.001193601
GABRD,0.0007957341
RP11-547D24.3,0.00039786706
PRKCZ,0.13368334
RP5-892K4.1,0.011936013
RP11-181G12.2,0.0007957341
C1orf86,0.88127553
AL590822.2,0.0015914682
AL590822.1,0.00676374
RP11-181G12.4,0.0007957341
SKI,0.12890895
MORN1,0.0314315
RER1,1.2282157
PEX10,0.16988921
PLCH2,0.08713288
PANK4,0.040980298
HES5,0.001193601
RP3-395M20.12,0.0051722713
TNFRSF14,0.22837566
FAM213B,0.098671034
MMEL1,0.00039786706
TTC34,0.0007957341
ARHGEF16,0.2208162
RP11-168F9.2,0.0007957341
MEGF6,0.0664438
TPRG1L,0.1714807
WRAP73,0.12095158
TP73,0.2701517
TP73-AS1,0.0362059
SMIM1,0.025065627
LRRC47,0.3716078
CEP104,0.17545936
DFFB,0.021484822
C1orf174,0.23872021
LINC01134,0.0027850694
AJAP1,0.007161607
NPHP4,0.027850697
KCNAB2,0.015118949
RPL22,15.515224
RNF207,0.021086957
ICMT,0.29999176
LINC00337,0.00039786706
GPR153,0.060475796
ACOT7,0.20331004
RP1-202O8.3,0.010742411
HES2,0.1229409
ESPN,0.025463494
TNFRSF25,0.08673501
PLEKHG5,0.12612385
NOL9,0.15397452
ZBTB48,0.0652502
KLHL21,0.1905783
PHF13,0.04973337
THAP3,0.07877768
DNAJC11,0.111004904
RP11-312B8.1,0.0019893353
CAMTA1,0.9540851
VAMP3,0.6692124
PER3,0.18898685
PARK7,3.3751063
ERRFI1,0.16193187
RERE,0.15755533
ENO1,15.57371
ENO1-AS1,0.0063658715
SLC2A5,0.05212058
GPR157,0.049335502
RP3-510D11.1,0.0
RP3-510D11.2,0.007559473
H6PD,0.13766202
SPSB1,0.2025143
SLC25A33,0.12572598
TMEM201,0.040582437
PIK3CD,0.017108286
RP11-558F24.4,0.015914684
CLSTN1,1.3276823
CTNNBIP1,1.2178711
LZIC,0.24548395
NMNAT1,0.04734617
RBP7,0.041378167
UBE4B,0.1305004
KIF1B,0.11378997
PGD,0.37399504
APITD1,0.10583262
APITD1-CORT,0.0019893353
CORT,0.00039786706
DFFA,0.44362175
PEX14,0.15994255
CASZ1,0.12413451
TARDBP,0.7217308
RP4-635E18.8,0.025065629
SRM,1.6996882
EXOSC10,0.23036501
RP4-635E18.7,0.0027850694
RP4-635E18.6,0.007161607
MTOR,0.07161607
ANGPTL7,0.0
UBIAD1,0.11418782
FBXO2,0.25344127
FBXO44,0.12294091
FBXO6,0.2208162
MAD2L2,0.37638223
DRAXIN,0.0015914682
AGTRAP,0.7467964
C1orf167,0.03700164
MTHFR,0.12612386
CLCN6,0.026657099
NPPA-AS1,0.0023872026
KIAA2013,0.15357667
PLOD1,0.1663084
MFN2,0.25980717
MIIP,0.16153404
TNFRSF1B,0.011140278
VPS13D,0.17824443
DHRS3,0.3003896
RP11-474O21.5,0.001193601
HNRNPCL1,0.004774404
LRRC38,0.009150943
PDPN,0.63897437
PRDM2,0.2586136
KAZN,0.15954469
TMEM51,0.085541405
FHAD1,0.0035808035
EFHD2,0.39627558
CASP9,0.041378167
DNAJC16,0.07559474
AGMAT,0.0103445435
RP4-680D5.2,0.00039786706
DDI2,0.14044708
PLEKHM2,0.11498356
SLC25A34,0.001193601
FBLIM1,0.47107455
RP11-169K16.9,0.0700246
SPEN,0.2773133
ZBTB17,0.09111154
FAM131C,0.0
EPHA2,0.093896605
RP11-276H7.2,0.0019893353
RP11-276H7.3,0.0035808035
ARHGEF19,0.13487695
C1orf134,0.0031829367
RSG1,0.009150941
FBXO42,0.08275634
SZRD1,0.35052085
SPATA21,0.001193601
NECAP2,0.36882275
RP4-798A10.2,0.0043765376
RP4-798A10.7,0.007559473
NBPF1,0.13129613
CROCCP2,0.100660354
CROCC,0.053712044
RP11-108M9.4,0.05609925
RP11-108M9.6,0.012731748
MFAP2,0.057690714
ATP13A2,0.13487695
SDHB,0.92464304
PADI2,0.0007957341
RP11-380J14.1,0.0023872026
PADI1,0.0043765376
PADI3,0.0067637386
RCC2,0.24588183
ARHGEF10L,0.016710417
IGSF21,0.013527482
ALDH4A1,0.33341265
IFFO2,0.28805575
UBR4,0.22161192
RP1-43E13.2,0.004774404
EMC1,0.18938471
MRTO4,0.7818088
AKR7A3,0.0055701383
AKR7A2,0.50847405
PQLC2,0.042969633
CAPZB,2.092383
MINOS1-NBL1,0.0007957341
MINOS1,3.0019066
NBL1,1.2290114
TMCO4,0.04774404
RP11-91K11.2,0.0
OTUD3,0.053712044
PLA2G2A,0.0007957341
PLA2G2F,0.001193601
CAMK2N1,0.014323216
MUL1,0.13805988
CDA,0.0035808035
PINK1,0.12731746
PINK1-AS,0.009946676
DDOST,0.97795725
KIF17,0.00039786706
SH2D5,0.013129615
HP1BP3,0.9214601
RP5-930J4.4,0.0007957341
EIF4G3,0.21047167
ECE1,0.111004904
NBPF3,0.015914682
ALPL,0.00039786706
RAP1GAP,0.0043765376
USP48,0.29521737
HSPG2,0.19216976
LINC00339,0.03899096
CDC42,2.9008486
WNT4,0.22399914
ZBTB40,0.036603764
C1QB,0.07718621
EPHB2,0.0592822
RP1-74M1.3,0.0015914682
C1orf234,0.00039786706
KDM1A,0.29402375
LUZP1,0.592424
RP5-1057J7.6,0.042173907
HNRNPR,1.7470341
ZNF436,0.062067267
C1orf213,0.019097622
RP5-1057J7.7,0.00039786706
TCEA3,0.21445031
ASAP3,0.018699754
E2F2,0.018301887
RP1-150O5.3,0.00039786706
ID3,0.6393723
MDS2,0.0007957341
RPL11,40.07198
TCEB3,0.36524194
RP5-886K2.3,0.025065627
PITHD1,0.571337
LYPLA2,0.4694831
GALE,0.26497945
HMGCL,0.16193187
FUCA1,0.107821964
CNR2,0.0007957341
PNRC2,0.03938883
SRSF10,0.3525102
MYOM3,0.009946675
IL22RA1,0.025065629
IFNLR1,0.015516818
RP11-10N16.2,0.001193601
GRHL3,0.03700163
STPG1,0.0640566
NIPAL3,0.11936012
RCAN3,0.13487692
RP4-594I10.3,0.01949549
NCMAP,0.0015914682
SRRM1,1.8492861
CLIC4,0.31391713
RUNX3,0.01631255
RP11-84D1.2,0.0
SYF2,1.1932033
C1orf63,0.82915497
RP3-465N24.6,0.009150941
TMEM50A,1.5914682
RHCE,0.001193601
TMEM57,0.14561935
LDLRAP1,0.18739536
RP11-70P17.1,0.007161607
MAN1C1,0.039786704
RP1-187B23.1,0.009946675
SEPN1,0.1424364
RP1-317E23.3,0.0023872026
MTFR1L,0.13447908
AL020996.1,0.0023872026
AUNIP,0.029442165
PAQR7,0.10782197
STMN1,1.4736998
PAFAH2,0.0314315
EXTL1,0.0
SLC30A2,0.00039786706
TRIM63,0.0007957341
PDIK1L,0.044958975
FAM110D,0.005570139
ZNF593,1.0340564
RP11-96L14.7,0.001193601
CNKSR1,0.21524604
CEP85,0.047346167
SH3BGRL3,5.938962
UBXN11,0.07121821
CD52,0.059680052
AIM1L,0.032227237
DHDDS,0.11299423
HMGN2,5.9839206
RPS6KA1,0.28089413
RP5-968P14.2,0.0023872026
ARID1A,0.275324
PIGV,0.09469236
ZDHHC18,0.053314164
SFN,34.80143
GPN2,0.14442572
GPATCH3,0.07837982
NUDC,1.4908079
C1orf172,0.22041832
TRNP1,0.010742411
FAM46B,0.45118123
SLC9A1,0.07002461
WDTC1,0.07280968
TMEM222,0.23116075
SYTL1,0.7893682
MAP3K6,0.20848233
FCN3,0.0031829367
CD164L2,0.08076701
WASF2,1.3933303
RP4-752I6.1,0.00039786706
AHDC1,0.108617686
FGR,0.0063658715
RP11-288L9.1,0.0043765376
IFI6,4.1768084
FAM76A,0.155566
STX12,0.34614435
PPP1R8,0.37041423
THEMIS2,0.007559473
RPA2,0.46789166
SMPDL3B,0.0023872026
XKR8,0.029442165
EYA3,0.1460172
PTAFR,0.09946676
DNAJC8,1.281132
AL353354.2,0.001193601
ATPIF1,2.5141218
RP5-1092A3.4,0.021484822
SESN2,0.04416323
MED18,0.05172271
PHACTR4,0.2279778
RCC1,0.26935595
TRNAU1AP,0.31152987
SNHG12,0.14402786
TAF12,0.45356846
RAB42,0.0015914682
RP11-442N24__B.1,0.0055701383
RNU11,0.004774404
GMEB1,0.09986463
YTHDF2,1.0579286
EPB41,0.07400328
TMEM200B,0.0103445435
SRSF4,0.7539581
RP11-242O24.5,0.0007957341
MECR,0.20450363
PTPRU,0.015516818
MATN1-AS1,0.01233388
LAPTM5,0.05331418
RP1-65J11.1,0.0
SDC3,0.03342084
PUM1,0.33858487
NKAIN1,0.0007957341
SNRNP40,0.6413616
ZCCHC17,0.4133838
FABP3,0.0007957341
SERINC2,0.8379081
TINAGL1,0.16710417
PEF1,0.60316646
RP11-73M7.9,0.00039786706
COL16A1,0.17426576
BAI2,0.00676374
SPOCD1,0.0039786706
RP11-84A19.2,0.0019893353
RP11-84A19.4,0.0015914682
PTP4A2,0.7746472
KHDRBS1,1.6921285
RP11-277A4.4,0.008753074
TMEM39B,0.15795322
KPNA6,0.31192777
TXLNA,0.17307217
CCDC28B,0.044561103
IQCC,0.017506152
TMEM234,0.076788336
EIF3I,2.4882607
FAM167B,0.001193601
LCK,0.0051722713
HDAC1,0.76867914
MARCKSL1,0.4193519
TSSK3,0.00039786706
FAM229A,0.017904019
BSDC1,0.2494626
ZBTB8B,0.0027850694
ZBTB8A,0.06087366
ZBTB8OS,0.4082116
RBBP4,0.8765011
