GeneID,Tumor_KC_Cyc
RP11-34P13.7,0.0004654428
AL627309.1,0.009774298
AP006222.2,0.15452701
RP4-669L17.10,0.006050756
RP11-206L10.3,0.0069816425
RP11-206L10.2,0.017686827
RP11-206L10.9,0.0074470853
FAM87B,0.0013963283
LINC00115,0.025133912
FAM41C,0.027926566
RP11-54O7.1,0.0
SAMD11,0.0032580993
NOC2L,0.84943306
KLHL17,0.021410368
PLEKHN1,0.095881216
RP11-54O7.17,0.002327214
HES4,0.33186072
ISG15,0.6972333
AGRN,0.22573976
RNF223,0.005119871
C1orf159,0.07772895
RP11-465B22.8,0.021410368
TTLL10,0.00837797
TNFRSF18,0.29927975
TNFRSF4,0.022341253
SDF4,0.81173223
B3GALT6,0.11961881
FAM132A,0.1368402
RP5-902P8.12,0.0004654428
UBE2J2,0.66697955
SCNN1D,0.002327214
ACAP3,0.25738987
PUSL1,0.30300328
CPSF3L,0.5925087
GLTPD1,0.1521998
DVL1,0.11961881
MXRA8,0.002327214
AURKAIP1,2.6046178
CCNL2,0.3192938
RP4-758J18.2,0.11775704
MRPL20,2.192701
RP4-758J18.13,0.005119871
ANKRD65,0.067954645
VWA1,0.19222787
ATAD3C,0.004654428
ATAD3B,0.30300328
ATAD3A,0.5836653
SSU72,1.2343543
AL645728.1,0.021410368
C1orf233,0.099604756
RP11-345P4.9,0.04700972
MIB2,1.3888813
MMP23B,0.005119871
CDK11B,0.26018253
RP11-345P4.10,0.01163607
SLC35E2B,0.069816425
CDK11A,0.34722033
SLC35E2,0.0074470853
NADK,0.20619117
GNB1,0.5645821
TMEM52,0.024203023
C1orf222,0.0004654428
GABRD,0.0004654428
RP11-547D24.3,0.0004654428
PRKCZ,0.10844818
RP5-892K4.1,0.0074470853
RP11-181G12.2,0.002327214
C1orf86,0.84152055
AL590822.2,0.0032580993
AL590822.1,0.0032580993
RP11-181G12.4,0.0
SKI,0.11636071
MORN1,0.028857453
RER1,1.5797129
PEX10,0.19920951
PLCH2,0.060042124
PANK4,0.05585314
HES5,0.002327214
RP3-395M20.12,0.006516199
TNFRSF14,0.115895264
FAM213B,0.105190076
MMEL1,0.0004654428
TTC34,0.0004654428
ARHGEF16,0.18803889
RP11-168F9.2,0.002327214
MEGF6,0.045147948
TPRG1L,0.187108
WRAP73,0.16616309
TP73,0.16104323
TP73-AS1,0.027926566
SMIM1,0.00837797
LRRC47,0.47894067
CEP104,0.1838499
DFFB,0.020479484
C1orf174,0.3839903
LINC01134,0.002327214
AJAP1,0.006516199
NPHP4,0.026530238
KCNAB2,0.01163607
RPL22,13.777108
RNF207,0.014894171
ICMT,0.42448384
LINC00337,0.0032580993
GPR153,0.058180355
ACOT7,0.5734256
RP1-202O8.3,0.009774298
HES2,0.3281372
ESPN,0.038166307
TNFRSF25,0.07865983
PLEKHG5,0.08471059
NOL9,0.20386395
ZBTB48,0.070281856
KLHL21,0.20898382
PHF13,0.06516199
THAP3,0.10146653
DNAJC11,0.17221384
RP11-312B8.1,0.0074470853
CAMTA1,1.0197852
VAMP3,0.7205054
PER3,0.1456836
PARK7,3.8236127
ERRFI1,0.11263716
RERE,0.14847626
ENO1,21.102713
ENO1-AS1,0.013963285
SLC2A5,0.027461126
GPR157,0.061438456
RP3-510D11.1,0.0
RP3-510D11.2,0.006050756
H6PD,0.07819439
SPSB1,0.1750065
SLC25A33,0.15173437
TMEM201,0.06236934
PIK3CD,0.022341253
RP11-558F24.4,0.013963285
CLSTN1,0.7246944
CTNNBIP1,1.0937905
LZIC,0.34908214
NMNAT1,0.0684201
RBP7,0.09541577
UBE4B,0.12241147
KIF1B,0.13870196
PGD,0.6148499
APITD1,0.29509076
APITD1-CORT,0.0027926567
CORT,0.0018617712
DFFA,0.5073327
PEX14,0.16150865
CASZ1,0.1270659
TARDBP,0.92669654
RP4-635E18.8,0.026530238
SRM,2.3905144
EXOSC10,0.3462895
RP4-635E18.7,0.0004654428
RP4-635E18.6,0.01163607
MTOR,0.095881216
ANGPTL7,0.0
UBIAD1,0.13823652
FBXO2,0.21038015
FBXO44,0.08750324
FBXO6,0.20293306
MAD2L2,0.54782623
