GeneID,Tumor_KC_Diff
RP11-34P13.7,0.0020119657
AL627309.1,0.0071333344
AP006222.2,0.08121025
RP4-669L17.10,0.0031094018
RP11-206L10.3,0.008596582
RP11-206L10.2,0.010791453
RP11-206L10.9,0.009328207
FAM87B,0.0009145299
LINC00115,0.031459823
FAM41C,0.0148153845
RP11-54O7.1,0.0010974358
SAMD11,0.0032923077
NOC2L,0.85746324
KLHL17,0.020119656
PLEKHN1,0.21217091
RP11-54O7.17,0.0029264954
HES4,0.2118051
ISG15,0.86349916
AGRN,0.12565641
RNF223,0.008962394
C1orf159,0.051762387
RP11-465B22.8,0.017010255
TTLL10,0.0029264954
TNFRSF18,0.28478462
TNFRSF4,0.022131624
SDF4,0.6729111
B3GALT6,0.093282044
FAM132A,0.043897435
RP5-902P8.12,0.000548718
UBE2J2,0.51286834
SCNN1D,0.0032923077
ACAP3,0.2566171
PUSL1,0.23722905
CPSF3L,0.47317776
GLTPD1,0.13169229
DVL1,0.11577948
MXRA8,0.0014632477
AURKAIP1,2.3739367
CCNL2,0.32612136
RP4-758J18.2,0.10425641
MRPL20,2.1935914
RP4-758J18.13,0.006218804
ANKRD65,0.06291966
VWA1,0.24381368
ATAD3C,0.008596582
ATAD3B,0.20046495
ATAD3A,0.40257603
SSU72,1.194559
AL645728.1,0.014266666
C1orf233,0.091818795
RP11-345P4.9,0.07188205
MIB2,1.5108035
MMP23B,0.0040239324
CDK11B,0.18308887
RP11-345P4.10,0.009328205
SLC35E2B,0.07444273
CDK11A,0.23759487
SLC35E2,0.0069504282
NADK,0.18601537
GNB1,0.47592136
TMEM52,0.013352136
C1orf222,0.0020119657
GABRD,0.0
RP11-547D24.3,0.000548718
PRKCZ,0.13663076
RP5-892K4.1,0.0060358983
RP11-181G12.2,0.0009145299
C1orf86,0.7596085
AL590822.2,0.00457265
AL590822.1,0.0009145299
RP11-181G12.4,0.00036581198
SKI,0.10279316
MORN1,0.03164273
RER1,1.3090582
PEX10,0.18290599
PLCH2,0.05779829
PANK4,0.050664954
HES5,0.004755556
RP3-395M20.12,0.01865641
TNFRSF14,0.12547351
FAM213B,0.097123064
MMEL1,0.0012803418
TTC34,0.0016461539
ARHGEF16,0.10663418
RP11-168F9.2,0.00036581198
MEGF6,0.02176581
TPRG1L,0.17851624
WRAP73,0.11962051
TP73,0.07188205
TP73-AS1,0.02304615
SMIM1,0.011705983
LRRC47,0.3923333
CEP104,0.16022563
DFFB,0.011705983
C1orf174,0.20704956
LINC01134,0.0031094018
AJAP1,0.0036581198
NPHP4,0.023960682
KCNAB2,0.008047864
RPL22,14.072238
RNF207,0.01627863
ICMT,0.29228374
LINC00337,0.00073162396
GPR153,0.11815726
ACOT7,0.47098288
RP1-202O8.3,0.01188889
HES2,0.57908034
ESPN,0.08450256
TNFRSF25,0.10242734
PLEKHG5,0.123461545
NOL9,0.15254359
ZBTB48,0.055603415
KLHL21,0.19150256
PHF13,0.034752134
THAP3,0.080112815
DNAJC11,0.1499829
RP11-312B8.1,0.00457265
CAMTA1,0.76162046
VAMP3,0.573959
PER3,0.09273332
PARK7,2.9365556
ERRFI1,0.10699999
RERE,0.1320581
ENO1,18.05026
ENO1-AS1,0.00823077
SLC2A5,0.00548718
GPR157,0.11065811
RP3-510D11.1,0.00018290599
RP3-510D11.2,0.010974359
H6PD,0.085417084
SPSB1,0.14614187
SLC25A33,0.123095736
TMEM201,0.03310598
PIK3CD,0.022314528
RP11-558F24.4,0.007316241
CLSTN1,0.37587178
CTNNBIP1,1.6392034
LZIC,0.307465
NMNAT1,0.06090769
RBP7,0.061822224
UBE4B,0.12693675
KIF1B,0.16388375
PGD,0.48433504
APITD1,0.050299145
APITD1-CORT,0.0012803418
CORT,0.0010974358
DFFA,0.47098288
PEX14,0.1412034
CASZ1,0.15894528
TARDBP,0.6535231
RP4-635E18.8,0.022497434
SRM,2.227612
EXOSC10,0.22643758
RP4-635E18.7,0.0012803418
RP4-635E18.6,0.0137179475
MTOR,0.08559999
ANGPTL7,0.0
UBIAD1,0.09913504
FBXO2,0.20869572
FBXO44,0.10334187
FBXO6,0.27289572
MAD2L2,0.29429573
DRAXIN,0.0010974358
AGTRAP,0.73400176
C1orf167,0.06054188
MTHFR,0.14431281
CLCN6,0.02908205
NPPA-AS1,0.004755556
KIAA2013,0.15803075
PLOD1,0.12053504
MFN2,0.23210768
MIIP,0.19259998
TNFRSF1B,0.012986325
VPS13D,0.16406666
DHRS3,0.1441299
RP11-474O21.5,0.000548718
HNRNPCL1,0.0029264954
LRRC38,0.00018290599
PDPN,0.09273332
PRDM2,0.19735555
KAZN,0.18235724
TMEM51,0.101146996
FHAD1,0.0012803418
EFHD2,0.41153845
CASP9,0.022131624
DNAJC16,0.08523419
AGMAT,0.009328206
RP4-680D5.2,0.00073162396
DDI2,0.16937092
PLEKHM2,0.15364102
SLC25A34,0.0032923077
FBLIM1,0.42068374
RP11-169K16.9,0.062188037
SPEN,0.24509402
ZBTB17,0.07828375
FAM131C,0.0031094018
EPHA2,0.14723931
RP11-276H7.2,0.0040239324
RP11-276H7.3,0.0032923077
ARHGEF19,0.111572646
C1orf134,0.0027435895
RSG1,0.013535043
FBXO42,0.09291623
SZRD1,0.36782393
SPATA21,0.000548718
NECAP2,0.30527008
RP4-798A10.2,0.0040239324
RP4-798A10.7,0.0071333344
NBPF1,0.05907863
CROCCP2,0.07572307
CROCC,0.02359487
RP11-108M9.4,0.045909397
RP11-108M9.6,0.0096940175
MFAP2,0.06346838
ATP13A2,0.16333503
SDHB,0.9759863
PADI2,0.0027435895
RP11-380J14.1,0.0021948717
PADI1,0.005852992
PADI3,0.0025606835
RCC2,0.24472822
ARHGEF10L,0.04627521
IGSF21,0.00036581198
ALDH4A1,0.27893165
IFFO2,0.21930426
UBR4,0.27435902
RP1-43E13.2,0.0020119657
EMC1,0.17357777
MRTO4,0.7843009
AKR7A3,0.014266666
AKR7A2,0.48177436
PQLC2,0.061822217
CAPZB,2.1657898
MINOS1-NBL1,0.0014632477
MINOS1,3.4344258
NBL1,0.90008044
TMCO4,0.025606837
RP11-91K11.2,0.00018290599
OTUD3,0.04042222
PLA2G2A,0.026155557
PLA2G2F,0.0085965805
CAMK2N1,0.007864958
MUL1,0.11321879
CDA,0.043531626
PINK1,0.17796752
PINK1-AS,0.0064017097
DDOST,0.72211283
KIF17,0.0018290598
SH2D5,0.015729912
HP1BP3,0.6315744
RP5-930J4.4,0.0009145299
EIF4G3,0.19150256
ECE1,0.06529743
NBPF3,0.006218804
ALPL,0.00018290599
RAP1GAP,0.0040239324
USP48,0.2774684
HSPG2,0.052859828
LINC00339,0.02304615
CDC42,2.8310187
WNT4,0.04225128
ZBTB40,0.036398288
C1QB,0.12126666
EPHB2,0.032008544
RP1-74M1.3,0.000548718
C1orf234,0.00073162396
KDM1A,0.29264957
LUZP1,0.34368032
RP5-1057J7.6,0.027618801
HNRNPR,1.4819044
ZNF436,0.061456397
C1orf213,0.018839316
RP5-1057J7.7,0.0031094016
TCEA3,0.377335
ASAP3,0.04389743
E2F2,0.039690595
RP1-150O5.3,0.00036581198
ID3,0.7890565
MDS2,0.0
RPL11,38.723392
TCEB3,0.41958633
RP5-886K2.3,0.025606837
PITHD1,0.6626683
LYPLA2,0.501711
GALE,0.25734872
HMGCL,0.14010598
FUCA1,0.06346837
CNR2,0.00073162396
PNRC2,0.03914188
SRSF10,0.23668033
MYOM3,0.030179488
IL22RA1,0.031459823
IFNLR1,0.022314528
RP11-10N16.2,0.000548718
GRHL3,0.16900513
STPG1,0.076637596
NIPAL3,0.114499144
RCAN3,0.17504102
RP4-594I10.3,0.012620512
NCMAP,0.00073162396
SRRM1,1.5124496
CLIC4,0.23631452
RUNX3,0.014266666
RP11-84D1.2,0.0
SYF2,0.82033336
C1orf63,0.71790594
RP3-465N24.6,0.005852992
TMEM50A,1.3449078
RHCE,0.006218804
TMEM57,0.12730254
LDLRAP1,0.14742221
RP11-70P17.1,0.005852993
MAN1C1,0.03255726
RP1-187B23.1,0.008413676
SEPN1,0.12163249
RP1-317E23.3,0.0012803418
MTFR1L,0.13077776
AL020996.1,0.0025606835
AUNIP,0.017376067
PAQR7,0.08212478
STMN1,0.713882
PAFAH2,0.047921363
EXTL1,0.000548718
SLC30A2,0.00018290599
TRIM63,0.00073162396
PDIK1L,0.04572649
FAM110D,0.0020119657
ZNF593,1.0535386
RP11-96L14.7,0.0018290598
CNKSR1,0.16681024
CEP85,0.038044438
SH3BGRL3,6.786178
UBXN11,0.04572649
CD52,0.07755213
AIM1L,0.12474188
DHDDS,0.13022906
HMGN2,3.5642893
RPS6KA1,0.097123064
RP5-968P14.2,0.0016461536
ARID1A,0.2326564
PIGV,0.075540155
ZDHHC18,0.08230769
SFN,53.412754
GPN2,0.14284956
GPATCH3,0.07499144
NUDC,1.4491642
C1orf172,0.16498117
TRNP1,0.012071796
FAM46B,0.9461727
SLC9A1,0.07188205
WDTC1,0.09108717
TMEM222,0.21948716
SYTL1,0.7180889
MAP3K6,0.2474718
FCN3,0.0016461539
CD164L2,0.11669402
WASF2,0.98275393
RP4-752I6.1,0.00036581198
AHDC1,0.076637596
FGR,0.008962395
RP11-288L9.1,0.0018290598
IFI6,3.2502398
FAM76A,0.12675384
STX12,0.272347
PPP1R8,0.2650308
THEMIS2,0.01408376
RPA2,0.2897231
SMPDL3B,0.009328205
XKR8,0.027984614
EYA3,0.12931453
PTAFR,0.053591453
DNAJC8,1.1310906
AL353354.2,0.0021948717
ATPIF1,2.990147
RP5-1092A3.4,0.013352137
SESN2,0.044629056
MED18,0.038776062
PHACTR4,0.18144272
RCC1,0.2652137
TRNAU1AP,0.24966668
SNHG12,0.18729572
TAF12,0.4076974
RAB42,0.0009145299
RP11-442N24__B.1,0.0031094013
RNU11,0.003475214
GMEB1,0.08450256
YTHDF2,0.80826163
EPB41,0.09437948
TMEM200B,0.0032923077
SRSF4,0.5730445
RP11-242O24.5,0.000548718
MECR,0.20448887
PTPRU,0.0036581198
MATN1-AS1,0.012071794
LAPTM5,0.07005299
RP1-65J11.1,0.00018290599
SDC3,0.01865641
PUM1,0.27618805
NKAIN1,0.007133334
SNRNP40,0.5671915
ZCCHC17,0.41611108
FABP3,0.00073162396
SERINC2,0.46714187
TINAGL1,0.023777775
PEF1,0.59517604
RP11-73M7.9,0.000548718
COL16A1,0.0645658
BAI2,0.0012803418
SPOCD1,0.0029264954
RP11-84A19.2,0.000548718
RP11-84A19.4,0.00073162396
PTP4A2,0.7795453
KHDRBS1,1.2640634
RP11-277A4.4,0.006218804
TMEM39B,0.111389734
KPNA6,0.2824068
TXLNA,0.1498
CCDC28B,0.055969227
IQCC,0.012620512
TMEM234,0.0733453
EIF3I,2.741029
FAM167B,0.00018290599
LCK,0.008962395
HDAC1,0.61072314
MARCKSL1,0.354106
TSSK3,0.00073162396
FAM229A,0.011340171
BSDC1,0.19753845
ZBTB8B,0.0016461539
ZBTB8A,0.037678633
ZBTB8OS,0.47390938
RBBP4,0.5106735
SYNC,0.10187862
RP11-114B7.6,0.0027435895
KIAA1522,0.30161196
YARS,0.5229282
S100PBP,0.057249572
HPCA,0.00073162396
TMEM54,1.7227916
RNF19B,0.109926485
AK2,1.3716121
ADC,0.009876924
TRIM62,0.025241025
ZNF362,0.050116237
PHC2,0.080112815
ZSCAN20,0.0040239324
CSMD2,0.0009145299
SMIM12,0.5172581
GJB5,0.558412
GJB4,0.006950428
GJB3,0.6813247
GJA4,0.0029264959
DLGAP3,0.0054871803
RP11-244H3.4,0.004938462
ZMYM6,0.06548034
ZMYM1,0.051030766
SFPQ,1.9152087
ZMYM4,0.13224103
KIAA0319L,0.17558974
NCDN,0.08523419
RP4-728D4.2,0.0042068386
TFAP2E,0.019388031
PSMB2,1.7447401
C1orf216,0.03767863
CLSPN,0.03383761
AGO4,0.047372647
AGO1,0.08596581
RP4-789D17.5,0.000548718
AGO3,0.12839998
