GeneID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1BG,0.2626827,0.2439966,0.404058,0.24155216,0.4145824,0.41748345,0.23615102,0.326581,0.4061948,0.2634894,0.32973135,0.37152392,0.25195333,0.45049208,0.4235027,0.26191396,0.39326698,0.35929865,0.41035783,0.20775893,0.2747248,0.35098237,0.48591396,0.36256474,0.43296984,0.495668,0.47969988,0.28364745,0.353081,0.28115627,0.24134749,0.46204197,0.39750162,0.31822464,0.2194193,0.39077738,0.2597087,0.31258956,0.2898938,0.42021972,0.47118524,0.25446337,0.336798,0.33367658,0.36404675,0.30500877,0.3165345,0.35198292,0.35397318,0.38971162,0.291624,0.45428368,0.38059777,0.40286404,0.40257925,0.46927628,0.33549985,0.4947621,0.4188917,0.458009,0.49661964,0.34973136,0.40201855,0.45786583,0.3813118,0.31091112,0.35886887,0.34887832,0.46873114,0.33395728,0.322798,0.33088863,0.2995264,0.34159064,0.3291794,0.230823,0.48238263,0.36085406,0.40229565,0.28838962,0.30981246,0.29718712,0.36146173,0.46326363,0.40020394,0.41474083,0.20135117,0.26403317,0.35662615,0.31478423,0.16138166,0.2654489,0.4030184,0.5100934,0.26106408,0.27997482,0.28481144,0.3249541,0.37404087,0.3776282
A1BG-AS1,0.016947271,0.03485666,0.047536235,0.04473188,0.060670592,0.03795304,0.030802308,0.0326581,0.033849567,0.050671037,0.009159204,0.04422904,0.018663209,0.038177297,0.03630023,0.03416269,0.015422233,0.0143719455,0.03077684,0.025969867,0.024240425,0.02807859,0.033511307,0.022660296,0.027060615,0.014578471,0.039974995,0.009149918,0.04926711,0.020826392,0.0,0.042781662,0.03456536,0.04546066,0.03464515,0.027912669,0.027825931,0.09377686,0.008052606,0.030747786,0.008890287,0.04104248,0.043457806,0.02327976,0.019678203,0.008714536,0.01665971,0.0074889986,0.040224228,0.032475967,0.03152692,0.036635783,0.057917055,0.054441083,0.042827576,0.021330738,0.04533782,0.023191974,0.04833366,0.040176228,0.03820151,0.032787316,0.031738307,0.06410121,0.008867716,0.041454814,0.043499254,0.067524835,0.041116763,0.017126014,0.0161399,0.017885871,0.092161976,0.07713337,0.037620503,0.027698759,0.028375449,0.024886487,0.016091825,0.04506088,0.114745356,0.049531188,0.057072904,0.06358521,0.056028552,0.027649388,0.028764453,0.01600201,0.028915636,0.05427314,0.015369683,0.008562868,0.011853482,0.06090667,0.014917947,0.009332493,0.00694662,0.06841139,0.06800743,0.018420888
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,3.042035,5.1064997,3.4543,14.68995,8.7669,1.3093799,8.675983,3.9597948,4.2735076,11.978633,8.554696,4.59982,9.088984,0.94679683,14.725795,21.96661,1.9432015,4.1463065,9.356158,4.5966663,5.340974,0.30886447,1.4996309,15.442992,0.121772766,1.5671856,3.1180494,3.9161649,0.82111853,11.808564,1.3235185,5.116687,5.625512,10.755992,13.188255,3.65656,3.1999822,20.057829,7.174872,18.253935,2.5515125,8.101786,12.265966,1.3269464,12.672762,3.9825432,0.8829647,3.4748955,5.9531856,10.262405,2.2305295,0.6008268,5.204261,11.508845,6.569751,10.420067,6.6465244,7.1199355,0.28194633,8.404867,4.6223826,9.005583,16.84246,12.078501,0.2128252,12.270625,12.734406,19.908571,0.32071075,0.67647755,1.9609979,6.895004,16.784998,20.936201,11.417823,12.289017,7.907292,18.341341,2.687335,3.1452491,25.083334,14.48292,6.2399707,4.5872188,1.4247261,5.5575266,17.68055,1.1521447,2.987949,12.059492,0.26128462,2.1235912,13.702624,0.07613334,0.30581793,6.3927584,2.0423062,12.108815,6.180176,7.515722
A2M-AS1,0.0,0.008714165,0.007922706,0.0,0.020223532,0.00948826,0.0,0.0,0.0,0.030402623,0.009159204,0.0,0.0,0.007635459,0.012100078,0.022775127,0.015422233,0.0143719455,0.0,0.008656622,0.0,0.0,0.0,0.011330148,0.0067651537,0.0,0.007994998,0.009149918,0.008211185,0.010413196,0.007785403,0.0,0.00864134,0.0,0.0,0.0,0.0,0.010419651,0.024157818,0.0,0.0,0.032833986,0.0,0.0,0.009839102,0.008714536,0.008329855,0.0074889986,0.0,0.0,0.0,0.0,0.0,0.032664653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02185821,0.010579436,0.0,0.017735433,0.0,0.0,0.011254138,0.008223353,0.0,0.0,0.0,0.011520247,0.022038108,0.009405126,0.0,0.018916966,0.0124432435,0.0,0.009012176,0.011474535,0.009906238,0.009512151,0.009083601,0.0,0.009216462,0.0191763,0.0,0.009638545,0.010854628,0.0,0.0,0.0,0.0,0.0074589737,0.009332493,0.00694662,0.017102847,0.008500929,0.0
A2ML1,0.008473636,0.0,0.015845412,0.0,0.010111766,0.0,0.0,0.0,0.008462392,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015422233,0.0,0.0,0.0,0.008080142,0.0070196474,0.0,0.0,0.0067651537,0.0,0.015989996,0.0,0.0,0.0,0.0,0.0,0.00864134,0.027276397,0.011548384,0.013956334,0.0,0.0,0.0,0.0,0.0,0.0082084965,0.0,0.0077599203,0.0,0.0,0.008329855,0.0074889986,0.008044845,0.0,0.0,0.0,0.008273865,0.0,0.0,0.0,0.0,0.0,0.00805561,0.024105737,0.009550378,0.0,0.010579436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00923292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008004079,0.0,0.0,0.0,0.0,0.0,0.0076848413,0.0,0.0,0.0,0.0074589737,0.0,0.0,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.11863089,0.15685494,0.06338165,0.21471304,0.19212353,0.028464781,0.2258836,0.089809775,0.11001109,0.22295257,0.24729848,0.14153293,0.23329012,0.09926096,0.35090223,0.2846891,0.100244515,0.057487782,0.14362524,0.10387947,0.10504185,0.15443224,0.008377827,0.23793311,0.08118184,0.10933854,0.11992497,0.09149918,0.04926711,0.19785072,0.07785403,0.14545766,0.19875081,0.18184264,0.24251607,0.111650676,0.083477795,0.39594677,0.18520994,0.24598229,0.06223201,0.13133594,0.21728903,0.031039681,0.27549484,0.104574434,0.06663884,0.18722495,0.088493295,0.113665886,0.047290377,0.1172345,0.12410797,0.16332325,0.17987584,0.17064591,0.11787833,0.23965038,0.03222244,0.18481065,0.0859534,0.2295112,0.32796252,0.2930341,0.062074017,0.16581926,0.20662147,0.405149,0.049340114,0.06850406,0.121049255,0.080486424,0.20736443,0.3085335,0.22572301,0.21235715,0.23646207,0.3732973,0.05632139,0.15320699,0.2983379,0.20803098,0.13317011,0.15442121,0.088044874,0.13824694,0.3068208,0.03200402,0.048192725,0.26051107,0.06147873,0.059940077,0.24892312,0.08374667,0.12680255,0.18664987,0.02778648,0.17102847,0.22102417,0.12894621
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0093316045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077306577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011474535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
