GeneID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1BG,0.3251152,0.5271165,0.3346051,0.32700163,0.35668537,0.24434654,0.40412718,0.30264673,0.290206,0.2816934,0.31648934,0.28411892,0.31534287,0.37730914,0.34410873,0.40623876,0.38683626,0.3372421,0.32511422,0.36058062,0.45536458,0.43580806,0.40573964,0.4310997,0.41879782,0.29438242,0.39359635,0.411098,0.31183633,0.3154206,0.38133046,0.2724694,0.4443071,0.32658547,0.3284252,0.33398533,0.3899148,0.3173642,0.29125574,0.3414365,0.35949808,0.26725847,0.2519735,0.3414435,0.3953347,0.2950175,0.43437657,0.4367122,0.3518884,0.27096677,0.3551506,0.38635433,0.26861155,0.21811949,0.5007648,0.23124199,0.30948555,0.33239216,0.35706392,0.24576929,0.2825905,0.54436195,0.31467813,0.3891097,0.31637618,0.42790067,0.30302146,0.4180105,0.465622,0.27738187,0.34794742,0.3668228,0.34131408,0.46097472,0.3105633,0.386654,0.29982036,0.36432892,0.23917997,0.3269886,0.30013096,0.4252483,0.26701924,0.42836127,0.37965223,0.44250616,0.40111724,0.3296342,0.32987294,0.24299118,0.4119781,0.32209954,0.22886285,0.46116504,0.47510454,0.30340818,0.3647685,0.42999393,0.44029093,0.39307836
A1BG-AS1,0.037804097,0.052711643,0.025738854,0.027250135,0.03963171,0.009049872,0.023772186,0.017802749,0.016583197,0.0331404,0.008115112,0.025069317,0.03845645,0.017549263,0.032010116,0.026493832,0.047175154,0.04437396,0.017111273,0.050313577,0.038754433,0.0,0.008280401,0.030076725,0.015511031,0.018992415,0.04723156,0.0411098,0.03225893,0.034099523,0.051531147,0.0389242,0.028976548,0.05598608,0.016842319,0.034254905,0.027203359,0.027202643,0.01713269,0.04655952,0.026304739,0.030837515,0.04064089,0.033042923,0.03593952,0.008676985,0.010342298,0.0077984324,0.018045558,0.048386924,0.04035802,0.0,0.04974288,0.0,0.10925777,0.04282259,0.019342847,0.008983572,0.05100913,0.032056864,0.010092518,0.052680194,0.055531442,0.019954346,0.027915547,0.02292325,0.022446034,0.03715649,0.04311315,0.040791452,0.05353037,0.07677687,0.0179639,0.05644588,0.017253516,0.03222117,0.008328343,0.02732467,0.0,0.017209927,0.023694549,0.027733583,0.0,0.008567226,0.05994509,0.01966694,0.0245582,0.040199295,0.026746454,0.016758012,0.0,0.029281778,0.028607856,0.035474233,0.04399116,0.030340819,0.04929304,0.026326159,0.020478647,0.019174553
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,5.26233,5.450384,7.4385295,9.35588,6.9038444,4.325839,6.5531993,7.174508,3.5488043,3.2063339,2.8889794,6.7937846,6.6914225,6.624847,5.161631,5.8904624,6.1327696,4.304274,6.716175,4.830104,6.200709,10.180477,6.7982087,11.920408,3.9320462,6.039588,4.282328,10.184953,9.075513,4.850657,8.038858,2.724694,3.1004908,6.8676257,2.1052897,9.103241,4.7515197,5.839501,3.9148197,4.6249127,3.99832,10.094147,5.8685446,6.057869,5.0764565,6.7593718,6.3501716,5.833227,7.7776356,5.951592,4.697674,5.3999753,8.545826,2.2668848,8.558526,4.367904,5.464354,5.8303385,4.8118615,7.811189,11.4550085,11.308681,5.636441,5.6470795,6.5229325,4.5311623,10.673089,6.483807,6.16518,6.591899,6.298741,4.854005,6.1885633,9.793361,7.358625,4.84123,4.805454,3.4520164,9.107973,6.333253,4.454575,8.22763,4.490778,5.166037,9.611196,7.561939,6.254154,3.1033854,5.6880794,5.404459,3.2958248,8.481955,6.7228465,8.070388,5.4109125,2.9430594,6.141913,4.405244,6.297184,6.5097613
A2M-AS1,0.015121639,0.0,0.0,0.009083378,0.0,0.0,0.0,0.017802749,0.0,0.0082851,0.0,0.0,0.01538258,0.0,0.0,0.0,0.009435031,0.008874792,0.0,0.008385596,0.0,0.008716161,0.0,0.0,0.0,0.009496207,0.0,0.0205549,0.0,0.0,0.010306229,0.0,0.0193177,0.0,0.0,0.008563726,0.0,0.0090675475,0.0,0.015519841,0.0,0.020558344,0.0,0.0,0.00898488,0.008676985,0.0,0.015596865,0.018045558,0.0,0.016143208,0.0,0.0,0.0,0.0,0.008564519,0.0,0.0,0.0,0.0,0.010092518,0.017560065,0.009255241,0.009977173,0.0,0.0,0.011223017,0.0,0.0,0.0,0.0089217285,0.0,0.0,0.009407647,0.008626758,0.008055292,0.008328343,0.0,0.009567198,0.0,0.0,0.018489057,0.0,0.0,0.0,0.0,0.0081860665,0.008039858,0.008915485,0.008379006,0.007922656,0.029281778,0.009535952,0.008868558,0.0,0.0,0.0,0.017550772,0.010239324,0.0
A2ML1,0.0075608194,0.0,0.0,0.0,0.015852684,0.0,0.0,0.0,0.008291598,0.0,0.05680578,0.0,0.00769129,0.0,0.008002529,0.0088312775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077555156,0.0,0.007871927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0077599203,0.0,0.0,0.008128178,0.0,0.0,0.008676985,0.010342298,0.0,0.0,0.009677385,0.0,0.0,0.019897152,0.0,0.0,0.0,0.009671424,0.008983572,0.0,0.0,0.0,0.0,0.0,0.0,0.018610364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00898195,0.009407647,0.0,0.016110584,0.0,0.009108223,0.0,0.0,0.007898183,0.0,0.0,0.017134452,0.0,0.0,0.0,0.0,0.0,0.008379006,0.023767969,0.009760592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.11341229,0.23193124,0.180172,0.14533405,0.11096878,0.09049872,0.11093687,0.16912612,0.17412359,0.0745659,0.12172667,0.13370302,0.1538258,0.12284484,0.1680531,0.18545683,0.103785336,0.16862105,0.17966838,0.13416953,0.13564052,0.20918788,0.14076681,0.21053708,0.13959926,0.07596966,0.078719266,0.205549,0.1397887,0.16197273,0.18551213,0.10120291,0.06761195,0.15862723,0.10947507,0.119892165,0.18135571,0.09974303,0.1541942,0.09311904,0.087682456,0.17474593,0.0731536,0.121157385,0.06289416,0.10412383,0.1344499,0.16376707,0.21654668,0.17419294,0.08878765,0.15274474,0.19897152,0.15579964,0.13657221,0.10277422,0.07737139,0.10780286,0.21253805,0.22439805,0.13120273,0.122920446,0.14808385,0.13968042,0.16749327,0.14518057,0.112230174,0.18578245,0.12933946,0.15500751,0.29441705,0.0938384,0.09880145,0.20696825,0.27605626,0.11277408,0.14991018,0.20948914,0.16264239,0.11186452,0.17376001,0.16640149,0.09709791,0.16277729,0.18982612,0.14750205,0.18827952,0.07235873,0.22288711,0.06703205,0.15053046,0.20497245,0.1811831,0.09755414,0.13197348,0.040454425,0.18731354,0.07897847,0.15358986,0.15339643
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009305182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
