GeneID,Bcells,Malignant,Fibroblasts
A1BG,0.4159987,0.32338184,0.32908413
A1BG-AS1,0.02857587,0.01831543,0.04878606
A1CF,0.0,0.0,0.0
A2M,0.14782517,0.053229224,24.894197
A2M-AS1,0.0032972156,0.0025756075,0.016853366
A2ML1,0.0,0.009443895,0.0008870193
A2ML1-AS1,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0
A4GALT,0.030774012,0.07640969,0.41601205
A4GNT,0.0,0.0,0.0008870193
AAAS,0.08517807,0.08871537,0.1800649
AACS,0.020882366,0.12935273,0.06563943
AADAC,0.0,0.01631218,0.014192309
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,0.0,0.024611361,0.032819714
PRXL2C,0.198932,0.2544128,0.47012022
AAGAB,0.043413337,0.16684213,0.14103608
AAK1,0.08517807,0.33511513,0.36279088
AAMDC,0.07143967,0.49279958,0.7601755
AAMP,0.22860695,0.6298791,0.5730145
AANAT,0.0027476796,0.0008585359,0.0008870193
AAR2,0.04066566,0.124201514,0.12595674
AARD,0.0,0.07784059,0.009757212
AARS1,0.11265487,0.14366166,0.2022404
AARS2,0.008792575,0.030334935,0.032819714
AARSD1,0.065944314,0.09386659,0.08692789
AASDH,0.040116124,0.14680962,0.1703077
AASDHPPT,0.09287158,0.20290065,0.21909377
AASS,0.0021981439,0.043785326,0.14990626
AATBC,0.0,0.023180468,0.0008870193
AATF,0.16705893,0.33482897,0.2936034
AATK,0.00054953597,0.04750565,0.0026610577
PVALEF,0.0,0.0008585359,0.0
ABALON,0.00054953597,0.0022894288,0.0017740387
ABAT,0.008792575,0.023466647,0.028384618
ABCA1,0.024729118,0.28016886,0.46302408
ABCA10,0.0049458235,0.004292679,0.12329569
ABCA12,0.0,0.03720322,0.0
ABCA13,0.0,0.016026003,0.0
ABCA2,0.008243039,0.062100757,0.09136299
ABCA3,0.010990718,0.1966047,0.020401444
ABCA4,0.0,0.10559991,0.0044350964
ABCA5,0.08078178,0.10788934,0.14014906
ABCA6,0.014837471,0.0022894288,0.48519957
ABCA7,0.03242262,0.4524484,0.01241827
ABCA8,0.0038467515,0.0028617862,1.1167573
ABCA9,0.0016486078,0.0020032504,0.18982214
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.011540255,0.0005723572,0.0070961546
ABCB10,0.014837471,0.08241944,0.03725481
ABCB11,0.00054953597,0.0,0.0
ABCB4,0.012639326,0.0011447144,0.014192309
ABCB5,0.0,0.0005723572,0.0053221155
ABCB6,0.00054953597,0.0014308931,0.0026610577
ABCB7,0.06814246,0.09758691,0.12595674
ABCB8,0.06319664,0.13364542,0.15700242
ABCB9,0.12034837,0.06496254,0.022175482
ABCC1,0.014837471,0.10102105,0.061204333
ABCC10,0.013188862,0.0735479,0.03902885
ABCC11,0.0,0.0002861786,0.0
ABCC12,0.0,0.0014308931,0.0017740387
ABCC2,0.0010990719,0.0008585359,0.0
ABCC3,0.014837471,1.9059496,0.084266834
ABCC4,0.03132355,0.13822427,0.04878606
ABCC5,0.02033283,0.16770068,0.09047597
ABCC5-AS1,0.00054953597,0.0,0.0
ABCC6,0.0027476796,0.16512506,0.019514425
ABCC8,0.0,0.0002861786,0.0
ABCC9,0.0016486078,0.006582108,0.24570434
ABCD1,0.014287935,0.042068254,0.04878606
ABCD2,0.008243039,0.0005723572,0.0053221155
ABCD3,0.020882366,0.3560062,0.09845914
ABCD4,0.087376215,0.2206437,0.27763703
ABCE1,0.121447444,0.24153474,0.26610577
ABCF1,0.18904036,0.6227247,0.41068995
ABCF2,0.04671056,0.21263072,0.21465866
ABCF3,0.053304985,0.10932022,0.1241827
ABCG1,0.079682715,0.07640969,0.0780577
ABCG2,0.0043962877,0.0022894288,0.015079328
ABCG4,0.0,0.0002861786,0.0008870193
ABCG5,0.0,0.0025756075,0.0008870193
ABCG8,0.0,0.0,0.0
ABHD1,0.0032972156,0.0054373937,0.0035480773
ABHD10,0.030774012,0.07097229,0.06031731
ABHD11,0.04726009,0.55890685,0.0966851
ABHD11-AS1,0.0,0.39034763,0.0035480773
ABHD12,0.12969048,0.54974914,0.27054086
ABHD12B,0.0,0.0011447144,0.006209135
ABHD13,0.054953594,0.15453644,0.21554568
ABHD14A,0.26652494,0.31393793,0.4789904
ABHD14A-ACY1,0.0,0.0,0.0
ABHD14B,0.3665405,0.49079633,0.6705866
ABHD15,0.04671056,0.09672837,0.039915867
ABHD15-AS1,0.0,0.0,0.0
ABHD16A,0.0027476796,0.00829918,0.014192309
ABHD16B,0.0,0.0,0.0
ABHD17A,0.10825858,0.3800452,0.41246396
ABHD17B,0.045061946,0.080416195,0.08160578
ABHD17C,0.0021981439,0.38748586,0.067413464
ABHD18,0.02417958,0.0735479,0.046125002
ABHD2,0.05000777,0.6659376,0.460363
ABHD3,0.16541031,0.11990884,0.1241827
ABHD4,0.017035615,0.079843834,0.09579809
ABHD5,0.10606043,0.25727457,0.37432215
ABHD6,0.010990718,0.025469897,0.03902885
ABHD8,0.058800347,0.10674462,0.1800649
ABI1,0.22256204,0.36859804,0.25989667
ABI2,0.0489087,0.36287448,0.54906493
ABI3,0.113204405,0.012305681,0.03902885
ABI3BP,0.0010990719,0.014308931,0.97394717
ABL1,0.01758515,0.15081613,0.1703077
ABL2,0.054953594,0.3414111,0.6253486
ABLIM1,0.050557304,0.37260455,0.16942069
ABLIM2,0.0021981439,0.012305681,0.014192309
ABLIM3,0.0016486078,0.038920294,0.12329569
ABO,0.010441183,0.19345674,0.0017740387
ABR,0.036818907,0.15024377,0.14547117
ABRA,0.0,0.0,0.0
ABRACL,0.43193525,0.8917326,0.41956013
ABT1,0.21321994,0.3385493,0.22707695
ABTB1,0.12639327,0.17857544,0.2519135
ABTB2,0.0027476796,0.042068254,0.03548077
ACAA1,0.1851936,0.39034763,0.4692332
ACAA2,0.11210533,0.23895915,0.42931733
ACACA,0.012639326,0.28045505,0.058543272
ACACB,0.010441183,0.01688454,0.10644231
ACAD10,0.011540255,0.065534905,0.0505601
ACAD11,0.0071439673,0.0034341435,0.010644231
ACAD8,0.043962874,0.24811687,0.12329569
ACAD9,0.037368443,0.12677713,0.14547117
ACADL,0.0,0.004006501,0.029271636
ACADM,0.22640881,0.24267948,0.2989255
ACADS,0.041764732,0.21177217,0.137488
ACADSB,0.027476797,0.18658847,0.08692789
ACADVL,0.55942756,0.6679409,1.2586805
ACAN,0.0,0.0005723572,0.022175482
ACAP1,0.7435221,0.029762575,0.117973566
ACAP2,0.12364559,0.3414111,0.37432215
ACAP3,0.07693503,0.19946648,0.16409856
ACAT1,0.16486077,0.27387294,0.44794473
ACAT2,0.0642957,0.18000636,0.1605505
ACBD3,0.12969048,0.7457814,0.31932694
ACBD4,0.039566588,0.10331047,0.11176443
ACBD5,0.035719834,0.16827302,0.1241827
ACBD6,0.14287934,0.39349562,0.45237982
ACBD7,0.0,0.0002861786,0.0
ACCS,0.019783294,0.04578858,0.06475241
ACD,0.08572761,0.10674462,0.1880481
ACE,0.005495359,0.050367434,0.023949523
ACE2,0.0,0.014881288,0.0
ACER1,0.00054953597,0.0,0.0017740387
ACER2,0.0,0.0017170717,0.0
ACER3,0.02308051,0.16283564,0.1197476
ACHE,0.011540255,0.071544655,0.093137026
ACIN1,0.1192493,0.4553102,0.34771156
ACKR1,0.010990718,0.0025756075,0.045237985
ACKR2,0.0027476796,0.020891039,0.006209135
ACKR3,0.0010990719,0.00829918,0.038141828
ACKR4,0.0032972156,0.0054373937,0.036367793
ACLY,0.0626471,0.42354435,0.20312741
ACMSD,0.0,0.003720322,0.0
ACO1,0.014287935,0.23838678,0.24126925
ACO2,0.30224478,0.28503388,0.3521467
ACOT1,0.00054953597,0.0002861786,0.0008870193
ACOT11,0.0010990719,0.052943043,0.038141828
ACOT12,0.0,0.0008585359,0.0
ACOT13,0.10331276,0.6627897,0.31400484
ACOT2,0.015387006,0.03519997,0.056769237
ACOT4,0.009891647,0.09672837,0.038141828
ACOT6,0.0,0.0,0.0
ACOT7,0.03242262,0.11561616,0.15966347
ACOT8,0.07418735,0.25612986,0.15345433
ACOT9,0.0780341,0.18544374,0.24925242
ACOX1,0.030774012,0.38376552,0.16409856
ACOX2,0.0010990719,0.068682864,0.09845914
ACOX3,0.021981437,0.044071507,0.0505601
ACOXL,0.008792575,0.042354435,0.0017740387
ACP1,0.5478873,1.21769,0.7858991
ACP2,0.06374617,0.19631852,0.26521876
ACP5,0.37533304,0.4032257,0.69187504
ACP6,0.021431902,0.19288439,0.046125002
ACP7,0.0,0.0005723572,0.0017740387
ACPP,0.0,0.020032503,0.0026610577
ACP4,0.0,0.0,0.0
ACR,0.0,0.0017170717,0.0
ACRBP,0.0043962877,0.003720322,0.0044350964
GCNA,0.005495359,0.02260811,0.0044350964
ACRV1,0.0,0.0017170717,0.0
ACSBG1,0.0010990719,0.0005723572,0.0
ACSBG2,0.00054953597,0.0002861786,0.0
ACSF2,0.038467515,0.23180468,0.07894471
ACSF3,0.104411826,0.10416901,0.13837501
ACSL1,0.029674942,0.30850053,0.080718756
ACSL3,0.06374617,0.34913793,0.44439664
ACSL4,0.045061946,0.20433153,0.13571395
ACSL5,0.0642957,0.82419443,0.054108176
ACSL6,0.0071439673,0.011733323,0.0044350964
ACSM1,0.0010990719,0.014022752,0.0017740387
ACSM2A,0.0,0.0,0.0008870193
ACSM2B,0.0,0.0,0.0
ACSM3,0.02308051,0.058952797,0.020401444
ACSM4,0.0,0.0,0.0
ACSM5,0.00054953597,0.0,0.006209135
ACSM6,0.0,0.0,0.0
ACSS1,0.10990719,0.1725657,0.072735585
ACSS2,0.025278652,0.15425026,0.08160578
ACSS3,0.0016486078,0.009443895,0.14635818
ACTA1,0.0010990719,0.0017170717,0.0
ACTA2,0.03626937,0.07669587,8.762863
ACTA2-AS1,0.0010990719,0.0,0.0053221155
ACTB,14.767679,25.016874,31.457253
ACTBL2,0.0,0.0045788577,0.0008870193
ACTC1,0.0,0.0002861786,0.010644231
ACTG1,7.983658,18.690039,22.500132
ACTG2,0.0010990719,0.0008585359,0.6297837
ACTL10,0.02417958,0.05466011,0.014192309
ACTL6A,0.083529465,0.31479648,0.23772116
ACTL6B,0.0,0.0002861786,0.0
ACTL7B,0.0,0.0017170717,0.0
ACTL8,0.0,0.010874787,0.0
ACTN1,0.02417958,0.51569384,2.0037766
ACTN1-AS1,0.0,0.0008585359,0.0053221155
ACTN2,0.0,0.0005723572,0.02483654
ACTN3,0.0,0.0005723572,0.0017740387
ACTN4,0.18904036,2.1557834,0.66082937
ACTR10,0.1560682,0.4819248,0.6031731
ACTR1A,0.109357655,0.307642,0.42488223
ACTR1B,0.14232981,0.3519997,0.40181974
ACTR2,0.49018607,1.0866202,0.7229207
ACTR3,0.7396754,0.75036037,0.874601
ACTR3B,0.0071439673,0.046360936,0.056769237
ACTR3C,0.014837471,0.044071507,0.014192309
ACTR5,0.018134685,0.051512152,0.036367793
ACTR6,0.054404058,0.11676087,0.11176443
ACTR8,0.04066566,0.050367434,0.06563943
ACTRT1,0.0,0.0,0.0
ACTRT2,0.0,0.0,0.0
ACTRT3,0.0010990719,0.008013002,0.013305289
ACVR1,0.016486079,0.15854295,0.27852407
ACVR1B,0.006594431,0.18401285,0.09845914
ACVR1C,0.013188862,0.008585358,0.0017740387
ACVR2A,0.006044895,0.036917042,0.12329569
ACVR2B,0.008792575,0.08986009,0.04967308
ACVR2B-AS1,0.0,0.0022894288,0.0017740387
ACVRL1,0.0010990719,0.0031479646,0.29981253
ACY1,0.0032972156,0.009157715,0.007983174
ACY3,0.117600694,0.013450394,0.0
ACYP1,0.06869199,0.14967142,0.14547117
ACYP2,0.152771,0.16083239,0.15966347
ADA,0.1346363,0.02890404,0.10732933
ADAD2,0.0,0.0,0.0
ADAL,0.03132355,0.055232473,0.06031731
ADAM10,0.06814246,0.31193468,0.22441587
ADAM11,0.00054953597,0.0022894288,0.0044350964
ADAM12,0.0010990719,0.008013002,0.2723149
ADAM15,0.03132355,0.81303346,0.18095194
ADAM17,0.10276322,0.36201596,0.43020433
ADAM18,0.0,0.0,0.0
ADAM19,0.099466,0.0077268225,0.09491107
ADAM2,0.0,0.0,0.0
ADAM20,0.00054953597,0.0005723572,0.0
ADAM20P1,0.0,0.0005723572,0.0008870193
ADAM21,0.0,0.0002861786,0.0
ADAM22,0.0021981439,0.006295929,0.032819714
ADAM23,0.0038467515,0.0,0.014192309
ADAM28,0.6187775,0.10617226,0.031045675
ADAM29,0.0,0.0011447144,0.0
ADAM30,0.0,0.0005723572,0.0
ADAM32,0.0,0.0054373937,0.010644231
ADAM33,0.00054953597,0.0005723572,0.0824928
ADAM8,0.08627714,0.28989893,0.026610577
ADAM9,0.020882366,0.4444354,0.45326683
ADAMDEC1,0.017035615,0.0025756075,0.017740386
ADAMTS1,0.0032972156,0.09329423,0.79743034
ADAMTS10,0.0010990719,0.006295929,0.09136299
ADAMTS12,0.0010990719,0.003720322,0.32287502
ADAMTS13,0.00054953597,0.011447145,0.011531251
ADAMTS14,0.00054953597,0.023466647,0.021288462
ADAMTS15,0.00054953597,0.0020032504,0.044350963
ADAMTS16,0.00054953597,0.0005723572,0.05144712
ADAMTS17,0.0010990719,0.004865037,0.015966348
ADAMTS18,0.0,0.0,0.0035480773
ADAMTS19,0.0,0.0,0.0035480773
ADAMTS2,0.00054953597,0.0005723572,0.3308582
ADAMTS20,0.0,0.0,0.0
ADAMTS3,0.0,0.0011447144,0.023062501
ADAMTS4,0.00054953597,0.0008585359,0.2483654
ADAMTS5,0.0,0.0054373937,0.07894471
ADAMTS6,0.021981437,0.0071544657,0.04080289
ADAMTS7,0.0021981439,0.006582108,0.04878606
ADAMTS8,0.0010990719,0.0,0.32198802
ADAMTS9,0.0,0.040637366,0.10200722
ADAMTS9-AS1,0.0,0.0,0.015966348
ADAMTS9-AS2,0.00054953597,0.032338183,0.09047597
ADAMTSL1,0.0,0.0002861786,0.023062501
ADAMTSL2,0.0032972156,0.0034341435,0.6333318
ADAMTSL3,0.0021981439,0.0008585359,0.109103374
ADAMTSL4,0.011540255,0.023466647,0.10732933
ADAMTSL5,0.006044895,0.019460147,0.011531251
ADAP1,0.010441183,0.13135599,0.009757212
ADAP2,0.025278652,0.06410401,0.043463945
ADAR,0.3852247,1.1627437,0.55882215
ADARB1,0.016486079,0.025756076,0.2723149
ADARB2,0.0021981439,0.0002861786,0.0
ADARB2-AS1,0.0,0.0,0.0026610577
