GeneID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1BG,0.3744226,0.44552773,0.34990972,0.4761884,0.46354353,0.22207731,0.29704374,0.34346136,0.38801524,0.33188328,0.37806293,0.28318185,0.26968846,0.2535317,0.27435833,0.26692656,0.3691932,0.23773424,0.3285745,0.3352252,0.35683414,0.49926493,0.28012097,0.40299535,0.24099725,0.38270038,0.32058328,0.18792865,0.34857857,0.3322934,0.31429267,0.33926716,0.36708102,0.29237324,0.19024879,0.36826724,0.4468711,0.23336679,0.4135985,0.29298514,0.4300078,0.44535303,0.27160293,0.41823444,0.20549507,0.29318634,0.48359707,0.32160085,0.40542534,0.44976124,0.22721459,0.2953621,0.34391907,0.24103265,0.35265952,0.411107,0.34624058,0.37002456,0.3440865,0.42060244,0.31998667,0.2803602,0.42980006,0.31246072,0.4119092,0.4239707,0.41951308,0.31693447,0.26406038,0.29276356,0.40908778,0.36612627,0.40213388,0.27422658,0.29839167,0.4784236,0.38659996,0.46014288,0.34645087,0.27411154,0.43600282,0.24883717,0.30480528,0.24775027,0.5424844,0.24619775,0.3709422,0.27140695,0.36124122,0.35454318,0.39446542,0.3195305,0.35865253,0.24531475,0.27964658,0.32746062,0.41487053,0.30088356,0.4750225,0.47577956
A1BG-AS1,0.03941291,0.055690967,0.04665463,0.010822464,0.024832688,0.010094424,0.022278283,0.007632475,0.011758039,0.06145987,0.020435834,0.07079546,0.04840562,0.010141268,0.012470833,0.013688542,0.0,0.017609943,0.010952483,0.037247244,0.0,0.053492673,0.038198315,0.029308753,0.0774634,0.062481694,0.011449402,0.009890981,0.007262053,0.036921486,0.034162246,0.019956892,0.02077817,0.013922535,0.023781098,0.035638765,0.008124929,0.04321607,0.060159784,0.014649256,0.008431525,0.034257926,0.012345588,0.022012338,0.006227123,0.025869383,0.047411475,0.059555713,0.0,0.05091637,0.021988507,0.012306754,0.058717888,0.00753227,0.026122928,0.028030021,0.017312031,0.008605223,0.013763459,0.008412049,0.042664893,0.10092968,0.03508572,0.0371977,0.034325767,0.04929892,0.014719758,0.018643204,0.02640604,0.020425366,0.041743647,0.018937565,0.01711208,0.03046962,0.012432986,0.029901475,0.08456874,0.05477891,0.07348958,0.027411154,0.04449008,0.00638044,0.022302827,0.015983889,0.026249245,0.022381611,0.032972638,0.07080181,0.03344826,0.025324512,0.03480577,0.01727192,0.0071730507,0.07466101,0.06453382,0.007615363,0.023483237,0.019205334,0.027405145,0.018658021
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,10.247355,0.34342763,0.24104893,17.673084,0.17382883,7.459779,0.066834845,0.04579485,15.744014,22.9737,15.60276,20.754868,0.027660355,25.018507,26.961943,0.047909897,0.06041343,10.090497,13.690603,0.12105354,4.942153,0.16047801,27.133535,0.014654377,7.4967356,1.952553,24.272734,0.05934589,0.02178616,23.678978,0.020497348,14.179372,0.20085564,0.02784507,25.921398,22.49994,1.2268642,0.051859282,2.2935917,0.0512724,1.4670854,2.06404,28.765219,0.08071191,0.66630214,0.12072379,0.104305245,32.040974,0.07649535,5.498968,0.029318012,24.182772,0.218095,0.06025816,28.66991,0.1588368,5.565818,1.3338095,0.06193557,3.591945,13.322112,21.845669,0.99117154,1.539985,24.874739,8.331517,0.022079637,0.15846723,0.046210565,0.040850732,0.21706697,0.03787513,1.1721774,0.068556644,23.31185,9.977125,22.869804,23.675447,22.729277,3.4903536,0.31143054,0.04466308,0.07434276,0.055943612,1.4262091,3.2378733,0.14013372,22.455973,0.08027583,0.13506407,19.72327,5.846544,0.043038305,20.286465,22.726662,2.2998397,0.12524393,0.025607113,0.13702571,7.155351
A2M-AS1,0.019706454,0.018563656,0.0077757714,0.03246739,0.0,0.0,0.007426094,0.01526495,0.0,0.012291973,0.010217917,0.011799243,0.0069150887,0.030423803,0.012470833,0.0,0.0,0.0,0.010952483,0.009311811,0.0,0.01783089,0.0,0.014654377,0.0,0.0,0.0,0.0,0.0,0.024614323,0.006832449,0.0,0.006926057,0.0,0.011890549,0.0,0.0,0.0,0.0,0.014649256,0.0,0.0,0.03703676,0.014674893,0.0,0.0,0.009482295,0.023822285,0.0,0.0,0.0,0.024613507,0.0,0.0,0.026122928,0.0,0.0,0.0,0.013763459,0.008412049,0.010666223,0.011214408,0.0,0.0,0.034325767,0.019719569,0.0,0.0,0.0,0.006808455,0.0,0.006312521,0.0,0.0,0.012432986,0.009967159,0.012081249,0.021911565,0.020997021,0.027411154,0.008898016,0.00638044,0.0,0.007991944,0.008749749,0.0,0.0,0.0,0.0,0.0,0.03480577,0.01727192,0.0,0.0,0.021511275,0.0,0.007827746,0.0,0.018270096,0.0
A2ML1,0.0,0.0,0.0,0.0,0.0,0.0,0.007426094,0.0,0.0,0.0,0.0,0.0,0.0069150887,0.0,0.0,0.013688542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0073271883,0.008607045,0.0,0.0,0.0,0.007262053,0.0,0.006832449,0.009978446,0.013852114,0.0,0.0,0.0,0.0,0.0,0.022559918,0.0512724,0.0,0.0,0.0,0.0073374463,0.012454246,0.0,0.0,0.0,0.0,0.008486061,0.0,0.0,0.0,0.0,0.0,0.0,0.017312031,0.0,0.0,0.0,0.0,0.0,0.00877143,0.014879081,0.0,0.0,0.022079637,0.0,0.0,0.006808455,0.0,0.006312521,0.01711208,0.0,0.0,0.0,0.0,0.0,0.0,0.009137051,0.0,0.0,0.0,0.007991944,0.0,0.0,0.0,0.0,0.013379305,0.0,0.0,0.0,0.014346101,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.27589035,0.064972796,0.077757716,0.303029,0.016555127,0.15141635,0.08168703,0.0915897,0.305709,0.38105118,0.3065375,0.436572,0.041490536,0.35494438,0.39906666,0.047909897,0.107401654,0.23773424,0.25190708,0.046559054,0.089208536,0.044577222,0.4329142,0.07327188,0.0774634,0.05467148,0.3778303,0.049454905,0.07262053,0.455365,0.09565429,0.30933183,0.06233451,0.08353521,0.36860704,0.36826724,0.06499943,0.034572855,0.1127996,0.11719405,0.042157628,0.025693443,0.3950588,0.066037014,0.06849835,0.025869383,0.03792918,0.333512,0.04589721,0.18669334,0.058636025,0.3692026,0.05032962,0.12051632,0.37878242,0.06540338,0.077904135,0.068841785,0.13763459,0.15982893,0.24532314,0.5607204,0.04385715,0.13391173,0.40046728,0.23663482,0.058879033,0.018643204,0.066015095,0.09531838,0.02504619,0.11993791,0.07700436,0.05332184,0.48488647,0.19934316,0.50741243,0.52587754,0.39894342,0.10050756,0.0533881,0.05104352,0.06690848,0.08791138,0.05249849,0.21635558,0.032972638,0.49561265,0.07358617,0.016883008,0.30165005,0.1899911,0.043038305,0.36263922,0.37644732,0.060922906,0.046966475,0.051214226,0.045675237,0.1772512
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.012081249,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
