GeneID,Bcells,Malignant,Fibroblasts
A1BG,0.41063687,0.31192148,0.3360792
A1BG-AS1,0.030087367,0.02133922,0.048138667
A1CF,0.0,0.0,0.0
A2M,0.15433705,0.04952807,24.95901
A2M-AS1,0.0039002143,0.003951708,0.0115889385
A2ML1,0.0,0.007639969,0.00089145685
A2ML1-AS1,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0
A4GALT,0.032873232,0.080614835,0.4296822
A4GNT,0.0,0.0,0.00089145685
AAAS,0.086361885,0.080087945,0.17650846
AACS,0.018943898,0.12461052,0.06418489
AADAC,0.0,0.016333725,0.01426331
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.00026344717,0.0
AADAT,0.0,0.030559875,0.034766816
PRXL2C,0.20392549,0.22972596,0.46890628
AAGAB,0.04234518,0.1775634,0.14352454
AAK1,0.08301885,0.32404006,0.36638877
AAMDC,0.06630364,0.49791518,0.7684358
AAMP,0.22231221,0.61857396,0.5732067
AANAT,0.0022286938,0.001317236,0.00089145685
AAR2,0.04178801,0.13356772,0.12926124
AARD,0.0,0.08351276,0.006240198
AARS1,0.110320345,0.13146015,0.20592654
AARS2,0.0066860816,0.031086767,0.035658274
AARSD1,0.06797516,0.09431409,0.08825423
AASDH,0.04123084,0.15174559,0.16670243
AASDHPPT,0.08970492,0.20944051,0.21216673
AASS,0.0022286938,0.047157045,0.14174163
AATBC,0.0,0.022129564,0.00089145685
AATF,0.16826639,0.33352414,0.2977466
AATK,0.00055717345,0.054006673,0.0026743705
PVALEF,0.0,0.00052689435,0.0
ABALON,0.0,0.0023710248,0.0017829137
ABAT,0.007243255,0.026081273,0.026743704
ABCA1,0.02395846,0.25343618,0.47158068
ABCA10,0.0044573876,0.005795838,0.12123813
ABCA12,0.0,0.036619157,0.0
ABCA13,0.0,0.0121185705,0.0
ABCA2,0.0044573876,0.06770593,0.08112257
