GeneID,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99
A1BG,0.3639978,0.24837674,0.32955167,0.26927227,0.2872972,0.33280456,0.31627864,0.29546732,0.38108897,0.4256251,0.25768408,0.2643824,0.27932867,0.33491313,0.42521352,0.27581805,0.39892244,0.29211232,0.37603083,0.4485004,0.3937351,0.22982801,0.29068452,0.42970124,0.41211897,0.26045284,0.26269662,0.3402857,0.34500095,0.3207622,0.3465241,0.31522745,0.26995882,0.33679903,0.316063,0.188316,0.30298164,0.34010163,0.31133443,0.4734446,0.29915106,0.24463822,0.37833157,0.38270035,0.39337584,0.3537644,0.26369753,0.31781387,0.4472559,0.32277563,0.36830494,0.39802438,0.36566696,0.3454144,0.26994509,0.3983229,0.33323568,0.29652992,0.3195912,0.23288403,0.20596084,0.25028002,0.47947696,0.22771889,0.38074166,0.3703978,0.40734828,0.33583692,0.27131295,0.34629157,0.32183063,0.30166095,0.26560083,0.17183734,0.31186298,0.24762444,0.31210825,0.34745476,0.2744913,0.37322402,0.29447982,0.26263696,0.30153394,0.25255358,0.29811135,0.28104353,0.40697384,0.36089057,0.2593905,0.31634238,0.23666902,0.26143384,0.25159258,0.34083351,0.34276104,0.25062656,0.3597233,0.35392252,0.21005857,0.41393712
A1BG-AS1,0.0,0.03204861,0.019385394,0.03638814,0.031059155,0.0,0.015060888,0.015152169,0.03888663,0.033779766,0.008885658,0.025585392,0.016431099,0.021377435,0.027433129,0.014909084,0.043518815,0.015789855,0.015667953,0.0,0.021092953,0.027038591,0.00807457,0.014817284,0.01994124,0.0,0.029188516,0.047481727,0.0,0.029838342,0.022599397,0.020120898,0.0154262185,0.0143318735,0.024952343,0.007242923,0.037872706,0.06046251,0.0077833612,0.008767492,0.0,0.022934832,0.01719689,0.020142121,0.021456866,0.015722862,0.01551162,0.0129719945,0.018898139,0.0189868,0.02084745,0.014215156,0.0070320573,0.046498094,0.038563583,0.029505402,0.00876936,0.0076033315,0.024583938,0.016060967,0.017163403,0.020856667,0.029059209,0.0078523755,0.014931045,0.029050808,0.030173944,0.039980587,0.026469557,0.030781472,0.0,0.013407154,0.015177189,0.029884757,0.007087795,0.016508298,0.0,0.0068128384,0.021670366,0.025303323,0.007749469,0.018323509,0.0,0.014856093,0.015287762,0.007595771,0.03508395,0.034701016,0.007411157,0.0071896,0.007888967,0.0,0.0143767195,0.015852721,0.033604022,0.028643038,0.007341292,0.022120157,0.016158352,0.05341124
A1CF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2M,0.62399626,0.84928817,0.14215954,1.2371968,0.8385972,1.1463268,0.32380906,1.0379236,1.812117,0.7972025,1.5549902,3.7184105,1.5856011,0.66982627,0.9670178,0.97654504,0.1015439,1.7131993,0.047003854,0.97052544,0.47810692,0.26362625,0.30683368,0.32598025,0.44535434,0.50512064,0.3283708,0.6726578,1.5701063,1.0294229,0.76837957,0.9255614,0.19282773,0.53744525,2.029457,0.54321927,1.3103956,1.504005,1.6500726,2.5601077,0.9900476,2.7904046,1.0920025,2.6386182,0.035761442,0.54243875,0.36452308,0.025943989,1.045697,0.47467002,0.41694897,0.17768945,0.22502583,0.37198475,0.6787191,0.5163445,3.665593,1.954056,0.1065304,1.7104931,4.4624853,0.7716966,0.4140937,0.9972517,1.7618632,0.03631351,1.335197,1.5112661,0.046321724,1.9238421,0.37904498,0.32847527,0.19730347,0.47068495,0.06379016,2.1130621,1.2038461,0.061315544,0.30338514,0.9235713,0.9299363,0.2504213,1.1982006,0.23026943,0.61915433,0.7671729,1.6138618,0.26372772,2.5197933,2.0777943,1.1754562,0.2941131,1.9624221,0.039631806,0.23522818,1.1027569,0.90297896,0.21382819,4.0153503,0.93469673
A2M-AS1,0.0074285264,0.008012152,0.0064617973,0.0072776284,0.007764789,0.0092445705,0.0,0.0,0.0,0.0,0.008885658,0.0085284645,0.0,0.007125811,0.0,0.007454542,0.0,0.0,0.0,0.0073524653,0.007030984,0.0,0.0,0.0,0.0,0.0,0.0,0.007913621,0.021122508,0.0074595856,0.0,0.0067069666,0.0,0.0071659368,0.0,0.014485846,0.0,0.0075578135,0.0,0.0,0.0,0.0076449444,0.008598445,0.013428082,0.0071522878,0.007861431,0.0,0.0064859972,0.0062993793,0.0189868,0.0,0.014215156,0.0,0.0,0.0,0.0,0.0,0.015206663,0.0,0.0,0.0,0.0069522224,0.0,0.0,0.0074655223,0.0,0.007543486,0.0,0.006617389,0.0,0.007151792,0.006703577,0.0,0.0,0.0,0.0,0.0,0.0068128384,0.0,0.0,0.0,0.006107836,0.0,0.0,0.0,0.0,0.00701679,0.0,0.0,0.0,0.0,0.0,0.028753439,0.023779083,0.0,0.0071607595,0.0,0.0,0.0,0.006676405
A2ML1,0.0,0.0,0.012923595,0.0,0.015529578,0.0,0.0,0.0075760847,0.015554652,0.0067559537,0.008885658,0.0085284645,0.0,0.0,0.0,0.007454542,0.0,0.007894928,0.0,0.0,0.007030984,0.0067596477,0.00807457,0.007408642,0.01329416,0.0,0.0,0.0,0.0,0.0074595856,0.0,0.0,0.0,0.0,0.0,0.0,0.022723623,0.03778907,0.0077833612,0.0,0.04985851,0.0,0.0,0.026856164,0.0071522878,0.0,0.0,0.0,0.0062993793,0.012657868,0.0,0.0,0.0070320573,0.006642585,0.0077127167,0.0,0.01753872,0.0,0.016389292,0.0,0.0,0.0069522224,0.0,0.0,0.0,0.0,0.0,0.007996117,0.006617389,0.007695368,0.014303584,0.0,0.015177189,0.0074711894,0.01417559,0.0,0.0,0.0068128384,0.0144469105,0.0063258307,0.0,0.006107836,0.007935104,0.0,0.0,0.007595771,0.0,0.0,0.0,0.0071896,0.007888967,0.0,0.0,0.0,0.0,0.0071607595,0.0,0.007373386,0.0,0.0
A2ML1-AS1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A4GALT,0.08171379,0.12819444,0.058156177,0.06549866,0.15529579,0.046222854,0.03765222,0.10606519,0.10888256,0.06080358,0.14217053,0.13645543,0.065724395,0.078383915,0.1165908,0.059636336,0.05077195,0.06315942,0.06267181,0.11028698,0.11249574,0.09463507,0.048447423,0.07408642,0.0997062,0.04735506,0.043782774,0.10287707,0.06336752,0.13427255,0.09793072,0.13413933,0.07713109,0.057327494,0.05822213,0.10864385,0.10604357,0.1738297,0.07005025,0.10520991,0.056981154,0.10702922,0.11177978,0.080568485,0.064370595,0.07861431,0.06980229,0.058373976,0.05669441,0.0759472,0.0694915,0.11372125,0.1476732,0.099638775,0.02313815,0.13277431,0.078924246,0.06082665,0.0901411,0.056213386,0.09439872,0.09037889,0.10170723,0.07067138,0.09705179,0.058101617,0.030173944,0.1439301,0.039704338,0.06925831,0.13588405,0.053628616,0.13659471,0.052298322,0.077965744,0.11555808,0.096604936,0.109005414,0.10112838,0.094887465,0.054246284,0.042754855,0.14283186,0.044568278,0.084082685,0.022787314,0.07718469,0.09716285,0.08152273,0.06470639,0.14200142,0.08169808,0.10782539,0.055484526,0.08737046,0.09308986,0.117460676,0.05898709,0.09695011,0.060087647
A4GNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
