GeneID,Bcells,Malignant,Fibroblasts
A1BG,0.44517303,0.31967357,0.3038891
A1BG-AS1,0.021283174,0.019873437,0.043050956
A1CF,0.0,0.0,0.0
A2M,0.14188783,0.047390506,25.445646
A2M-AS1,0.0017735978,0.0035670272,0.012662046
A2ML1,0.0,0.0073039127,0.0
A2ML1-AS1,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0
A4GALT,0.019509576,0.071680255,0.37986138
A4GNT,0.0,0.0,0.0
AAAS,0.070943914,0.08119233,0.16713901
AACS,0.014188782,0.13011156,0.075972274
AADAC,0.0,0.017665276,0.0050648185
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.00016985844,0.0
AADAT,0.0,0.027177349,0.035453726
PRXL2C,0.17913337,0.23729223,0.4431716
AAGAB,0.04079275,0.17087758,0.1418149
AAK1,0.085132696,0.321542,0.3646669
AAMDC,0.074491106,0.5036303,0.76225513
AAMP,0.22169971,0.6160765,0.6305699
AANAT,0.0,0.0010191506,0.0
AAR2,0.04079275,0.12960199,0.14434732
AARD,0.0,0.08985511,0.010129637
AARS1,0.13124624,0.13537717,0.16713901
AARS2,0.0017735978,0.031084094,0.04051855
AARSD1,0.067396715,0.09393171,0.07850468
AASDH,0.044339944,0.14862613,0.15700936
AASDHPPT,0.09222709,0.2084163,0.21272238
AASS,0.0,0.044672765,0.14434732
AATBC,0.0,0.02174188,0.0025324093
AATF,0.14720862,0.32459944,0.3038891
AATK,0.0,0.051297247,0.0025324093
PVALEF,0.0,0.00067943375,0.0
ABALON,0.0,0.001189009,0.0
ABAT,0.007094391,0.023440463,0.017726863
ABCA1,0.019509576,0.2636203,0.47102812
ABCA10,0.007094391,0.0040766024,0.1418149
ABCA12,0.0,0.03668942,0.0
ABCA13,0.0,0.013758534,0.0
ABCA2,0.007094391,0.06573521,0.083569504
ABCA3,0.010641587,0.20111237,0.022791682
ABCA4,0.0017735978,0.111427136,0.0025324093
ABCA5,0.085132696,0.1098984,0.12915286
ABCA6,0.012415185,0.0033971686,0.51661146
ABCA7,0.035471957,0.45895746,0.015194455
ABCA8,0.0053207935,0.0025478764,1.11426
ABCA9,0.0053207935,0.0013588675,0.15954177
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.010641587,0.0005095753,0.012662046
ABCB10,0.008867989,0.07728559,0.027856499
ABCB11,0.0,0.0,0.0
ABCB4,0.012415185,0.0010191506,0.012662046
ABCB5,0.0,0.00084929215,0.0075972276
ABCB6,0.0,0.001189009,0.0025324093
ABCB7,0.05498153,0.09529058,0.1392825
ABCB8,0.04079275,0.13503745,0.15700936
ABCB9,0.122378245,0.061488755,0.015194455
ABCC1,0.014188782,0.09393171,0.050648183
ABCC10,0.010641587,0.075417146,0.03038891
ABCC11,0.0,0.00033971688,0.0
ABCC12,0.0,0.0018684427,0.0
ABCC2,0.0017735978,0.0016985843,0.0
ABCC3,0.008867989,1.8974886,0.083569504
ABCC4,0.035471957,0.1421715,0.032921318
ABCC5,0.01596238,0.15457118,0.083569504
ABCC5-AS1,0.0,0.0,0.0
ABCC6,0.0017735978,0.17053786,0.022791682
ABCC8,0.0,0.0005095753,0.0
ABCC9,0.0017735978,0.0061149034,0.21778718
