,Bcells,Malignant,Fibroblasts
0,0.42,0.0,0.58
1,1.0,0.0,0.0
2,0.7272727272727273,0.2727272727272727,0.0
3,0.030303030303030304,0.20202020202020202,0.7676767676767676
4,1.0,0.0,0.0
5,0.0,0.53,0.47
6,0.0,0.99,0.01
7,0.0,1.0,0.0
8,0.18,0.0,0.82
9,0.0,0.0,1.0
10,0.19,0.1,0.71
11,0.0,0.0,1.0
12,0.0,1.0,0.0
13,0.0,0.01,0.99
14,0.0,0.0,1.0
15,0.01,0.99,0.0
16,0.0,1.0,0.0
17,0.0,0.48,0.52
18,0.34,0.0,0.66
19,1.0,0.0,0.0
20,0.75,0.0,0.25
21,0.8787878787878788,0.12121212121212122,0.0
22,0.0,0.0,1.0
23,0.01,0.99,0.0
24,0.0,0.5,0.5
25,0.88,0.01,0.11
26,0.07,0.0,0.93
27,0.21,0.79,0.0
28,0.03,0.97,0.0
29,0.0,0.0,1.0
30,0.0,1.0,0.0
31,0.0,0.2,0.8
32,0.16,0.84,0.0
33,0.14,0.86,0.0
34,0.0,0.0,1.0
35,0.26,0.0,0.74
36,0.88,0.06,0.06
37,0.0,1.0,0.0
38,0.0,0.9,0.1
39,0.0,1.0,0.0
40,0.93,0.0,0.07
41,0.9,0.0,0.1
42,0.0,0.0,1.0
43,0.36,0.64,0.0
44,0.0,0.97,0.03
45,0.87,0.13,0.0
46,1.0,0.0,0.0
47,0.0,0.01,0.99
48,0.48,0.52,0.0
49,0.04950495049504951,0.6039603960396039,0.3465346534653465
50,0.0,1.0,0.0
51,0.0,0.0,1.0
52,0.99,0.0,0.01
53,0.0,1.0,0.0
54,0.0,0.0,1.0
55,0.99,0.01,0.0
56,0.0,0.66,0.34
57,0.87,0.0,0.13
58,0.01,0.99,0.0
59,0.27,0.46,0.27
60,0.0,0.39,0.61
61,0.0,0.0,1.0
62,0.83,0.07,0.1
63,0.0,0.9494949494949495,0.050505050505050504
64,0.0,0.0,1.0
65,0.55,0.0,0.45
66,0.0,1.0,0.0
67,1.0,0.0,0.0
68,0.0,0.99,0.01
69,0.0,1.0,0.0
70,0.99,0.01,0.0
71,0.0,1.0,0.0
72,0.9292929292929293,0.010101010101010102,0.06060606060606061
73,0.15,0.85,0.0
74,0.0,0.0,1.0
75,0.59,0.0,0.41
76,0.0,0.0,1.0
77,0.03,0.0,0.97
78,0.0,0.0,1.0
79,0.0,0.79,0.21
80,1.0,0.0,0.0
81,0.01,0.99,0.0
82,0.0,1.0,0.0
83,0.33,0.67,0.0
84,0.95,0.0,0.05
85,0.0,0.8,0.2
86,0.74,0.26,0.0
87,0.0,0.01,0.99
88,0.2,0.8,0.0
89,1.0,0.0,0.0
90,0.0,0.06,0.94
91,0.25252525252525254,0.41414141414141414,0.3333333333333333
92,0.0,1.0,0.0
93,0.009900990099009901,0.0891089108910891,0.900990099009901
94,0.0,0.03,0.97
95,0.5247524752475248,0.4158415841584158,0.0594059405940594
96,0.97,0.03,0.0
97,0.0,1.0,0.0
98,0.95,0.05,0.0
99,0.5151515151515151,0.030303030303030304,0.45454545454545453
