GeneID,Bcells,Malignant,Fibroblasts
A1BG,0.42365304,0.31694907,0.3300271
A1BG-AS1,0.03216928,0.020486088,0.049152978
A1CF,0.0,0.0,0.0
A2M,0.1466701,0.047118004,25.095226
A2M-AS1,0.003271452,0.0032192427,0.013165976
A2ML1,0.0,0.0073164604,0.0008777317
A2ML1-AS1,0.0,0.0,0.0
A2ML1-AS2,0.0,0.0,0.0
A4GALT,0.031078793,0.07784714,0.41867802
A4GNT,0.0,0.0,0.0008777317
AAAS,0.07906009,0.08018841,0.18169047
AACS,0.017992986,0.122623876,0.071974
AADAC,0.0,0.013462287,0.01492144
AADACL2,0.0,0.0,0.0
AADACL2-AS1,0.0,0.0,0.0
AADACL3,0.0,0.0,0.0
AADACL4,0.0,0.0,0.0
AADAT,0.0,0.028973185,0.034231536
PRXL2C,0.19574189,0.2385166,0.46958646
AAGAB,0.039257426,0.16944923,0.13780388
AAK1,0.08887445,0.32602146,0.36776957
AAMDC,0.06706477,0.49225146,0.7829367
AAMP,0.21209913,0.59790117,0.5617483
AANAT,0.002180968,0.00087797525,0.0008777317
AAR2,0.040347908,0.12994033,0.12639336
AARD,0.0,0.09013879,0.009655049
AARS1,0.106322184,0.13637882,0.20100057
AARS2,0.00817863,0.033655718,0.034231536
AARSD1,0.069790974,0.09013879,0.08689544
AASDH,0.03871218,0.13754946,0.17642407
AASDHPPT,0.09160066,0.19959304,0.2185552
AASS,0.002180968,0.04389876,0.14482574
AATBC,0.0,0.021364065,0.0008777317
AATF,0.16793454,0.32426554,0.29842877
AATK,0.000545242,0.04945927,0.0026331951
PVALEF,0.0,0.00087797525,0.0
ABALON,0.0,0.0020486088,0.0017554634
ABAT,0.009269114,0.027217234,0.027209682
ABCA1,0.023445407,0.27422094,0.46870875
ABCA10,0.003816694,0.003511901,0.1246379
ABCA12,0.0,0.032485083,0.0
ABCA13,0.0,0.017852163,0.0
ABCA2,0.0070881457,0.06379954,0.08689544
ABCA3,0.008723872,0.21217735,0.019310098
ABCA4,0.000545242,0.11208817,0.004388659
ABCA5,0.080150574,0.103015766,0.13517068
ABCA6,0.015266776,0.0023412674,0.47660834
ABCA7,0.0272621,0.46005902,0.013165976
ABCA8,0.003271452,0.0038045594,1.1182302
ABCA9,0.001635726,0.0011706337,0.1825682
ABCA9-AS1,0.0,0.0,0.0
ABCB1,0.01090484,0.00058531685,0.006144122
ABCB10,0.013085808,0.06789675,0.037742462
ABCB11,0.000545242,0.0,0.0
ABCB4,0.011450082,0.00087797525,0.011410513
ABCB5,0.0,0.00029265843,0.0070218537
ABCB6,0.000545242,0.0011706337,0.0026331951
ABCB7,0.06924573,0.0907241,0.13429295
ABCB8,0.05997662,0.12701376,0.14921439
ABCB9,0.11286509,0.059994977,0.021065561
