,S2,S1,ITTH
MGH100,0.5103330542646773,0.47230076139450455,0.9522787482515903
MGH101,6.955082657559299e-09,0.7961063210784396,6.969447350740049e-05
MGH102,0.48231853117219414,0.059853692446523145,0.7428486105704416
MGH104,0.34861792440437883,0.6513820620248482,0.9345923643999741
MGH105,0.0812247135668563,0.5361678809516831,0.7749045772240755
MGH106,0.18934791277042806,0.7052736800862086,0.867283485943402
MGH110,0.7893109660167854,0.05812236735074488,0.7510764792286363
MGH113,0.5141682721445281,0.3401382613052122,0.9257293739398551
MGH115,0.11836122589283322,0.8388865339427838,0.8120636314372092
MGH121,0.47249167931363234,0.4889342633355766,0.9498268215379183
MGH122,0.5473429032230632,0.14222743758050457,0.832553841446745
MGH124,0.8506046320901368,0.0,-0.0
MGH125,0.698327282601889,1.034862524892195e-09,2.0124926596875148e-05
MGH128,0.4612709764119741,0.3648541295193102,0.9268686164053912
MGH129,0.2839838105333939,0.6888354681867116,0.9131378122917412
MGH136,0.9555044558734688,0.016136706265541957,0.5987157941613838
MGH143,0.45592984069144044,0.5440701403461069,0.9530544009888933
MGH151,0.3057394635167578,0.20374852537057017,0.8476523079704843
MGH152,0.6462442928112635,0.3290538868463725,0.928592338746272
MGH66,0.24840816673114052,0.7350742386215237,0.897656500926196
BT1160,0.976612782492349,0.013827338767427385,0.5719497234357912
BT1187,0.1761830407708138,0.062511172617955,0.692373788283568
BT749,0.9634108687841355,0.026534361903387236,0.6516422975151928
BT771,0.4355233931987883,0.49241258874562643,0.9445747583852598
BT786,0.8680136776020704,0.12490864828204606,0.8156835283915965
BT830,0.15868440569150463,0.8413155885351699,0.8430685723472021
BT920,0.579289020824616,0.37035987961720696,0.9379688012149536
