S3,S10,S2,S11,S8,ITTH
TCGA.E1.5319.01,0.862987422046599,2.2620249413632e-05,0.0384477550862438,0.0483903893269647,0.0501518132907786,0.341315014636699
TCGA.HT.7693.01,0.143063120145808,0.0668095833474326,0.000416021568619553,0.743193102250196,0.0465181726879444,0.512908284572956
TCGA.CS.6665.01,0.0576789859656075,0.117952169374597,0.0584697863600052,0.681773256688268,0.0841258016115224,0.653698745005671
TCGA.S9.A7J2.01,0.806973141290873,0.0920627804824408,0.00559560052985378,0.0317822824762628,0.06358619522057,0.43897055534312
TCGA.FG.A6J3.01,1.35018967392339e-05,0.279192366128045,7.09540427302172e-06,1.12152098371955e-05,0.720775821361106,0.368186720090578
TCGA.FG.6688.01,1.68291976504392e-05,0.750683623799046,0.000344971447823285,0.0979138811244847,0.151040694430996,0.454336682041606
TCGA.S9.A6TX.01,0.808137666842524,0.0430554188126759,0.000160848941552344,0.0512159226861849,0.0974301427170629,0.427511961879435
TCGA.VM.A8C8.01,0.235590384620912,0.0384965725723788,0.000234524708075192,0.600522915453723,0.125155602644911,0.642629201929093
TCGA.HT.A74L.01,0.722476580794432,0.0405438489964879,0.000595836488834834,0.21865773004728,0.017726003672965,0.480376475014721
TCGA.S9.A7QY.01,0.690300952119941,0.0800808196683861,0.000433917831484951,0.124025023156393,0.105159287223795,0.59468453769426
TCGA.DB.A4XA.01,0.766547572085391,0.0818514971539536,0.0051621655758136,0.00251988436162346,0.143918880823218,0.453516413430143
TCGA.WY.A85A.01,0.361252330181888,0.133698106538964,0.0113734432438367,0.380435704055535,0.113240415979777,0.809032987863209
TCGA.E1.5311.01,0.769968589574294,2.79879054436099e-08,0.00843186210921841,0.131176174717279,0.0904233456113028,0.450654202719611
TCGA.E1.A7YI.01,0.0591419835892533,0.35787523118375,0.0804122163037243,0.453914707610858,0.0486558613124145,0.772492930454526
TCGA.E1.5305.01,0.316649527062646,0.0730590368629208,0.00298579400642393,0.525385010090308,0.0819206319777011,0.693265311326059
TCGA.F6.A8O4.01,0.230252487756287,0.13217097495453,4.7216404874302e-05,0.515344869924018,0.122184450960291,0.748443976198306
TCGA.HT.8113.01,0.545309049291821,0.0387101958719841,6.29403327108378e-06,0.267274092582525,0.148700368220398,0.678922548489938
TCGA.DH.A66G.01,0.364731309530766,0.142352291363495,0.0233696267596753,0.455867135668727,0.0136796366773371,0.714521204464735
TCGA.HT.7620.01,0.838101355306241,2.89060929867468e-07,3.25090007705469e-06,0.108754276687909,0.0531408280448433,0.338823377867334
TCGA.P5.A731.01,0.320313162252753,0.304722277303401,0.00699425512699508,0.261863706231279,0.106106599085573,0.839050791147465
TCGA.HT.7480.01,0.798649147738109,0.0318331122607419,0.0285061942860421,0.0991676741518442,0.0418438715632633,0.46767241621031
TCGA.HT.7689.01,0.195789937119667,0.0400908168320417,0.0285218194497099,0.663647592389546,0.0719498342090355,0.628258429529009
TCGA.HT.8109.01,0.839974829959275,1.60283415065673e-05,0.0125023417284709,0.125498581350778,0.0220082186199695,0.339184298606866
